,date,news_oil,news_ship,news_sc,news_steel,news_vh,news_others
0,"<span>Feb 19, 2021 01:10PM ET</span>",,,,,,"By Lucia Mutikani
WASHINGTON (Reuters) - U.S. factory activity slowed in early February likely as a global semiconductor chip shortage hurt production at automobile plants, while prices of inputs and manufactured goods soared, which could heighten fears of strong inflation growth this year.
The report from data firm IHS Markit on Friday also showed businesses in the services industry were experiencing higher costs related to the procurement of personal protective equipment, a greater proportion of which they were passing on to clients ""through a marked rise in selling prices.""
Inflation is being closely watched amid concerns from some quarters that President Joe Biden's proposed $1.9 trillion COVID-19 rescue package could cause the economy to overheat. The package would be on top of nearly $900 billion in additional fiscal stimulus provided at the end of December.
""A concern is that firms' costs have surged higher, driving selling prices for goods and services up at a survey record pace and hinting at a further increase in inflation,"" said Chris Williamson, chief business economist at IHS Markit.
IHS Markit's flash U.S. manufacturing PMI dropped to 58.5 in the first half of this month from a final reading of 59.2 in January. Extreme weather in large parts of the United States was also blamed. The data was in line with economists' forecasts. 
A reading above 50 indicates growth in manufacturing, which accounts for 11.9% of the U.S. economy. Manufacturing has powered ahead as the pandemic left Americans grounded at home, shifting demand to household goods from services like airline travel and hotel accommodation.
But the coronavirus has disrupted labor at both suppliers and manufacturers, leading to shortages of goods critical to the production processes. Motor vehicle manufacturers have been hit by a semiconductor chip shortage, leading some to temporarily close assembly plants this month.
General Motors (NYSE:GM) announced it would take down production entirely at its Fairfax plant in Kansas City during the week of Feb. 8. Ford Motor (NYSE:F) has reduced shifts at its Dearborn truck plant and Kansas City assembly plant. 
The supply chain bottlenecks, which are widespread across the manufacturing sector as well as the services industry, have led to higher prices for inputs, including raw materials. The survey's measure of prices paid by manufacturers shot up to its highest level since April 2011. A gauge of prices received by factories surged to its highest level since July 2008.
Though price pressures are expected to rise as last year's low readings drop out of the calculation, there is no consensus among economists whether higher inflation would stick beyond the so-called base effects. 
Federal Reserve Chair Jerome Powell said last week while he expected inflation to be boosted by base effects and pent-up demand when the economy fully reopens, that would be transitory, citing three decades of lower and stable prices. 
The inflation outlook will likely hinge on the labor market, which is currently experiencing considerable slack, with at least 18.3 million Americans on unemployment benefits.
While the manufacturing expansion cooled, activity in the services industry gained traction this month. 
The IHS Markit's flash services sector PMI edged up to 58.9 from a final reading of 58.3 in January. The highest reading since March 2015 came as new COVID-19 infections and hospitalization rates dropped, allowing authorities to roll back some restrictions on consumer-facing businesses. 
The services sector, which accounts for more than two-thirds of U.S. economic activity, has borne the brunt of the pandemic.
Cost burdens for services businesses increased at their steepest pace since October 2009, leading to firms boosting their selling prices at the sharpest rate on record.
Stocks on Wall Street were trading higher. The dollar fell against a basket of currencies. U.S. Treasury prices were lower.
Graphic: Markit PMI - https://graphics.reuters.com/USA-STOCKS/nmopazylnva/markit.png
STRONG HOUSING MARKET
Manufacturing and housing are leading the economy's recovery from the pandemic recession. In a separate report on Friday, the National Association of Realtors said existing home sales rose 0.6% to a seasonally adjusted annual rate of 6.69 million units in January. 
Economists polled by Reuters had forecast sales would fall 1.5% to a rate of 6.61 million units in January. The second straight monthly increase in sales was despite contracts to buy a home declining for four consecutive months. The NAR attributed the misalignment to different sample sizes. 
Home resales, which account for the bulk of U.S. home sales, surged 23.7% on a year-on-year basis. The gains have defied tight supply, which has led to a surge in house price inflation. Sales last month were concentrated in the mid-to-upper price range of the market. Sales fell in the Northeast and West. They, however, rose in the South and the Midwest.
""Existing home sales will remain strong but will be unable to move significantly higher until more supply appears,"" said David Berson, chief economist at Nationwide in Columbus, Ohio. 
Graphic: Existing home sales - https://graphics.reuters.com/USA-STOCKS/yzdpxwandvx/ehs.png

The housing market is being driven by still historically low mortgage rates, and demand for spacious accommodations for home offices and schooling. 
There were a record-low 1.04 million previously owned homes on the market in January, down 25.7% from one year ago. The median existing house price shot up 14.1% from a year ago to $303,900 in January. 
At January's sales pace, it would take 1.9 months to exhaust the current inventory, down from 3.1 months a year ago. A six-to-seven-month supply is viewed as a healthy balance between supply and demand. 
"
1,"<span>Feb 19, 2021 12:30PM ET</span>",,,,,,"BOGOTA (Reuters) - Business confidence in Colombia experienced a slight decline for the second consecutive month in January due to the impact of confinement measures used by authorities to control a second wave of the coronavirus, the government said on Friday. 
The business confidence index fell 0.12% to 48.7% in January, the government's DANE statistics agency said.
Colombia's biggest cities declared neighborhood lockdowns during the last days of December and the start of January, as well as curfews and restrictions on movement to contain a second wave of the pandemic.
Business owners' outlook on whether things would improve for companies and the country over the next 12 months deteriorated last month, according to DANE. 
""This may be an indirect sign that effectively targeted closures, specific measures to restrict consumer access to goods and commerce due to the epidemiological situations that we saw in January are presenting cause for concern,"" said DANE director Juan Daniel Oviedo.
Some 46.9% of business owners reported declining demand for their goods and services, as well as supply-side problems, Oviedo said. 
Latin America's fourth-largest economy contracted a historic 6.8% last year.

While both analysts and authorities expect economic recovery this year, Colombia's central bank lowered its GDP growth projections for 2021 to a range of between 2% and 6%, with 4.5% as the most likely figure, from a previous projection of between 3% and 7%, due to the quarantines of the first month.
 
"
2,"<span>Feb 19, 2021 10:05AM ET</span>",,,,,"WASHINGTON (Reuters) - U.S. home sales unexpectedly rose in January despite tight inventories boosting house prices.
The National Association of Realtors said on Friday that existing home sales increased 0.6% to a seasonally adjusted annual rate of 6.69 million units last month. Sales have been increasing even as contracts have been declining. 
Economists polled by Reuters had forecast sales would fall 1.5% to a rate of 6.61 million units in January. 
Home resales, which account for the bulk of U.S. home sales, surged 23.7% on a year-on-year basis.
The housing market, the economy's star performer during the COVID-19 recession, is being supported by historically low mortgage rates and demand for spacious accommodations for home offices and schooling, mostly in the suburbs and other lower-density areas. 
But demand has far outstripped supply, driving up home prices. About 23.2% of the labor force is working from home. 
Last month, sales fell in the Northeast and West. They, however, rose in the South and the Midwest. 
There were a record-low 1.04 million previously owned homes on the market in January, down 25.7% from one year ago. The median existing house price shot up 14.1% from a year ago to $303,900 in January. 
The inventory crunch could ease as builders step up construction, though they are facing challenges from record lumber prices as well as shortages of land and labor. 
The government reported on Thursday that permits for future home building soared in January to their highest level since May 2006.

At January's sales pace, it would take 1.9 months to exhaust the current inventory, down from 3.1 months a year ago. A six-to-seven-month supply is viewed as a healthy balance between supply and demand.
 
",
3,"<span>Feb 19, 2021 04:55AM ET</span>",,,,,,"By William Schomberg and David Milliken
LONDON (Reuters) - British retail sales tumbled in January as shops went back into lockdown, official data showed, but lower-than-expected public borrowing gave at least some relief to finance minister Rishi Sunak as he prepares his next round of emergency spending.
A separate survey suggested the economy barely shrank in February as companies adjusted to the new restrictions and firms were very upbeat about the prospects for a rebound thanks to the roll-out of COVID-19 vaccinations.
The data for January showed retail sales volumes slumped by 8.2% from December, a far bigger fall than the 2.5% decrease forecast in a Reuters poll of economists and the second largest on record. 
""The only good thing about the current lockdown is that it's no way near as bad for the economy as the first one,"" Paul Dales, an economist at Capital Economics, said.
The smaller fall in retail sales than last April's 18% plunge reflected the growth in online shopping.
The Office for National Statistics said public sector borrowing of 8.8 billion pounds ($12.3 billion) was the first January deficit in a decade, but the deficit was a lot less than a forecast of 24.5 billion pounds in the Reuters poll.
That took borrowing since the start of the financial year in April to 270.6 billion pounds, reflecting the surge in spending and tax cuts ordered by Sunak.
That figure does not yet include losses on government-backed loans which are likely to add 30 billion pounds to the shortfall this year, according to the Institute for Fiscal Studies think tank. 
Sunak is expected to extend the government's wage subsidies, at least for the hardest-hit sectors, in his budget statement on March 3, but he said on Friday the time would come for a reckoning.
""It's right that once our economy begins to recover, we should look to return the public finances to a more sustainable footing and I'll always be honest with the British people about how we will do this,"" he said.
Some economists see higher taxes sooner rather than later.
""Big tax rises eventually will have to be announced, with 2022 likely to be the worst year, so that they will be far from voters' minds by the time of the next general election in May 2024,"" Samuel Tombs, at Pantheon Macroeconomics, said.
Public debt rose to 2.115 trillion pounds or 97.9% of gross domestic product, a share not seen since the early 1960s. 
BOUNCE-BACK AHEAD?
Britain's economy - which had its biggest slump in 300 years in 2020 when it contracted by 10% - will shrink by 4% in the first three months of 2021 before recovering thanks to the fast COVID-19 vaccination programme, the Bank of England says.
Prime Minister Boris Johnson has said he will lift the lockdown in England only gradually.
But a survey by market research firm GfK showed consumers were the most confident since the pandemic struck. 
""The hope, and our expectation, is that when the lockdown is finally lifted, we will see a surge in consumer spending, rather than a more permanent scarring of the consumer confidence,"" James Sproule, an economist at Handelsbanken, said. 
Another survey, the IHS Markit/CIPS flash composite Purchasing Managers' Index suggested activity stabilised this month after a big fall in January.
""Although the data hint at a renewed contraction of the economy in the first quarter, business expectations for the year ahead improved to the highest for almost seven years, suggesting the economy is poised for recovery,"" IHS Markit's chief business economist, Chris Williamson, said.

($1 = 0.7160 pounds)
 
"
4,"<span>Feb 19, 2021 04:20AM ET</span>",,,,,,"By Jonathan Cable
LONDON (Reuters) - Business activity across the euro zone contracted again in February as lockdown measures to contain the coronavirus hammered the bloc's dominant service industry, a survey showed, even as factories had their busiest month in three years.
With daily reported infections still high governments have been encouraging citizens to stay home and closed much of the continent's hospitality industry while factories have largely remained open.
IHS Markit's flash composite PMI, seen as a good guide to economic health, nudged closer to the 50 mark separating growth from contraction, registering 48.1 in February compared to January's 47.8. A Reuters poll had predicted 48.0.
However, some of that activity was from completing old orders. The backlogs of work index fell to 47.9 from 49.0.
""Ongoing COVID-19 lockdown measures dealt a further blow to the euro zone's service sector in February, adding to the likelihood of GDP falling again in the first quarter,"" said Chris Williamson, chief business economist at IHS Markit.
The euro zone economy is in a double-dip recession, according to last week's Reuters poll of economists, who said the risks to their already weak outlook was skewed more to the downside. [ECILT/EU]
A PMI covering the services industry fell to 44.7 from January's 45.4, well below the median expectation in a Reuters poll for 45.9.
But with vaccination programmes accelerating, driving hopes for a return to some form of normality, optimism about the year ahead improved sharply. The services business expectations index climbed to its highest since April 2018.
""Assuming vaccine roll-outs can boost service sector growth alongside a sustained strong manufacturing sector, the second half of the year should see a robust recovery take hold,"" Williamson said.
Strong demand for manufactured goods helped the factory PMI soar to 57.7 from 54.8, the highest since February 2018 and well above all forecasts in a Reuters poll that predicted 54.3. An index measuring output, which feeds into the composite PMI, jumped to 57.5 from 54.6.

The new orders index also soared and factories hired additional staff for the first time in nearly two years. The employment index rose to 50.9 from 49.4.
 
"
5,"<span>Feb 19, 2021 04:15AM ET</span>",,,,,,"BERLIN (Reuters) - A surge in demand for exports pushed activity in Germany's manufacturing sector to a 36-month high in February as lockdown measures to contain the coronavirus pandemic pushed the services sector into a deeper contraction, a survey showed on Friday.
IHS Markit's flash purchasing managers' index (PMI) of activity in the manufacturing sector shot up to 60.6 from 57.1 in January, beating a forecast for fall to 56.5. 
Reflecting differing fortunes in Europe's biggest economy, activity in the services sector slowed to a nine-month low of 45.9 from 46.7 in January. This was below both the 50 mark separating growth from contraction and a forecast reading of 46.5.
As a result, the flash composite PMI, which tracks the manufacturing and services sectors that together account for more than two-thirds of the German economy, rose to a two-month high of 51.3 from 50.8 the previous month.
Germany went into lockdown in November and restrictions were tightened in mid-December to stem the coronavirus. Most of the measures that shut all non-essential businesses have been extended until March 7 as more contagious variants of the virus led to border controls being imposed with the Czech Republic and Austria.
""Ongoing weakness in services, where large parts of the sector remain either closed or disrupted by virus containment measures, continues to be counterbalanced by strong, export-driven growth across manufacturing,"" said Phil Smith, Associate Director at IHS Markit.
He added that the survey had showed record reports of delivery delays and sharply rising input prices, pointing to increasing supply-side pressures.

""Looking further down the line, businesses are growing in confidence about the outlook for activity in the year ahead, with the vaccine roll-out hoped to bring an end to restrictions later in the year and help release pent-up demand,"" he said. 
 
"
6,"<span>Feb 18, 2021 10:31PM ET</span>",,,,,,"By Leika Kihara
TOKYO (Reuters) - Japan's core consumer prices marked the sixth straight month of annual declines in January but the pace of falls slowed, offering some relief for policymakers worried about deflationary pressures the economy face from the coronavirus pandemic.
Still, soft domestic demand means the Bank of Japan's priority will be to avert a return to deflation, unlike other countries such as the United States where inflation has recently perked up.
Core consumer prices, which includes oil products but excludes volatile fresh food costs, fell 0.6% in January from a year earlier, government data showed on Friday, compared with a median market forecast for a 0.7% drop.
The decline was smaller than a 1.0% drop in December, partly due to the termination of the government's ""Go To"" discount campaign for domestic travel and a recent rebound in fuel costs.
Durable goods prices rose on strong demand from stay-home policies to prevent the spread of the pandemic, with prices of air conditioners rising 7.2% and those for microwave ovens up 12.2%, the data showed.
The so-called ""core-core"" CPI, which strips away the impact of both energy and fresh food costs, rose 0.1% from a year earlier after three straight months of declines.
""Looking past a potential renewed drag once the Go To campaigns resume ... inflation should recover into positive territory over the coming months as energy prices rebound and underlying price pressures return in line with the economic recovery,"" said Tom Learmouth, Japan economist at Capital Economics.
Japan's economy expanded more than expected in the fourth quarter, extending the recovery from its worst postwar recession thanks to a rebound in overseas demand that boosted exports and capital spending.

But new state of emergency curbs rolled out in January cloud the outlook, underscoring the challenge policymakers face in preventing the spread of COVID-19 without choking off a fragile recovery.
 
"
7,"<span>Feb 18, 2021 08:09PM ET</span>",,,,,,"(Bloomberg) -- Australian household spending rose at a slower-than-expected pace in January as a short, sharp Covid-19 lockdown in the northeastern state of Queensland dragged on stronger performances in other parts of the country.
Preliminary retail sales advanced 0.6% from December, but came in below economists’ median estimate of a 2% gain, the Australian Bureau of Statistics said in a report released in Sydney Friday. Queensland dropped 1.5% last month, while New South Wales advanced 1%.
“There continues to be variations in retail sales between states and territories, as Covid-19 restrictions are tightened or eased,” said Ben James, an official at the ABS. “All states and territories rose in January, except Queensland, where a three-day lockdown impacted trade. NSW led the rises, as restrictions that began in December were eased during January.”
Australians are cashed up from government stimulus and fewer spending options during the Covid-19 lockdown. That’s been reinforced by the central bank slashing its key interest rate to 0.10% and initiating bond-buying programs that have helped lower borrowing costs across the economy.
Authorities’ success in suppressing Covid-19 -- outside occasional flare-ups -- has resulted in a rapid rebound in household and business sentiment, boosting activity and hiring. Unemployment has fallen from a pandemic peak of 7.5% to 6.4% in January as fiscal and monetary stimulus supported the economy through the worst of Covid-19, and is now fueling a recovery.
Australia’s household savings ratio stood at an elevated 18.9% at the end of September last year, having reached a record 22.1% in mid-2020.
Today’s data showed food retailing led the gains, as supermarkets recovered from a fall in December. There were declines in clothing, footwear and personal accessory retailing, household goods and department stores, which all saw impacts from interrupted trade in Queensland, the ABS said in a statement.
©2021 Bloomberg L.P."
8,"<span>Feb 18, 2021 01:00PM ET</span>",,,,,,"By Lucia Mutikani
WASHINGTON (Reuters) - The number of Americans filing first-time applications for unemployment benefits unexpectedly increased last week, raising the possibility of a second straight month of tepid job growth despite declining new COVID-19 infections.
The weekly unemployment claims report from the Labor Department on Thursday, the most timely data on the economy's health, could add impetus to President Joe Biden's push for a $1.9 trillion package to aid the recovery from the pandemic. 
At least 18.3 million Americans were receiving unemployment checks at the end of January. Government-funded benefits for millions of these people will expire in mid-March unless Congress approves the Biden administration's spending plan.
""Robust pandemic aid is precisely the medicine the economy needs to get Americans back where they want to be, at work,"" said Andrew Stettner, senior fellow at The Century Foundation.
Initial claims for state unemployment benefits increased 13,000 to a seasonally adjusted 861,000 for the week ended Feb. 13. Data for the prior week was revised to show 55,000 more applications received than previously reported. 
There were big jumps in filings in California and Illinois, while claims in Ohio remained elevated. 
Graphic: Jobless claims - https://graphics.reuters.com/USA-STOCKS/qmyvmwbbavr/joblessclaims.png
Economists polled by Reuters had forecast 765,000 applications in the latest week. Many were perplexed by the second straight weekly increase in claims, given the declining coronavirus cases, the disbursement of nearly $900 billion in additional rescue aid by the government in late December and the White House's pending massive stimulus package.
Timely data have shown an improvement in economic activity, with retail sales surging by the most in seven months in January. A Conference Board survey on Thursday showed only 12% of chief executive officers in the first quarter anticipated reducing their workforce over the next 12 months, down from 34% in the prior period. 
""Although the economy in the first quarter appears to be rebounding more strongly than expected, the same does not appear to be true of the labor market at this point,"" said Conrad DeQuadros, senior economic advisor at Brean Capital in New York. 
Stocks on Wall Street were trading lower. The dollar slipped against a basket of currencies. U.S. Treasury prices fell.
PLANT CLOSURES
Some of the increase in claims could be related to the temporary closure of automobile plants beginning last week due to a global semiconductor chip shortage. General Motors (NYSE:GM) announced it would take down production entirely at its Fairfax plant in Kansas City during the week of Feb. 8. 
Claims could remain higher after a winter storm walloped Texas and parts of the South this week. 
Filings for a government-funded program for the self-employed, gig workers and others who do not qualify for the regular state programs jumped 174,427 to 516,299 last week, which economists blamed on fraud in Ohio. Including this program, 1.4 million people filed claims last week.
Claims remain above their 665,000 peak during the 2007-2009 Great Recession, though they are below the record 6.867 million reported last March when the pandemic hit the United States.
Last week's claims data covered the period during which the government surveyed businesses for the nonfarm portion of February's employment report. Though claims have not provided a good signal on job growth because of the shock caused by the pandemic, the continued increase in filings is consistent with weak labor market conditions.
""The claims data are consistent with the downbeat message from labor market indicators at the start of the year,"" said Lydia Boussour, lead U.S. economist at Oxford Economics in New York. ""While downside risks remain, broader vaccine distribution and increased fiscal support should lead to a marked improvement in labor market trends by the spring and summer.""
The economy created 49,000 jobs in January after shedding 227,000 in December, the first drop in payrolls in eight months.
About 12.3 million of the 22.2 million jobs lost during the pandemic have been recovered. The Congressional Budget Office has estimated employment would not return to its pre-pandemic level before 2024. 
Labor market sluggishness is likely to prevent an anticipated acceleration in inflation this year from becoming troublesome. A second report from the Labor Department showed import prices increased by the most in nearly nine years in January, lifted by higher prices for energy products and a weak dollar.
Graphic: Inflation - https://graphics.reuters.com/USA-STOCKS/xklvyoqqkvg/inflation.png
But the economy is steadily improving, with the housing market and manufacturing the main pillars of support. 
In a third report, the Commerce Department said permits for future home construction soared 10.4% to a rate of 1.881 million units in January, the highest level since May 2006. 
The housing market has outperformed other sectors of the economy during the pandemic, supported by lower mortgages rates and demand for spacious accommodations for home offices and schooling.
""Strength in forward-looking building permits reaffirm that housing sector activity can remain strong into 2021, with new construction, in particular, becoming an engine for growth in the coming months,"" said Veronica Clark, an economist at  Citigroup  (NYSE:C) in New York. 
A fourth report from the Philadelphia Federal Reserve showed its business conditions index slipped to a still solid reading of 23.1 this month from 26.5 in January amid a decline in new orders and shipments. But factories in the region that covers eastern Pennsylvania, southern New Jersey and Delaware boosted employment and increased hours for workers. 

Graphic: Philly Fed - https://graphics.reuters.com/USA-STOCKS/qzjvqgnnevx/phillyfed.png 
 
"
9,"<span>Feb 18, 2021 01:00PM ET</span>",,,,,,"(Reuters) - U.S. business leaders expect to cut fewer jobs and a growing number plan to sharply raise employees' pay in the months ahead as confidence in the economic outlook surges amid the rollout of COVID-19 vaccines, a survey released on Thursday showed.
The Conference Board's ""Measure of CEO Confidence"" showed chief executives were the most confident they had been since 2004. 
It also indicated that 36% of CEOs planned pay increases for their employees of more than 3% in the next 12 months, up from 22% in the previous survey in September. And just 12% expect to cut jobs in the next year, down from 34% previously.
The survey, conducted between Jan. 14 and Jan. 29, also found that 45% of CEOs expect to increase capital spending, up from 25% in September, and 47% plan to expand their workforce, up from 33%.
The report may foreshadow a long-hoped-for improvement in a U.S. labor market that is still deeply scarred by the pandemic and its disruptions to businesses and everyday life.

A Labor Department report released on Thursday showed first-time filings for unemployment benefits rose unexpectedly last week and that as of the end of January, more than 18 million people without work were still receiving some kind of government jobless benefit.
 
"
