,date,news_oil,news_ship,news_sc,news_steel,news_vh,news_others
0,"<span>Feb 19, 2022 06:25AM ET</span>",,,,,,"SHANGHAI (Reuters) -China's securities regulator will put more emphasis on preventing and resolving bond default risks, and will deepen bond issuance reforms and strengthen regulation, a summary of a meeting posted on its website said on Saturday.
The China Securities Regulatory Commission (CSRC) called for giving more prominence to openness and transparency, and deepening reforms to the registration system for bond issuance, the summary of the Commission's 2022 Bond Supervision Work Conference held on Friday said.
The summary did not provide details on specific steps the Commission plans to take.
The CSRC will improve regulatory mechanisms, and better serve the development of the real economy and the implementation of national strategies, the summary said.
China's current internal and external environment is complex and severe, but the country's stable economic progress and its long-term development trend has not changed, the CSRC said.

Fitch Ratings said in late January that it expected China's corporate bond default rate to rise in 2022, pushed up by privately owned property developers.
Chinese developers have been squeezed by a sweeping regulatory crackdown that has reined in the most free-wheeling segments of the private sector economy.
 
"
1,"<span>Feb 18, 2022 11:40PM ET</span>",,,,,,"(Reuters) - Major investment banks have penciled in a strong run of interest rate hikes for 2022 after hotter-than-expected inflation data ramped up pressure on the Federal Reserve to take a firmer stand against soaring prices. 
Data last week showed U.S. consumer prices rose at their fastest pace since the early 1980s, fuelling market speculation for a hefty 50-basis-point hike from the Fed's March 15-16 meeting.
The current Fed fund effective target is 0-0.25%.
As the Fed gets set to raise pandemic-era rates, here are the estimates from major global investment banks on how far and fast rates will rise:
* JP Morgan raises its Fed call to seven 25-bp rate hikes from five previously, for a total of 175 bps of tightening this year.
*  Morgan Stanley  (NYSE:MS) now expects the Fed to deliver six 25-bp hikes this year. It had previously forecast 125 bps of tightening via four 25-bp hikes plus a 25-bp fed funds equivalent runoff of the Fed's balance sheet. 
* UBS now expects 150 bps of tightening this year via six consecutive quarter-point moves from March through November. It had previously forecast 25-bp increases in March and June, then ""a potential shift toward an every meeting hike pace"". 
* BNP Paribas (OTC:BNPQY) expects six hikes of 25 bps this year starting in March, resulting in a cumulative 150 bps of tightening. 
* Citi now expects 150 bps of tightening this year, starting with a 50-bp move in March, followed by four, quarter-point increases in May, June, September and December. 
*  Credit Suisse  (SIX:CSGN) now expects the Fed to hike a cumulative 175 bps this year, beginning with a 50-bp increase at the upcoming March meeting. 
* Societe Generale (OTC:SCGLY) now expects five rate hikes of 25 bps this year, starting in March. 
* Goldman Sachs (NYSE:GS) said it is raising its forecast to include seven consecutive 25-bp rate hikes at each of the remaining Federal Open Market Committee (FOMC) meetings in 2022 from a previous expectation of five hikes. 
* BofA Global Research expects the Fed to hike rates by 25 bps at each of this year's remaining seven meetings, unchanged from its previous outlook. However, it said there is a risk of a 50-bp hike in the March meeting.
* HSBC expects the Fed to roll out a 50-bp hike in March and four more quarter-point rate rises in 2022.

*  Deutsche Bank  (DE:DBKGn) expects the Fed to call a 50-bp hike in March plus five more 25-bp hikes in 2022, with a hike at all but the November meeting.
*  Barclays  (LON:BARC) now expects the Fed to raise rates by 25 bps five times this year, up from three hikes forecast earlier. 
 
"
2,"<span>Feb 18, 2022 08:36PM ET</span>","By Gayatri Suroyo and David Lawder
JAKARTA/WASHINGTON (Reuters) -Russia and China watered down a G20 finance leaders' statement on geopolitical risks to the global economy as a contentious meeting ended on Friday, deleting a reference to ""current"" tensions as financial markets fretted over the prospect of war in Ukraine.
The gathering of finance ministers and central bank governors from the Group of 20 major economies was one of the most fractious since the start of the COVID-19 pandemic in 2020, according to people familiar with the discussions.
Canadian Finance Minister Chrystia Freeland strayed from the G20 economic script to issue an impassioned plea to her Russian counterparts to not invade Ukraine, warning that such action would hurt the global economy and bring ""crushing"" sanctions against Russia, according to two sources familiar with her remarks.
Other sources familiar with the meeting said China and Russia had objected to the reference to ""current tensions"" in an earlier draft communique, as well as disagreements on debt restructuring for poor countries and carbon pricing.
The group's final communique simply said: ""We will also continue to monitor major global risks, including from geopolitical tensions that are arising, and macroeconomic and financial vulnerabilities.""
As the meeting concluded, U.S. and European stocks fell on worries that a Russian invasion of Ukraine was imminent after Russian-backed separatists announced a surprise evacuation of their breakaway regions in eastern Ukraine.
DEBT RELIEF STANDSTILL
The G20 talks, held virtually and in the Indonesian capital, Jakarta, were also marked by disagreements over the group's stalled debt restructuring framework.
The final communique failed to endorse International Monetary Fund and World Bank proposals for an immediate debt service suspension for poor countries that seek restructurings and an expansion to include some middle-income countries.
Instead, finance officials reiterated their ""commitment to step up our efforts"" to implement the framework in a ""timely, orderly and coordinated manner"" without any specifics.
Earlier, a source at the talks said China, by far the world's largest bilateral creditor, had baulked at the idea of accepting outright haircuts on debt.
World Bank President David Malpass said at the Munich Security Conference after the finance meeting that he was concerned the G20 ""is not identifying the steps forward"" to deal with a massive and growing debt overhang in developing countries.
""The G20 discussions on debt were really disappointing,"" said Eric LeCompte, executive director of the Jubilee USA Network, a faith-based organization campaigning for debt relief for poor countries. He said China was resisting steps to strengthen the bankruptcy-like G20 debt framework ""so that they can cut deals on the side"" with debtor countries.
CREDIBILITY QUESTIONS 
Indonesia's finance minister, Sri Mulyani Indrawati, said other sticking points involved the reticence of some countries to endorse carbon-pricing as a tool to tackle climate change and how to help low-income countries such as Chad, Zambia and Ethiopia struggling with debt burdens made yet more unsustainable during the coronavirus pandemic.
""This also concerns the reputation and credibility of the G20 as a group of countries with the biggest economies to help countries that are in an uneasy situation,"" she said.
On other subjects, the final draft of the G20 text pledged to use ""all available policy tools to address the impacts of the pandemic,"" while warning that future policy space was likely to be ""narrower and uneven.""
""Central banks will act where necessary to ensure price stability in line with their respective mandates, while remaining committed to clear communication of their policy stances.""
The diverging pace of recovery from the pandemic is complicating the policy path for central banks. Expected steady interest rate hikes by the U.S. Federal Reserve have drawn attention to the potential fallout for emerging markets.

While cases of the Omicron variant of COVID-19 are receding in many wealthy countries, they are still rising in many developing nations including host country Indonesia.
The G20 text also pledged to ensure that a landmark deal last year setting a global minimum level of corporate tax could be put into force in 2023. [nL1N2UT0JV]
 
",,,,,
3,"<span>Feb 18, 2022 08:00PM ET</span>","By David Lawder and Andrea Shalal
WASHINGTON (Reuters) - Canadian Finance Minister Chrystia Freeland stepped well beyond economic policy at a G20 finance meeting on Friday to issue an ""impassioned"" warning to her Russian counterparts not to invade neighboring Ukraine, two sources familiar with her remarks said.
During a contentious G20 meeting hosted by Indonesia, Freeland directly addressed Russian Finance Minister Anton Siluanov and central bank governor Elvira Nabiullina and warned them that Russia would face ""crushing"" sanctions in the event of an invasion.
""If Ukraine is invaded, all of our economies and citizens will suffer,"" Freeland told them, according to one of the sources. ""The economic sanctions on Russia will be swift, they will be coordinated, they will be crushing. Like-minded countries agree on this course of action. And we are united and resolute.""
Freeland's press secretary, Adrienne Vaupshas, did not respond to a Reuters request for comment on her speech. Freeland participated in the meeting on a web link from Ottawa.
The source said that Freeland, previously Canada's foreign minister, took an opportunity to speak directly to influential Russian policy makers at a critical moment as tensions intensified on the Ukraine-Russian border, where Russia has amassed more than 100,000 troops.
""Do not hurt yourselves in doing this,"" Freeland said, according to the sources. ""Let's not endanger the collective here, including economically. 
A second source said that the Russian officials responded to Freeland's ""impassioned"" speech by saying that reports on the threat of an invasion were ""fake news.""
G20 finance officials on Friday argued over communique language describing geopolitical risks to the global economy, deleting a reference to ""current"" tensions in a final statement after objections by Russia and China.

The disagreements over this issue and treatment of debts for poor countries delayed the communique for hours as markets fretted over the prospect of war in Ukraine.
Freeland, a fluent Russian speaker who once served as the Financial Times' Moscow bureau chief and whose grandfather was born in Ukraine, delivered one line in Russian, according to the first source, but said in English: ""You may think that for a number of us like-minded democracies here, you may think that democracies are weak. But do not doubt us and do not doubt our resolve."" 
 
",,,,,
4,"<span>Feb 18, 2022 07:06PM ET</span>",,,,,,"By Jonnelle Marte and Howard Schneider
(Reuters) -Federal Reserve officials on Friday squelched what had been rising market expectations for an aggressive initial response to 40-year-high U.S. inflation, signaling that steady interest rate hikes should be enough to do the trick.
""I don’t see any compelling argument to taking a big step at the beginning,"" New York Federal Reserve Bank President John Williams, the No. 2 official on the central bank's policy-setting panel, told reporters after a speech.
""I think we can steadily move up interest rates and reassess,"" he said at the online event. 
Fed Governor Lael Brainard - President Joe Biden's nominee to be vice chair at the Fed - said officials will likely kick off a ""series of rate increases"" at their upcoming meeting in March, followed by decreases in the size of the Fed's balance sheet ""in coming meetings.""
Brainard, speaking at a conference in New York, did not give a specific recommendation for the coming meeting, but said recent changes in financial markets, including a rise in mortgage rates, were ""consistent with"" where the Fed is heading.
""The market is clearly aligned with that and brought forward the changes in financing conditions in a way that's consistent with our communications and data,"" Brainard said.
Investors in federal funds futures contracts last week began leaning towards the idea the Fed would raise rates a half a percentage point in March. Those expectations have now drifted back, with a quarter point hike now anticipated and six increases in total over the year.
In remarks at the conference in New York, Chicago Fed President Charles Evans downplayed the thought the Fed needed to get more aggressive, even though he agreed policy was ""wrong-footed"" with annual consumer price increases topping 7%.
He said he remained convinced inflation would ease on its own.
""I see our current policy situation as likely requiring less ultimate financial restrictiveness compared with past episodes and posing a smaller risk,"" Evans said at a separate New York event. ""We don’t know what is on the other side of the current inflation spike... We may once again be looking at a situation where there is nothing to fear from running the economy hot.""
The remarks came at the end of a tumultuous week in which traders piled into, and then backed away from, bets that the Fed would begin a round of rate hikes next month with a bigger-than-usual half-point increase. 
St. Louis Fed President James Bullard had fanned those expectations with a call for raising rates by a full percentage point by the Fed's June meeting, a rate path that would require at least one half-point hike between now and then. 
Policymakers at the central bank have all but said they will start raising borrowing costs next month to quell inflation that has raced past their 2% target, and economists expect the Fed to kick off the longest series of rate hikes in decades.
Fed Chair Jerome Powell has been publicly silent since January, so Williams' and Brainard's comments provide the best steer yet on the prevailing view at the Fed's policy-setting core.
Powell, however, will have a chance to shape expectations on March 2 and 3 when he gives his semiannual monetary policy update to Congress in hearings announced on Friday by the House Financial Services Committee and Senate Banking Committee.
STEADILY, PREDICTABLY
The Fed should begin raising rates next month and, once rate hikes are underway, begin to ""steadily and predictably"" trim its $9 trillion balance sheet, Williams said. Both actions, he said, will bring demand into better balance with supply. 
At the same time, he said, other forces should also be bringing down inflation, with supply chains healing and consumers returning to pre-pandemic spending patterns. 

Williams said policymakers can speed up or slow down the pace of rate increases later as needed. A path in which the overnight federal funds rate moves to a range of 2% to 2.5% by the end of next year makes sense, he said. 
Williams said he expects real U.S. GDP to grow by slightly less than 3% this year and for the unemployment rate to drop to about 3.5% by the end of the year. He projects inflation as measured by the personal consumption expenditures price index to decline to about 3% and for it to fall further next year as supply challenges improve.
 
"
5,"<span>Feb 18, 2022 07:00PM ET</span>",,,,,,"(Reuters) - Federal Reserve chief Jerome Powell will testify before Congress on March 2 and 3 in what are likely to be his final public remarks on monetary policy before the U.S. central bank begins raising interest rates to fight decades-high inflation.
Powell will deliver his regular semiannual monetary policy update to the U.S. House Financial Services Committee on March 2 and appear before the Senate Banking Committee on March 3.
Both hearings will begin at 10 a.m., the committees said on Friday. 
Fed officials have all but promised to exit their pandemic-era zero-rate policy at their next meeting on March 15-16 to bring down inflation that has shot by the central bank's 2% target. But it has not been clear how aggressively they will respond.
Last week, St. Louis Fed President James Bullard called for a full percentage point worth of rate hikes over the next three meetings, a steeper path than the Fed has followed in decades.

This week other officials have sought to signal a gentler approach, with the influential head of the New York Fed, John Williams, on Friday saying he sees little need for the central bank to go big at the start of its rate-hike cycle.
Powell, who has not spoken publicly since January, may use his testimony to lay out what he feels is the consensus of the Fed's 16 monetary policymakers, who will be weighing the risks of an upward inflation spiral against the possibility that tightening policy too hard or fast could choke off economic growth or disrupt financial markets. 
 
"
6,"<span>Feb 18, 2022 05:01PM ET</span>",,,,,,"By Andrea Shalal, Jonathan Landay and Arshad Mohammed
WASHINGTON (Reuters) -The World Bank's management has approved a plan to use some $1 billion in a frozen Afghanistan trust fund for education, agriculture, health and family programs, according to a bank paper and two sources, in what would be a major boost to efforts to ease the country's worsening humanitarian and economic crises. 
The plan, outlined in the paper seen by Reuters on Friday, is to bypass sanctioned Taliban authorities by disbursing the money in the World Bank-administered Afghanistan Reconstruction Trust Fund (ARTF) through U.N. agencies. 
It is set to be discussed by the World Bank board on March 1, the sources familiar with the plan told Reuters, speaking on condition of anonymity. Donors to the fund would then need to give approval for the release of any money. 
The move would follow a successful disbursement of $280 million from the same trust fund to the World Food Program (WFP) and U.N. children's agency UNICEF to support nutrition and health in Afghanistan over the past few months. 
The World Bank paper says the plan is to ""make available just over US$1 billion in ARTF resources in calendar year 2022."" Recognizing that the situation remains fluid, the plan aims for flexibility by making four disbursals of a total $600 million and the remainder ""on a priority basis"" for the rest of the year.
The aim ""is to protect the vulnerable, help preserve human capital and key economic and social institutions and reduce the need for future humanitarian assistance,"" according to the World Bank paper. It called for the fund to be used for food security, health and education programs.
U.N. Secretary-General Antonio Guterres last month called for the release of the remaining $1.2 billion in the fund to help Afghanistan's people survive the winter, stressing: ""Time is of the essence.""
'ACCESS AND EQUITY'
The United Nations is warning that nearly 23 million people – about 55 percent of the impoverished country's population – are facing extreme levels of hunger, with nearly 9 million at risk of starvation.
Billions of dollars in Afghan central bank reserves, the World Bank-administered trust fund and foreign financial aid were frozen to keep it out of Taliban hands. The Islamist group seized power in August as foreign troops left after Afghanistan's most recent war, which lasted 20 years. 
Graeme Smith, senior consultant for the International Crisis Group think tank, said the World Bank plan would provide urgently needed money while circumventing the Taliban, whose leaders are under U.S. and U.N. sanctions.
""This helps to unstick a big chunk of money. It will get us rolling forward,"" he said, adding that further efforts were needed to unfreeze the central bank assets.
The World Bank's plan sets ""minimum conditions for access and equity"" aimed at ensuring girls are allowed in schools, female teachers can work, women are included in community councils, women-headed households receive food aid and female health workers are allowed to work.

It calls for some $150 million to be distributed through UNICEF for stipends to over 200,000 teachers who have not been paid for more than six months. Another $100 million would be earmarked to improve community resilience, $150 million to $200 million for food security, and $150 million for health programs.
The United States last week announced plans to free up half of the $7 billion in frozen Afghan central bank assets at the Federal Reserve Bank of New York to help the Afghan people. The rest was held to potentially satisfy terrorism-related lawsuits against the Taliban.
 
"
7,"<span>Feb 18, 2022 04:12PM ET</span>","WASHINGTON (Reuters) -A move banning Russia from the SWIFT financial system is unlikely to be included in an initial sanctions package against Russia if it invades Ukraine, a White House official said on Friday, noting that allies are converging on a final suite of measures. 
Speaking at a White House press briefing, deputy national security adviser Daleep Singh also argued that Russia would be unable to replace technology imports from other countries, including China, if the United States imposes tough export controls it has also threatened against the country.
""We are converging on the final package,"" he said. ""All options remain on the table but its probably not going to be the case that you'll see SWIFT in the initial rollout package,"" he added. His comments confirmed a Feb. 11 report by Reuters. 
Tensions are running high on the Ukrainian-Russia border after Russian-backed separatists announced an evacuation on Friday from breakaway regions in east Ukraine in a conflict the West believes Moscow plans to use as justification for an invasion of its neighbour. Russia denies it plans to attack. 

The United States has repeatedly threatened tough sanctions against Russia if President Vladimir Putin invades Ukraine, but questions remain about the scope and ordering of potential measures that have been floated by the Biden administration. 
The sanctions on the table also include export controls on components produced by Russia for the tech and weapons sectors, and sanctions against specific Russian oligarchs.
 
",,,,,
8,"<span>Feb 18, 2022 03:54PM ET</span>",,,,,,"(Bloomberg) -- Federal Reserve Governor Lael Brainard said the U.S. central bank is ready to raise interest rates next month and begin shrinking its balance sheet in coming meetings.
“Given we have seen quite strong data, I do anticipate it will be appropriate at our next meeting to initiate a series of rate increases,” Brainard said Friday during a panel discussion at a conference in New York hosted by the University of Chicago Booth School of Business. 
“We have a recovery today that is much stronger and faster than in the last cycle. So I do believe it will be appropriate to commence that runoff in the next few meetings.”
©2022 Bloomberg L.P.
"
9,"<span>Feb 18, 2022 03:31PM ET</span>",,,,,,"By Gertrude Chavez-Dreyfuss
NEW YORK (Reuters) -Eurodollar futures, which reflect the outlook for U.S. interest rates over the next few years, have started to price in an incremental easing of monetary policy by the Federal Reserve in 2024. If that plays out, it would be just two years after what is expected to be the start of a Fed tightening next month. 
The U.S. central bank is widely anticipated to raise its policy rate at its upcoming meeting in March by a quarter of a percentage point from about zero currently. The money markets' odds on a 50 basis point-hike the last few sessions have dwindled from as high as 80% to 37% on Friday.
Market pricing for the December 2023 eurodollar contract showed an implied yield of 2.235%, which traders said can be a proxy for the federal funds rate, the rate banks charge each other for overnight loans to meet reserves required by the U.S. central bank. 
That is looking likely to be the peak of the Fed rate-hike cycle, or the so-called ""terminal rate,"" analysts said, with implied yields declining to 2.18% in the March 2024 contract, 2.125% in June, 2.095% for September, and 2.085% for December.
Fed officials estimate the long-term neutral rate, which is neither constricting nor stimulating economic growth, is 2.5%.
""If you look at the (yield) curve out around '23-'24 it starts to flatten out and invert, which would argue for pricing in rate cuts,"" said Jim Caron, portfolio manager and head of global macro strategies for the global fixed income team at  Morgan Stanley  (NYSE:MS) Investment Management.
""The long end of the curve is basically telling you the same thing. It's telling you the more they hike now, and the more they slow down growth now, the more they are going to steal it from the future, and therefore long-term growth prospects aren't very high either."" 
The roughly 220 basis points of anticipated interest rate increases over the next two years suggest a faster pace of Fed tightening that may include one or two half percentage point hikes in that period, analysts said.
Dan Belton, fixed income strategist, at BMO Capital in Chicago, pointed out that at the beginning of the month, ""futures markets priced a much later peak of the Fed's hiking cycle, closer to 2028 or 2029."" 
He added that the market had also been looking for a ""much shallower path of Fed hikes too, with the peak rate being closer to 1.82%"" than it is now.
EURODOLLAR CURVE INVERSION
With the implied yield on the eurodollar futures' 2024 contracts lower than those in 2023, the curve has inverted, typically an ominous sign.
Normally, yield curves slope upward with nearer maturities yielding less than dates further out in time. Longer-term debt typically carries greater risk because of the higher probability of inflation or default, demanding a greater return. 
For instance, the spread between the December 2023 contract and the June 2025 contract , collapsed to around -14 basis points on Friday. A year ago, that curve was steeper and the spread was at 74 basis points.
""It's as if traders in the eurodollar futures market think the Fed is going to overdo it next year and then have to reverse course and push rates back down,"" said Brian Reynolds, chief market strategist at Reynolds Strategy, and former money market portfolio manager for an investment firm.
The eurodollar curve has inverted a few times in the past.

In June 2018, the inversion suggested the Fed would have to cut interest rates at a time when it was in a tightening mode. Indeed, after hiking rates in December 2018, policymakers reversed course the following July with a rate cut.
In 2020, the central bank cut the benchmark overnight lending rate to near zero as the coronavirus pandemic caused economic devastation around the world.
 
"
