,date,news_oil,news_ship,news_sc,news_steel,news_vh,news_others
0,2022-04-17T01:19:54+0000,"China's latest wave of Covid restrictions has forced millions of people — roughly three times as many as live in New York City — to stay home and undergo mass virus testing in the metropolis of Shanghai.As Covid cases began to spike in late February, Shanghai tried to control the outbreak with targeted, neighborhood lockdowns. But the city, a center for global transport, manufacturing, finance and trade, decided in late March to implement a two-stage lockdown that soon applied to all districts, generally forcing people not to leave their apartments.Most people outside China know that Shanghai is big, but few realize just how big economically. The following numbers indicate the scale of Shanghai as an economic center — and may hint at the cost of the lockdown.
Shanghai's official permanent resident population in 2020 was 24.9 million.That's slightly less than Australia's population of 25.7 million, per the World Bank.But it's only 1.8% of China's 1.41 billion people.In terms of U.S. states, Shanghai is between the size of Florida (pop. 21.8 million) and Texas (pop. 29.5 million).In terms of U.S. cities, Shanghai is three times the size of New York City (pop. 8.3 million) — the largest city in the United States.That means the 280,120 Covid contacts Shanghai has reported as of Thursday for the latest outbreak represent only 1.1% of the city's population.
Shanghai's GDP grew by 8.1% in 2021 to 4.32 trillion yuan ($680.31 billion).That GDP is slightly more than Sweden's ($660.92 billion) and less than Poland ($720.35 billion), according to the IMF.But Shanghai's GDP was only 3.8% of China's national GDP of 114.37 trillion yuan in 2021, according to official figures.
Shanghai sits at the mouth of the Yangtze River, one of the two main rivers in China.According to Bernstein:Shanghai is home to the world's busiest port, followed by Singapore.Shanghai's Pudong airport is the world's third-busiest cargo airport, behind Memphis, Tennessee, and Hong Kong.In all, Shanghai accounted for 7.3% of China's exports and 14.4% of imports in 2021, according to Citi.
According to Citi, Shanghai is China's:Most important semiconductor manufacturing center, home to SMIC, Hua Hong and Universal Scientific Industrial.Home to many auto producers: SAIC Motor, SAIC's joint companies with Volkswagen and GM, Nio, Tesla and Ford.Headquarters or a major center for multinational corporations' China operations: Apple, L'Oreal, Samsung Electronics, P&G, L'Oreal, LVMH, Nike, Panasonic, Philips, Johnson & Johnson and General Electric, among others.Base for ship producers: Jiangnan , Zhonghua and Waigaoqiao shipbuilding.
The Shanghai Stock Exchange is the world's third-largest by market capitalization, behind the New York Stock Exchange and the Nasdaq as of the end of 2020, according to World Federation of Exchanges data cited by the exchange.U.S. mutual fund giant Vanguard announced in 2020 a plan to move its Asia headquarters to Shanghai from Hong Kong.Fidelity's China finance business is based in Shanghai, as is American billionaire Ray Dalio's Bridgewater China operations.
In Shanghai, official figures for 2021 show:Average disposable income of 78,027 yuan ($12,288) — more than double the nationwide average of 35,128 yuan ($5,531).Average consumer spending of 48,879 yuan — also double the national average of 24,100 yuan.U.S. wholesale chain Costco chose Shanghai for its first mainland China store in 2019.And as of last year, Shanghai was home to the most coffee shops in the country, with nearly 3 shops per 10,000 people, versus a ratio of about 2 for Guangzhou, Shenzhen and Beijing, according to Meituan.
Read more about China from CNBC ProLong-term investor explains why he likes Amazon but is 'not crazy' about AlibabaRaising a kid is getting expensive in China — buy these global stocks to cash in, Jefferies saysCharlie Munger-linked Daily Journal cuts Alibaba stake in half
Shanghai is home to three of the top 20 universities in China, according to U.S. News and World Report.The number of foreigners living in Shanghai fell to 163,954 people in 2020, down by 21% versus a decade earlier, according to official censuses. The southern province of Guangdong is now home to the most foreigners in China, at more than 400,000.The overall number of foreigners in the country rose during those 10 years by about 40% to 1.4 million people — or about 0.1% of China's population.",,,,,
1,"<span>16 hours ago (Apr 16, 2022 07:25AM ET)</span>",,,,,,"By Gopal Sharma
KATHMANDU (Reuters) - Nepal is asking citizens living abroad to deposit funds in domestic banks as part of efforts to ensure the financial system has enough liquidity and to preserve foreign exchange reserves, finance finister Janardan Sharma said on Saturday. 
Speaking to Reuters, he denied Nepal was facing an economic crisis despite the impact of soaring commodity prices as the tourist industry, a key source of revenues, struggles to recover after the COVID-19 pandemic.
Nepal, wedged between China and India, this month imposed curbs on luxury goods imports to rein in capital outflows. Foreign exchange reserves fell over 18% to $9.6 billion as of mid-March from mid-July - enough for around six months imports.
By depositing their savings in Nepal, overseas Nepalis would continue to ""maintain their link as well as benefit from 6 to 7% interest"" offered by Nepali banks, Sharma said.
Sharma said the economy did not face a crisis and Nepal's situation could not be compared with Sri Lanka. That South Asian country is facing its worst economic crisis in decades and anti-government protests.
In Nepal, remittances by overseas workers, which constitute nearly a quarter of the economy and are crucial for external payments, fell 3.0% to $5.3 billion between mid-July to mid-March, compared with a 5% increase in the same period a year earlier.
Earnings from tourism, which fell sharply after the start of the pandemic in 2020, are slowly picking up, but remain well below pre-COVID levels.
Sharma said if 100,000 Nepali nationals living abroad deposited $10,000 each in Nepali banks it could go a long way to help Nepal overcome the current liquidity constrains.

Nepal has also decided to accept $659 million in aid from the United States and about $150 million in soft loan from the World Bank, Sharma said.
""The money to be received from the United States over five years is a (non-refundable) grant,"" he said. 
 
"
2,"<span>Apr 15, 2022 03:35PM ET</span>","(Reuters) - Russia has warned the United States that there will be ""unpredictable consequences"" if Washington keeps arming Ukraine, The Washington Post reported on Friday.

In Moscow, a foreign ministry spokeswoman confirmed Russia had sent diplomatic notes to the United States and other nations about supplying weapons to Ukraine but did not say what the messages contained, Interfax news agency reported. 
""We call on the United States and its allies to stop the irresponsible militarization of Ukraine, which implies unpredictable consequences for regional and international security,"" the Post quoted Russia saying in a note to the United States. 
 
",,,,,
3,"<span>Apr 14, 2022 04:12PM ET</span>",,,,,,"By Hannah Lang
(Reuters) - The euro plunged to a two-year low against the U.S. dollar on Thursday as comments from European Central Bank President Christine Lagarde were viewed as a sign that the ECB was in no rush to raise interest rates, in contrast with an aggressive monetary policy tightening effort by the U.S. Federal Reserve.
The European single currency fell to $1.0758, the lowest level since April 2020. It was last down 0.53% at $1.0827.
Lagarde said there was no clear timeframe for when rates would start to rise, adding that it could be weeks or even several months after the end of the ECB's stimulus scheme.
""We'll deal with interest rates when we get there,"" she added.
The ECB on Thursday concluded its latest meeting with cautious steps to unwind support and avoided a hard schedule. It confirmed plans to cut bond purchases, commonly known as quantitative easing, this quarter, then end them at some point in the third quarter.
Against sterling, the euro slid to a one-month low and was last down 0.28% at 82.79 pence.
Lagarde's comments were in stark contrast to those of Fed Chair Jerome Powell, said Joseph Trevisani, senior analyst at FXStreet.com.
“They could have taken a book from what Jerome Powell has done, and that is to be aggressive rhetorically. Ms. Lagarde did not seem disposed to do that. She was more concerned apparently, and maybe understandably, about the Ukraine war and its impact on Europe,"" he said.
In addition to pushing up gasoline prices, the Russia-Ukraine war, now in its second month, has led to a global surge in food prices as Russia and Ukraine are major exporters of commodities including wheat and sunflower oil.
""Frankly, given how uncertain conditions are at the moment, Lagarde's caution can be justified, but it is fair to say that markets were expecting a bit more sprinkle after the eventful March meeting,"" said Ima Sammani, FX market analyst at Monex Europe. 
In late afternoon trading, the dollar index, which measures the greenback against six peers, rose 0.544% to 100.33 after earlier hitting 100.76, the highest level since April 2020.
The dollar extended gains after data showed U.S. retail sales increased in March, mostly boosted by higher gasoline and food prices.
The battered yen saw some respite, making a small recovery from a 20-year low hit against the dollar. In afternoon trading, it weakened 0.25% versus the greenback at 125.94 per dollar. 
More than three-quarters of Japanese firms say the yen has declined to the point of being detrimental to their business, a Reuters poll found. 
Other central banks tightened monetary policy, reinforcing expectations of higher interest rates globally.
The Bank of Korea surprised markets with a rate hike, while the Monetary Authority of Singapore also tightened policy, sending the Singapore dollar to its highest level since February. 
On Wednesday, the Bank of Canada and the Reserve Bank of New Zealand both raised rates by 50 basis points, the largest hike for each in around 20 years. [CAD/]
Bitcoin last fell 3.53% to $39,784.82.
========================================================
Currency bid prices at 3:44PM (1944 GMT)
Description RIC Last U.S. Close Pct Change YTD Pct High Bid Low Bid 
Previous Change 
Session 
Dollar index 100.3200 99.7870 +0.54% 4.868% +100.7600 +99.5670 
Euro/Dollar $1.0827 $1.0893 -0.62% -4.78% +$1.0924 +$1.0758 
Dollar/Yen 125.9500 125.6600 +0.25% +9.43% +126.0100 +125.0950 
Euro/Yen 136.35 136.83 -0.35% +4.63% +136.9300 +135.5300 
Dollar/Swiss 0.9426 0.9347 +0.86% +3.34% +0.9433 +0.9324 
Sterling/Dollar $1.3076 $1.3117 -0.29% -3.29% +$1.3147 +$1.3034 
Dollar/Canadian 1.2616 1.2564 +0.42% -0.21% +1.2641 +1.2522 
Aussie/Dollar $0.7417 $0.7453 -0.47% +2.05% +$0.7468 +$0.7397 
Euro/Swiss 1.0205 1.0180 +0.25% -1.58% +1.0213 +1.0140 
Euro/Sterling 0.8278 0.8302 -0.29% -1.45% +0.8314 +0.8251 
NZ $0.6789 $0.6798 -0.09% -0.77% +$0.6834 +$0.6768 
Dollar/Dollar 
Dollar/Norway 8.7750 8.7565 +0.74% +0.14% +8.8330 +8.7380 
Euro/Norway 9.5032 9.5206 -0.18% -5.09% +9.5624 +9.4912 

Dollar/Sweden 9.5185 9.4714 -0.12% +5.55% +9.5755 +9.4191 
Euro/Sweden 10.3045 10.3173 -0.12% +0.69% +10.3266 +10.2789 
 
"
4,"<span>Apr 14, 2022 02:06PM ET</span>","(Reuters) -The Russian rouble weakened on Thursday, driven by expectations that Russia may relax its temporary capital control measures further, while stocks fell sharply as the country continued what it calls ""a special military operation"" in Ukraine.
The Russian central bank is considering easing requirements for mandatory foreign currency revenue sales by export-focused companies, business daily Vedomosti reported, citing a central bank official.
Currently, Russian exporters are obliged to sell 80% of their forex revenues in the first three days after receiving it under a rule established by President Vladimir Putin in late-February to limit the rouble's volatility amid western sanctions. 
The rouble ended trading on Moscow Exchange 1.3% lower at 80.90, heading away from its strongest level since Nov. 11 of 71 it hit last week.
Against the euro, the rouble shed 0.7% to 87.00 after briefly sliding beyond the 90 mark in jittery trade.
The rouble eased this week after the central bank scrapped a 12% commission for buying foreign currency through brokerages and promised to lift a temporary ban on selling foreign exchange cash to individuals from April 18.
But the rouble retains support from export-focused companies that are still obliged to sell their forex revenues on the domestic market.
Russian companies are expected to increase offer of forex this month due to large tax payments, which opens the door for gains in the rouble to 75 to the greenback by end-April, Sberbank CIB said in a note.
On the bond market, yields on 10-year OFZ bonds, which move inversely to their prices, declined to 10.49% on Thursday from an all-time high of 19.74 hit on March 21 when trading resumed.
Yields are now driven by expectations that the central bank will continue cutting rates this year after raising the key interest rate to 20% in an emergency move in late February, which was followed by a cut to 17% last week.
The central bank said it has not bought OFZs since March 23, adding that pricing on the OFZ market ""has a purely market nature.""
Russian actions in Ukraine remained in focus, along with a risk of new Western sanctions and expectations that the economy is heading for its sharpest contraction since 1994.
Inflation has already accelerated to its highest since February 2002, reaching 17.5% in annual terms as of April 8.

Russian stock indexes were down.
The dollar-denominated RTS index fell 5.6% to 941.05 points. The rouble-based MOEX Russian index ended the day 4.9% lower at 2,404.7 points.
 
",,,,,
5,"<span>Apr 14, 2022 12:00PM ET</span>",,,,,,"(Refiles to correct dates in advisory: (There will be no GVD/EUR euro zone government bond market report on Friday, April 15 and Monday, April 18. Reuters will resume publication of the report on Tuesday, April 19.))
By Yoruk Bahceli and Dhara Ranasinghe
LONDON (Reuters) -Short-dated euro zone bond yields and the single currency fell on Thursday as traders pared back rate hike bets after the European Central Bank refrained from switching to a more hawkish stance. 
Bond yields have marched higher in recent weeks as investors bet the ECB will raise rates sooner rather than later to curb euro zone inflation which, at 7.5%, is well above the bank's 2% target.
But the ECB concluded its latest meeting with cautious steps to unwind support and avoiding any firm pledge beyond the end of bond buys it had already laid out in March.
The lack of commitment pushed traders to trim rate hike bets. Money market futures moved to price in just over 60 bps worth of ECB hikes by December, versus the earlier 70 bps.
Futures dated to the ECB's July meeting price in around 15 bps worth of hikes, down from 20 bps earlier on Thursday. 
""Today's statement makes more than two hikes in 2022 almost impossible, whereas part of the market expected something like end of the (asset purchase programme) in June announced today and consequently possibly three hikes,"" said Louis Harreau, ECB watcher at Credit Agricole (OTC:CRARY). 
""So the communique kind of removes this extreme pricing.""
That pushed short-dated government bond yields, which are closely aligned with interest rate expectations, sharply lower.
Two-year German bond yields fell as much as 7 bps and briefly turned negative. By 1525 GMT they were down a basis point to 0.06%, versus 0.09% just before the ECB statement.
The reduction of rate hike bets also hurt the euro, which tumbled to a two-year low at $1.07580 and hit its lowest level versus sterling since March 7, at 82.75 pence.
Sources told Reuters following the meeting that the ECB could still hike rates in July but had chosen to keep options open given Ukraine-driven uncertainty.
Longer-dated government bond yields initially dropped less than shorter-dated ones, then rose along with U.S. Treasury yields, which surged after the U.S. session open. 
German 10-year yields, the benchmark for the euro area, were last 6 bps higher at 0.83%. 
That steepened Germany's yield curve as measured by the gap between 2- and 10-year yields to around 80 bps, the steepest since January 2019. 
The yield curve ""reflects that ECB is in no rush to tighten monetary policy despite inflation (being) elevated"", said Piet Christiansen, chief analyst at Danske Bank. 
Yield curves flattening in other markets like the United States have been seen as an indication that central banks might choke off growth in their bid to stamp out inflation. 
Germany's 30-year yield rose above 1% for the first time since late 2018. 
Italian 10-year yields after their earlier fall were up 11 bps to 2.49%. 

That underperformance pushed the risk premium over German debt briefly to around 169 bps, the highest in nearly a week.
In equities, Europe's broad STOXX 600 index extended gains and was last up 0.7%, also helped by a positive Wall Street open. A sub-index of euro zone banking stocks was almost 0.9% higher. 
 
"
6,"<span>Apr 14, 2022 08:30AM ET</span>",,,,,,"By Geoffrey Smith 
Investing.com -- The euro fell around half a cent against the dollar and Eurozone bond yields fell after the European Central Bank chose not to signal any meaningful change in its policy stance after its regular council meeting on Thursday. 
By 8:25 AM ET (1225 GMT), the EUR/USD was at $1.0885, flat on the day, having fallen from $1.0915 immediately before the bank announced its policy decisions to as low as $1.0865. As expected, it kept all its official rates unchanged. Eurozone 10-year bond yields were mostly down by 1 or 2 basis points.
The meeting was the last scheduled chance for eight weeks for the ECB to respond to an increasingly alarming overshoot in inflation, which hit 7.5% in March. That's the highest since the single European currency was created in 1999, while for many individual member states of the Eurozone, inflation is now running at its highest in 30 years or more.
The ECB said that the economic data released since its last meeting had confirmed its intention to end net bond purchases in the third quarter. However, with an eye on the huge uncertainty for the Eurozone economy created by the war in Ukraine, the bank said that its future policy ""will depend on the incoming data and the Governing Council’s evolving assessment of the outlook.
""In the current conditions of high uncertainty, the Governing Council will maintain optionality, gradualism and flexibility in the conduct of monetary policy. the Governing Council will take whatever action is needed to fulfill the ECB’s mandate to pursue price stability and to contribute to safeguarding financial stability.""
The ECB defines price stability as an inflation rate of 2% over the medium term. "
7,"<span>Apr 14, 2022 03:01AM ET</span>",,,,,,"By Peter Nurse
Investing.com - The U.S. dollar weakened in early European trade Thursday, retreating from a two-year high as the rally in U.S. bond yields paused for breath, ahead of a highly-anticipated European Central Bank meeting.
At 3 AM ET (0700 GMT), the Dollar Index, which tracks the greenback against a basket of six other currencies, traded 0.3% lower at 99.595, falling back from Wednesday's intraday peak of 100.52, its highest since May 2020.
The benchmark 10-year Treasury yield traded at 2.684% early Thursday, retreating from Tuesday’s high of 2.836% as weaker than expected U.S. core consumer inflation reined in some expectations of more aggressive Federal Reserve tightening to combat inflation later in the year.
USD/JPY fell 0.3% to 125.28, with the unloved yen receiving some respite from the falling yields, making a small recovery from a 20-year low hit overnight.
Still, most attention Thursday will be on the European Central Bank meeting later in the day, to see whether the policymakers feel the need to combat record inflation levels even in the face of a potential war-induced recession.
As it stands the ECB plans to end its emergency bond buying at some point in the third quarter, with interest rates going up ""some time"" after that.
“The central bank is widely expected to deliver a more hawkish message as the Eurozone now faces record-high inflation. A hawkish shift to the ECB policy outlook could be expressed in adjusting the monthly purchases to conclude the program by June to start hiking rates in the second half,” said independent financial expert Kevin Beckman. 
“In this scenario, EUR/USD could find some demand around long-term lows and witness a solid bounce, especially as the USD looks overbought.”
EUR/USD traded 0.3% higher at 1.0918, extending gains made in the previous session.
GBP/USD rose 0.2% to 1.3142, continuing to gain after climbing 0.9% on Wednesday, the biggest daily percentage gain since June 2021, after British consumer price inflation leapt to its highest level in three decades in March.
USD/CAD dropped 0.2% to 1.2543 the day after the Bank of Canada raised rates by 50 basis points, its largest hike in around 20 years, in order to combat inflation running at a three-decade high.
USD/TRY edged higher to 14.6000, with Turkey’s central bank expected to maintain its benchmark interest rate at 14% at Thursday’s policy-setting meeting despite inflation surging past 60%.
This would be the fourth meeting in a row that the central bank has decided against raising interest rates after, under pressure from President Recep Tayyip Erdogan, it halted a series of rate cuts at the end of last year.
 "
8,"<span>Apr 14, 2022 01:00AM ET</span>","By Jamie McGeever
ORLANDO, Fla. (Reuters) -The euro's share of world currency reserves has been depressed for years as negative euro zone interest rates and bond yields have spurred huge bond outflows. But these dynamics are reversing, and the euro is catching the eye of reserve managers again.
The International Monetary Fund's latest composition of official foreign exchange reserves (COFER) data indicates that central banks increased their euro holdings by as much as $70 billion in the fourth quarter of last year.
That was the most in over three years, according to HSBC.
The COFER report does not capture the financial market tremors sparked by Russia's invasion of Ukraine in February and heavy economic sanctions imposed by Western nations on Moscow. 
They included the freezing of almost half of Russia's $640 billion stash of foreign reserves, prompting intense debate over the future of reserves, the U.S. dollar's status as global currency king, and the outlook for other currencies' share of reserves.
 Morgan Stanley  (NYSE:MS) strategist David Adams notes that reserve managers use three broad investment criteria to determine their allocations: liquidity, returns, and safety. All three boxes could soon be ticked for the euro.
The share of negative-yielding euro zone bonds is rapidly shrinking and European Central Bank interest rates could be positive by the end of the year; liquidity will increase when the ECB begins reducing its balance sheet; and the Russia-Ukraine war could spur more issuance of top-rated joint bonds in the euro zone. 
""If the ECB is beginning to normalize policy ... that will improve liquidity and raise returns for investors, including reserve managers,"" said Adams.
The current share of euro holdings in the $12.05 trillion of 'allocated' or currency-known central bank FX reserves is 20.64%. The peak was 28% in late 2009, and the low was just under 17% in late 2000. 
The euro's share of FX reserves has been remarkably steady in recent years. From the third quarter of 2017 through the end of 2021, it was locked in a narrow range between 20.07% and 21.29%. Indeed, it only rose above 21% in one of these 18 quarters.
EURO RESILIENCE?
In that five-year period the dollar's share of global FX reserves has fallen almost five percentage points to a 25-year low of 58.81%. 
For the euro, this can be looked at in two ways: central banks cooled on the dollar but shunned the euro in favor of other currencies; or, the euro has proved more resilient than the dollar to central bank FX reserves diversification. 
But there is a lot of ground to make up following the slump in euro holdings after the ECB went from 'ZIRP' to 'NIRP' - from zero interest rate policy to negative interest rate policy - in June 2014. The euro's share of world FX reserves fell by some 5 percentage points over a two-year period at the time. 
According to Tradeweb, the value of euro-denominated negative-yielding government debt on its bond trading platform peaked at almost 7 trillion euros - some 75% of the near-9 trillion sovereign euro bond market - in late 2020.
But at the end of last month, the amount of negative-yielding debt had fallen to 2.07 trillion euros, the lowest since at least 2016 when Tradeweb first started compiling the data.
Analysts at Goldman Sachs (NYSE:GS) put the cumulative net outflow from euro zone fixed income markets since 2014 at almost 3 trillion euros. 
""A reversal of these persistent outflows could have important implications for the euro,"" wrote Goldman strategist Zach Pandl last month when he and his team raised their euro forecast to a bullish and out-of-consensus $1.20 over 12 months and $1.30 by the end of 2024. The euro was at $1.09 on Wednesday. 
The reversal appears to be underway. 
Related columns:
- Ebbing dollar reserves only scratch on dominance (Reuters, April 8)
- China may balk at unnerved reserves seeking yuan (Reuters, March 18)

- Russia central bank freeze may hasten 'peak' world FX reserves (Reuters, March 2)
(The opinions expressed here are those of the author, a columnist for Reuters.)
(By Jamie McGeever; Additional reporting by Dhara Ranasinghe in London; Editing by Andrea Ricci)",,,,,
9,"<span>Apr 14, 2022 12:08AM ET</span>",,,,,,"By Gina Lee
Investing.com – The dollar was down on Thursday morning in Asia, after falling overnight against the pound and the euro in particular. U.S. yields hit pause on their recent rally, offering some relief to the Japanese yen.
The U.S. Dollar Index that tracks the greenback against a basket of other currencies edged down 0.18% to 99.733 by 11:58 AM ET (3:58 AM GMT).
The USD/JPY pair was down 0.35% to 125.22.
The AUD/USD pair was up 0.15% to 0.7460, with Australian employment data showing that the employment change was 17,900, the full employment change was 20,500, and the unemployment rate was 4% in March 2022.
The NZD/USD pair gained 0.40% to 0.6822.
The USD/CNY pair inched down 0.03% to 6.3668 while the GBP/USD pair edged up 0.15% to 1.3435.
Investors now await the European Central Bank’s latest policy decision, due later in the day.
""At the beginning of the week I was saying everything followed from the ongoing grind higher in U.S. yields, equities were off, the dollar was soaring, and now because of what's happening in Treasuries, everything has reversed,"" National Bank of Australia global head of FX strategy Ray Atrrill told Reuters.
The benchmark 10-year Treasury yield was 2.7120%, and steadily rose earlier in the month thanks to bets on more aggressive U.S. Federal Reserve monetary policy tightening.
The pound rose to its highest point in a week against the dollar, after gaining 0.9% on Wednesday, the biggest daily percentage gain since June 2021. The U.K. producer price index input grew 19.2% year-on-year, and 5.2% month-on-month, while the consumer price index grew 7% year-on-year and 1.1% month-on-month, in March 2022.
Alongside the slowdown in U.S. yields, Attrill said part of the moves could be explained by higher-than-expected U.K. consumer price index numbers, ""the money is flirting with the idea that the Bank of England could do 50 basis points in May, though we don't expect that"".
The market was positioned for a hint that the ECB might draw a line under its quantitative easing program in the second quarter of 2022 rather than the third, he added.
""The risk is they are going to follow the path in terms of becoming overtly less dovish.""
The Bank of Korea surprised markets as it hiked its interest rate to 1.5% in its policy decision. The Monetary Authority of Singapore also tightened its monetary policy, with the Singapore dollar gaining about 0.5% to a one-week high on the dollar. The Korean won, meanwhile, edged up 0.16%.
The Bank of Canada and Reserve Bank of New Zealand (RBNZ) also hiked their interest rates a day earlier, to 1% and 1.5% respectively.
The dollar weakened 0.6% against its Candian counterpart on Wednesday but gained against the New Zealand dollar as the RBNZ said in its post‑meeting statement that the peak cash rate remains unchanged due to concerns about the global outlook."
