,date,news_oil,news_ship,news_sc,news_steel,news_vh,news_others
0,"<span>Apr 15, 2022 05:55PM ET</span>",,,,,,"(Reuters) - Donald Trump on Friday endorsed author J.D. Vance in the Republican Senate primary in Ohio amid a crowded race marked by negativity as many candidates have tried to ally themselves with the former president.
The winner of the May 3 primary will represent the party in the Nov. 8 midterm elections that will determine control of Congress, where the Republicans are expected to make gains off President Joe Biden's Democrats. 
""Like some others, J.D. Vance may have said some not so great things about me in the past, but he gets it now, and I have seen that in spades,"" Trump said in a statement. 
Rivals in the contest include former state Treasurer Josh Mandel, former state Republican Chair Jane Timken, financier Mike Gibbons and state lawmaker Matt Dolan. 
The winner will likely face U.S. Representative Tim Ryan, who is expected to win the Democratic nomination.
While some candidates actively seek Trump's endorsements to tap into his base, they are sometimes designed to seek revenge on Republicans who failed to support him previously and have not always made the handpicked candidate the favorite. 

Vance is a Yale-educated lawyer and venture capitalist who published the bestselling memoir ""Hillbilly Elegy"" in 2016. Initially a Trump critic, Vance visited Trump's Florida resort last year to meet with the former president, who won Ohio by eight percentage points in both the 2016 and 2020 elections.
A recent move to endorse celebrity doctor Mehmet Oz in Pennsylvania divided local party officials and stunned close advisers, two sources familiar with the internal deliberations told Reuters. 
 
"
1,"<span>Apr 15, 2022 05:45PM ET</span>",,,,,,"By Ted Hesson
(Reuters) -Texas will halt enhanced inspections of trucks arriving from Mexico after reaching an agreement with the last of four neighboring Mexican states, Governor Greg Abbott said on Friday, a move expected to alleviate costly, long backups over the past week.
The agreement calls for the Mexican state of Tamaulipas -- located on the easternmost part of the Texas-Mexico border -- to increase security efforts targeting illegal immigration and drug smuggling, Abbott and Tamaulipas Governor Francisco Garcia Cabeza de Vaca said during a news conference in Weslaco, Texas, near the U.S.-Mexico border.
Last week, Abbott, a Republican running for reelection in November, ordered state authorities to conduct ""enhanced safety inspections"" of vehicles as they cross from Mexico into Texas in order to uncover smuggling of people and contraband. 
The stepped-up inspections, which Abbott said were needed because of President Joe Biden's inability to secure the border, snarled truck traffic and sparked protests by Mexican truckers in their country that shut down several commercial crossings in Texas and New Mexico.
The traffic jams caused millions of dollars in losses and prompted pressure from business groups, including the Fresh Produce Association of the Americas, an alliance of more than 100 companies involved in the import and distribution of Mexican produce in the United States. 
Texas Agriculture Commissioner Sid Miller, a fellow Republican, urged Abbott on Tuesday to end the additional truck checks, saying they would ""quickly lead to $2.00 lemons, $5.00 avocados and worse.""
On Wednesday, the White House slammed the inspections, saying they were unnecessary and had disrupted food and automobile supply chains, driving up prices. Biden, a Democrat, is already battling rising inflation and challenges to the movement of goods stemming from the COVID-19 pandemic.
Abbott has also chartered buses to carry migrants from Texas to Washington to send a message to Biden, with the third bus arriving on Friday, according to the governor's office and news reports.
The Texas governor said at Friday's news conference that he could reinstate the truck inspections if the four Mexican states fail to take steps to reduce illegal immigration, even if resulting border backups lead to ""knock-on economic effects.""
Abbott and Steve McCraw, director of the Texas Department of Public Safety (DPS), said they found no smuggling attempts during the beefed-up inspections, which followed screening for smuggling and contraband by U.S. Customs and Border Protection officers.
McCraw said the Texas state inspections persuaded Mexican drug cartels not to engage in smuggling, but did not provide direct evidence for that assessment.
""The cartels know what they're doing,"" he said.
As of Thursday, Texas DPS had taken more than 1,400 vehicles out of service for safety violations such as defective brakes, tires and lighting, the agency said.

Earlier in the week, Beto O'Rourke, a Democrat challenging Abbott in the Nov. 8 elections and a former U.S. congressman, criticized Abbott in tweets and videos, calling the governor's actions a ""political stunt"" that sowed chaos at the border.
Abbott had struck similar deals in recent days with the governors of the three other Mexican states that share a border with Texas -- Nuevo Leon, Chihuahua and Coahuila -- amid pressure from business groups.
 
"
2,"<span>Apr 15, 2022 05:36PM ET</span>",,,,,,"By Jeff Mason
WASHINGTON (Reuters) -President Joe Biden and his wife Jill released their federal tax returns on Friday, showing the couple earned more than $600,000 last year and paid an effective federal income tax rate of 24.6%.
The Bidens also donated roughly 2.8% of their income, or $17,384, to charities, including $5,000 to the Beau Biden Foundation, which works to prevent child abuse. Beau Biden, the president's son, died of cancer in 2015.
The tradition of presidents making their federal tax returns public was broken by Biden's predecessor, former President Donald Trump. Trump said he was not able to do so while being audited by the Internal Revenue Service, even as the agency claimed he was free to release them. 
The Bidens reported federal adjusted gross income of $610,702 and paid $150,439 in federal income tax. The previous year, when Biden was running for president, they reported $607,336 in income.
Biden earned $378,333 with his presidential salary, slightly below what would normally be $400,000 in pay because he entered office on Jan. 20. Jill Biden earned $67,116 from her job teaching at Northern Virginia Community College.
The couple earned $103,258 in taxable interest, pensions, annuities, IRA distributions, and Social Security benefits as well as $61,995 in book royalties. 
""With this release, the president has shared a total of 24 years of tax returns with the American public, once again demonstrating his commitment to being transparent with the American people about the finances of the commander in chief,"" the White House said in a statement.
Vice President Kamala Harris and her husband, Doug Emhoff, reported federal adjusted gross income of $1,655,563, the White House said, paying $523,371 in federal income tax for an effective federal income tax rate of 31.6%.
Emhoff stepped down from his law firm in 2021 and the firm is paying back his partnership stake over a number of years, a White House spokesperson said.
Last year he received $582,543 from his law firms DLA Piper, which he left last year, and Venable, which he left in 2017. 
Harris' book sales increased in 2021 and she made a net profit of $386,713 on those. 

Emhoff, who teaches at Georgetown Law, and Harris made $380,288 in combined wages and roughly $319,000 in a gain on the sale of their house in San Francisco.
They contributed roughly 1.3% of their income, or $22,100, to charity, according to the information from the White House.
 
"
3,"<span>Apr 15, 2022 03:00AM ET</span>",,,,,,"By Ben Blanchard and Yew Lun Tian
TAIPEI/BEIJING (Reuters) -China said it conducted military drills around Taiwan on Friday as a U.S. Congressional delegation visited the island in a show of support to a fellow democracy, with Beijing blaming the lawmakers for raising tensions with their ""provocative"" trip. 
China's military sent frigates, bombers and fighter planes to the East China Sea and the area around Taiwan, the People's Liberation Army Eastern Theatre Command said, in a statement released as the lawmakers were holding a news conference in Taipei.
""This operation is in response to the recent frequent release of wrong signals by the United States on the Taiwan issue,"" it said, without mentioning the visiting U.S. delegation.
""The U.S. bad actions and tricks are completely futile and very dangerous. Those who play with fire will burn themselves,"" it said.
China's Defence Ministry, in a separate statement, said the U.S. visit was ""deliberately provocative"" and had ""led to further escalation of tension in the Taiwan Strait"".
Taiwan is a frequent source of tension between Beijing and Washington.
Republican U.S. Senator Lindsey Graham (NYSE:GHM) told Taiwan President Tsai Ing-wen during the delegation's meeting with her that the war in Ukraine and provocative behaviour by China have united U.S. opinion in a way not seen before.
""To abandon Taiwan would be to abandon democracy and freedom,"" he said. ""There's a backlash growing in the world to thuggery - to the bad guys.""
Senator Bob Menendez, chairman of the Senate Foreign Relations Committee, said the technology hub is a ""country of global significance"" and its security has implications for the world.
The bipartisan group of six lawmakers arrived for their two-day visit on Thursday, in a previously unannounced trip. 
Such visits, and a reference to Taiwan as a ""country"", always anger Beijing, which dismisses any suggestion that Taiwan is a country. China regards the island as one of its provinces.
The United States has no formal relations with Chinese-claimed Taiwan but is its most important international backer and arms supplier.
Menendez acknowledged the Chinese government was ""very unhappy"" with the delegation's visit but said that would not dissuade the group from supporting Taiwan.
""With Taiwan producing 90% of the world's high-end semiconductor products, it is a country of global significance, consequence and impact, and therefore it should be understood the security of Taiwan has a global impact,"" Menendez told Tsai. 
Taiwan has been heartened by the U.S. support offered by the Biden administration, which has repeatedly talked of its ""rock-solid"" commitment to the democratically governed island. 
That has added to strains in Sino-U.S. relations. 

Russia's invasion of Ukraine has also put Taipei on alert for any possible moves by Beijing to use the Ukraine crisis to make a move on the island. The government though has reported no sign that China is about to invade.
Taiwan has complained for the past two years or so of stepped-up Chinese military activity, including almost daily air force flights into Taiwan's air defence zone, but not close to the island itself. 
 
"
4,"<span>Apr 14, 2022 09:20PM ET</span>",,,,,,"LOS ANGELES (Reuters) - A wealthy former Democratic Party activist convicted of giving fatal doses of methamphetamine to two men he invited to his suburban Los Angeles home for sex was sentenced on Thursday to 30 years in federal prison.
Ed Buck, 67, was found guilty on nine criminal counts in a in a U.S. District Court trial last July stemming from his role in soliciting men for sex games in which prosecutors said he gave out drugs or injected them into his partners.
Two of the men suffered fatal overdoses at Buck's apartment in West Hollywood: Gemmel Moore, 26, on July 27, 2017 and 55-year-old Timothy Dean in January 2019.
Buck, a prominent local and national figure in Democratic politics who contributed to the campaigns of President Barack Obama and Hillary Clinton, was sentenced by a federal judge on Thursday to 360 months in prison, according to a U.S. Justice Department release.
A restitution hearing in the case was scheduled for May 16, the statement said.

Prosecutors said at trial that the wealthy political donor targeted homeless, drug-dependent or otherwise vulnerable men, most of them Black, for his ""party and play"" sessions. Buck did not testify in his own defense at trial.
Jurors found him guilty of two counts of distribution of methamphetamine resulting in death, four counts of distribution of methamphetamine, one count of maintaining a drug-involved premises, and two counts of enticement to travel in interstate commerce for prostitution. 
 
"
5,"<span>Apr 14, 2022 08:05PM ET</span>",,,,,,"By Jeff Mason
GREENSBORO, N.C. (Reuters) -President Joe Biden on Thursday defended his handling of the U.S. economy amid a 40-year-high spike in inflation that he blamed in part on Russia's invasion of Ukraine.
Speaking at North Carolina Agricultural and Technical State University in Greensboro, Biden promoted his efforts to strengthen U.S. supply chains, accelerate American production of semiconductors and ease dependence on foreign makers.
But he spent a considerable amount of his speech talking about his handling of the economy, a factor in a dip in his job approval rating that could spell trouble for Democrats in November congressional midterm elections. 
Biden said job growth had accelerated in his first year in office, including 365,000 new manufacturing jobs, and that the unemployment rate had dropped sharply.
Dogging Biden, however, are persistent increases in prices across the board.
""I know that we're still facing the challenge of high prices and inflation,"" said Biden. ""Putin's invasion of Ukraine has driven up gas prices all over the world."" He said food prices have been impacted as well by a drop in exports of Ukraine wheat.
Biden called on Congress to give final approval to the Bipartisan Innovation Act to boost spending for emerging technologies and American manufacturing and to compete with China.
White House officials say Biden wants Congress to pass the legislation as soon as possible, and is heartened that lawmakers from both the House of Representatives and the Senate have begun working to iron out differences between each chamber's version of the legislation, the official said.
""Congress needs to get this bill on my desk as quickly as possible. Our economic strength is on the line and national security as well is on the line,"" Biden said.
Biden spoke after watching a four-legged robot named Spot march around a room at the university, an example of the research going on at the school. The robotic dog was said to be able to maneuver through complex environments to conduct remote missions.

Biden's visit to a historically Black university in a competitive election state comes as a November Senate race there is expected to be among those that decide whether Biden's Democratic Party retains their narrow control of Congress.
The president's popularity has slipped, with his public approval standing near all-time lows at 41%, according to a Reuters/Ipsos opinion poll this week.
 
"
6,"<span>Apr 14, 2022 04:01PM ET</span>",,,,,,"By David Morgan and Doina Chiacu
WASHINGTON (Reuters) -The Republican National Committee voted unanimously on Thursday to withdraw from the Commission on Presidential Debates, saying the group that has run the debates for decades was biased and refused to enact reforms.
""We are going to find newer, better debate platforms to ensure that future nominees are not forced to go through the biased CPD in order to make their case to the American people,"" the committee's chairperson, Ronna McDaniel, said in a statement.
The RNC's action requires Republican candidates to agree in writing to appear only in primary and general election debates sanctioned by the committee.
The nonprofit commission, founded in 1987 to codify the debates as a permanent part of presidential elections, did not immediately respond to a request for comment. 
It was unclear what format future RNC-backed debates would take or whether they would take place as often as in recent decades. 
The move, which followed months of wrangling between the RNC and the commission, will potentially deprive voters of seeing Republican and Democratic candidates on the same stage. 
Millions of Americans usually watch the presidential debates, and many viewers say they help them make up their minds about whom to vote for, according to research by the Pew Research Center.
The Democratic National Committee, the RNC's counterpart for President Joe Biden's party, accused Republicans of trying to hide from voters. 
""Voters can count on hearing from President Biden and Vice President (Kamala) Harris, who are proud of their records,"" DNC chairperson Jaime Harrison said in a statement. 
The RNC's decision follows grievances aired by former President Donald Trump and other Republicans about the timing of debates, debate formats and the selection of moderators.
Defenders of the debates say they are an important element of the democratic process, but critics say they have become television spectacles in which viewers learn little about the candidates' policies.

Trump refused to participate in what was supposed to be the second of three debates with Biden in 2020, after the commission switched it to a virtual contest following Trump's COVID-19 infection. 
The RNC said the commission ""refused to enact simple and commonsense reforms."" 
 
"
7,"<span>Apr 14, 2022 03:01PM ET</span>",,,,,,"WASHINGTON (Reuters) - Lawmakers in the U.S. House of Representatives have opened an investigation into the identity verification contractor ID.me, saying that they have ""serious concerns"" about the efficacy, privacy and security of technology it provides to 10 federal agencies.
A letter, first reported by the Washington Post, was sent by Representatives Carolyn Maloney, chair of the House Oversight Committee, and Jim Clyburn, the Democratic whip, to ID.me chief executive Blake Hall. It was dated Thursday.
The letter reflects unease over the use of facial recognition software to secure important transactions, including those with the Internal Revenue Service, amid concerns about privacy violations and inaccuracy. 
For its part, ID.me touted its efforts in helping U.S. agencies fight government benefits fraud by foreign criminal gangs.
""We look forward to providing important information to the Committee on how ID.me has expanded access to government for disadvantaged Americans, including individuals who do not have credit history, are underbanked or are without a home,"" the company said in a statement.

The lawmakers asked ID.me for information about what services it provides to federal agencies and 30 state governments, how often the technology fails to make an accurate identification, how many users' biometric data have been collected and how long users with concerns waited for help.
They also asked how often identifications found what ID.me believed to be fraud, and if that determination was made via a human review process, artificial intelligence or both. 
 
"
8,"<span>Apr 13, 2022 06:40PM ET</span>",,,,,,"By Jan Wolfe and Ismail Shakil
(Reuters) - U.S. law enforcement agencies have agreed to change some of their policies for responding to demonstrations on federal property, part of a partial settlement agreement reached with Black Lives Matter protesters who were violently cleared from a park near the White House in June 2020.
The Justice Department has settled claims in four civil lawsuits brought by racial justice demonstrators who said their rights were violated in Lafayette Square in Washington, D.C., according to a Justice Department press release https://www.justice.gov/opa/pr/justice-department-announces-civil-settlement-lafayette-square-cases issued on Wednesday. 
As part of the settlement, U.S. Park Police officers will face new limits on the use of non-lethal force and procedures to facilitate safe crowd dispersal, the Justice Department said.
The partial settlement agreement calls for Black Lives Matter D.C., a plaintiff in the litigation, to dismiss claims for non-monetary relief against the U.S. government. The plaintiffs are continuing to seek financial compensation from some defendants.
The U.S. government did not admit any wrongdoing as part of the settlement.
""We are pleased that the Biden Administration is taking an important step to protect protesters’ rights so that what happened on June 1, 2020 doesn’t happen again,"" said Scott Michelman, a lawyer with the American Civil Liberties of the District of Columbia involved in the litigation.
The lawsuits alleged that federal agencies used unreasonable force to enable a ""photo op"" of former President Donald Trump holding a Bible outside of St. John’s Church, a historic building near the White House.
A federal judge narrowed the litigation last year, ruling that federal defendants such as then-Attorney General William Barr were immune from any potential liability.
A U.S. government watchdog has rejected the claim that police cleared protesters so Trump could pose for a photograph. In a June 2021 report, the U.S. Interior Department’s inspector general said police dispersed protesters as part of a plan made earlier in the day for a contractor to install fencing.

The violent clearing of protesters sparked divisions and frustration among some White House staff, and a top military official later apologized for walking with Trump before television cameras that day.
“I should not have been there,” Gen. Mark A. Milley, the chairman of the Joint Chiefs of Staff, said in a videotaped statement. “My presence in that moment and in that environment created a perception of the military involved in domestic politics.” 
 
"
9,"<span>Apr 13, 2022 04:50PM ET</span>",,,,,,"By Jan Wolfe
WASHINGTON (Reuters) -U.S. President Joe Biden has authorized the release of a new tranche of records from Donald Trump's presidency to the congressional committee probing last year's attack on the U.S. Capitol, according to a government letter released on Wednesday.
In the letter, U.S. National Archivist David Ferriero said Biden had declined to use a presidential power known as executive privilege to keep the Trump records confidential.
The letter is consistent with Biden's earlier statements that it is in the country's best interests for Congress to obtain Trump White House records relating to the events of Jan. 6, 2021.
Ferriero's letter said the U.S. National Archives will deliver the latest batch of records to the committee on April 28. The letter did not say what types of records would be transmitted, but the committee has previously obtained speech drafts, call and visitor logs, handwritten notes and other files. 
The National Archives, a federal agency that maintains presidential records, has already turned over hundreds of pages of documents to the House of Representatives Select Committee investigating the Jan. 6, 2021, attack.
Trump and his allies have waged an ongoing legal battle seeking to block access to documents and witnesses. Trump has sought to invoke executive privilege, which protects the confidentially of some internal White House communications.
The U.S. Supreme Court in January rejected a request by Trump to block the release of a tranche of White House records sought by the congressional panel.

Only one of the court's nine members, conservative Justice Clarence Thomas, publicly noted disagreement with the decision.
The Select Committee has said it needs the records to understand any role Trump may have played in fomenting the violence that unfolded on Jan. 6, 2021. His supporters stormed the Capitol in a failed bid to prevent Congress from certifying Biden's 2020 presidential election victory over Trump.
 
"
