,date,news_oil,news_ship,news_sc,news_steel,news_vh,news_others
0,"<span>2 minutes ago (Apr 17, 2022 09:25PM ET)</span>",,,,,,"By Josh Smith
SEOUL (Reuters) - The U.S. envoy for North Korea arrived in Seoul on Monday for talks with his South Korean counterparts on ways to address Pyongyang's increased missile launches and concerns over the possible resumption of nuclear testing.
U.S. Special Representative Sung Kim and his deputy, Jung Pak, will meet with South Korean officials, including nuclear envoy Noh Kyu-duk, during a five-day visit.
Their arrival coincided with the start of a nine-day annual joint military drill by U.S. and South Korean troops. The exercise is a ""defensive command post training using computer simulation"" and will not involve field manoeuvres by troops, South Korea's Joint Chiefs of Staff said on Sunday.
North Korea has condemned the joint drills as rehearsals for war, and they have been scaled back in recent years amid efforts to engage Pyongyang in diplomacy, and because of COVID-19 restrictions.
On Saturday North Korea test fired what state media said were missiles involved in delivering tactical nuclear weapons. 
On arrival, Kim told reporters he was in Seoul to continue ""close coordination"" on North Korea developments, Yonhap news agency reported, without elaborating.
He has said he is open to talks with North Korea at any time and without preconditions, but Pyongyang has so far rebuffed those overtures, accusing Washington of maintaining hostile policies such as sanctions and the military drills.

South Korean media reported that Kim was also expected to meet with the transition team for President-elect Yoon Suk-yeol, who takes office in May. 
A spokesperson for the team said there was no meeting confirmed between Yoon and Kim, and could not immediately confirm whether the envoy would be meeting other transition officials. 
 
"
1,"<span>9 minutes ago (Apr 17, 2022 09:18PM ET)</span>","By Oleksandr Kozhukhar and Alessandra Prentice
LVIV/KYIV (Reuters) - Ukrainian soldiers resisted a Russian ultimatum to lay down arms on Sunday in the pulverised port of Mariupol, which Moscow said its forces had almost completely seized in what would be its biggest prize of the nearly two-month war.
Ukrainian Prime Minister Denys Shmyhal said troops in Mariupol were still fighting despite a Russian demand to surrender by dawn. 
""The city still has not fallen,"" he told ABC's ""This Week"" programme, adding that Ukrainian soldiers continue to control some parts of the southeastern Ukrainian city. 
Russia said on Saturday it had control of urban areas, with some Ukrainian fighters remaining in the Azovstal steelworks overlooking the Sea of Azov.
Capturing Mariupol, the main port in the Donbas region, would be a strategic prize for Russia, connecting territory held by pro-Russian separatists in the east with the Crimea region that Moscow annexed in 2014.
After failing to overcome Ukrainian resistance in the north, the Russian military has refocused its ground offensive on Donbas while launching long-distance strikes at targets elsewhere including the capital, Kyiv. 
About four million Ukrainians have fled the country, cities have been shattered and thousands have died since the start of the invasion on Feb. 24.
The economic damage is significant too - Shmyhal said Ukraine's budget deficit was around $5 billion a month and called for Western governments to provide more financial aid.
President Volodymyr Zelenskiy said on Twitter (NYSE:TWTR) he had discussed ensuring Ukraine's financial stability and preparations for post-war reconstruction with International Monetary Fund Managing Director Kristalina Georgieva. She replied that support was ""essential to lay the foundations for rebuilding a modern competitive #Ukraine.""
Earlier, he posted on his Telegram account images of destruction he said were akin to World War Two. 
""The occupiers will be responsible for everything they did in Ukraine,"" Zelenskiy said. 
'CRUEL AND SENSELESS WAR'
Implicitly criticizing Russia, Pope Francis pleaded for an end to the bloodshed and lamented the ""Easter of war"" during his address in St. Peter's Square after Mass. 
""May there be peace for war-torn Ukraine, so sorely tried by the violence and destruction of the cruel and senseless war into which it was dragged,"" he said.
Zelenskiy accused Russia on Saturday of ""deliberately trying to destroy everyone"" in Mariupol. 
The Azovstal steelworks, one of Europe's biggest metallurgical plants with a maze of rail tracks, tunnels and blast furnaces, has become a last stand for the city's outnumbered defenders.
""All who lay down their arms are guaranteed that their lives will be spared,"" Russia's Defence Ministry said on Saturday.
It was not known how many soldiers were in the steelworks. Satellite images have shown smoke and fire coming from the area. Zelenskiy has said killing his troops would put an end to peace efforts. 
Russia said Ukraine had lost more than 4,000 soldiers in Mariupol as of Saturday. Kyiv says its total troop losses nationwide so far in the war are less than that, between 2,500 and 3,000. Reuters has not been able to verify either side's figures.
Russia calls its action a special military operation to demilitarise Ukraine and eradicate what it calls dangerous nationalists. The West and Kyiv accuse Russian President Vladimir Putin of unprovoked aggression. 
A representative in Mariupol of the Azov forces – a one-time far-right militia now part of Ukraine's National Guard whose destruction is among Moscow's war objectives – said international intervention was needed to help civilians, including children, sheltering at the steelworks.
""There are civilians at Azovstal who are afraid of Russia's guarantees for their exit,"" the Azov representative said in a message to Reuters.
Reuters has not been able to verify whether there are significant numbers of civilians at the plant.
There have been on-off negotiations between Ukraine and Russia since the start of the war. 
Ukrainian Foreign Minister Dmytro Kuleba said in a CBS News interview on Sunday that the situation in Mariupol was ""dire"" and could be a ""red line"" in the path of negotiations.
NATIONWIDE ATTACKS
Elsewhere in Ukraine, there were more reports on Sunday of Russian strikes around major population centres. 
Local media reported an explosion in Kyiv, though deputy mayor Mykola Povoroznyk said air defence systems had thwarted Russian attacks. The mayor of Brovary city, close to Kyiv, said a missile attack had damaged infrastructure. 
Russia said it had destroyed an ammunition factory near the capital, according to the RIA news agency. 
Shelling in Ukraine's second biggest city, Kharkiv, killed five people and injured 13, Ukrainian public broadcaster Suspilne reported. A Reuters correspondent in Kharkiv heard multiple explosions in quick succession and saw debris from missiles.
""This is nothing but deliberate terror: mortars, artillery against ordinary residential quarters, against ordinary civilians,"" Zelenskiy said in his nightly video address.
As cleanup operations continued in areas where the Russians have retreated, Ukraine's human rights ombudswoman said almost all high-rise buildings in the town of Okhtyrka were unfit for occupation. The State Emergencies Service said 41 bodies had been recovered in the town of Borodyanka.
Most Ukrainians celebrate Orthodox Easter next Sunday, but in Bucha, a town north of Kyiv where Ukraine accuses Russia of killing dozens of civilians, some 50 people attended a church service, carrying pussy willow and praying for the dead. 
Russia denies targeting civilians and has called images from Bucha fake.
""I just prayed today to stop crying,"" said resident Evgeniya Lebedko after the service. ""We have survived these horrors and we are constantly crying.""

Despite the desperate situation in Mariupol, Ukraine said it was holding off Russian forces in other parts of the Donbas regions of Donetsk and Luhansk, which before the invasion were already partly controlled by Russian-backed separatists.
On Sunday, police in Donetsk region said that over the past 24 hours Russian forces opened fire on 13 settlements under Ukrainian control, killing two civilians. 
 
",,,,,
2,"<span>37 minutes ago (Apr 17, 2022 08:50PM ET)</span>",,,,,,"(Reuters) - Police were searching for the shooters who opened fire at a house party in the East Allegheny neighborhood of Pittsburgh that left two young people dead in the early hours of Sunday. 
The two victims were both under 18 while eight more sustained gunshot wounds, police said, revising an earlier tally. An additional five were injured as they jumped out of windows or otherwise tried to flee gunfire that erupted at the short-term rental property where hundreds of people, mostly juveniles, had gathered at a large party. 
""This shouldn't have happened. We're sick about it and we're going do everything we can to get those responsible for it,"" Pittsburgh Police Chief Scott Schubert said at a news conference on Sunday.
Schubert said evidence suggested there were multiple shooters and that investigators believed an altercation might have led to the violence but offered no further details. Authorities did not immediately provide the names of the two victims. 
Over 90 rounds were fired at the ""very chaotic"" scene that investigators were combing for clues and where they recovered multiple weapons as well as different casings, Schubert said. 
Gunshots were fired both inside and outside the residence and police pleaded with witnesses and people who attended the party to come forward and share videos or any other evidence they might be able to provide. 
The shooting in Pittsburgh took place just hours after a shooting at a South Carolina mall left several people injured and days after a gunman opened fire in a New York City subway car, injuring dozens. 
 
"
3,"<span>1 hour ago (Apr 17, 2022 08:21PM ET)</span>","(Reuters) - Ukraine has completed a questionnaire which will form a starting point for the European Union to decide on membership for Kyiv, Ihor Zhovkva, deputy head of President Volodymyr Zelenskiy's office, said.
European Commission President Ursula von der Leyen handed the questionnaire to Zelenskiy during her visit to Kyiv on April 8th, pledging a speedier start to Ukraine's bid to become a member of the EU following Russia's invasion of the country.
""Today, I can say that the document has been completed by the Ukrainian side,"" Zhovkva told the Ukrainian public broadcaster Sunday evening. 
The European Commission will need to issue a recommendation on Ukraine's compliance with the necessary membership criteria, he added. 
""We expect the recommendation ... to be positive, and then the ball will be on the side of the EU member states.""
Zhovkva added that Ukraine expects to acquire the status of a candidate country for EU accession in June during a scheduled meeting of the European Council meeting.

The European Council is to meet June 23-24th, according to the Council's schedule on its website. 
""Next, we will need to start accession talks. And once we hold those talks, we can already talk about Ukraine's full membership in the EU,"" Zhovkva said. 
(Reporting in Melbourne by by Lidia Kelly; Editing by Stephen Coates)",,,,,
4,"<span>1 hour ago (Apr 17, 2022 08:05PM ET)</span>",,,,,,"RIO DE JANEIRO (Reuters) - Brazil's justice ministry said on Sunday that federal police had captured the No. 2 leader of the First Capital Command (PCC), the country's most powerful prison gang and a major exporter of cocaine.
Valdeci Alves dos Santos, known as Colorido, was captured on Saturday in the northeastern town of Salgueiro, the justice ministry said. It said he had been on the run since 2014 and was on its list of most wanted criminals. He is one of the main suppliers of drugs to Brazil's southeast, the ministry said.
Born in the prisons of Sao Paulo state, the PCC has become one of the most powerful criminal organizations in the Americas, responsible for moving drugs from South American producer nations to supply consumer markets in Brazil and Europe. 

Much of the top leadership has been in prison for years; Colorido was the gang's No. 2 among those still living in liberty, the ministry said.
In 2020, PCC trafficker Gilberto Aparecido dos Santos, aka ""Fuminho,"" was captured in Mozambique, in a sign of the gang's growing international footprint. He had been on the run for more than 20 years until his capture in Maputo. 
 
"
5,"<span>1 hour ago (Apr 17, 2022 07:56PM ET)</span>",,,,,,"STOCKHOLM (Reuters) - Three people in the Swedish city of Norrkoping needed medical attention after being hit by police bullets during clashes between police and protesters following Quran burnings that caused riots in several Swedish towns over the Easter weekend. 
In some places counter-protesters attacked police ahead of planned right-wing extremist demonstrations. Prime Minister Magdalena Andersson has condemned the violence.
""Three people seem to have been hit by ricochets and are now being cared for in hospital. All three injured are arrested on suspicion of crime,"" police said in an online statement, adding none of the injuries were life-threatening. 
Police said the situation in Norrkoping was calm on Sunday evening. 

Police and protesters have been engaged in serious clashes during the past days where several police have been injured and multiple vehicles have been torched. 
The violence began on Thursday after a demonstration organised by Rasmus Paludan, leader of Danish far-right political party Hard Line. Paludan, who had permission for a series of demonstrations across Sweden during the Easter weekend, is known for Quran burnings. 
 
"
6,"<span>3 hours ago (Apr 17, 2022 06:11PM ET)</span>",,,,,,"By Siyabonga Sishi and Rogan Ward
ETHEKWINI, South Africa (Reuters) -Rescuers searched for dozens of people still missing in South Africa's KwaZulu-Natal (KZN) province on Sunday after heavy rains in recent days triggered floods and mudslides that have killed more than 440 people.
The floods have left thousands homeless, knocked out power and water services and disrupted operations at one of Africa's busiest ports, Durban. A provincial economic official estimated the overall infrastructure damage at more than 10 billion rand ($684.6 million).
The province's premier, Sihle Zikalala, said the death toll had risen to 443, with a further 63 people unaccounted for.
In some of the worst-affected areas, residents said they were terrified by the thought of more rain, which was forecast to fall on Sunday. Some faced an agonising wait for news of missing loved ones.
""We haven't lost hope. Although we are constantly worried as (the) days continue,"" Sbongile Mjoka, a resident of Sunshine village in the eThekwini municipality whose 8-year-old nephew has been missing for days.
""We are traumatised by the sight of rain,"" Mjoka, 47, told Reuters, adding that her home had been badly damaged.
In a nearby semi-rural area, three members of the Sibiya family were killed when the walls of the room where they slept collapsed and 4-year-old Bongeka Sibiya is still missing.
""Everything is a harsh reminder of what we lost, and not being able to find (Bongeka) is devastating because we can't grieve or heal. At this stage we are left feeling empty,"" Lethiwe Sibiya, 33, told Reuters.
President Cyril Ramaphosa's office said late on Saturday he had delayed a working visit to Saudi Arabia to focus on the disaster. Ramaphosa will meet cabinet ministers to assess the response to the crisis.
KZN Premier Zikalala told a televised briefing that the floods were among the worst in his province's recorded history.

""We need to summon our collective courage and turn this devastation into an opportunity to rebuild our province,"" he said. ""The people of KwaZulu-Natal will rise from this mayhem.""
($1 = 14.6076 rand)
 
"
7,"<span>3 hours ago (Apr 17, 2022 06:05PM ET)</span>",,,,,,"By Chris Prentice
WASHINGTON (Reuters) -Securities regulators in the U.S. states of Texas and Alabama on Wednesday ordered an online casino developer to stop selling non-fungible tokens (NFTs), alleging the firm was illegally offering unregistered securities and defrauding the public.
Cyprus-based Sand Vegas Casino Club and co-founders Martin Schwarzberger and Finn Ruben Warnke allegedly offered 11,111 NFTs in a ""high-tech fraudulent securities offering"" to fundraise to build virtual casinos in the metaverse. They also erroneously told potential buyers the tokens were not securities, the Texas State Securities Board said in a statement.
Sand Vegas promised buyers of its Gambler and Golden Gambler NFTs they would share in virtual casino profits, forecasting proceeds of as much as $81,000 each year, the regulators said.
Schwarzberger told Reuters in an email that Sand Vegas is working toward compliance with Securities and Exchange Commission (SEC) as well as state regulators.
""We are absolutely confident we can solve this situation and possibly even lead the way for other NFT projects,"" he said. 
The cease-and-desist order appears to be the first of its kind tied to internet-based virtual environment platforms, colloquially known as the metaverse. It also marks a new frontier for U.S. authorities seeking to clamp down on NFTs, blockchain-based tokens that represent assets such as a piece of digital art. Last month, two men were arrested and charged with scamming NFT buyers worth $1.1 million.
Though this latest case is relatively small, state actions often spark interest from federal regulators. NFTs have seen a surge in investor interest, and the Securities and Exchange Commission (SEC) has not yet offered formal guidance on whether they could be considered securities in some instances.
A spokesperson for OpenSea, the largest NFT marketplace, said the firm had disabled buying, selling and transferring of Sand Vegas tokens because the collections were in violation of the platform's service terms.

Joe Rotunda, enforcement director at the Texas State Securities Board, said the regulator has spotted a number of securities offerings in the metaverse.
""This is a hot area,"" he told Reuters. ""We are coordinating among states to investigate the offerings and plan enforcement actions if necessary.""
 
"
8,"<span>3 hours ago (Apr 17, 2022 05:55PM ET)</span>","By Oleksandr Kozhukar
(Reuters) - Eighteen people have been killed and more than 100 wounded in shelling in the past four days in the northeast Ukrainian city of Kharkiv, Ukraine's President Volodymyr Zelenskiy said late on Sunday. 
On Sunday, five people were killed and 20 were injured when a missile and artillery fire hit the city centre and the Saltivka suburb, regional governor Oleh Synyehubov said earlier.
Reuters could not independently verify the number of people killed.
Zelenskiy said in his nightly address that Russia's shelling on Kharkiv has been constant. 

""This is nothing but deliberate terror: mortars, artillery against ordinary residential quarters, against ordinary civilians,"" Zelenskiy said. 
Synyehubov said Ukraine's armed forces had successfully engaged in counter-attacks in the Kharkiv region, recapturing two villages fully and another partially. 
 
",,,,,
9,"<span>4 hours ago (Apr 17, 2022 04:55PM ET)</span>","(Reuters) - Russia demanded the surrender of Ukrainian soldiers in the southeastern port of Mariupol, which Moscow said its forces nearly completely controlled.
FIGHTING
* Russian armed forces destroyed an ammunition factory near Kyiv, a Russian Defence Ministry spokesman said.
* A missile attack damaged infrastructure in the northern city of Brovary, the mayor said.
* Russia said its troops had cleared most of Mariupol with only a small contingent of Ukrainian fighters left in the Azovstal steelworks.
* Five people were killed and 20 were injured in shelling of the city centre of Kharkiv, the regional governor said. 
POPE'S APPEAL
* Pope Francis, marking an ""Easter of war"" urged leaders to hear the people's plea for peace in Ukraine and implicitly criticised Russia for dragging the country into a ""cruel and senseless"" conflict.
DIPLOMACY, SANCTIONS
* The EU will impose sanctions on Russian banks, particularly Sberbank, and is seeking ""clever mechanisms"" to include oil, said European Commission chief von der Leyen.
* Ukrainian foreign minister Kuleba said there had not been any recent diplomatic communications between Russia and Ukraine at foreign minister level. The ""dire"" situation in Mariupol may be a ""red line"" in the path of negotiations, he said.
ECONOMY
* President Zelenskiy spoke with the head of the IMF about Ukraine's financial stability and its post-war reconstruction. Prime Minister Shmyhal is expected to attend the International Monetary Fund and World Bank meetings in Washington this week.
QUOTES

* ""Our eyes, too, are incredulous on this Easter of war. We have seen all too much blood, all too much violence. Our hearts, too, have been filled with fear and anguish, as so many of our brothers and sisters have had to lock themselves away in order to be safe from bombing,"" Pope Francis, in an address to about 50,000 people in St. Peter's Square after a long Mass.
* ""I just prayed today to stop crying,"" said Evgeniya Lebedko of Bucha after a service in the northern Ukrainian town where many civilians were killed while it was occupied by Russian forces. ""We have survived these horrors and we are constantly crying."" 
 
",,,,,
