,date,content,label
0,2019-03-27T15:07:53+0000,"['Oil prices slipped Wednesday morning, interrupting a recent rally with news of sharply increased U.S. crude stockpiles released by the American Petroleum Institute Tuesday night.', 'But it’s a temporary blip in the broader outlook for the next two quarters of price growth, commodities experts told CNBC.', '“We expect the rally in Brent prices will continue over Q2-Q3 this year as the market tightens further on the back of OPEC production cuts and deteriorating output in Venezuela,” Edward Bell, director of commodities research at Dubai-based Emirates NBD, told CNBC in an email Wednesday.', 'Robin Mills, CEO of Qamar Energy and a nonresident fellow at Columbia’s Center for Global Energy Policy, similarly sees prices remaining strong in the second quarter.', '“Demand continues to be fairly good, OPEC+ compliance is high, the production cuts deal is planned to continue, output in Venezuela will keep deteriorating and Iranian exports are still under pressure,” he told CNBC, noting that Russian compliance with the output cut deal is also increasing.', '“If prices go ‘too high’, likely the U.S. will grant more Iran waivers, and if they don’t then, with a lag, the Saudis will respond by increasing production within their overall cap.”', 'International oil benchmark Brent Crude dipped 0.25 percent on Wednesday, trading at $67.80 a barrel at 11:22 a.m. London time. U.S. benchmark West Texas Intermediate was down 0.62 percent at the same time, trading at $59.57, after the API report revealed an inventory jump of 1.9 million barrels for the week ending March 22, obliterating market expectations for a drop of 1.2 million barrels.', 'Still, as Bell and Mills pointed out, prices are gradually rising year-to-date on the back of OPEC cut pledges coming to fruition and a worsening picture in conflict-ridden Venezuela, where the second power outage in a month has halted crude shipments coming out of the country’s main oil port.', 'The price of international benchmark Brent Crude is up 24 percent year to date while West Texas Intermediate is up 27 percent in the same timeframe.', 'In the nearer term, inventory figures from both the U.S. and OPEC member states will continue to shape market sentiment, particularly as traders watch for the decline in U.S. rig counts since November to take effect.', 'Conflicting forces of tightening global supply versus concerns over world demand have kept Brent crude in a narrow range over the course of March, trading within the window of roughly $64 to $68 per barrel.', 'Despite these supportive conditions, however, Bell expects prices to come down by the end of 2019.', '“By the end of the year though we expect prices will slip from their current levels as OPEC production increases as member nations chase the market share ceded by declining production in Venezuela and other producers.”', 'And on the physical trading side, many executives at major oil companies aren’t excessively bullish.', 'Shell’s head of crude oil trading Mark Quartermain told the Financial Times on Tuesday that he saw the market staying in a range of $65 to $70 a barrel, while Ben Lockock, the co-head of oil for commodities trader Trafigura, told the paper he was only “gently bullish.”', 'Analysts also point to the major unknown that is the direction of the U.S.-China trade war. Any failure in upcoming negotiations could trigger a sharp downturn in business sentiment and demand, particularly from an already-slowing China.', 'Talks will recommence in Beijing on Thursday. And while both sides are eager for a solution, U.S. President Donald Trump has already seemingly tempered expectations, saying last week that tariffs could remain “for a substantial period” and could more than double if the world’s two largest economies don’t manage to reach a deal.']",-1
1,2018-04-14T11:19:49+0000,"['The long era of too much oil sloshing around the world and low prices is coming to an end, just as global events are heating up crude prices.', 'On Friday, President Donald Trump ordered U.S. forces to join France and Britain in launching targeted strikes in Syria, in retaliation for an attack on civilians that employed chemical weapons. With other parts of the world already in turmoil, fallout from Syria could upend the dynamic,  as the peak summer season for oil demand approaches, keeping oil prices in a new, elevated range.', '“Syria is a client state of Russia and Iran,” said John Kilduff, energy analyst at Again Capital. In his speech, Trump singled out both countries for their support of Syrian President Bashar Assad.', '“We wait to see if her enablers step up and respond on Syria’s behalf,” he said — just as Russia warned of “consequences” for the U.S.-led attack.', 'Gasoline prices are also vulnerable. They are already expected to hit a four-year high this summer.', '“The supply cushion is gone. There was a security cushion, and that’s gone,” said Daniel Yergin, vice chairman of IHS Markit. “A lot of things are happening at the same time.” ', 'Brent crude, the international benchmark, was up 7.8 percent in the past week and was trading near $73 a barrel in the futures market for the first time since December 2014. “It’s probably in an orbit around $70,” said Yergin, adding the floor could be high $60s to low $70s for Brent.', 'Prices jumped this week after Trump said the U.S. would respond militarily to Syria’s use of chemical weapons on its citizens last Saturday, killing dozens and wounding hundreds more. That sparked a blunt response from Russia, which warned the U.S. against the strike.', 'While industry analysts aren’t calling for sharply higher prices, they say the market is vulnerable to more erratic pricing because global supply has drained dramatically over the last year as demand has grown. ', '“As the inventory overhang drains, we’re vulnerable to a super spike again,” said Kilduff. “That would only be if there were losses of significant size in any major oil-producing countries, particularly in the Middle East.” ', '', '', 'Oil’s price also has been firming as Houthi rebels in Yemen have increased a campaign of firing missiles into Saudi Arabia, both at oil facilities and civilian areas, but those efforts have so far failed. Even so, Yemen is viewed as a proxy war between Iran and Saudi Arabia that easily could heat up.', '“When you see an escalation in Syria, it raises the risk of escalation in other places. Whether it’s Yemen, whether it’s eastern Saudi Arabia, or Iran or Iraq, it can foment tensions all across the Middle East,” said Michael Cohen, head of energy commodities research at Barclays.', '“If the fundamental backdrop is strong, these things are going to matter. If the fundamental backdrop is weak, it’s not going to matter,” he added.', 'But there are already other factors that could be wild cards for oil supply, affecting oil’s price.', 'One is the Iran nuclear deal, which the U.S. may choose to exit in May. Newly named national security advisor John Bolton is expected to encourage the president to abandon the deal, which would mean a return to U.S. sanctions on Iran’s oil production and its financial sector.', 'Another uncertainty is Venezuela, where the state oil company PDVSA has seen its production cut in half as its economy teeters and its ability to pump and process crude deteriorates. The U.S. could sanction its already distressed oil sector if President Nicolas Maduro proceeds with an election in May.', 'Helima Croft, the head of global commodities strategy at RBC, said it is “realistic” to start thinking about Brent nearing the $80 a barrel mark. “To move beyond that we’d have to see Venezuela really drop fast. Iran would have real problems, and Yemen would have to visibly look a lot worse,” she said.', 'This is the first significant political premium to show up in crude prices since OPEC and Russia joined forces in late 2016 to steady a market faced with a serious global glut.', 'As oil prices were in free fall then, Saudi Arabia and Russia led other oil-producing nations to agree to curb production by 1.8 million barrels a day. At the time, oil supplies for OECD nations had surged to near 400 million barrels above their five-year average, and were still running at about 300 million barrels above the average at the end of 2016. ', 'The Organization of the Petroleum Exporting Countries reported this week that those stocks have fallen to just 43 million barrels above the five-year average, and that average is a line where oil producers would see the market as more balanced.', 'Until now, “geopolitics didn’t matter because we were swimming in oil,” said Croft.', 'In its monthly oil market report, OPEC said Thursday that the cartel’s total crude output declined by 201,000 barrels a day in March, to average just below 31.96 million barrels a day. The decline was mainly from lower output from Angola, Venezuela, Algeria and Saudi Arabia.', 'Croft said there’s a strong case to be made for both bulls and bears currently, depending on Middle East tensions and the outcome of trade conflict between the U.S. and China. “Which war is going to win out? The Middle East war or the trade war? If the trade war comes back and dominates the headlines, you could have a broad-based macro sell-off that takes oil down with it.”', 'The other unknown is the U.S. shale production, which has increased as OPEC production decreased. OPEC also said Thursday that the world’s total oil supply rose by 180,000 barrels a day last month, mainly because of non-OPEC producers such as the U.S., Norway and the U.K.', '“Shale is the reason we’re not trading over $100 a barrel, way more than $100 a barrel,” said Francisco Blanch, global head of commodities and derivatives at Bank of America Merrill Lynch. Production from shale “has been the incremental barrel for years. Not for the last year or two but for seven years.”', 'Analysts are watching for any changes to come with Bolton as national security advisor and a new secretary of State, Mike Pompeo, who is awaiting Senate confirmation.', '“I think the escalation of tensions with Russia is a major factor that could impact oil prices,” said Blanch. He pointed to the steep drop in aluminum prices this past week, since the U.S. sanctioned Russian oligarchs and companies for meddling in the election.', 'Saudi Arabia and Russia are expected to try to extend their production arrangement after it expires in December. The agreement will be reviewed when OPEC meets in June. Saudi Arabia Energy Minister Khalid Al-Falih recently told CNBC that it’s important to keep the agreement going. ', '“We will review in June what are the specific targets for a balanced market,” said al-Falih, during a visit to the U.S. last month. He said even if the market is balanced, the producers may not want to “lift our hands from the steering wheel and leave the market without stewardship” because it could quickly become out of balance. ', '“The bottom line is they’re committed to holding back supply from the market, which combined with the continued decline of PDVSA in Venezuela is going to make for higher oil prices,” said Kilduff.']",-1
2,2019-12-12T12:41:01+0000,"['An unusual divergence is occurring in the energy space.', 'Crude oil prices and energy stocks, often in lockstep, have split apart this year. As crude prices have risen nearly 30% in 2019, the XOP oil & gas exploration and production ETF has fallen 20%.', 'Mark Newton, president of Newton Advisors, says it’s too tough to call a bottom in energy since the group has been in a downtrend since spring. However, he does see some key levels to watch.', '“You really have to get over $22 in the short term to even pay attention,” Newton said on CNBC’s “Trading Nation” on Wednesday. “Anything under $20 would certainly mean all bets are off and this could go further to the downside to the mid-teens.”', '', 'The XOP ETF, which holds Chevron and ExxonMobil among its top holdings, closed Wednesday’s trading at $21.39.', 'Newton does see one comeback energy trade that could buck the trend — Phillips 66.', '“This is one stock that actually happens to be in an uptrend. It’s been trending higher for the majority of the last few months. You have actually pulled back a little bit in recent weeks. This will set up for a decent area to consider buying dips anywhere between $105 to $110, thinking that this likely can get back right near former highs that were seen last fall near $123,” said Newton.', 'Phillips 66 closed Wednesday’s session at $112.21. Shares are up more than 30% in the past six months.', 'Other potential outliers have caught the eye of John Petrides, portfolio manager at Tocqueville Asset Management.', '“What you do is you stick with the super majors, the top of the capital expenditure stack, because they control all the cards. … That’s where you’re going to find the survivors,” Petrides said during the same segment. “We think that on the larger cap super majors where you’re finding good dividend yield, strong balance sheets and the ability to adjust their capex, … a company like Chevron comes to mind here.”', 'Petrides says Chevron offers value for the long term. Chevron said earlier this week that it expects to write down the value of its assets by $10 billion to $11 billion this quarter. It was up slightly in Thursday’s premarket, a day after falling 1.4% to $116.23.', 'Disclosure: Petrides owns Chevron shares.', 'Disclaimer']",-1
3,2019-01-07T13:24:21+0000,"['Goldman Sachs downgraded its oil price forecasts for 2019, citing a surge in global production and surprisingly resilient U.S. shale growth.', 'The investment bank now expects international benchmark Brent crude to average $62.50 a barrel this year, down from a previous forecast of $70.', 'Meanwhile, U.S. West Texas Intermediate (WTI) is expected to average $55.50 in 2019, down from a prior estimate of $64.50, the investment bank said in a research note published Sunday.', '“We expect that the oil market will balance at a lower marginal cost in 2019 given: higher inventory levels to start the year, the persistent beat in 2018 shale production growth amidst little observed cost inﬂation, weaker than previously expected demand growth expectations (even at our above consensus forecasts) and increased low-cost production capacity,” analysts including Damien Courvalin and Jeffrey Currie said.', 'On Monday, oil prices continued to move away from December’s 18-month lows, with OPEC and non-OPEC production cuts providing some support.', ' Last month, OPEC agreed to take 800,000 barrels per day (bpd) off the market from the start of 2019. Pledges from 10 other producers aligned to the influential oil cartel, including Russia, brought total output cuts to 1.2 million bpd.', 'The aim of the energy alliance’s production cut is to rein in global oversupply, fueled mostly by the U.S., where production reportedly grew by almost 20 percent to nearly 12 million bpd by the end of 2018. That would make the U.S. the world’s biggest oil producer — ahead of OPEC kingpin Saudi Arabia and non-OPEC heavyweight Russia.', 'Brent crude traded at around $58.28 on Monday, up around 2 percent, while WTI stood at around $49.07, more than 2.3 percent higher. Oil has gained more than 10 percent since last Monday, notching five consecutive days of price gains in the process.', 'Meanwhile, financial markets also offered some support for crude futures at the start of the trading week, with investors monitoring a fresh round of trade talks between the U.S. and China.', 'An ongoing trade war between Washington and Beijing has exacerbated concerns of an economic downturn over the coming months, which would likely hurt demand for oil.', '“The oil market has priced in an excessively pessimistic growth outlook,” analysts at Goldman Sachs said, before adding: “This sets the stage for prices to recover as long as global growth does not slowdown below 2.5 percent.”']",-1
4,2020-05-18T19:21:46+0000,"['The fortunes of the oil market have turned around dramatically in the past month.', 'This time last month, investors were watching the futures market in disbelief. The May contract for West Texas Intermediate oil was set to expire, and prices did the unthinkable —  they plunged 300% in one day, deep into negative territory. In the spot market all across North America, prices also turned negative, meaning people literally couldn’t even give oil away.', '', 'There were dire forecasts of much more pain ahead, and a recurrence of the wild trading was feared for the June contract.', 'But now the outlook is much improved, as the June contract is set to expire Tuesday. The world has changed, and the ugly crisis created by both oversupply and a sudden lack of demand is beginning to reverse.', '“We think fundamental right steps have been taken to get us on sounder footing,” said Helima Croft, head of global commodities strategy at RBC. Croft said the “green shoots of recovery in place,” as Chinese and U.S. demand are improving, and OPEC plus ended its feuding and agreed to sharply cut output.', 'China has been buying more oil, and its demand is clearly strengthening. U.S. drivers are getting back into their cars as coronavirus shutdown restrictions lift. On the supply side, Saudi Arabia last week added another 1 million barrels a day cut of its own to the OPEC plus deal for a 9.7 million barrel reduction, and America’s oil industry has cut its production quickly and sharply.', 'Oil prices jumped sharply Monday, rising on the positive developments and a rally in risk markets sparked by Fed Chairman Jerome Powell’s comments that the Fed will can do more to support markets and the economy. WTI futures for June were up 7.4% at $31.62 per barrel in afternoon trading.', 'Now, the demand side of the market and the supply side are improving in tandem, to reduce the oil glut that was close to filling all available storage facilities, including ships at sea. The fact that the world was running out of places to store oil in April was behind the sharp drop in the futures contract. Investors were unable or unwilling to take delivery of oil, and there were also investors who became trapped in the trade as the selling spiraled. Interactive Brokers took a $109.3 million hit to cover its customers’  losses.', 'Oil is now trading above $30 for the first time since March 17, and RBOB gasoline futures have risen above $1 per gallon for the first time since March 13. The strong move higher in the June contract is also forcing some investors to cover short positions, adding to the rise.', 'The United States Oil Fund ETF, based on futures contracts, was up more than 8% Monday. Some investors initially blamed USO for causing the market disruption last month, but the fund had already rolled out of the May contract before the market began to crater. A popular oil play for retail investors, USO has since restructured its holdings to distribute them more evenly across later dated contracts, rather than holding them in the front month.', 'As the June contract gets set to expire, the landscape has changed dramatically for the U.S. oil industry. U.S. production was at a record high in March, and has cut back by 1.5 million barrels a day in just about six weeks, to 11.6 million barrels a day, according to the Energy Information Administration’s latest weekly data. Analysts expect production could be down by another 500,000 to 1 million barrels soon.', '“It’s just a massive response by the U.S. industry,” said John Kilduff, partner with Again Capital. “This is a remarkable plunge in activity. ... It’s pretty clear the U.S. is now the swing producer.”', 'Baker Hughes reported that another 34 oil rigs went out of service last week, leaving just 258 active oil rigs, about a third of the rig count last year.', '“Storage at Cushing actually fell last week. That was the whole mechanism last month that drove the negative pricing,” said Kilduff. “There were barrels to take in and no place to put them.” Cushing, Oklahoma is the storage hub for WTI, so the market watches storage levels there closely. ', '“The pace was such that it would have been topped out by the end of June,” Kilduff said, but that seems to have reversed.', 'Traders said oil prices were also lifted Monday by a report from Genscape that showed another big drop in Cushing storage levels. Government data on the latest storage levels will be released Wednesday.', 'The weekly U.S. government data shows implied demand for gasoline was also up sharply, with demand at 7.4 million barrels a day, from the early April trough of 5.1 million barrels a day. Normal demand for this time of year is about 9.5 million barrels a day, and it peaks ahead of the July 4 holiday. Analysts said the government data overstates retail demand, which is more like 6.5 million barrels a day in mid-May.', 'Analysts say demand has improved and as of last week, it was off by about 30% from normal levels, much better than the approximately 50% drop in demand in early April. U.S. gasoline demand is key because it is typically equal to about 10% of global oil demand.', 'Francisco Blanch, head of global commodities and derivatives at Bank of America, said he expects the rally to continue for now, but prices will not go that much higher. “This is a recovery that has a pretty low ceiling. My sense is that if prices approach $40 a barrel, then production will come back pretty quickly,” he said. ', 'Oil prices were also helped Thursday by a news report that Chinese demand has returned to levels near where it was before the lockdown there.', 'RBC has been tracking Chinese data, including on airline flights, and it expects demand will recover an average 9% this quarter, 17% in the third quarter and 25% in the fourth quarter from the lows seen during the first quarter.', 'Croft expects the recovery in China to be the quickest, relative to other global regions.', ' ']",100
5,2019-03-20T12:41:28+0000,"['OPEC’s supply cuts and U.S. sanctions against Iran and Venezuela will push the oil market into undersupply and boost the cost of crude in coming months, Morgan Stanley forecasts.', 'The investment bank previously said oil prices were more likely to fall after Brent crude topped $65 a barrel last month. But Morgan Stanley now sees the international benchmark for oil prices rising to $75 by the third quarter.', '', 'Analysts at Morgan Stanley say they changed their minds after last week’s CERAWeek by IHS Markit energy conference in Houston. They are now more convinced that OPEC has the determination and capability to drain oversupply from the oil market.', '“Conversations with several OPEC officials left us with the impression that Brent in the mid-$60s is not where the cartel would like to see it,” Morgan Stanley global oil strategists Martijn Rats and Amy Sergeant said in a research note Tuesday.', '“We assume that OPEC will extend – or even deepen – production cuts to support the oil market at the next meeting in June.”', 'OPEC and its partners aim to keep 1.2 million barrels per day off the market. On Monday, the alliance canceled an April meeting intended to review the supply deal, leaving the output cuts in place until the June gathering. Members of the pact believe the market will remain oversupplied through the first half of the year, making the April meeting unnecessary.', 'Morgan Stanley also believes output disruptions from Venezuela will accelerate following this month’s power outages there and U.S. sanctions on state oil giant PDVSA. The bank cited estimates from oilfield services firm Schlumberger at CERAWeek that Venezuela’s production might have plunged to roughly 600,000-700,000 barrels per day this month.', 'Comments at CERAWeek from Secretary of State Mike Pompeo and U.S. special representative for Iran, Brian Hook, also indicate that the U.S. will allow fewer Iranian barrels to hit the market, Morgan Stanley says. The Trump administration allowed eight countries to continue importing some Iranian oil when the U.S. restored sanctions on the Islamic Republic in November.', 'Morgan Stanley expects the administration to roll over waivers for China, India and Turkey in May and tighten exemptions for Japan and South Korea. It forecasts the U.S. will allow 900,000 to 1 million barrels per day of Iranian exports under the waivers, compared with about 1.2 million bpd in November.', 'On the demand side, Morgan Stanley says fears that oil consumption would slow sharply this year now appear to be overblown. That view also underpins Goldman Sachs’ view that Brent will top $70 a barrel.', 'Those dynamics will soon push the oil market into deficit, Morgan Stanley projects. The bank sees the market undersupplied by 500,000 bpd in the second quarter, with the deficit expanding to 800,000 bpd in the third quarter. That will support Brent crude at $75 a barrel in the third quarter.', 'Watch: CNBC’s exclusive CERAWeek interview with Mike Pompeo and Rick Perry']",-1
6,2020-01-29T13:16:19+0000,"['OPEC’s battle to support oil prices as China’s coronavirus spreads internationally shows the producer group is struggling to wield the same influence over global crude markets, energy analysts have told CNBC.', 'It comes amid speculation that OPEC and non-OPEC producers, sometimes referred to as OPEC+, could extend production cuts if the intensifying outbreak of the coronavirus hampers oil demand growth.', 'International benchmark Brent crude traded at $59.85 a barrel Wednesday afternoon, up over 0.6%, while U.S. West Texas Intermediate (WTI) stood at $53.59, around 0.2% higher.', 'Both crude benchmarks have pared some of their recent losses, after slumping to multi-month lows earlier in the week.', '“Will deeper OPEC supply curbs provide the panacea for the current oil market malaise? Probably not,” Stephen Brennock, oil analyst at PVM Oil Associates, said in a research note published Wednesday.', 'China’s National Health Commission confirmed Wednesday that the coronavirus had infected 5,974 people, with 132 deaths and 103 cured.', 'The virus, which was first discovered in the Chinese city of Wuhan, has spread to other major cities such as Beijing, Shanghai, Macao and Hong Kong.', 'Financial markets have been spooked by the spread of a deadly pneumonia-like virus, with energy market participants trying to assess the potential economic fallout.', 'Brennock said the timing of the next OPEC+ meeting carried “added importance,” given the early March gathering will mark two months since the coronavirus was first detected.', '“That’s a similar timeframe in which the SARS outbreak in 2003 peaked. Oil demand jitters could therefore be at their most intense,” Brennock said.', '“Set against this backdrop, the producer alliance will be under even greater pressure to send a strong and positive message for the oil market,” he added.', 'OPEC President Mohamed Arkab has previously said he believes the virus outbreak will have little impact on the global oil market in the near-term, but suggested the Middle East-dominated producer group is ready to act to any further developments.', 'Saudi Arabia’s Energy Minister Prince Abdulaziz bin Salman has also insisted that OPEC+ has the capability to steady the oil market if necessary.', 'The group has been limiting supply to prop up crude futures and recently increased its agreed output reduction by 500,000 barrels per day (b/d) to 1.7 million b/d through March.', 'John Driscoll, chief strategist at JTD Energy Securities, told CNBC’s “Capital Connection” on Tuesday that he didn’t foresee “any fundamental strength” in the oil market to support crude futures.', '“I have to say this delicately, but OPEC, I think, is starting to realize that even though they cut back, try to balance output and stabilize prices, they have less influence.”', '“That is simply because the balance of power has shifted,” Driscoll said, citing “massive new fields” in Norway, Brazil and Guyana.', '“And, of course, the U.S. being the biggest non-OPEC producer. (With) all of this excess supply, if OPEC cuts back, they might lose market share and that gap could be filled by a non-OPEC producer,” Driscoll said.', 'In contrast, Bjarne Schieldrop, chief commodities analyst at SEB, said in a research note published Tuesday that “tactical cuts are OPEC’s strongest card.”', 'The group “will most likely step in and reduce supply for a month or two in order to prevent an inventory build-up which the market would have to struggle with for an extended period,” Schieldrop said.', '“Inventories are already high, and the group does not want to see it higher if it can avoid it,” he added.']",-1
7,2018-06-04T17:39:11+0000,"['The sound of bulls stampeding through the oil market is getting a little fainter. However, it might not be long until they’re running loose yet again.', 'Hedge funds have increased their bets that oil prices will fall for a third consecutive week. The so-called short positions are now at their highest in about six months, as the market focuses on an OPEC meeting this month that could lead to major oil producing nations pumping more crude.', 'Money managers raised their short positions in U.S crude to 50,669 in the latest week, the most since the week ending Nov. 21.  At the same time, hedge funds cut their long positions, or bets that U.S. crude prices will rise, to 374,904, the lowest level since the week ending Oct. 17.', 'The funds increased their wagers against international benchmark Brent crude to 72,430, the biggest volume of bearish bets since the week ending Aug. 1. Long positions in Brent were down for a seventh straight week at 507,705, the fewest since Sept. 5.', 'To be sure, the bulls still outnumber the bears by a wide margin. Earlier this year, net long positions in the most important crude oil and refined fuel futures rose to an all-time high, according to a Reuters analysis.', 'But for the time being, the trend is reversing as funds that trade oil futures sell into the OPEC meeting on June 22. The expectation is that top OPEC producer Saudi Arabia and Russia will agree to ease their agreement with two dozen nations to limit crude output. The deal, which started in January 2017, has helped shrink a global oil glut and restore balance between supply and demand for crude.', 'The news flow will likely keep pressure on oil prices as the meeting date nears, according to Tamar Essner, director of energy and utilities for Nasdaq Corporate Solutions. On top of that, OPEC has an incentive to let oil prices drift lower before the gathering, she said.', '“The point is that if oil prices come down ahead of this meeting, there is less need for them to increase [production] as much because the idea was that they would increase [output] because oil prices were getting a little too heated,” she said.', 'Oil prices have recently struck fresh 3½ year highs above $80 a barrel for  and near $73 for U.S. crude. The gains have been fueled by geopolitical concern in Venezuela, which is mired in economic crisis that has hobbled its oil industry, and from Iran, where crude exports are under threat of sanctions from the United States after President Donald Trump abandoned a 2015 nuclear accord.', 'That’s exactly why OPEC and Russia are now considering upping production: to offset declines in Venezuela and potential disruptions in Iran. Brent prices have since backed down to about $76 a barrel, while U.S. crude is hovering near $65 on OPEC supply concerns and record U.S. output.', 'However, hedge funds could once again reverse course right after the meeting, Essner said. The market has basically baked a one-million-barrels increase into the price of oil, and that discount could unwind if OPEC does not deliver a bigger increase, she explained.', 'Beyond the meeting, there is little hope for a rebound in Venezuelan production. And despite efforts by China, the European Union and Russia to salvage the Iran nuclear deal, Iranian leaders are likely to judge that they are no longer accruing enough economic benefits to stick to the agreement, which requires them to limit their nuclear program. Iran’s exit from the deal, and potentially the 1968 U.N. Treaty on the Non-Proliferation of Nuclear Weapons, would once again boost the bulls.', 'Last week, analysts said Iran leaving the 50-year-old non-proliferation treaty would be like “rocket fuel” for oil prices and potentially spark an arms race in the Middle East, the world’s busiest transit hub for oil exports.']",-1
8,2017-11-28T12:27:00+0000,"['Market watchers see few opportunities for oil prices to rally — but plenty of room for them to fall — after a critical meeting of energy ministers later this week.', 'About two dozen oil exporters, including top producers Saudi Arabia and Russia, meet on Thursday in Vienna to discuss extending a deal to keep 1.8 million barrels a day off the market. The historic agreement has helped to reverse a three-year oil price downturn that wiped out hundreds of thousands of energy jobs and piled financial pressure on both free market American drillers and countries dependent on oil revenue.', 'The market largely expects the 14-member OPEC cartel and a group of other producers led by Russia to extend the deal, which began in January and expires in March, through the end of 2018.', 'But just days before meeting, Russia has not committed to the nine-month extension, raising concerns that OPEC could settle for a shorter extension or push off a decision altogether. Either of those scenarios would spark a sell-off, analysts say, but oil prices will probably struggle to grind higher from recent 2½-year highs even if OPEC lives up to expectations.', 'Here’s how analysts expect markets to move under three scenarios.', 'Andy Lipow, president of Lipow Oil Associates, expects OPEC to lock down the nine-month extension. But he also expects a pullback on the news.', 'The reason: Hedge funds have recently increased their long positions in oil futures, or bets that prices will keep rising. That makes prices vulnerable to a slide because traders often book profits by selling high. At the same time, the number of oil rigs operating in U.S. oil fields crept up in November, a trend that tends to weigh on prices.', '“The market has gotten very, very long and as a result you can have some profit-taking triggered by the increase in the rig count on Friday,” Lipow said.', 'U.S. crude performance since Nov. 1, 2016', '', 'Tom Kloza, global head of energy analysis at Oil Price Information Service, also thinks a nine-month extension has been baked into prices, making it hard for U.S. West Texas Intermediate crude to rally beyond Friday’s 2017 intraday high of $59.05.', '“We may look back at Black Friday as the as-good-as-it-gets number for U.S. producers,” he said.', 'U.S. crude could take another run at the $59 per barrel level, but OPEC would have to get the messaging just right, said John Kilduff, founding partner at energy hedge fund Again Capital. That includes a show of unity among regional geopolitical rivals Saudi Arabia and Iran and a clear signal that OPEC will force member countries Libya and Nigeria to cap their output after giving them a pass this year.', 'However, Kilduff thinks OPEC will only be able to commit Russia to a six-month extension.', 'He said the country’s energy companies have pushed back on Russian Energy Minister Alexander Novak and President Vladimir Putin as U.S. producers pick up market share in Asia, an important oil growth market. Russian energy giants are concerned that extending the cuts prematurely could leave the market undersupplied, causing a spike in prices that leads to another crash.', '“If they do go six months I would expect them to spin it and say they’re going to review it next year,” Kilduff said. “That’s going to be seen as a disappointment.”', 'In that scenario, Kilduff sees oil prices falling back to the mid-$50 range.', 'Barclays expects either a six- or nine-month extension but says the market is asking the wrong question. Michael Cohen, the investment bank’s head of energy markets research, says traders should be asking whether exporters will be held to the same production caps they agreed to last year.', '“It would be a misguided assumption in our view to expect the group’s production quotas to remain set in stone in 2018,” Cohen said in a research note Monday. “The sustainability of the deal depends on how much longer Saudi Arabia, Russia, Iran and Kuwait are willing to sacrifice market share in the pursuit of revenue and market stability.”', 'Barclays says the worst-case scenario would be energy ministers announcing they’ll put off the decision until the first quarter of next year, when the current deal expires. In that case, international benchmark  is likely to fall from current levels near $64 to the mid-$50 range.', 'However, Barclays thinks a strong market backdrop will support prices beyond the short term.', 'Tamar Essner, director of energy and utilities at Nasdaq Corporate Solutions, said it would certainly be bearish for oil prices if exporters conclude the meeting without extending the deal. But she says the market is better positioned to absorb the shock today than it was in May, when an initial nine-month extension was a “no-brainer.”', 'That’s because OPEC has made substantial progress boosting oil prices and driving down global crude stockpiles since then. Still, Essner believes markets could see a repeat of the sell-off that followed May’s extension.', '“It looks really similar in setup to where we were in May,” she said. “OPEC did exactly what they telegraphed and nothing more, and we lost everything we gained,” she said.']",-1
9,2019-09-17T12:30:09+0000,"['Wall Street bull Tony Dwyer expects consumer spending to withstand oil’s dramatic price spike following the  unprecedented attack on Saudi Arabia’s crude production.', 'He contends it’s because Americans are spending less than ever on their fuel needs.', 'Dwyer makes his case in this chart.', '', '“Total energy spending is less than 4 percent of disposable personal income,” the Canaccord Genuity chief market strategist told CNBC’s “Trading Nation” on Monday. “In the peak around the early 1980s, it was closer to 8, 9%. Even at the end of 2008, it was closer to 6½-7%.”', 'A drone strike on Saturday knocked out half of Saudi’s oil production or 5% of global output. Brent crude prices, the international benchmark, soared as much as 19.5% following the attack, its biggest jump on record.', 'West Texas Intermediate crude saw a similar move, rising $8.05 a barrel Monday to close at $62.90 a barrel.', 'In a note Monday, Dwyer said: “WTI spent most of the current quarter below the level 2Q/19 level, and Disposable Income has been moving higher, suggesting that — despite this uptick due to the drone attack in Saudi Arabia — the cost of Energy is likely less as a percent of income than the most recent quarter.”', 'Dwyer is so confident that spending will weather the oil price jump that he says consumer discretionary remains one of his favorite S&P 500 groups.', '“We’re really near a historic low on what the energy cost, even on an uptick, is relative to incomes,” Dwyer said.', 'Disclaimer']",-1
