,date,content,label
0,2022-04-06T11:52:38+0000,"['Check out the companies making headlines before the bell:', 'Twitter (TWTR) – Twitter fell 1.5% in premarket trading, potentially breaking a three-day win streak that has seen it gain nearly 32%. Elon Musk – now Twitter’s largest shareholder – changed the type of SEC filing regarding his share purchase to show it was not “passive.”', 'Spirit Airlines (SAVE) – Spirit said its board will consider a new $3.6 billion cash takeover offer from JetBlue (JBLU). Spirit had agreed in February to be bought by Frontier Airlines parent Frontier Group (ULCC) for $2.9 billion in cash and stock. Spirit slid 2.8% in the premarket, with JetBlue dropping 3.7% and Frontier falling 3.9%.', 'Tilray (TLRY) – Tilray rose 2.1% in the premarket after reporting an unexpected profit for its latest quarter, even as revenue fell below analyst estimates. The cannabis producer also announced a deal with supermarket chain Whole Foods, which will sell the hemp powders produced by Tilray’s Manitoba Harvest subsidiary.', 'Rivian (RIVN) – Rivian shares gained 1.7% in the premarket after the company said it was on pace to achieve its previously stated production target of 25,000 electric vehicles this year.', 'Occidental Petroleum (OXY) – The energy producer’s shares added 1.7% in premarket action after Stifel Financial began coverage with a “buy” rating. Stifel said Occidental remains attractively priced even after it nearly doubled so far this year, noting a largely underappreciated low carbon business.', 'Intel (INTC) – Intel announced it suspended business operations in Russia, following last month’s suspension of semiconductor shipments to customers in Russia and Belarus. Intel fell 1.1% in premarket trading.', 'Gogo (GOGO) – Gogo surged 10.4% in premarket trading after the aviation industry broadband provider announced its stock would join the S&P SmallCap 600 index prior to Friday’s open.', 'Array Technologies (ARRY) – Array Technologies rallied 14.5% in the premarket after the renewal energy equipment maker reported better-than-expected quarterly revenue and issued an upbeat revenue outlook. It also named Kevin Hostetler as its new CEO, effective April 18, replacing the retiring Jim Fusaro.', 'Simply Good Foods (SMPL) – The maker of nutritional foods and snacks reported better-than-expected profit and revenue for its latest quarter and raised its sales forecast for the current year.']",13
1,2022-01-03T02:00:27+0000,"['Chipmakers have been clear winners in the pandemic era, and the momentum in the semiconductor space is set to remain strong going into 2022, according to a report released Monday by trade credit insurer Euler Hermes.', '“The current semiconductor cycle has been firing on all cylinders since the industry emerged from its worst recession in 2019,” analysts at Euler Hermes said.', 'Semiconductor sales are expected to grow by another 9% and cross $600 billion for the first time in 2022, the analysts predicted. That’s on top of the 26% growth to $553 billion in 2021, they added.', 'A months-long semiconductor shortage during the pandemic impacted a wide-range of industries — from automobiles to gaming consoles — as chipmakers struggled to keep up with unprecedented demand as global economic activity bounced back from the Covid crisis.', 'While major chipmakers like TSMC have already announced plans to increase capacity, it usually takes years before these facilities come online. TSMC’s Taiwan-listed shares have already surged more than 80% in roughly two years.', 'Three factors have driven up sales so far, analysts from Euler Hermes said. They are:', 'Looking into the new year, the analysts said those same three market drivers are expected to ease as demand growth normalizes and new production capacities come online in an accelerated fashion.', 'In addition, the analysts identified four risks faced by the semiconductor sector:', 'Several factors are also expected to “set the tone for 2022” in the chip sector, according to Aurelien Duthoit, sector advisor for technology and retail at Euler Hermes.', 'Beyond normalization of demand in areas such as computers and servers, Duthoit identified factors such as “unpredictable and random events” hurting major semiconductor manufacturing locations like Taiwan and South Korea.', 'Fresh developments in the technological “Cold War” between the U.S. and China could also prevent semiconductor technology specialists from selling to Chinese companies, he added.']",-1
2,2021-10-25T01:03:44+0000,"['GUANGZHOU, China — China’s technology giants have been pushing to develop their own semiconductors or chips, a move seen as progress toward China’s goal to become self-reliant in the critical technology.', 'In reality, China is still a long way off even if it’s one step closer to self-sufficiency, according to one expert, adding that the country is still heavily dependent on foreign technology and lagging in the so-called leading edge part of the chip market.', 'Semiconductors are key components in everything from smartphones to modern refrigerators to cars. They’ve also become a key focus of the broader technology battle between the U.S. and China.', 'The world’s second-largest economy has for years invested heavily into boosting its domestic chip industry, but it has struggled to catch up with rivals in the U.S. and other parts of Asia. Increasingly, semiconductors are seen as key to national security for many countries and a sign of technological prowess.', 'There’s been a slew of announcements from major Chinese technology companies this year regarding chips made in China.', 'In August, Baidu launched Kunlun 2, its second-generation artificial intelligence chip. This week, Alibaba released a chip designed for servers and cloud computing. Smartphone maker Oppo is also developing its own high-end processors for its handsets, the Nikkei reported on Wednesday.', 'While these companies are designing their own chips, they might still have to rely on foreign tools to do so. But when it comes to manufacturing and the broader supply chain, China’s internet giants are still heavily dependent on foreign companies.', '“This is a step in becoming more self-sufficient in semiconductors but a small one,” Peter Hanbury, a partner at Bain & Company, told CNBC by email. “Specifically, these are examples of locally designed chips but a lot of the IP [intellectual property], manufacturing, equipment and materials are still sourced internationally.”', 'The reason these companies are designing their own chips is because they can create semiconductors for specific applications so as to differentiate from their competitors.', 'A closer look at the specifics of the silicon being designed shows China’s reliance on foreign companies.', 'Take Alibaba’s new Yitian 710 chip. That is based on architecture from British semiconductor firm Arm. It will also be built upon the so-called 5-nanometer process, the most advanced chip technology at the moment.', 'Baidu’s Kunlun 2 chip is based on the 7-nanometer process. Oppo meanwhile is reportedly working on a 3-nanometer chip.', 'This is where the challenge lies for China.', 'The country does not have a company capable of manufacturing these leading edge semiconductors at these sizes. They will have to rely on just three companies — Intel from the U.S., TSMC from Taiwan and Samsung in South Korea.', 'China’s largest chip manufacturer SMIC is still years behind its companies in terms of manufacturing technology.', 'But it’s not just manufacturing. Even companies like TSMC and Intel rely on equipment and tools for the manufacturing process from other companies.', 'In that area, power is concentrated in the hands of a few: ASML, a company from the Netherlands, is the only company in the world capable of making a machine that chip manufacturers need to make the most advanced chips.', '“The semiconductor ecosystem is large and complex, so building self-sufficiency is very difficult across such a broad range of technologies and capabilities,” Hanbury said.', '“In general, the most challenging area to build self-sufficiency will be the leading edge. Here, the challenge is you need both investment dollars, but you also need to overcome the massive requirements around technical expertise and accumulated experience.”', 'The reliance on foreign companies leaves Chinese firms vulnerable to any geopolitical tensions — as was the case with both Huawei and SMIC.', 'Huawei designed its own smartphone processors called Kirin. The chips were usually based on the latest technology and helped the Chinese smartphone giant become one of the biggest smartphone players in the world.', 'However, the U.S. put Huawei on a trade blacklist called the Entity List in 2019 which cut off the Chinese company from certain U.S. technology. Last year, Washington introduced a rule which requires foreign manufacturers using American chipmaking equipment to get a license before they’re able to sell semiconductors to Huawei.', 'Huawei’s chips were manufactured by TSMC. But when the U.S. rule was introduced, TSMC could no longer make semiconductors for Huawei. That crippled its smartphone business globally.', 'SMIC is also on the U.S. blacklist which restricts its access to American technology.', 'These sanctions could be a concern for Chinese companies now developing their own chips.', '“For example, if there was an effort to block the shipment of smart phone processors then Oppo, for example, would have a domestically designed source of chips,” Hanbury said. “However, most of these chips are still manufactured using international technology so they could still lose access to their chips if the manufacturing partner for these chips were blocked from manufacturing.”', 'Governments around the world now see semiconductors as extremely strategic and important technology.', 'U.S. President Joe Biden has called for a $50 billion investment in semiconductor manufacturing and research and has looked for chipmakers to invest in the country. In March, Intel announced plans to spend $20 billion to build two new chip factories, called fabs, in the U.S.', '“This is about out-competing China,” Commerce Secretary Gina Raimondo told CNBC in March.', 'Washington has looked to bring semiconductor manufacturing back to the U.S., seeing it as key for national security, given the supply chain is very concentrated in Asia.', 'But like-minded nations are also trying to work together to ensure their semiconductor supply chains are secure.', 'Leaders of the the United States, India, Japan and Australia, a group known as the Quad, announced plans in September to establish a semiconductor supply chain initiative aimed at identifying vulnerabilities and securing access to semiconductors and their vital components.', 'A lot of the recent discussion on semiconductor supply chains was sparked by a global chip shortage that has hit industries from autos to consumer electronics, and worried leaders about their countries’ ability to secure semiconductors when required.', 'China may be ahead of its peers in some areas of chip development, but it will find difficulty catching up with cutting-edge technology, at least in the short term.', 'For example, SMIC can manufacture 28-nanometer chips on a large scale. These could be used in TVs or even autos — an area China could do well in, particularly with the current shortage of semiconductors.', 'However, to put things in perspective, TSMC is already working on 3 nanometer technology. SMIC would have to master the manufacturing processes that TSMC has been doing for years before being able to catch up.', '“So even moving quickly forward across these existing technologies would not be enough to catch up and reduce reliance at the leading edge because the leading edge is constantly moving forward,” Hanbury said.', '“It’s like running a race to catch a really fast runner while that runner is quickly running away from you.”']",102
3,2021-11-24T10:50:46+0000,"['Samsung is planning to build a $17 billion semiconductor factory in Taylor near Austin, Texas, over the next three years as part of an effort to increase its manufacturing capacity and alleviate the global chip shortage.', 'The South Korean tech giant announced the 5 million square meter facility Tuesday, a day after The Wall Street Journal broke the news.', 'The factory will aim to help boost production of advanced logic semiconductors, which are used in phones and computers.', '“Like other chipmakers, Samsung badly needs more capacity,” Glenn O’Donnell, vice president and research director at analyst firm Forrester, told CNBC Tuesday. “It is following Intel, TSMC and others to build more production.” ', 'Samsung said it expects building work to commence in the first half of 2022 and it hopes to have the site in operation by the second half of 2024.', 'The total expected investment of $17 billion will be the largest investment Samsung has ever made in the U.S. The figure includes buildings, property improvements, machinery and equipment.', 'Samsung began operations in the U.S. in 1978 and it employs over 20,000 people across the country. The latest investment will bring Samsung’s total investment in the U.S. to more than $47 billion, the company said.', 'O’Donnell said the new factory “helps expand the geographic diversity from Asia,” adding that a lack of diversity was “a problem we saw glaringly as the pandemic hit.”', 'In February, President Joe Biden said domestic semiconductor manufacturing is a priority for his administration. His administration hopes to fix ongoing chip shortages and address lawmaker concerns that outsourcing chipmaking had made the U.S. more vulnerable to supply chain disruptions.', 'Kinam Kim, vice chairman and CEO of the Samsung Electronics Device Solutions Division, said in a statement that the factory will help Samsung to better serve the needs of its customers and “contribute to the stability of the global semiconductor supply chain.”', 'Kim added that he was grateful for support from the Biden administration and partners in Texas.', 'Greg Abbott, the governor of Texas, said the factory will bring opportunities for Central Texans and their families.', 'Alan Priestley, vice president of emerging technologies and trends at analyst firm Gartner, told CNBC that Samsung already has a well established ecosystem of partners and suppliers in Texas because it already has a factory in Austin.', '“A lot of semiconductor companies have development sites in Austin so it’s a good pool of resource,” he said.', '“As with any major investment like this there were no doubt local incentives (tax breaks, financing etc) to encourage Samsung to build in Texas,” Priestley added.', 'O’Donnell said: “U.S. semiconductor manufacturing has waned over the past decades and Washington rightly sees this as a national security risk. Texas has the right weather and geological stability for such a facility and a good supply of tech-savvy workers.” ', 'Samsung’s two main rivals in the semiconductor manufacturing market are Intel and TSMC.', 'In March, Intel announced that it is spending $20 billion to build two new chip plants in Arizona. Meanwhile, TSMC is also building a new factory in Arizona.', 'The vast majority of the world’s chips are currently made in Asia, with Taiwan and South Korea being particular hotbeds of activity. The U.S. and Europe want to start making more of their own chips.', 'Headquartered in Hsinchu, Taiwan, TSMC was responsible for 24% of the world’s semiconductor output in 2020, up from 21% in 2019, according to the company.', '']",102
4,2022-02-05T00:25:29+0000,"['DETROIT – Ford Motor is cutting production next week of several key products due to an ongoing global shortage of semiconductor chips.', 'The automaker on Friday confirmed production downtime next week for the Ford Bronco and Explorer SUVs; the Ford F-150 and Ranger pickups; the Ford Mustang Mach-E electric crossover; and the Lincoln Aviator SUV at plants in Michigan, Illinois, Missouri and Mexico due to the parts shortage.', 'The automaker also is cutting some productions of the F-150 and Ford Transit cargo vans at plants in Michigan and Missouri.', 'The cuts signal the chip shortage that devastated the auto industry last year continues to linger. They come a day after Ford significantly missed Wall Street’s earnings expectations due to lower-than-expected production caused by the supply chain issues, causing shares to tumble 9.7% on Friday.', '“The global semiconductor shortage continues to affect Ford’s North American plants – along with automakers and other industries around the world,” Ford said in an emailed statement. “Behind the scenes, we have teams working on how to maximize production, with a continued commitment to building every high-demand vehicle for our customers with the quality they expect.”', 'The fact that Ford is cutting some of its most profitable and in-demand models such as the Bronco, Mach-E and F-150 shows automakers continue to battle with the problem despite many in the industry expecting a gradual improvement in the supply of chips in 2022.', 'Ford sold 1.9 million vehicles in the U.S. in 2021, down by 6.8% as it managed through a global shortage of semiconductor chips. The parts problem forced Ford and other automakers to sporadically shutter plants and depleted vehicle inventories.', 'After increasing by roughly 140% in 2021, shares of Ford are down by 13.5% this year.']",104
5,2022-04-04T22:47:07+0000,"['CNBC’s Jim Cramer on Monday said that some of the pandemic-era winners that rallied on Monday will be able to hold onto their recovery while others will flounder.', '“When you see all the so-called pandemic plays roaring, without any kind of upsurge in Covid, you’ve got to take them on a case-by-case basis,” the “Mad Money” host said. “Some of these will be one-and-done moves, but I think the higher-quality names have overshot their downside and can bounce for more than one day before they run out of steam,” he added.', 'The tech-heavy Nasdaq Composite gained 1.9% on Monday following news that Tesla CEO Elon Musk purchased a 9.2% passive stake in Twitter. The Dow Jones Industrial Average rose 0.3%, and the S&P 500 advanced 0.8%, both increasing for the second consecutive session.', 'To illustrate his point, Cramer selected nine companies that rallied on Monday and offered his thoughts on each one. ', 'Here is his analysis of each company:', 'Peloton', '“With [CEO Barry] McCarthy at the helm, I am bullish on Peloton. Even if this quarter is weak, I think it’s worth owning as a long-term bargain,” Cramer said.', 'Zoom ', 'Zoom “simply must do something besides being a well-managed video conferencing company. … If they remain as they are, then I say count me out,” Cramer said.', 'DocuSign', 'Cramer said he also believes DocuSign needs to make a change in order to perform well post-pandemic. “With Covid receding, more deals will now be done face-to-face,” he said, adding he believes the stock will continue falling.', 'Roku', '“Unless Elon Musk takes a huge position here, I’m betting [Monday’s rally] will be a one-day move,” Cramer said.', 'DoorDash', '“I actually have high hopes for this company long term. … But because it’s losing money, I can’t recommend the stock,” Cramer said.', 'Shopify', 'The company ″works longer term″ but needs to grow into its market cap in order to succeed, Cramer said.', 'Etsy', 'Cramer said he believes Etsy stock should be priced higher than it currently is.', 'PayPal', '“This one’s a loser and will remain a loser,” Cramer said, adding that PayPal’s growth is decelerating.', 'AMD', 'The stock is “not ridiculously cheap but … AMD is one of the best semiconductor names, a very enterprise-oriented business at a time when enterprise is the strongest of any of the customer cohorts,” Cramer said.', 'Disclosure: Cramer’s Charitable Trust owns shares of PayPal and AMD.', 'Sign up now for the CNBC Investing Club to follow Jim Cramer’s every move in the market.', 'Disclaimer']",15
6,2022-02-03T10:34:20+0000,"['Sales of the Nintendo Switch console have surpassed the Wii, but the global semiconductor shortage forced the Japanese gaming giant to cut its forecast for the device.', 'Nintendo has sold 103.54 million units of the Switch since its release in early 2017 — that’s just above the 101.63 million units of the Wii sold since its release in 2006. The company no longer produces the Wii.', 'It’s a big milestone for the Switch, as the Wii was one of Nintendo’s most popular consoles. The Switch still trails sales of the original handheld Gameboy and later generation Nintendo DS, however.', 'On Thursday, the company said that in the nine months to the end of December, it sold 18.95 million units of the Switch, which includes the handheld Switch Lite. That marks a 21.4% year-on-year fall.', 'It added that it now expects to sell 23 million units of the Switch in its fiscal year which runs to the end of March, down from a previous forecast of 24 million.', 'Nintendo, like many other consumer electronics companies, has been grappling with a shortage of components, in particular semiconductors which power its devices.', '“The outlook for semiconductors and other components has remained uncertain since the start of this fiscal year and distribution delays remain unresolved, so production and logistics continue to be impacted,” Nintendo said in a statement on Thursday.', 'A lack of semiconductors means Nintendo can’t produce enough consoles to meet demand for the Switch.', 'The cut comes after Sony on Wednesday slashed its full-year PlayStation 5 sales forecast from 14.8 million units to 11.5 million.', 'For the December quarter, Nintendo reported revenue of 695.94 billion yen ($6.06 billion), a 9.6% year-on-year rise. Operating profit rose nearly 10% year-on-year to 252.6 billion yen.', 'Despite Switch hardware sales falling, users are still buying games online which is heling to prop up revenue and profit, however.', 'Digital sales, which includes downloads of games and add-on content, totaled 110.8 billion yen in the December quarter, up 31% versus the same period last year. That was driven by success of Nintendo’s first party games including Pokemon Brilliant Diamond, Pokemon Shining Pearl and Mario Kart 8 Deluxe.', 'Last month, Nintendo released a new game called Pokémon Legends: Arceus with further high-profile titles scheduled for later this year.', 'Strong software sales prompted the Japanese gaming giant to revise up its forecasts for the financial year ending March 2022. Nintendo now expects operating profit of 560 billion yen, up from a previous forecast of 520 billion yen.', 'The company also expects sales of Nintendo Switch software to be 220 million units up from the previous forecast of 200 million units.', 'Nintendo’s earnings follow high-profile acquisitions from its two closest rivals. Microsoft proposed a $68.7 billion takeover of Call of Duty maker Activision last month. Just days later, Sony agreed to acquire developer Bungie for $3.6 billion.', 'Sony and Microsoft have looked to build up their intellectual property over the past few years and boost the number of self-developed titles they have on offer. Nintendo has been less aggressive in acquisitions because it has a long-standing history of strong characters and games such as Pokemon and Mario.', 'Nintendo President Shuntaro Furukawa said at a press conference that the company is not against deals, Reuters reported, but added: “It wouldn’t be a plus to suddenly bring in people who don’t have Nintendo’s way of thinking.”', 'Daniel Ahmad, senior analyst at Niko Partners, said that Nintendo is “extremely selective” about its investments, pointing toward its acquisition of Next Level Games last year. The studio already makes games for Nintendo.', '“If Nintendo was to ramp up M&A [mergers and acquisitions] in the future, we would expect them to focus on companies where they already have a strong working relationship,” Ahmad said. ']",-1
7,2022-01-11T14:57:04+0000,"['Nvidia’s $40 billion bid to buy U.K. chip designer Arm from Japanese tech giant SoftBank isn’t quite going to plan.', 'The deal, which is set to miss the target deadline of March 2022, is being closely scrutinized by regulators in the U.S., the U.K., Europe and China who are concerned that it could reduce competition. SoftBank, Nvidia and Arm agreed to complete the transaction within 18 months of September 2020.', 'There’s a high chance that one or more of the regulators will block the deal altogether, according to Gartner analyst Alan Priestley and other investors.', 'But Nvidia and Arm aren’t giving up yet.', 'In a 28-page written submission to the U.K.’s Competition and Markets Authority that was published Monday, the semiconductor heavyweights outlined why the deal should be approved. They accused the deal’s critics of “romanticizing” Arm’s history, ignoring the company’s current financial position and overstating Arm’s current market power.', 'Widely viewed as a the jewel in the crown of the U.K. tech industry, Arm was spun out of an early computing company called Acorn Computers in 1990. The company’s energy-efficient chip designs are used in 95% of the world’s smartphones and 95% of the chips designed in China. The company, bought by SoftBank in 2016 for £24 billion ($32 billion), licenses its chip designs to more than 500 companies who use them to make their own semiconductors.', 'Critics are concerned that the merger with Nvidia — which designs its own chips — could restrict access to Arm’s “neutral” semiconductor designs and may lead to higher prices, less choice and reduced innovation in the industry. But Nvidia argues that the deal will lead to more innovation and that Arm will benefit from increased investment.', 'Britain’s Digital and Culture Secretary, Nadine Dorries, ordered a “phase 2” probe into the takeover in November. The probe — which is being carried out by the CMA over a 24-week period — will investigate antitrust concerns and national security issues associated with the deal. The submission from Nvidia and Arm does not mention security once.', 'Elsewhere, the Federal Trade Commission sued to blocked the deal in December on antitrust grounds, while the European Commission, the executive arm of the EU, launched its own in-depth investigation into the deal in October.', '“Whilst Arm and Nvidia do not directly compete, Arm’s IP is an important input in products competing with those of Nvidia, for example in datacenters, automotive and in internet of things,” Margrethe Vestager, the European Commission’s executive vice president, said in a statement.', '“Our analysis shows that the acquisition of Arm by Nvidia could lead to restricted or degraded access to Arm’s IP, with distortive effects in many markets where semiconductors are used,” she added.', 'In their submission, Nvidia and Arm attempted to downplay the assertion that the deal could cut off competitors from key Arm technology.', '“The theory does not hold up to scrutiny,” they wrote. “Trying to foreclose Arm licensees would immediately reduce Arm’s licensing revenue, immediately damaging Nvidia’s investment. No economically rational, publicly traded entity would embrace such a self-defeating strategy.”', 'Some critics have suggested SoftBank should list Arm on the stock market instead of selling the Cambridge-headquartered firm to Nvidia. But Nvidia and Arm claim that the acquisition is the best option on the table and that an IPO would pressure Arm to “narrow its focus and limit investments.”', 'The duo wrote: “In the media, deal opponents urge the CMA to block the deal so that Arm can pursue an initial public offering, which they assume would be launched in the UK on the London Stock Exchange. They equate Arm’s popularity with a high market valuation and success, but the public markets are unsentimental. The capital markets demand profitability and performance.”', '“SoftBank considered and rejected an IPO in 2019 and again in early 2020 because the markets would not give SoftBank the necessary return on its investment. While Arm’s licensees such as Apple, Qualcomm, and Amazon have enjoyed skyrocketing revenue growth and profits, as well as soaring market valuations, Arm has lately endured comparably flat revenues, rising costs, and lower profits that would likely present challenges for a 30-year old public company. The capital markets would expect Arm to make significant strategic changes, including cutting costs to maximize Arm’s value.”']",102
8,2022-04-04T15:31:27+0000,"['Tesla’s first-quarter electric vehicle deliveries in the first quarter slightly missed consensus Wall Street expectations, but analysts continue to be optimistic about the EV maker’s strength in navigating industrywide supply chain challenges.']",104
9,2021-11-12T13:51:18+0000,"['Daimler Truck CEO Martin Daum revealed Friday that he’s more worried about the global semiconductor shortage than he is about the economic impact of the coronavirus pandemic.', '“I’m more concerned about semiconductors than Covid at the moment,” Daum told CNBC’s “Street Signs Europe.” “Trucks are necessary to keep our system alive, even in the depth of the crisis.”', 'Daum said he doesn’t see Covid as a major risk to Daimler Truck at the moment. “The risks are the supply situation, especially on the semiconductor side,” he said.', 'The executive said that truck manufacturers normally “estimate the market” and then set targets for market share. “Then you have a feeling for what your production quota is,” Daum said. ', '“These days, you call your semiconductor suppliers, ask how many you can get and that’s basically your production program because you know every single truck you build will sell.”', 'Automotive chipmaker Infineon is struggling to meet demand for its semiconductors, according to the company’s CEO, Reinhard Ploss. “The automotive, but also other verticals, are very tight currently on supply,” Ploss told CNBC’s “Squawk Box Europe” on Wednesday.', '“We are far away from matching the demand,” he said, adding that demand is constantly increasing because there’s a backlog building up. “The problems are rising and piling up over time.”', 'Infineon opened a new 1.6 billion euro ($1.8 billion) semiconductor factory in Villach, Austria, in September as part of an effort to meet demand for its products. It said chips from the plant will primarily be used to meet demand from the automotive industry, data centers and renewable energy generation of solar and wind power.', 'Analysts have said that the move toward electric vehicles isn’t helping the semiconductor shortage as they can require up to 10 times as many chips as traditional vehicles.', 'But electric vehicles being manufactured by Daimler Truck do not require “significantly higher” numbers of semiconductors compared to internal combustion engine equivalents, Daum said.', '“I would say it’s less than 10% so that’s not the decisive point,” he said.']",-1
