,date,content,label
0,2021-01-08T03:40:28+0000,"['GUANGZHOU, China — Chinese search giant Baidu will create a standalone electric vehicle company, a person familiar with the matter told CNBC.', 'The Beijing-headquartered company will be the majority shareholder while Chinese automaker Geely will take a minority stake, the person said. Geely will be responsible for manufacturing the vehicles while Baidu will focus on the software behind the car.', 'Baidu and Geely declined to comment when contacted by CNBC.', 'Hong Kong-listed shares of Geely were up more than 13% after Reuters first reported the news.', 'Baidu relies heavily on advertising revenue but it has been looking to diversify its business to other areas such as cloud computing and autonomous driving software, areas that analysts see as promising for the company.', 'The company has already been testing its driverless car software, named Apollo, in public robotaxi trials in Beijing. Baidu also has its own map app and voice assistant technology called DuerOS, which can be equipped inside a vehicle.', 'China’s electric car market continues to grow, helped by government support in the form of subsidies and charging infrastructure.', 'Sales of pure electric vehicles from January through November rose 4.4% from a year ago, versus a decline of 7.6% in overall passenger car sales during the same time, according to China’s Ministry of Industry and Information Technology.', 'Baidu will be jumping into an increasingly competitive market competing with the likes of Tesla as well as domestic electric vehicle firms such as Nio, Li Auto and Xpeng Motors.', 'The latter three firms all recently reported a surge in car deliveries for December.', 'China’s tech giants have all been investing in electric vehicles or auto-related technology. Alibaba is an investor in Zhiji, an electric vehicle business created by Chinese state-owned carmaker SAIC Motor.', 'Meanwhile, ride-hailing firm Didi launched its own electric vehicle with automaker BYD, which is backed by billionaire Warren Buffett.', 'Elsewhere, Hyundai Motor said it was in early-stage discussions over a tie-up with Apple to make a car.']",104
1,2021-01-06T22:33:18+0000,"['Tesla and other electric vehicle makers stand to benefit handsomely if California passes Governor Newsom’s proposed $4.5 billion 2021 budget for economic stimulus in the state.', 'The 2021 proposal, which Newsom previewed on Tuesday, includes $1.5 billion earmarked to help people and businesses purchase electric or hydrogen vehicles and equipment, and to invest in construction and maintenance of charging and fueling infrastructure, which would be needed to support expanded use of these vehicles in the state.', 'Newsom’s proposal also dedicates $300 million to maintenance and “greening” of state infrastructure, and would allow installation of electric vehicle charging stations at all state-owned facilities. That could include charging stations from the likes of Tesla, ChargePoint, Electrify America (part of the Volkswagen Group) and Volta Charging.', 'After a year of extreme wildfires harming his constituents and the California economy, Newsom has said many times over that he views pollution and climate change as an emergency that requires immediate action. ', 'To that end, in September 2020, the governor signed an order banning sales of new internal combustion engine vehicles in California by 2035. The order would still allow gasoline vehicles to be owned and sold on the used-car market but could ostensibly help reduce greenhouse gas emissions by making these vehicles more scarce.', 'The newly proposed 2021-2022 budget could benefit any makers of electric and hydrogen vehicles selling used or new vehicles in California, and there are more than ever coming in 2021.', 'According to AutoForecast Solutions Vice President of Global Vehicle Forecasting, Sam Fiorani, in the next year alone, eleven new North American-built electric vehicles are expected to enter the domestic market, along with an updated Tesla Model S.', 'Imported EVs are also poised to sell stateside, including in California. These include the Nissan Ariya, Volkswagen ID.4 and others.', 'Fiorani noted, “Most of the next-wave of electric vehicles will be crossovers, however the pickup wave is just beginning,” with Ford, Rivian and others’ pickups hotly anticipated, along with Tesla’s eventual Cybertruck.', 'Tesla stands to benefit from other elements of Newsom’s proposal, too.', 'The governor has said the state should expand “interest-free payment options for larger businesses particularly affected by significant restrictions on operations due to Covid-19,” and suggested $430 million in incentives and grants for businesses that “locate in California to stay, grow and create quality full-time jobs in the state” and to “support job creation and investments in infrastructure.”', 'He is expected to unveil a full version of his budget proposal on Friday this week.']",104
2,2021-03-01T13:51:24+0000,"['Electric vehicle stocks could climb up to 50% this year, according to Wedbush analyst Daniel Ives, who thinks there’s enough room in the market for more than just Tesla.', '“In my opinion EV stocks could be up another 40- 50% this year, given what we’re seeing in terms of a green tidal wave globally,” Ives told CNBC’s “Street Signs Europe” Monday.', '“I think right now it’s a big enough ocean for more than one boat,” said Ives. “It’s not just going to be Tesla’s world.”', 'Ives said he expects the electric vehicle industry to grow into a $5 trillion market over the next decade; in 2020, market research firm Fortune Business Insights valued it at around $250 billion.', 'He’s also bullish on the outlook for traditional automakers, as well as pure electric vehicle makers like Tesla.', '“This is really going to be what I believe is a renaissance of growth for these automakers and you’re going to see a re-rating,” he said, pointing to General Motors and Ford.', 'And it’s not just EV makers that analysts are bullish on. In a February note, Goldman analysts pointed to six EV battery specialists with significant potential upside.  ', '“This is one of the most transformational growth trends in the last 20 or 30 years in terms of EV, and many are going to play and win in this sector over the coming years,” Ives added.', 'One thing that currently sets Tesla apart from other electric vehicle makers is the $1.5 billion it has put into the world’s best-known cryptocurrency, bitcoin.', 'Ives said that Tesla is now “tied to the hip a bit” with bitcoin, but that’s not necessarily a bad thing.', '“I think that’s a double-edged sword,” he said in reference to the investment. “I still believe it’s a smart strategic move for Tesla to go after Bitcoin … They’ve made more from Bitcoin than they have from selling EV cars last year.”', 'Ives said he thinks that between 3% and 5% of U.S. corporations will own bitcoin or another cryptocurrency in the next 12-18 months.', '“It’s going to be contained until we start to see more regulatory goal posts, but this is not going away,” he said, pointing to recent bitcoin investments from fintech firm Square and software giant MicroStrategy.']",104
3,2020-09-29T00:07:00+0000,"['BEIJING – Luxury and electric vehicles emerged as bright spots at this year’s Beijing Auto Show, which kicked off this weekend in the aftermath of the coronavirus pandemic with about 200 fewer vehicles than previous shows.', 'China is the world’s largest auto market, but car sales have slumped in the last three years amid a nationwide slowdown in growth. The economic shock of Covid-19 earlier this year further hit the auto industry, which in 2018 accounted for about 10% of China’s retail sales and one-sixth of jobs, according to official figures.', 'Now in a sign of some recovery, global and domestic automakers alike are reporting increased demand – at least in the high-end or electric vehicle segment.', 'Despite a 60% year-on-year drop in sales in February, German luxury brand Porsche predicts its sales in mainland China and Hong Kong this year can at least match that of 2019, or even set a record, China CEO Jens Puttfarcken told CNBC. Porsche said China sales climbed 8% in 2019 to a record high of over 86,000 vehicles.', 'Covid-19 has affected consumer psychology, increasing the popularity of private transport while prompting many Chinese to splurge, Puttfarcken said. He added that consumers are now spending more on luxury cars instead of travel.', 'He expects demand to remain strong through at least the first half of next year. Orders in the country already hit a monthly record in June of nearly 10,000 and have since held above 9,000, Porsche said. China is the brand’s largest market, accounting for 34% of global sales in the first half of the year.', 'Like many international automakers at the Beijing Auto Show, Porsche is also getting into the Chinese electric vehicle market.', 'The company’s China offerings in the segment have so far held in the high price range of well over 1.1 million yuan, or about $160,000. By the end of the year, Porsche plans to offer a base version of its electric sportscar Taycan for 888,000 yuan. That’s closer to the price range of Tesla vehicles in China.', '“The electrical market in general is, like the whole automotive market, is a highly competitive market,” Puttfarcken said, “especially here in China where we see here a lot of brands that are unknown to the rest of the world, building up very interesting products and very highly sophisticated technologies.”', 'When the coronavirus outbreak stalled, the Chinese government quickly announced support for electric vehicles, which are strategically key for national innovation.', '“This market is going to grow fast because in the end, the EV penetration in China is going to rise, (and) the high-end segment is going to be the first to be penetrated,” said Jing Yang, director of corporate research at Fitch Ratings. She pointed out that battery cost needs to come down further before electric vehicles can really become a mass market product.', 'New York-listed Chinese start-up Nio claims its battery rental plan, which was launched in August, already makes operating its electric vehicles cheaper than a comparable gasoline-powered one.', 'Nio founder and chairman William Li told CNBC in an interview Saturday that a very high proportion of users in China’s largest cities have chosen to buy the battery service plan.', '“Overall, demand (for our vehicles) is very strong,” Li said, according to a CNBC translation of his Mandarin-language remarks. He said the entrance of more automakers into electric vehicles would help consumers gain confidence in making the switch over from gasoline-fueled cars.', 'While the uptick in the high-end market is a positive sign for the industry, luxury car sales in the tens of thousands still only account for a fraction of the overall Chinese automobile market.', 'The Beijing Auto Show was delayed by about five months due to Covid-19, which first emerged late last year in the Chinese city of Wuhan. The outbreak stalled domestically by April, but accelerated worldwide. As a result, the New York auto show was postponed for the first time since World War II and subsequently canceled for the year.', 'This past weekend in Beijing, Wen Shuang, a Chinese social media influencer in the auto industry since 2012, said in an interview the delayed auto show didn’t have as many cars as she’d expected.', 'In contrast to the official count of nearly 1,500 vehicles on display at last year’s auto show in Shanghai, the Beijing show featured 785 vehicles, with 82 global debuts, down from 129 in 2019. Just under 100 auto brands participated, versus about 125 at last year’s auto show in Shanghai, according to CNBC calculations.', 'Several of China’s electric vehicle start-ups did not participate in the Beijing show, including Aiways and Li Auto, which listed this summer on the Nasdaq.', 'The global pandemic also forced many automakers, including high-end brands, to use more digital platforms to reach consumers.', 'In China, brands such as Volkswagen have joined short-video and livestreaming app Kuaishou. The platform’s users tend to be younger and live in less developed parts of China.', 'These consumers are still willing to spend money on cars, partly thanks to supportive policies, and there is significantly greater interest from the auto industry in the app, said Liu Limeng, director of content ecosystem for Kuaishou’s automobile unit, according to a CNBC translation of his Mandarin-language remarks. He was speaking on the sidelines of Kuaishou’s booth for streaming executive interviews from the Beijing Auto Show.', 'Feng Xingya, general manager and executive director of state-owned automaker Guangzhou Automobile Group (GAC), remained cautious on the industry outlook. In comments to reporters at the auto show, he said the company’s production and sales from January to August are still lower than a year ago, despite double-digit growth last month.', 'Overall, Feng said the automaker aims to achieve 3% growth this year.', 'For all the opportunity China presents, it will remain closer to a third, rather than half, of global sales for Sino-Swedish premium electric vehicle brand Polestar, its CEO Thomas Ingenlath told CNBC on Saturday. He said his expectations for the Chinese auto market’s growth have become more “realistic.”', 'Polestar was founded by Sweden-based Volvo Cars and Chinese automaker Geely. This summer, the start-up said it began deliveries of its first all-electric vehicle, the Polestar 2, to customers in Europe and China, with deliveries to the U.K. and North America to follow.', '“I do not believe now that the premium segment of the EV market in China is now that much more advanced than it is in certain regions in Europe or in America,” said Ingenlath, who was formerly senior vice president of design at Volvo. “There I see the world very much going in the same speed ahead.”']",-1
4,2021-05-27T09:52:02+0000,"['Ford’s updated business strategy should bring investors off the sidelines as the company’s electric-vehicle future becomes more clear, according to RBC Capital Markets.', 'The Detroit automaker unveiled a new turnaround plan at an investor day on Wednesday calling for more than $30 billion in investments in electric vehicles through 2025 and targets 40% of its sales as electric by 2030. The company also recently started accepting reservations for the all-electric F-150 Lightning.', 'RBC analyst Joseph Spak upgraded the stock to outperform from sector perform, saying in a note to clients on Thursday that the plan addressed some lingering concerns about the company’s pivot to electric vehicles.']",-1
5,2021-05-27T16:14:31+0000,"['Republican senators unveiled a counteroffer on infrastructure to President Joe Biden on Thursday that would make deep cuts to his proposed spending for electric vehicles, weakening a central component of the administration’s broader plans to combat climate change.', 'The GOP plan includes just $4 billion for electric vehicle infrastructure, scaling back Biden’s original proposal to spend $174 billion to boost the EV market and shift away from gas-powered cars in an effort to reduce domestic greenhouse gas emissions.', 'The Republican proposal as outlined Thursday did not address Biden’s other clean energy policies.', 'Many Republicans have argued that the infrastructure bill should only tackle traditional transportation issues, while Democrats have sought a broader package that addresses items such as climate change and clean energy.', 'White House press secretary Jen Psaki, in a statement Thursday, said the administration was concerned that the GOP proposal did not include substantial new funding to help the U.S. transition to a clean-energy economy.', 'The Biden administration’s counteroffer to Republicans last week reduced the overall price tag of its package while maintaining climate change policies, which are part of the president’s core agenda.', 'As part of his original plan, the president vowed to install at least half a million electric charging stations across the U.S. by 2030. He also proposed boosting domestic supply of EV materials and providing tax incentives for EV buyers as well as grant and incentive programs for charging infrastructure.', 'Electric cars comprise only about 2% of new auto sales in the U.S. but are seen as essential for combating global warming and achieving Biden’s plan to cut carbon emissions in half over the next decade and go carbon neutral by mid-century.', 'The largest spending item in the latest GOP offer is $506 billion for roads, bridges and major infrastructure projects, up $91 billion from their offer last month. Other spending increases include $72 billion for water systems, $22 billion for ports and waterways, and $65 billion for broadband.', 'The GOP counteroffer totals $928 billion over eight years, following the president’s latest offer to Republicans of $1.7 trillion, which was $600 billion less than his original proposal.', 'Biden’s infrastructure proposal includes energy initiatives to combat climate change, including the creation of an “Energy Efficiency and Clean Electricity Standard,” a mandate that would require some U.S. electricity to come from zero-carbon sources such as wind and solar power.', 'Biden’s plan aims to retrofit millions of homes to boost energy efficiency, with efforts focused on low-income and minority communities. It would also fund research and development projects on technologies such as carbon capture and storage, hydrogen and offshore wind.', 'His proposal also seeks to replace all lead pipes in the U.S. and update water systems to ensure safer drinking water. EPA Administrator Michael Regan at a press conference in Chicago on Thursday said investing in water infrastructure is “one of the best decisions we can make as a nation.”', 'The Senate Environment and Public Works Committee advanced on Wednesday a $304 billion reauthorization transportation bill for highways, roads and bridges. Sen. Tom Carper, D-Del., called the legislation an “important first step” to upgrade infrastructure and mitigate climate change while creating jobs.', 'The White House said it hopes to see progress in bipartisan negotiations on an infrastructure package by Memorial Day.']",104
6,2021-05-26T20:06:06+0000,"['Ford or General Motors?', 'Investors may once again be asking themselves that question after Ford’s announcement Wednesday  that it plans to boost its electric vehicle investments to $30 billion and target 40% EV sales by 2030.', 'Earlier this year, GM said it hoped to go all-electric by 2035. Its stock is underperforming Ford’s so far this month, quarter and year.', 'Two traders told CNBC on Wednesday that they were sticking with the leader.', '“Ford’s sales are booming,” Gina Sanchez, the founder and CEO of Chantico Global and chief market strategist at Lido Advisors, told CNBC’s “Trading Nation.”', 'Ford’s first-quarter earnings and revenue far exceeded Wall Street estimates despite an ongoing chip shortage that the company said would likely have its worst impact in the second quarter of this year.', '“The announcement of the electric Ford F-150 was massive, but I think the Mustang Mach-E is also the ultimate clean muscle car,” Sanchez said. “You have to think that they’ve got a lot of momentum going into this race.”', 'Momentum has also been a theme in Ford’s stock chart, with the stock up 58% year to date, Matt Maley, chief market strategist at Miller Tabak, said in the same interview.', '“Maybe General Motors can outperform slightly on a very near-term basis” because of Ford’s temporarily overbought condition, he said.', 'Ford shares closed almost 9% higher on Wednesday after reaching levels not seen since 2016.', 'Longer term, however, Ford is setting up for significant upside, Maley said.', '“It’s had a nice series of higher highs and higher lows with a new higher high just in the past week or so,” he said.', '“Not only that, but the stock has broken significantly above its very long-term trend line. This trend line goes all the way back to the late 1990s, so, this is really a bullish sign on a long-term basis,” he said. “Although both charts look pretty good, I think Ford is definitely the one that looks better on an intermediate and long-term basis.”', 'GM shares closed up just over 2% on Wednesday. That stock is up almost 39% this year.', 'Disclaimer']",-1
7,2020-10-08T13:18:32+0000,"['The rise of Tesla to become the world’s most valued automaker and the fear of missing out on the next auto industry disruptor have investors flocking to electric vehicle start-ups — even though many of the companies never have produced revenue or vehicles.', 'Many aspiring automakers are attempting to become the “next Tesla” but not all are expected to make it to market. They face vast capital expenditures, manufacturing hurdles (if they even have a factory or plan to assemble vehicles themselves) and an increasingly competitive market for all-electric vehicles. Plus this segment remains less than 2% of new U.S. vehicle sales, even as it is expected to grow in coming years.', 'CNBC surveyed more than 130 people online who identified themselves as current or potential future investors in the automotive industry to determine what EV start-ups they have the most interest in investing in now or in the future. We then took those results and asked Wall Street analysts and automotive industry experts what companies they feel are most likely to make it to market and create a sustainable business.']",104
8,2022-04-18T10:51:11+0000,"['NORMAL, Ill. – Rivian Automotive CEO Robert Scaringe hops out of one of the automaker’s R1T electric pickups outside of the company’s plant in central Illinois as a man chants, “R.J., R.J.!”', 'Scaringe, who goes by those initials, turns to the male employee who thanks him for the job at Rivian’s massive plant. The company’s 39-year-old founder reciprocates the appreciation and offers a handshake before heading into a meeting with suppliers.', 'The acknowledgement was one of many from employees that included fist-bumps, waves and other cordialities during a recent half-day visit to the plant with media and Scaringe, whose daily office is inside the former Mitsubishi Motors facility.', 'They’re pleasantries, but also signs of confidence in the CEO in the face of daunting challenges for the electric vehicle maker.', 'Wall Street has likewise applauded Scaringe, who founded the company in 2009 and brought it public through a blockbuster IPO in November. Most notably, Morgan Stanley lead auto analyst Adam Jonas dubbed Rivian as “the one” to be able to compete against EV industry leader Tesla.', 'But Rivian, like the rest of the automotive industry, is facing massive supply disruptions and has internally experienced expected, but still problematic, production snags that caused it to miss its production expectations last year.', 'The company’s stock price is off by more than 60% this year, as investors look for safer ground than an EV start-up amid recession fears.', 'Scaringe is aware of such problems but, like he has for more than a decade, remains focused on the mission at hand: to prove the company’s worth by actually producing vehicles, an ironic differentiator for the industry that separates Rivian from an influx of new EV start-ups in recent years. Rivian is currently producing the electric R1T pickups as well as Amazon delivery vans and some R1S SUVs.', 'Here’s what Scaringe had to say on the company’s production, parts shortages and more.', 'Scaringe said Rivian remains “really confident” it can produce 25,000 vehicles, including van and R1 models, in 2022. That estimate is down from initial expectations of about 50,000 vehicles, slashed by supplier disruptions.', 'Scarcity in semiconductor chips, a shortage the auto industry has been battling for more than a year now, and wire harnesses, which act as the nerves of a vehicle, poses the biggest hurdles for the company. Both are critical components in vehicles.', '“The vast majority of our vehicle is not having supply chain constraints. It’s just a small percentage,” Scaringe said. “It doesn’t take more than one part to stop the production.”', 'Scaringe doesn’t expect semiconductor supplies to normalize until next year. He, along with every other executive in the automotive industry, is regularly in contact with suppliers attempting to source, produce and ship as many parts as possible.', 'For Rivian, that includes having some of its employees on-site at the facilities of their suppliers in an attempt to assist production.', '“We don’t have a demand challenge at all. We have a ‘can we create enough vehicles’ challenge?” he told CNBC after a tour of the vehicle plant. “We have a supply chain problem. It’s frustrating, but we’re going to get through that.”', 'Rivian declined to disclose how many Amazon delivery vans the company has built, but dozens were waiting outside of the facility, ready to be delivered, and plenty more were being assembled inside.', 'The electric vans are expected to be a crucial part of Rivian’s growth. The first vans go to Amazon, Rivian’s largest shareholder with a 20% stake, followed eventually by deliveries to other companies.', 'Rivian says the vans can be produced faster than the consumer R1T and R1S vehicles because they have fewer features. They also go through fewer processes at the plant. For example, the painting of the vans – a tedious and long process – takes two hours less than paint jobs for the other vehicles.', 'Victor Taylor, senior director of stamping, body and plastic for the company, also noted there’s less complexity and time needed for the vans in the body shop.', 'Rivian, to the dismay of reservation holders, increased prices for its vehicles last month due to higher commodity costs. The company quickly rolled back the increases for its 70,000-some existing reservation holders but said it would hold to the updated pricing for new reservations made as of March 1.', 'The increases make the starting prices of the vehicles $67,500 for the R1T and $72,500 for the R1S. At those prices, both are considered luxury vehicles rather than mainstream models.', 'Scaringe said the company plans to produce lower-priced vehicles on its next-generation EV platform. Those vehicles will be manufactured at a planned $5 billion plant in Georgia, which is expected to come online in 2024.', 'Much like other automakers, Rivian also plans to maximize profits and increase performance of current models, according to Scaringe.', 'It’s the beginning of the end of fossil fuel-powered consumer vehicles — as far as Scaringe is concerned. The 39-year-old believes production and sales of such vehicles will come to an end in his lifetime, sooner rather than later.', 'Without putting an exact date on it, Scaringe said the end of that era is likely closer to 20 years from now rather than 50 years, with companies forced to move way from fossil fuels out of necessity as well as potential pressures from Wall Street and regulators.', '“Most countries around the world will stop selling gas engine-powered cars. The scale of the shift is hard to fully appreciate,” he said. “The challenge is whether it’s driven by policy or not. The businesses that are going to survive are the ones that recognize that the end state for combustion is zero.”', 'Rivian is among a flurry of EV start-ups to have gone public in recent years, but the company’s competitors have done so through deals with special purpose acquisition companies, or SPACs. Rivian held a traditional and more direct initial public offering.', 'Many companies that went the SPAC route have faced financial problems or received inquiries from the U.S. Securities and Exchange Commission into their deals to go public or other business matters.', 'Scaringe believes some of those companies won’t be competitors Rivian needs to worry about for much longer.', '“As the financial markets shifted from a growth orientation to more sort of a value orientation, I think a lot of those really underfinanced SPACs and companies like that are going to slowly start disappearing,” he said. “They’re going to run out of capital.”', 'Tesla CEO Elon Musk recently said the car company would make a “dedicated robotaxi.” He didn’t offer a timeframe or any additional details beyond saying it would “look futuristic” and be fully self-driving, something the company has not achieved despite the name of its “Full Self-Driving” (FSD) driver-assist feature.', 'Rivian has not announced plans for similar vehicle, and Scaringe wouldn’t comment on a counterpart directly. But he said the company will “offer lots of different products in the future.”', 'Scaringe, who moved from Southern California to near the 3.3 million-square-foot plant, is known as a driven, level-headed planner who typically lets his actions speak louder than his words (or tweets). It’s a different style from Musk, though both are considered extremely detail-oriented and ambitious leaders.', 'Rivian became the first automaker to begin mass production of an all-electric pickup truck last year, beating to market Tesla and longtime segment leaders General Motors and Ford Motor, which holds a roughly 12% stake in Rivian.', 'GM started shipping its GMC Hummer EV pickup in December, months after Rivian launched the R1T. Ford is expected to soon begin shipping an electric version of its F-150 pickup, called the F-150 Lightning, followed by Tesla’s long-delayed Cybertruck, which is planned to go into production next year.', 'While there have been many comparisons of the Rivian R1T to the other electric pickups, Scaringe isn’t bothered by the competition. He actually welcomes it, for now. He believes there’s currently more than enough demand to fulfill EV pickup production in the near term.', '“Humans have an infatuation with winners and losers, like everything in life has to be a zero-sum game,” he said. “I really just don’t see it that way. ... I look at it as I hope Hummer’s wildly successful. I truly do. I hope Lightning’s wildly successful, and I hope we’re wildly successful. And I think all three of those can happen from an intellectual honesty point of view.”']",104
9,2021-05-20T11:28:03+0000,"['Analog Devices is entering a strong demand period and has long-term potential as a key supplier for electric vehicles, making it an attractive play for investors, investment firm Bernstein said Thursday.', 'Stacy Rasgon upgraded the semiconductor stock to outperform from market perform, saying in a note to clients that the outlook for the company’s communications industry business has improved. He added that excitement about the next generation of cars can help support the stock.']",3
