,company,date,title,content
0,By Investing.com,"<span>Apr 07, 2013 06:25AM ET</span>",Gold futures - Weekly outlook: April 8 - 12,
1,By Investing.com,"<span>Apr 05, 2013 01:47PM ET</span>",Natural Gas soars on calls for colder weather returning to northern U.S.,
2,By Investing.com,"<span>Apr 05, 2013 01:23PM ET</span>",Crude drops as U.S. jobs numbers fall far short of expectations,
3,By Investing.com,"<span>Apr 05, 2013 01:11PM ET</span>",Gold prices gain as weak U.S. jobs numbers quash talk of Fed move,
4,By Investing.com,"<span>Apr 05, 2013 03:34AM ET</span>",Crude oil futures slip lower ahead of U.S. data ,
5,By Investing.com,"<span>Apr 04, 2013 09:29PM ET</span>",Forex - USD/JPY soars after Kuroda unveils new stimulus ,
6,By Investing.com,"<span>Apr 04, 2013 08:24PM ET</span>",Crude nudges higher ahead of U.S. jobs report ,
7,By Investing.com,"<span>Apr 04, 2013 08:03PM ET</span>",Gold drifts lower after ECB leaves rates unchanged,
8,By Investing.com,"<span>Apr 04, 2013 02:57PM ET</span>",Natural Gas jumps up as bottom fishers look past supply data,
9,By Investing.com,"<span>Apr 04, 2013 02:44PM ET</span>",Gold prices inch up on fears of weak U.S. jobs report,
10,By Investing.com,"<span>Apr 04, 2013 01:43PM ET</span>","Crude drops on U.S. jobless claims data, Draghi comments",
11,By Investing.com,"<span>Apr 04, 2013 10:57AM ET</span>","Natural gas futures turn lower after U.S. supply data, hit 3-week low",
12,By Investing.com,"<span>Apr 04, 2013 10:02AM ET</span>","Gold pares losses after Draghi comments, dismal U.S. jobless claims",
13,By Investing.com,"<span>Apr 04, 2013 09:02AM ET</span>","Crude oil plunges to hit 8-day low after ECB, U.S. jobless claims",
14,By Investing.com,"<span>Apr 04, 2013 07:37AM ET</span>",Soft futures mixed - Sugar edges higher after recent losses,
15,By Investing.com,"<span>Apr 04, 2013 05:42AM ET</span>",Grain futures decline; Soybeans fall to 12-week low,
16,By Investing.com,"<span>Apr 04, 2013 05:08AM ET</span>","Copper futures fall to 8-month low ahead of ECB, U.S. jobs data",
17,By Investing.com,"<span>Apr 04, 2013 04:03AM ET</span>","Crude oil steady near 1-week low ahead of central banks, U.S. data",
18,By Investing.com,"<span>Apr 04, 2013 03:31AM ET</span>",Gold extends losses to hit 11-month low; Silver at lowest since July,
19,By Investing.com,"<span>Apr 03, 2013 08:15PM ET</span>",Oil still plagued by data points,
20,By Investing.com,"<span>Apr 03, 2013 07:54PM ET</span>", Gold drifts lower as technical dangers loom,
21,By Investing.com,"<span>Apr 03, 2013 01:38PM ET</span>",Natural Gas extends losses on forecasts for above normal temperatures,
22,By Investing.com,"<span>Apr 03, 2013 01:07PM ET</span>","Crude drops on inventory data, disappointing indicators ",
23,By Investing.com,"<span>Apr 03, 2013 12:46PM ET</span>", Gold prices fall on extended profit taking as Cyprus fears wane,
24,By Investing.com,"<span>Apr 03, 2013 10:40AM ET</span>",Crude oil futures down 1% after U.S. supply data,
25,By Investing.com,"<span>Apr 03, 2013 10:04AM ET</span>",Natural gas futures lower in early trade as mild weather weighs,
26,By Investing.com,"<span>Apr 03, 2013 08:57AM ET</span>",Gold futures off the lows after ADP jobs report disappoints,
27,By Investing.com,"<span>Apr 03, 2013 07:37AM ET</span>",Soft futures mixed - Sugar little changed near 32-month low,
28,By Investing.com,"<span>Apr 03, 2013 06:08AM ET</span>",Grain futures mixed; Wheat jumps 1% on Great Plains weather threat,
29,By Investing.com,"<span>Apr 03, 2013 05:12AM ET</span>",Copper hovers close to 7-month low with U.S. jobs report in focus,
30,By Investing.com,"<span>Apr 03, 2013 04:09AM ET</span>",Crude oil futures lower ahead of U.S. supply data,
31,By Investing.com,"<span>Apr 03, 2013 03:29AM ET</span>",Gold extends losses to hit 4-week low amid weak technical outlook,
32,By Investing.com,"<span>Apr 02, 2013 08:30PM ET</span>","Oil down on inventory chatter, Europe data",
33,By Investing.com,"<span>Apr 02, 2013 08:10PM ET</span>",Gold inches higher despite Soc Gen price forecast,
34,By Investing.com,"<span>Apr 02, 2013 02:33PM ET</span>",Natural Gas falls on forecasts for above normal temperatures,
35,By Investing.com,"<span>Apr 02, 2013 02:06PM ET</span>",Gold prices fall as eurozone jobs data sparks profit taking,
36,By Investing.com,"<span>Apr 02, 2013 01:28PM ET</span>",Crude dips on market talk of rising inventories,
37,By Investing.com,"<span>Apr 02, 2013 10:44AM ET</span>",Natural gas futures down more than 1% on mild weather outlook,
38,By Investing.com,"<span>Apr 02, 2013 10:14AM ET</span>",Crude oil futures off the lows after U.S. factory data,
39,By Investing.com,"<span>Apr 02, 2013 09:05AM ET</span>",Gold futures tumble 1% on technical selling,
40,By Investing.com,"<span>Apr 02, 2013 07:52AM ET</span>",Soft futures mixed - Sugar hovers near 32-month low ,
41,By Investing.com,"<span>Apr 02, 2013 06:14AM ET</span>",Grains recover from post-USDA losses; Corn futures up 1%,
42,By Investing.com,"<span>Apr 02, 2013 05:11AM ET</span>",Copper trades near 7-month low amid global economic outlook,
43,By Investing.com,"<span>Apr 02, 2013 04:05AM ET</span>",Crude oil futures lower as U.S. recovery concerns weigh ,
44,By Investing.com,"<span>Apr 02, 2013 03:26AM ET</span>",Gold futures little changed in rangebound trade; U.S. data in focus,
45,By Investing.com,"<span>Apr 01, 2013 08:30PM ET</span>",Oil falls following mixed U.S. data,
46,By Investing.com,"<span>Apr 01, 2013 08:15PM ET</span>","Gold inches higher, extends U.S. gains ",
47,By Investing.com,"<span>Apr 01, 2013 02:54PM ET</span>",Natural Gas falls as forecasts finally call for warming trend,
48,By Investing.com,"<span>Apr 01, 2013 01:20PM ET</span>",Gold prices rise as U.S. manufacturing index slips and weakens dollar,
49,By Investing.com,"<span>Apr 01, 2013 12:52PM ET</span>",Crude falls as U.S. manufacturing output growth misses market calls,
50,By Investing.com,"<span>Apr 01, 2013 10:10AM ET</span>",Natural gas futures higher during the European session,
51,By Investing.com,"<span>Apr 01, 2013 08:10AM ET</span>",Gold futures higher during the European session,
52,By Investing.com,"<span>Apr 01, 2013 05:40AM ET</span>",Crude oil futures lower during the European session,
53,By Investing.com,"<span>Apr 01, 2013 05:10AM ET</span>",Gold futures lower during the European session,
54,By Investing.com,"<span>Mar 31, 2013 11:02PM ET</span>", Asian stocks mostly higher following China PMI; Nikkei down 1.17% ,
55,By Investing.com,"<span>Mar 31, 2013 09:27PM ET</span>",Oil trades lower after China PMI data ,
56,By Investing.com,"<span>Mar 31, 2013 09:12PM ET</span>", Gold trades higher on renewed Cyprus fears ,
57,By Investing.com,"<span>Mar 28, 2013 08:45PM ET</span>",Oil up as Asia digests U.S. data,
58,By Investing.com,"<span>Mar 28, 2013 08:29PM ET</span>","Gold higher in Asia, still faces quarterly decline",
59,By Investing.com,"<span>Mar 28, 2013 02:15PM ET</span>",Natural Gas falls as investors bet colder temperatures will end soon,
60,By Investing.com,"<span>Mar 28, 2013 01:45PM ET</span>",Gold falls on firming euro as Cypriot banks reopen amid calm,
61,By Investing.com,"<span>Mar 28, 2013 01:18PM ET</span>",Crude gains on revised U.S. GDP growth data,
62,By Investing.com,"<span>Mar 28, 2013 11:19AM ET</span>",Crude oil edges higher as Cyprus remains in focus ,
63,By Investing.com,"<span>Mar 28, 2013 10:50AM ET</span>",Natural gas futures turn lower after U.S. supply data,
64,By Investing.com,"<span>Mar 28, 2013 10:25AM ET</span>",Gold turns lower as Cyprus fears ease,
65,By Investing.com,"<span>Mar 28, 2013 05:16AM ET</span>",Gold futures slip but euro zone concerns support,
66,By Investing.com,"<span>Mar 28, 2013 05:14AM ET</span>","Crude oil futures steady as markets focus on Cyprus, Italy ",
67,By Investing.com,"<span>Mar 27, 2013 08:33PM ET</span>",Oil rises in Asia following U.S. inventory data,
68,By Investing.com,"<span>Mar 27, 2013 08:16PM ET</span>",Gold falls in Asia after snapping 3-day losing streak,
69,By Investing.com,"<span>Mar 27, 2013 01:59PM ET</span>",Natural Gas gains as weather forecasts point to a chilly start to April,
70,By Investing.com,"<span>Mar 27, 2013 01:24PM ET</span>",Gold gains on safe-haven demand amid Italian political woes,
71,By Investing.com,"<span>Mar 27, 2013 12:40PM ET</span>",Crude slides as U.S. stockpiles rise more than expected,
72,By Investing.com,"<span>Mar 27, 2013 11:30AM ET</span>",Natural gas rallies to 1-1/2 year highs ,
73,By Investing.com,"<span>Mar 27, 2013 10:53AM ET</span>",Gold turns higher on euro zone worries,
74,By Investing.com,"<span>Mar 27, 2013 10:45AM ET</span>",Crude lower as U.S. oil inventories rise more-than-expected,
75,By Investing.com,"<span>Mar 27, 2013 05:30AM ET</span>",Crude oil futures decline amid euro zone jitters ,
76,By Investing.com,"<span>Mar 27, 2013 04:57AM ET</span>",Gold futures lower after upbeat U.S. data,
77,By Investing.com,"<span>Mar 26, 2013 08:41PM ET</span>",Oil succumbs to profit-taking in Asian trade,
78,By Investing.com,"<span>Mar 26, 2013 08:28PM ET</span>",Gold rebounds following U.S. losses,
79,By Investing.com,"<span>Mar 26, 2013 02:44PM ET</span>","Natural Gas gains on cold weather forecasts, power plant outages",
80,By Investing.com,"<span>Mar 26, 2013 02:07PM ET</span>","Gold dips as investors warm up to Cyprus deal, U.S. data weighs",
81,By Investing.com,"<span>Mar 26, 2013 01:38PM ET</span>","Crude shoots up on durable goods data, ignores spotty housing figures",
82,By Investing.com,"<span>Mar 26, 2013 04:27AM ET</span>","Crude oil futures higher, focus on Cyprus ",
83,By Investing.com,"<span>Mar 25, 2013 08:45PM ET</span>",Oil down despite Saudi comments,
84,By Investing.com,"<span>Mar 25, 2013 08:30PM ET</span>","Gold falls slightly, extends U.S. losses",
85,By Investing.com,"<span>Mar 25, 2013 01:13PM ET</span>",Natural Gas gains as cold weather keeps grip on eastern U.S.,
86,By Investing.com,"<span>Mar 25, 2013 12:40PM ET</span>",Gold drops as Cyprus strikes bailout deal with creditors,
87,By Investing.com,"<span>Mar 25, 2013 12:16PM ET</span>","Crude gains as Cyprus taps bailout funding, messy eurozone exit avoided",
88,By Investing.com,"<span>Mar 25, 2013 07:05AM ET</span>",Natural gas futures little changed near 18-month high,
89,By Investing.com,"<span>Mar 25, 2013 06:13AM ET</span>","Grain futures lower - Soybeans, corn decline for 2nd day",
90,By Investing.com,"<span>Mar 25, 2013 05:08AM ET</span>",Copper futures erase gains as Cyprus relief rally fades,
91,By Investing.com,"<span>Mar 25, 2013 03:57AM ET</span>",Crude oil futures climb to 1-week high on Cyprus bailout deal,
92,By Investing.com,"<span>Mar 25, 2013 03:23AM ET</span>",Gold fluctuates in rangebound trade as Cyprus deal weakens dollar,
93,By Investing.com,"<span>Mar 24, 2013 08:47PM ET</span>",Oil trades higher on Cyprus rumors,
