,company,date,title,content
0,By Reuters,"<span>Aug 14, 2020 12:31PM ET</span>",U.S. retail sales slow in July; obstacles mount for nascent economic recovery,"By Lucia Mutikani
WASHINGTON (Reuters) - U.S. retail sales increased less than expected in July as consumers cut back on purchases of motor vehicles, and could slow further in the months ahead amid spiraling new COVID-19 infections and a reduction in unemployment benefit checks.
Despite the moderation in retail sales reported by the Commerce Department on Friday, sales have recouped losses suffered when businesses were shuttered to slow the spread of the coronavirus. The third straight monthly gain lifted retail sales to their highest level since the government started tracking the series in 1992. It supported the view that consumer spending would rebound this quarter after a record collapse in the second quarter.
Economists attributed the increase in retail sales over the past three months to a $600 weekly unemployment benefits supplement from the government, which amounted to almost $75 billion in July. The supplement ended on July 31, leaving economists to expect a decline in retail sales in August. 
""It looks like the skies are darkening once again as the second-wave shutdowns clamp down harder on economic activity and the federal government stops sending $600 weekly checks to the unemployed,"" said Chris Rupkey, chief economist at MUFG in New York. ""The pandemic isn't over yet and the recession won't be either if Congress and the president can't come to an agreement on how to best support the nascent recovery in a hurry.""
Retail sales rose 1.2% last month after advancing 8.4% in June. Economists polled by Reuters had forecast sales would rise 1.9% in July. Sales increased 2.7% from a year ago in July.
President Donald Trump on Saturday signed a number of executive orders, including one that extended the supplement, though he reduced the weekly payout to $400.
States are required to cover $100 of the benefits under the order, but they are under immense financial pressure due to the pandemic. The remaining $300 will be funded from a limited emergency disaster relief program, which economists estimated could be depleted as early as September. 
A top White House advisor said this week that Trump's plan would provide an extra $300 per week. Republicans and Democrats are bickering over new aid for the economy even as signs mount that activity is stalling as coronavirus infections continue to spread across the United States.
Job growth slowed in July. About 28.3 million people are on unemployment benefits.
The slowdown in retail sales in July was led by a 1.2% decline in receipts at auto dealerships. That followed a 6.1% acceleration in June. Consumers also cut back spending at hobby, musical instrument and book stores as well as at building materials outlets.
STEADY SENTIMENT 
Purchases at electronics and appliance stores soared 22.9% last month, likely reflecting strong demand as many Americans work from home. 
Receipts at restaurants and bars increased 5.0%, though the pace slowed from the 26.7% notched in June. Online and mail-order retail sales rebounded 0.7%. Furniture store sales were flat. Receipts at clothing stores increased 5.7%.
Excluding automobiles, gasoline, building materials and food services, retail sales increased 1.4% in July after soaring 6.0% in June. These so-called core retail sales correspond most closely with the consumer spending component of the gross domestic product report.
Consumer spending collapsed at a 34.6% annualized pace in the second quarter. That led GDP to plunge at a 32.9% rate last quarter, the deepest decline in output since the government started keeping records in 1947.
A separate report from the University of Michigan on Friday showed consumer sentiment steady in mid-August, though consumers anticipated ""bad economic times to persist not only in the year ahead"" and many ""expect no return to a period of uninterrupted growth over the next five years.""
Stocks on Wall Street were mixed in midday trading. The dollar (DXY) was trading lower against a basket of currencies while prices of U.S. Treasuries rose.
""Providing further assistance to struggling households will be essential to keeping growth momentum from faltering,"" said Lydia Boussour, a senior U.S. economist at Oxford Economics in New York. ""This is even more critical as recent research have highlighted that low-income families have played a central role in driving the initial phase of the recovery in consumption."" 
Though motor vehicle sales fell last month, manufacturers continued to ramp up production, boosting output at the nation's factories, a third report from the Federal Reserve showed. Manufacturing production rose 3.4% in July after surging 7.4% in June. Still, the third straight monthly gain left factory output about 8% below its level in February.

""Excess capacity throughout the economy will weigh on production of investment goods,"" said Gus Faucher, chief economist at PNC Financial (NYSE:PNC) in Pittsburg. ""The biggest downside risk is a failure of Congress and the Trump administration to agree on a fiscal stimulus package that would support consumer demand during a period of very high unemployment.""
 
"
1,By Reuters,"<span>Aug 14, 2020 10:35AM ET</span>",U.S. business inventories decline further in June,"WASHINGTON (Reuters) - U.S. business inventories declined again in June as sales continued to accelerate amid pent-up demand as establishments reopened after being shuttered to slow the spread of the novel coronavirus.
Business inventories fell 1.1% in June after decreasing 2.3% in May, the U.S. Commerce Department said on Friday. Inventories, a key component of gross domestic product, have now declined for six straight months.
Economists polled by Reuters had forecast business stocks falling 1.2% in June.
Retail inventories decreased 2.6% in June as estimated in an advance report published last month. That followed a 6.2% fall in April. Motor vehicle inventories tumbled 6.7% rather than 6.5% as previously reported. 
Retail inventories excluding autos, which go into the calculation of GDP, dropped 0.8% as reported last month.
The prolonged inventory drawdown contributed to GDP declining at a record 32.9% annualized rate in the second quarter. Inventories subtracted almost 4 percentage points from GDP, the most since the fourth quarter of 1982. 
Inventories have declined for five straight quarters. The economy fell into recession is February.
Wholesale inventories fell 1.4% in June. Stocks at manufacturers rose 0.6%.

Business sales increased 8.4% in June after rebounding 8.5% in the prior month. At June's sales pace, it would take 1.37 months for businesses to clear shelves, down from 1.50 months in May.
 
"
2,By Reuters,"<span>Aug 14, 2020 10:29AM ET</span>","U.S. manufacturing output rises strongly in July, but still below pre-pandemic levels","WASHINGTON (Reuters) - U.S. factory output increased more than expected in July, boosted by a surge in motor vehicle production, though activity remained below its pre-COVID-19 pandemic peak. 
The Federal Reserve said on Friday that manufacturing production rose 3.4% last month after advancing 7.4% in June. The third straight monthly gain left factory output about 8% below its level in February. Economists polled by Reuters had forecast manufacturing output would increase 3.0% in July.
While businesses have reopened, new coronavirus cases continue to spread across the country, keeping a lid on demand. Manufacturing, which accounts for 11% of the U.S. economy, was struggling even before the pandemic hit the nation, a casualty of the Trump administration's trade war with China.
Lower crude prices as global economies buckle under the coronavirus strain have also undercut spending by oil producers on drilling and shaft exploration equipment. Business spending on equipment has declined for five straight quarters, the longest such stretch since 2016.
Motor vehicles and parts production increased 28.3% in July after accelerating 118.3% in June. There were also increases in machinery, computer and electronic products, and electrical equipment, appliances and components.
The rise in manufacturing output, together with a 3.3% increase in utilities and a 0.8% gain in mining, lifted industrial production 3.0% in July. That followed a 5.7% increase in June. 
Capacity utilization for the manufacturing sector, a measure of how fully firms are using their resources, increased 2.3 percentage points to 69.2% in July. Overall capacity use for the industrial sector rose 2.1 percentage points to 70.6%. It is 9.2 percentage points below its 1972-2019 average.

Officials at the Fed tend to look at capacity use measures for signals of how much ""slack"" remains in the economy — how far growth has room to run before it becomes inflationary.
 
"
3,By Reuters,"<span>Aug 14, 2020 10:00AM ET</span>",U.S. second-quarter productivity rises at its fastest pace in 11 years,"WASHINGTON (Reuters) - U.S. worker productivity increased at its fastest pace in 11 years in the second quarter as hours plunged amid the COVID-19 pandemic, leading to an acceleration in labor costs. 
The Labor Department said on Friday nonfarm productivity, which measures hourly output per worker, increased at a 7.3% annualized rate last quarter, its largest rise since the second quarter of 2009. Productivity fell at a 0.3% pace in the January-March period. Hours worked tumbled at a 43.0% rate in the second quarter, the largest since the series started in the first quarter of 1947.
Economists polled by Reuters had forecast productivity rebounding at a 1.5% rate in the second quarter. 
Compared to the second quarter of 2019, productivity rose at a 2.2% rate. Growth in unit labor costs - the price of labor per single unit of output - jumped at a 12.2% rate in the April-June quarter. Unit labor costs increased at a 9.8% rate in the first quarter. They rose at a 5.7% rate in from a year ago.

(This story corrects headline to second quarter from first quarter.) 
 
"
4,By Investing.com,"<span>Aug 14, 2020 08:37AM ET</span>",U.S. Retail Sales Rebound Flattened in July; Sales up 1.2% vs June,"By Geoffrey Smith 
Investing.com -- The rebound in U.S. retail sales faltered in July, as the exuberance of pent-up demand faded against a backdrop of record unemployment.
Retail sales rose only 1.2% from June, after gains of over 18% and 8% in May and June. The figure was below consensus forecasts for 1.9% growth ahead of time.
Core retail sales, a series that excludes automobiles, rose 1.9% on the month, better than the 1.3% gain expected but still a clear slowdown from 8.3% in June. 
In year-on-year terms, sales were still 2.7% ahead of July 2019, helped in large measure by government support measures that have been drastically cut since the end of the month.
 
 
 "
5,By Reuters,"<span>Aug 14, 2020 05:25AM ET</span>","Euro zone trade surplus surges as imports drop, GDP and employment in record fall","BRUSSELS (Reuters) - The euro zone's trade surplus with the rest of the world jumped in June to 21.2 billion euros ($25 billion) as the bloc's drop in imports of goods outpaced the fall of exports amid a global decline in the trade due to the COVID-19 pandemic.
The bloc also experienced in the second quarter of 2020 its worst drop in employment ever recorded, the European Union's statistics agency Eurostat said. 
It also confirmed the record fall of the bloc's gross domestic product in the second quarter, which fell by 12.1% compared to the first three months of the year.
Eurostat said on Friday the June trade surplus was higher than that posted a year earlier when the bloc had a positive balance of 19.4 billion euros. The reading also largely beat market expectations of a 12.6 billion euros surplus. 
The surplus was more than twice as big as that recorded in May when the bloc had a positive balance of 9.4 billion euros.
The year-on-year improvement was caused by a 12.2% drop of imports, which more than offset the 10% fall in exports, Eurostat estimates showed.
The 19 countries of the currency bloc also traded much less among themselves. In June they exchanged goods worth 150.6 billion euros, down by 7.3% compared with the same month last year.
The larger EU, which is composed of 27 states, posted a 20.7 billion euros surplus in June, also caused by a bigger drop in imports than exports.
Among its top three trading partners, the EU reduced trade mostly with Britain, which left the EU on Jan. 31. Trade with the United States also fell significantly while the drop of exchanges with China was small.
In a separate release, Eurostat said euro zone employment in the period between April and June fell by 2.8% compared to the previous quarter, in the sharpest decline since data began to be collected in 1995.

(This story adds GDP to headline)
 
"
6,By Reuters,"<span>Aug 14, 2020 02:16AM ET</span>",China's economic recovery underwhelms as consumer comeback stays elusive,"By Kevin Yao and Stella Qiu
BEIJING (Reuters) - China's retail sales slipped in July, dashing expectations for a modest rise, as consumers in the world's second-largest economy failed to shake off wariness about the coronavirus, while the factory sector's recovery struggled to pick up pace.
Asian markets pulled back on Friday following the disappointing set of economic indicators, which raised concerns about the fragility of China's emergence from coronavirus.
China's recovery had been gaining momentum after the pandemic paralysed huge swathes of the economy as pent-up demand, government stimulus and surprisingly resilient exports revived activity.
However, July data from the National Bureau of Statistics on Friday showed weaker-than-expected year-on-year industrial output growth and retail sales extending declines into a seventh straight month. That was slightly offset by firmer property investment, which showed recent stimulus was supporting construction.
Some analysts attributed the loss of momentum in the economy to the torrential rains that have flooded Southern China since June and several fresh COVID-19 outbreaks that led to partial lockdowns.
""Although there could be a modest rebound in some investment activities if the floods subside in coming months, we expect sequential recovery momentum to get weaker in H2,"" Nomura analysts said in a note, citing factors such as receding pent-up demand, diminished chances of more policy easing and rising U.S.-China tensions.
Industrial output grew 4.8% in July from a year earlier, in line with June's growth but less than a forecast 5.1% rise.
Retail sales dropped 1.1% on year, missing predictions for a 0.1% rise and following June's 1.8% fall.
The decline in retail sales was broad based with garments, cosmetics, home appliances and furniture all worsening from June.
A key exception was auto sales, which surged 12.3%, turning around from a 8.2% fall in June.
""Despite narrowing declines in investment, consumption remained weak, highlighting the lasting economic shock from the coronavirus pandemic,"" said Zhang Yi, chief economist at Zhonghai Shengrong Capital Management. 
""Given we are likely to see a resurgence of COVID in the autumn and winter, it is not recommended that monetary policy be tightened too prematurely and fiscal policy stay insufficient.""
China's July nationwide survey-based jobless rate remained elevated at 5.7%, the same as June. 
INVESTMENT BRIGHT SPOT
Helping carry the recovery, however, was investment, which was driven by the fast expansion in the property sector, with analysts expecting infrastructure spending to accelerate in coming months on the back of government support.
China's economy returned to growth in the second quarter after a deep slump at the start of the year, but unexpected weakness in domestic consumption has slowed the momentum. 
Fixed-asset investment fell 1.6% in January-July from the same period last year, in line with expectations but slower than a 3.1% decline in the first half of the year. 
July property investment grew at the quickest clip since April last year, underpinned by solid construction activity and easier lending. New home prices rose at a slightly slower pace in July from a month earlier.
Infrastructure investment, a powerful driver of growth, fell 1.0% year-on-year, easing from a decline of 2.7% in the first half.
""After the floods are over, I believe the reconstruction work for affected areas will boost fixed-asset investment and industrial production,"" said Iris Pang, chief economist for Greater China at ING.
Another major risk is the increasingly tense U.S.-China relationship ahead of the U.S. presidential elections in November, which analysts say has prompted Beijing to focus on domestically driven growth.
""Changes in U.S.-China relations definitely have an impact on China, as well as the United States,"" statistics bureau spokesman Fu Linghui told a press conference. 

""We still hope to maintain the equal and mutually beneficial development (in relations).""
 
"
7,By Investing.com,"<span>Aug 14, 2020 01:58AM ET</span>",Chinese Industrial Data Casts Doubt on Economic Recovery,"By Bryan Wong
Investing.com - Chinese economic recovery from COVID-19 took an unexpected stumble, with July’s retail sales and factory output figures both missing analyst forecasts.
According to the National Bureau of Statistics data released on Friday, industrial output grew 4.8% in July year-on-year. The figure was lower than the 5.1% increase in forecasts prepared by Investing.com but remained unchanged from June. 
Meanwhile, retail sales dropped 1.1% year-on-year, an improvement from the 1.8% drop recorded in June but still below the forecasted increase of 0.1%. Sales also recorded a seventh consecutive month of declines, attributable to weak consumer demand due to COVID-19.
Unemployment remained unchanged at 5.7%.
“Clearly the hope for a fast recovery has faded - the consumption still lags behind and the job market is still under pressure,” Zhou Hao, senior Emerging Markets economist at Commerzbank AG (OTC:CRZBY), told Bloomberg.
With policy makers emphasizing risk control and rolling back some stimulus, “growth momentum will be slowing down in near future,” he added.
China saw its recovery quicken in the second quarter after easing COVID-19 lockdown measures in April, with demand, stimulus measures and surprisingly resilient exports all contributing to the speed. But high unemployment, leading to continuously weak consumer demand, is proving to be an Achilles heel.
Meanwhile, the People’s Bank of China said on the same day that it would add short-term funds into the financial system, the most since May, to improve liquidity."
8,By Reuters,"<span>Aug 14, 2020 12:30AM ET</span>",China produces record crude steel in July on strong demand,"BEIJING (Reuters) - China produced a record amount of crude steel in July as the government boosted infrastructure spending, while the manufacturing sector rebounded as the world's second-largest economy reopened after lockdown restrictions.
The world's largest steel producer churned out 93.36 million tonnes of crude steel last month, 1.9% higher than the output seen in June and up 9.1% from July 2019, according to data from the National Bureau of Statistics (NBS).
Average daily output of the metal stood at 3.01 million tonnes in July compared with 3.05 million tonnes in June, according to Reuters calculations based on the official data.
The consumption of steel in July was underpinned by demand for flat steel products used in products from cars and appliances, even as heavy rain hurt demand for steel products used in construction activities. 
Production of hot-rolled coils and cold-rolled coils at major mills jumped nearly 28% in July from a month earlier, according to data compiled by Mysteel consultancy, while output for steel reinforcing bars used in buildings rose 18%. 
""As the monsoon season has come to an end, demand for construction rebar has stabilised since late-July and (is) expected to further recover in coming months,"" Zhuo Guiqiu, analyst with Jinrui Capital said before the data was released. 
Blast furnace capacity utilisation rates among China's 247 steel mills rose for the fourth consecutive week to 95.16% as of Aug.14, weekly data compiled by Mysteel showed.

For the first seven months of the year, China produced 593.17 million tonnes of crude steel, rising 2.8% from the same period in 2019, the NBS data showed.
 
"
9,By Reuters,"<span>Aug 13, 2020 11:15PM ET</span>",China's property investment in July quickens to over one-year high,"BEIJING (Reuters) - China's July property investment grew at the quickest clip since April last year, underpinned by solid construction activity and easier lending as the economy gradually recovers from the coronavirus crisis.
Real estate investment in July rose 11.7% from a year earlier, quickening from 8.5% growth seen in June, according to Reuters calculations based on data from the National Bureau of Statistics on Friday.
For January-July period, property investment grew 3.4% on an annual basis, faster than a 1.9% uptick in January-June. 
China's property market was among the first to recover after reopening of the economy this year on cheaper credit as well as relaxation on urban residential curbs, with some analysts warning of a potential bubble in a handful of big cities. 
But others have dismissed the suggestions of a possible bubble and say a full-blown rebound may take longer to arrive as consumer confidence remains soft. 
Property sales by floor area rose 9.5% in July from a year earlier, versus a 2.1% growth in June.
New construction starts measured by floor area increased 11.3% on-year last month, compared with June's 8.9% uptick.
Funds raised by China's property developers returned to growth of 0.8% in the first seven months, better than a 1.9% drop in the first half of 2020.

 
"
