,company,date,title,content
0,By Investing.com,"<span>Sep 11, 2012 07:00PM ET</span>",South Korean unemployment rate remains unchanged unexpectedly,
1,By Investing.com,"<span>Sep 11, 2012 04:35PM ET</span>",U.S. API Weekly Gasoline Stock falls unexpectedly,
2,By Investing.com,"<span>Sep 11, 2012 04:35PM ET</span>",U.S. API Weekly Crude Stock rises unexpectedly,
3,By Investing.com,"<span>Sep 11, 2012 09:00AM ET</span>",Mexican industrial production rise more-than-expected,
4,By Investing.com,"<span>Sep 11, 2012 08:39AM ET</span>",U.S. trade deficit widens 0.2% in July,
5,By Investing.com,"<span>Sep 11, 2012 08:34AM ET</span>",Canada trade deficit widens unexpectedly in July,
6,By Investing.com,"<span>Sep 11, 2012 08:16AM ET</span>",Canadian housing starts rise unexpectedly in August,
7,By Investing.com,"<span>Sep 11, 2012 06:00AM ET</span>",U.K. goods trade deficit narrows more-than-expected in July,
8,By Investing.com,"<span>Sep 11, 2012 03:00AM ET</span>",Hungarian CPI rises,
9,By Investing.com,"<span>Sep 11, 2012 02:20AM ET</span>",French non-farm payrolls fall,
10,By Investing.com,"<span>Sep 11, 2012 02:00AM ET</span>",Germany’s Wholesale Price Index rises more-than-expected,
11,By Investing.com,"<span>Sep 10, 2012 09:50PM ET</span>",U.K. RICS house price balance rises more-than-expected,
12,By Investing.com,"<span>Sep 10, 2012 07:55PM ET</span>",Japan’s BSI manufacturing index rise unexpectedly,
13,By Investing.com,"<span>Sep 10, 2012 03:00PM ET</span>",U.S. Consumer Credit falls unexpectedly,
14,By Investing.com,"<span>Sep 10, 2012 04:32AM ET</span>",Euro zone Sentix investor confidence improves significantly,
15,By Investing.com,"<span>Sep 10, 2012 04:05AM ET</span>",Norwegian CPI rises less-than-expected,
16,By Investing.com,"<span>Sep 10, 2012 04:00AM ET</span>",Italian GDP remains unchanged unexpectedly,
17,By Investing.com,"<span>Sep 10, 2012 03:35AM ET</span>",Swedish industiral production rises unexpectedly,
18,By Investing.com,"<span>Sep 10, 2012 03:05AM ET</span>",Turkish GDP falls unexpectedly,
19,By Investing.com,"<span>Sep 10, 2012 03:05AM ET</span>",Slovakian Industrial Production rises more-than-expected,
20,By Investing.com,"<span>Sep 10, 2012 03:05AM ET</span>",Danish CPI rises more-than-expected,
21,By Investing.com,"<span>Sep 10, 2012 03:05AM ET</span>",Turkish industrial production rises more-than-expected,
22,By Investing.com,"<span>Sep 10, 2012 03:05AM ET</span>",Czech Unemployment Rate remains unchanged,
23,By Investing.com,"<span>Sep 10, 2012 03:00AM ET</span>",Czech CPI falls unexpectedly,
24,By Investing.com,"<span>Sep 10, 2012 02:05AM ET</span>",Japan’s Economy Watchers Current Index falls,
25,By Investing.com,"<span>Sep 10, 2012 01:05AM ET</span>",Japanese Household Confidence rises more-than-expected,
26,By Investing.com,"<span>Sep 10, 2012 12:05AM ET</span>",Malaysian industrial production rises less-than-expected,
27,By Investing.com,"<span>Sep 09, 2012 11:05PM ET</span>",Chinese trade balance rises more-than-expected,
