,company,date,title,content
0,By Reuters,"<span>Sep 30, 2020 05:20AM ET</span>",No time for 'Chicken Licken' pessimism over economy: BoE's Haldane,"LONDON (Reuters) - Bank of England Chief Economist Andy Haldane said there was a risk that overly pessimistic, ""Chicken Licken"" views about the coronavirus crisis would hold back Britain's recovery from its COVID-19 lockdown economic shock.
""Encouraging news about the present needs not to be drowned out by fears for the future. Now is not the time for the economics of Chicken Licken,"" Haldane said in a speech, citing a folk tale bird who worried about the sky falling in.
Haldane has been the most optimistic voice among the BoE's interest rate-setters since the lockdown.
In his speech on Wednesday he said none of the conditions that would justify taking rates negative had been met.
Haldane acknowledged that Britain faced an ""unholy trinity of risks from COVID, unemployment and Brexit"" but it was important that the economy's quicker-than-expected recovery, so far, from the lockdown was not overlooked.
""My concern at present is that good news on the economy is being crowded-out by fears about the future,"" he said in his speech delivered online to Cheshire and Warrington Local Economic Partnership body.

""This is human nature at times of stress. But it can also make for an overly-pessimistic popular narrative, which fosters fear, fatalism and excess caution. This is unhealthy in itself but, if left unaddressed, also risks becoming self-fulfilling.""
 "
1,By Reuters,"<span>Sep 30, 2020 05:15AM ET</span>","Taiwan trade deal on Trump administration's radar, lawmaker says","WASHINGTON (Reuters) - A group of Republican lawmakers seeking to counter national security and economic threats from China is calling for the United States to open trade talks with Taiwan, a plan which is ""very much"" on the radar screen of the Trump administration, according to the congressman who leads the group. 
Representative Michael McCaul, who chairs the China task force launched by House of Representatives Republicans earlier this year, said such negotiations would be ""an important foreign policy statement to make,"" and help hold China accountable for its handling of the coronavirus outbreak, which has drawn fire from President Donald Trump.
""It is very much on their radar screen,"" McCaul told Reuters, when asked if the Trump administration and its top trade negotiator, Robert Lighthizer, would pursue a deal. ""I don't think that Lighthizer has 100% approved it, but...it is one of the options on the table for them and I think a recommendation coming from the task force would carry a lot of weight."" 
The proposal is one of 400 recommendations outlined in a report set to be released later on Wednesday by the task force.
The report will also recommend bolstering U.S. medical supply chains, sanctioning Chinese telecoms companies engaged in economic or industrial espionage, and evaluating whether the Beijing's repression of its Uigher Muslim minority amounts to genocide. 
Taiwan has long sought a free trade agreement with the United States, its most important supporter on the international stage, but Washington has complained about barriers to access for U.S. pork and beef.
Last month, Taiwan paved the way for an eventual deal by announcing an easing of restrictions on the import of U.S. beef and pork that is expected to go into effect on Jan. 1. 
Taiwan-U.S. trade last year was worth $85.5 billion, with the United States running a $23.1 billion deficit. Taiwan was the United States' 14th biggest export market in 2019.

The United States, like most countries, has no official relations with Taiwan, which is claimed by Beijing as sovereign Chinese territory. China has been stepping up its military activities near the island.
 
"
2,By Reuters,"<span>Sep 30, 2020 03:25AM ET</span>",Money market turmoil in March shows past reforms may be insufficient-U.S. Treasury official,"By David Lawder and Ross Kerber
WASHINGTON/BOSTON (Reuters) - Turmoil in money market mutual funds sparked by the coronavirus pandemic shows that decade-old reforms to the $4.4 trillion industry may not be enough to avert major outflows during a future crisis, Deputy U.S. Treasury Secretary Justin Muzinich said on Tuesday.
The remarks were the latest to raise expectations a new round of rulemaking may be on the way for money funds, which faced turbulence this spring as the COVID-19 pandemic shook Wall Street before Washington officials stepped in.
Muzinich told a New York Federal Reserve conference that the Money Market Mutual Fund Liquidity Facility created in March was critical to restoring financial market functioning as broad shutdowns of the U.S. economy got underway.
But high demand for fund withdrawals was due to different metrics than those operating during the 2008 financial crisis, he said.
In 2008, the Reserve Primary Fund ""broke the buck"" when its net asset value fell below $1 as a banking crisis accelerated, causing a stampede of fund withdrawals that were quelled only by a U.S. Treasury backstop for over $3 trillion in fund assets.
The 2010 Dodd-Frank financial reform legislation required money market mutual funds to hold 30% of their assets in instruments that are liquid within a week, among other reforms. But Muzinich said that when some funds neared this threshold in March, withdrawal requests accelerated.
""The events of this past March show that those reforms may not be enough,"" Muzinich said. ""For example, one might ask whether we have exchanged one psychological bright line for another.""
Muzinich said such lines have the potential to create ""run dynamics"" in markets as they are approached. But he stopped short of calling for further specific reforms.
""While policymakers were able to avert a run, it is worth asking whether there are ways to enhance the liquidity resources available to funds without using a bright-line test, or whether there are ways to draw a line without creating a first-mover advantage,"" Muzinich added.
Peter Crane, founder of money fund research company Crane Data, said the remarks add to expectations new rules will be created for money funds, sometimes seen as rivals by more closely-regulated banks.
""Certainly from the looks of it new money fund regulations might be coming,"" Crane said.
He also noted a Sept. 24 speech by Dalia Blass, the top fund regulator of the U.S. Securities and Exchange Commission, who said her division will analyze the events of March and look to build a resilient market ""while preserving the important role of money market funds in the short-term funding markets.""
Low yields on U.S Treasuries and other debt have forced big money fund sponsors to waive fees just to keep investors in their products this year, or to close them to new investors.
 "
3,By Reuters,"<span>Sep 30, 2020 01:20AM ET</span>",Fact-checking U.S. economic claims in tumultuous Trump-Biden debate,"By Ann Saphir
(Reuters) - U.S. President Donald Trump and Democratic rival Joe Biden battled over the economy - and everything else - at their first ever head-to-head debate on Tuesday. 
Trump said the United States is coming back ""incredibly well"" from the coronavirus shutdown, but Biden suggested it wasn't working right now for ""all the small towns and working class towns in America."" 
Here are some of their claims and checks on their accuracy: 
CORONAVIRUS RECOVERY 
""We had 10.4 million people in a four-month period that we've put back in the workforce. That's a record the likes of which nobody's ever seen before.... Our country is coming back incredibly well,"" Trump said. 
U.S. businesses did add 10.6 million jobs from April to August, Labor Department data shows, a record four-month period. 
However, that's also just under half the 22.1 million jobs lost from February to April, as the coronavirus led to shutdowns of schools and offices nationwide. 
GRAPHIC: Jobs fell off a cliff - https://graphics.reuters.com/USA-ELECTION/ECONOMY-DATA/xlbvglzxepq/chart.png 
Employment in U.S. manufacturing - a sector that Trump said Tuesday he had revived - is 720,000 jobs short of February’s level. 
""Millionaires and billionaires like him...have done very well,"" Biden said of Trump. The combined wealth of billionaires jumped in the weeks after the coronavirus lockdowns, the Institute for Policy Studies found. 
SMALL BUSINESS 
Biden claimed Trump has ""done nothing to help small businesses."" 
Trump signed Congress' $2.3 trillion pandemic relief package in March, which created the Paycheck Protection Program that distributed about $525 billion in forgivable loans to more than 5 million small businesses. 
The program expired before it was fully tapped out, leaving $130 billion unused. Federal Reserve officials have sounded loud warnings in recent days that much needed to be done to keep small businesses afloat. 
RECORD ON JOB CREATION 
""We handed him a booming economy. He blew it,"" Biden said, while Trump claimed, ""We built the greatest economy in history.""
As vice president, Biden helped oversee the recovery from the 2007-2009 financial crisis, which took years. In President Barack Obama's second term the economy added about 2.5 million jobs per year. That's better than the around 2.1 million per year during Trump's first three years in office. 
By February, just before the coronavirus crisis hit, unemployment was plumbing 50-year lows, helping boost wages for those making the least and drawing in more workers from the sidelines than many economists had thought possible. 
STOCK MARKET 
""When the stock market goes up, that means jobs,""
Trump said. 
Stock prices typically track investor expectations for future corporate earnings and do not necessarily mean more jobs, especially right now. 
While the economy has recouped only half the jobs lost since the crisis began, the S&P 500 Index had regained its entire 35% loss by August, climbing to a new record in early September before falling again, ending Thursday a little more than 1% below its February closing high.

GRAPHIC: Trump's stock market - https://graphics.reuters.com/USA-ELECTION/ECONOMY/qmyvmbqrnpr/chart.png 
 
"
4,By Reuters,"<span>Sep 30, 2020 01:10AM ET</span>","Ally of Japan PM urges more fiscal, monetary stimulus to boost virus-hit economy","By Tetsushi Kajimoto
TOKYO (Reuters) - Japan should keep selling government bonds to the central bank to pay for the cost of reflating the economy out of a pandemic-induced slump, an academic close to new Prime Minister Yoshihide Suga said.
There are ""no limits"" to what monetary policy can do to achieve higher inflation, at least until the Bank of Japan achieves its elusive 2% inflation target, Kaetsu University Professor Yoichi Takahashi told Reuters in an interview.
A former finance ministry bureaucrat, Takahashi keeps close contact with Suga via mobile phone and email.
He met with the premier at a Tokyo hotel days after Suga was elected to succeed Shinzo Abe, who resigned due to poor health.
The two discussed ""economy and other issues,"" Takahashi said, declining to comment in detail.
""Suga was absolutely right to say he would continue Abenomics,"" Takahashi said, referring to Abe's reflationary recipe comprised of bold monetary easing, flexible fiscal spending and reform.
Takahashi hailed Suga's intention to proceed with the third arrow of structural reform, which made little headway under Abenomics, and there's room left for the first two arrows, monetary policy easing and fiscal spending.
Takahashi criticised financial institutions for complaining about dwindling profits caused by the central bank's negative interest rate policy.
There are many things regional banks can do such as reviewing business models and streamlining operations before they are forced into realignment, he added.
""Who's complaining about side effects of monetary easing? It's wrong to make such an argument. The BOJ should keep buying government bonds as there's no limit to monetary policy.""
The government for its part should not hesitate to boost fiscal spending at a time when the COVID-19 pandemic hit the world's third-largest economy hard, Takahashi said.
When taken together with central bank assets, Japan's debt would become much smaller than official estimates that put it more than twice the size of its $5 trillion economy, the worst among industrial countries.
""It's ""misleading to warn Japan is saddled all over with debt. Looking at consolidated base, there's more room for fiscal spending,"" Takahashi said. ""The government should simply issue more bonds and have the BOJ buy them under policy mix.""
Analysts polled by Reuters last month forecast the economy would contract by 6% in the current fiscal year to March, more than previously expected.

 
"
5,By Bloomberg,"<span>Sep 30, 2020 12:45AM ET</span>",Kuwait’s New Emir Takes Over an Economy Paralyzed by Politics,"(Bloomberg) -- Kuwait’s new leader, Sheikh Nawaf Al-Ahmed Al-Jaber Al-Sabah, 83, will take the reins of one of the world’s wealthiest countries as it faces a financial crisis made worse by internal political wrangling.
Sheikh Nawaf succeeds his half brother, Sheikh Sabah Al-Ahmed Al-Jaber Al-Sabah, who died on Tuesday at the age of 91. Sheikh Nawaf, the crown prince since 2006, had been serving as acting head of state since July, when the emir was flown to the U.S. for medical treatment.
The new leader comes to power at a time when Kuwait is facing the highest budget deficit in its history, brought on by the drop in oil prices and the coronavirus pandemic. A potential solution to its brewing liquidity crisis has been blocked by parliamentary opposition to a law that would allow the government to borrow, as other Gulf nations have done in response to the dual crisis.
While Kuwait’s oil and foreign policy is unlikely to change, its domestic political landscape could be redrawn under the new leadership, particularly if Sheikh Nawaf makes a bid for national reconciliation. Such an initiative could help unblock Kuwait’s gridlocked politics and restore some balance among the different branches of the ruling family.
Kuwait is the only country in the Gulf where nationals have a genuine say in how they’re governed, but the resulting political paralysis means it’s been left behind by less democratic neighbors like the United Arabic Emirates. The emir appoints the prime minister and political parties are banned, so there’s no coherent opposition. The elected parliament is often filled with populist independents who butt heads with governments they accuse of being too soft on corruption.
Opposition Meetings
Sheikh Nawaf has split from his predecessor in meeting with two of Kuwait’s veteran opposition politicians, Ahmed Khateeb and Ahmed Al-Saadoun, amid calls to allow the return of self-exiled opposition leaders. The new leader also recently received proposals for political and economic reforms from two opposition politicians. The meetings came ahead of crucial parliamentary elections later this year.
The opposition has boycotted parliamentary polls since December 2012, when the electoral law was amended at the order of the former emir. The boycott followed one of the biggest opposition rallies in the nation’s history, as critics called for the government to share more power with elected politicians.
The opposition claimed at the time that the changes to voting rules were aimed at reducing its chances of winning and made it easier for candidates to buy votes. The government said the amendments were intended to ensure stability and boost democracy.
According to the constitution, the crown prince ascends to power upon an emir’s death. That would leave Sheikh Nawaf with the duty of appointing a new crown prince, which he has one year to do. The new emir needs the endorsement of parliament for his crown prince nominee. In theory, parliament could reject the emir’s choice, forcing him to submit three fresh nominees for the house to vote on.
Sheikh Nawaf, born in Kuwait on June 25, 1937, is the sixth son of Kuwait’s tenth ruler, Sheikh Ahmed Al-Jaber Al-Mubarak Al-Sabah. He was first appointed to the cabinet in 1978 as interior minister, and thereafter held the defense and social affairs portfolios. Sheikh Nawaf has also served as deputy chief of the national guard. He was educated in Kuwait and is married with four sons and one daughter.
©2020 Bloomberg L.P.
"
6,By Reuters,"<span>Sep 29, 2020 09:25PM ET</span>",U.S. Treasury says it has closed loans to seven major airlines,"By David Shepardson and Tracy Rucinski
WASHINGTON/CHICAGO (Reuters) - The U.S. Treasury said on Tuesday it had closed loans to seven large airlines hit hard by the coronavirus pandemic and urged Congress to save tens of thousands of airline jobs by extending billions in payroll assistance.
The Treasury said in a statement the seven carriers were Alaska Airlines, American Airlines (NASDAQ:AAL), Frontier Airlines, JetBlue Airways (NASDAQ:JBLU) Corp , Hawaiian Airlines,  SkyWest  (NASDAQ:SKYW) Airlines and United Airlines. 
Airlines and unions were still heavily lobbying Congress ahead of a Wednesday deadline for a new $25 billion bailout to keep workers on the payroll for another six months, but industry officials acknowledge they face an uphill battle with just hours left.
U.S. airlines received $25 billion in March under the CARES Act, primarily in the form of grants to keep employees on payroll through September and avoid furloughs.
Treasury Secretary Steven Mnuchin urged Congress on Tuesday to extend the payroll assistance program ""so we can continue to support aviation industry workers as our economy reopens and we continue on the path to recovery."" Last week, Mnuchin ruled out executive action to avert airline layoffs.
House of Representatives Democrats have backed a $2.2 trillion measure that would provide assistance to many hard-hit sectors as well as direct relief for Americans. They have been reluctant to support a stand-alone measure that would only aid airline workers.
Nick Calio, who heads the airline trade group Airlines for America, said Tuesday that carriers ""remain hopeful that Congress will act quickly to save these jobs before the Sept. 30 deadline – which is tomorrow – but time is running out.""
American Airlines said Friday it secured a $5.5 billion Treasury loan and could tap up to $2 billion more in October. 
Airlines, which together continue to burn through $5 billion a month, have until Sept. 30 to decide whether to draw from the $25 billion U.S. Treasury loan fund, which was authorized by Congress in March.
Treasury said it expects ""the initial loan amounts will be increased as a result of some major airlines determining not to move forward with loans"" and could boost loans to as much as $7.5 billion per carrier.

Airlines have also tapped capital markets to bolster liquidity, but passenger traffic still down 68% from pre-pandemic levels.
 
"
7,By Reuters,"<span>Sep 29, 2020 09:20PM ET</span>",Canada housing market rally to cool off next year - Reuters poll,"By Mumal Rathore
BENGALURU (Reuters) - Canadian home prices, which rallied more sharply than expected this year, are set to rise by less than consumer inflation next year as higher unemployment and lower immigration levels cool down the market, a Reuters poll of analysts showed.
The resource-rich economy went into its deepest recession on record this year due to the coronavirus pandemic that shuttered businesses and halted trade. Over 150,000 people have been infected in Canada.
But the economy has recovered significantly over the past month, cushioned by the Bank of Canada's cumulative 150 basis points of interest rate cuts and massive fiscal spending by the government, with expectations for a faster economic recovery than most of its trading partners.
Housing starts hit a 13-year high in July and home prices rose at their fastest pace in over three years, suggesting a solid rebound, recent data showed.
The Sept. 15-25 poll of 14 property market analysts and economists showed house prices would rise 6.0% on average this year nationally, the highest prediction since polling began for this period in November 2018. Three months ago, they were expected to rise only 1.5% in 2020.
""Housing has been quite resilient so far, most likely reflecting a backlog of projects on hold from the spring lockdown, pent-up demand from higher income households that were less affected by the pandemic and ultra-low interest rates,"" said Tony Stillo, director of Canada economics at Oxford Economics.
""While new federal income support programs should lessen downside risks, several government emergency support programmes are set to expire this fall and we expect a modest retreat in housing activity and lower prices later this year and through mid-2021, especially in urban condo markets.""
For next year, house prices were expected to rise 1.0%, compared with a 1.2% fall predicted in the June poll. But in a worst-case scenario, Canadian house prices were predicted to rise only 2.0% in 2020 and fall 10.0% next year.
""The housing market will face its toughest challenge in 2021 as the combo of disposable income, low mortgage rates and deferrals, that helped boost the market in 2020, reverse course and work against prices,"" said Brendan LaCerda, senior economist at Moody's (NYSE:MCO) Analytics.
In Toronto, house prices were expected to rise 9.0% this year and 2.0% next year, compared to 3.0% and -3.1%, respectively, predicted in the previous survey.
For Vancouver, house prices were forecast to rise 3.3% this year and 2.0% in 2021, compared to a 1.8% and 2.9% fall predicted in June.
Still, eight of 13 economists with a view said the risks to their outlook were skewed more to the downside, citing high unemployment and lower immigration as the biggest hurdles to the Canadian housing market over the coming year.
""Unemployment rate will remain high throughout 2021. A supplemental risk is a worldwide second wave in the pandemic which would stop international migration flows which in Canada are vital to sustain housing demand,"" said Marc Pinsonneault, senior economist at National Bank of Canada (OTC:NTIOF).
(Reporting and polling by Mumal Rathore; Editing by Ross Finley and Bernadette Baum) OLUSECON Reuters US Online Report Economy 20200930T011500+0000"
8,By Reuters,"<span>Sep 29, 2020 08:00PM ET</span>",Stopgap bill funding U.S. government through December 11 advances in Senate,"By Susan Cornwell
WASHINGTON (Reuters) - The U.S. Senate voted overwhelmingly on Tuesday to advance a temporary funding bill to keep the government open through Dec. 11, with final passage of the measure expected on the deadline, Wednesday.
Government funding runs out at midnight Wednesday. The legislation, if passed by then and signed into law by President Donald Trump, would maintain current funding levels for most programs, avoiding a government shutdown in the middle of a pandemic and weeks ahead of the Nov. 3 U.S. election.
The Senate voted 82-6 on a procedural motion to advance the temporary funding bill, with all six no votes cast by Republicans.
The Democratic-led House of Representatives approved the measure a week ago after Democrats struck a deal with the White House and Republicans on farmers' aid and nutritional assistance for children.
Senate Democrats acknowledged they had stretched out action on the stopgap bill in recent days as part of their protest against Senate Republicans' rush to approve a new Supreme Court nominee weeks before the presidential election. But a Senate Democratic aide also said Democrats would ""ensure the government will not shut down.""
The bill generally maintains current spending levels and gives lawmakers more time to work out budget details for the fiscal year that ends on Sept. 30 2021, including for military operations, healthcare, national parks, space programs, and airport and border security.
The legislation's Dec. 11 end date will require Congress to return to the government funding question again during its post-election lame-duck session, after what is likely to be a bruising fight to confirm Trump's third Supreme Court nominee, Amy Coney Barrett.

Congressional Democrats have had a stormy relationship with the White House over federal funding since Trump took office early in 2017, disagreeing over the president's demands for billions of dollars to build a U.S.-Mexico border wall and a range of other domestic priorities.
 
"
9,By Reuters,"<span>Sep 29, 2020 07:10PM ET</span>",North Korea tells U.N. that now it has 'effective war deterrent' it will focus on economy,"By Michelle Nichols and David Brunnstrom
NEW YORK (Reuters) - North Korea has a ""reliable and effective war deterrent for self-defense"" and will now focus on developing its economy, North Korea's U.N. Ambassador Kim Song said on Tuesday, though he acknowledged that international sanctions were a hindrance. 
Addressing the U.N. General Assembly, Kim also said the ""anti-epidemic situation in our country is now under safe and stable control"" as a result of measures taken to contain the spread of the novel coronavirus. North Korea has said it has no confirmed cases, though some U.S. officials have cast doubt on that claim.
Already weighed down by tough international sanctions over its nuclear and ballistic missile programs, Pyongyang is also facing significant economic damage from strict border closures and other measures aimed at preventing a coronavirus outbreak and struggling to cope with damage from recent storms and flooding.
""Based on its reliable guarantee for safeguarding the security of the state and people, the DPRK is now directing all its efforts to economic construction,"" said Kim, using his country's formal name - Democratic People's Republic of Korea. 
""It is a matter of fact that we badly need an external environment favourable for economic construction,"" he said. ""But, we cannot sell off our dignity just in a hope for brilliant transformation – the dignity which we have defended as valuable as our own life. This is our steadfast position.""
He said North Korea was still being threatened by military hardware like stealth fighters being used on the Korean Peninsula and ""nuclear strike means of all kinds are directly aimed at the DPRK.""
""Genuine peace can only be safeguarded when one possesses the absolute strength to prevent war itself,"" Kim said. ""As we have obtained the reliable and effective war deterrent for self-defense by tightening our belts, peace and security of the Korean peninsula and the region are now firmly defended.""
Independent U.N. sanctions monitors reported to the U.N. Security Council in August that North Korea was pressing on with its nuclear weapons program and several countries believe it has ""probably developed miniaturised nuclear devices to fit into the warheads of its ballistic missiles.""
Jenny Town, a Stimson Center fellow and deputy director of 38 North, said that in the envoy's speech ""there were no overt threats or hints of shows of force or demonstrations of power in the near future. It was very focused on rebuilding and recovering the internal situation.""
She added that while North Korea wants sanctions relief ""they aren't going to simply give up their weapons on promises of a brighter future"" and there would need to be tangible moves to prove that relations with the United States had changed before Pyongyang could justify taking measures that would jeopardize its security.
North Korean leader Kim Jong Un and U.S. President Donald Trump have met three times since 2018, but failed to make progress on U.S. calls for Pyongyang to give up its nuclear weapons and North Korea's demands for an end to sanctions.

North Korea's ruling party plans a congress in January to decide a new five-year plan, state media reported last month, after a party meeting noted serious delays in improving the national economy and living standards.
 
"
