,company,date,title,content
0,By Reuters,"<span>Dec 19, 2014 12:30PM ET</span>",Hagel could be briefed Friday on Bergdahl investigation: Pentagon,"WASHINGTON (Reuters) - U.S. Defense Secretary Chuck Hagel is expected to be briefed as early as Friday on an investigation into the circumstances surrounding the capture of Army Sergeant Bowe Bergdahl by Taliban militants in Afghanistan, the Pentagon said. 
Pentagon spokesman Admiral John Kirby said it would be up to the Army to decide on the timing of the release of details of the investigation and any steps to be taken. 
""It is an Army investigation, and it is Army's decision to determine what, if anything, they will do,"" Kirby told a regular news briefing. 
Bergdahl was released in May in a prisoner swap after five years in captivity. 
Some of his fellow soldiers in Afghanistan have said that Bergdahl was captured by the Taliban after he deserted his post. 
The administration of President Barack Obama was initially praised for securing his release, but there was a backlash from critics on Capitol Hill who charged that the White House had failed to give Congress adequate notice before freeing prisoners from at the U.S. military's detention facility in Guantanamo Bay, Cuba. 
The Pentagon appointed Major General Kenneth Dahl to investigate the case, to determine whether Bergdahl had broken military rules and to recommend any appropriate punishment. 

In November, the Pentagon said That Dahl had submitted an initial report to the military chain of command for review. It also rejected news reports suggesting that results of the investigation were being delayed until after the November mid-term elections. 
 (Reporting by David Brunnstrom, editing by G Crosse) "
1,By Reuters,"<span>Dec 19, 2014 11:40AM ET</span>",U.S. House Speaker sets January 20th for Obama speech to Congress ,"WASHINGTON (Reuters) - U.S. President Barack Obama has been invited to deliver his annual State of the Union address to Congress on Jan. 20 at 9 p.m. ET (0200 GMT Jan. 21). 
House of Representatives Speaker John Boehner, in a letter delivered on Friday to Obama, set the date for the address before a joint session of the Senate and House of Representatives. 

The annual speech is an opportunity for the president to outline his priorities for the coming year. 
 (Reporting By Richard Cowan; Editing by Doina Chiacu) "
2,By Reuters,"<span>Dec 19, 2014 10:02AM ET</span>",U.S. green groups sue EPA over stormwater regulations,"By Ayesha Rascoe 
WASHINGTON (Reuters) - Two environmental groups have sued the U.S. Environmental Protection Agency for what the groups said was failing to comply with a court order requiring the agency to strengthen regulations preventing pollution from stormwater runoff. 
The Natural Resources Defense Council (NRDC) and the Environmental Defense Center (EDC) said in a statement that they filed the suit on Thursday in the 9th U.S. Circuit Court of Appeals in San Francisco. 
The groups said EPA has not obeyed a 2003 ruling from the 9th circuit in EDC v. EPA that required the agency to redo portions of its 1999 stormwater regulations dealing with urban runoff because they were not in line with the Clean Water Act. 
The order also directed the agency to consider regulating runoff from unpaved forest roads. 
NRDC and EDC said they have asked the court to impose a deadline for the EPA to act in these matters. 
In response to the lawsuit, EPA said it was working to strengthen its existing stormwater pollution program by requiring more environmental protections when renewing storm sewer permits and working with states and municipalities to reduce water pollution. 
""The agency's goal is to build a broad nationwide constituency for better stormwater pollution control by educating communities and giving them an opportunity to develop strong programs before creating additional federal regulatory requirements,"" EPA said in a statement. 
Rain water that runs off roads and other hard surfaces into sewer systems can contaminate water supplies, cause beach closings and harm aquatic life. 
The environmental groups said EPA pledged it would revamp its urban stormwater rules in 2009, but backed off from those plans. 
The agency has also said it would weigh whether to issue standards for forest road runoff, but no timeline has been set for a decision. 

""We hope this suit spurs EPA to get back into the business of modernizing its whole stormwater program, which badly needs updating and could greatly benefit from new green technologies,"" said NRDC senior attorney Larry Levine in a statement. 
 (Editing by Kevin Drawbaugh, Andrew Hay and Meredith Mazzilli) "
3,By Reuters,"<span>Dec 19, 2014 07:21AM ET</span>",Guardian of New Hampshire's presidential primary ready for another round,"By Scott Malone 
CONCORD, N.H. (Reuters) - As New Hampshire braces for another wave of White House hopefuls next year seeking votes in the first-in-the-nation nominating primary, much of the credit for the state's hold on that position goes to one man: Secretary of State William Gardner. 
For the past four decades, Gardner has outmaneuvered states including Florida and Nevada to protect the front-runner spot mandated by New Hampshire law - and it has not always been easy. The state has steadily moved forward its primary, originally held in March. It shoe-horned the past two contests into January. 
Ask Gardner when the 2016 primary, which marks the 100th anniversary of the event, will be held and he smiles, careful not to limit his options. 
""I have never set the date and then changed it,"" said Gardner, 66. ""I wait until I feel it's safe to do it and then I do it."" 
But the early January primaries of 2008 and 2012 were unpopular with Democratic and Republican officials, who worried that Americans were paying more attention to holiday parties than to candidates barnstorming New Hampshire and Iowa, whose citizens kick off nominating season with caucuses. 
This time around, observers said, it is unlikely that former Secretary of State Hillary Clinton or former Florida Governor Jeb Bush will be showing up at diners in Manchester or town meetings in the White Mountains between Christmas and New Year's next year. 
""I suspect that this time will be different, that we won't have the creep that we've had,"" said Neil Levesque, executive director of the New Hampshire Institute of Politics. 
The Republican National Committee has established rules penalizing states that hold votes ahead of Iowa, New Hampshire, South Carolina or Nevada, he noted. 
RETAIL POLITICS 
Regardless of when the primary is held, White House hopefuls already are making the rounds in New Hampshire, where voters expect to speak to candidates in person before they vote. 
Most make multiple visits to the state before arriving at Gardner's state house office, where candidates from former President George W. Bush to Clinton have sat down at a wooden desk and filled out the paperwork to get on New Hampshire's primary ballot. 
Several voters said they were looking forward to the flood of candidates. 
""I enjoy it and you get to know much more about them than you would just watching TV and reading the papers,"" Nancy LeBlanc, a 77-year-old retiree, said over breakfast at Chez Vachon, a Manchester diner popular with barnstorming candidates. 
The state's political leaders contend that voters like LeBlanc play a valuable role in the U.S. political process by allowing little-known names to gain momentum. 
In recent decades, Republican Arizona Senator John McCain, and Democratic former Georgia Governor Jimmy Carter both used strong showings in New Hampshire to snag their parties' nominations after lackluster early starts. 
The primary is all the more valuable as television ads play an ever-greater role in later stages of campaigns. 
""A candidate that comes in with $20 million in the bank already has a lead on one who does not,"" said Jennifer Horn, chairman of the state's Republican Party. ""A state like New Hampshire allows those other candidates a fair chance."" 
Outside the state, some see New Hampshire's position as little more than a quirk of history and doubt that its voters are more astute than those in any other state. 
""Why should it always be Iowa and New Hampshire? There are plenty of states with two or three electoral votes that could kick off the process,"" said Larry Sabato, director of the University of Virginia Center for Politics. 
""But it's not going to change,"" he said. 
Regardless of how unique New Hampshire's voters are, observers agreed that Gardner, who has held his position since 1976, has stood out for his ability to uphold the New Hampshire law that requires its primary to be the first by at least a week. 
""There is no such thing as pressuring Bill Gardner and woe to the person who tries,"" said Ray Buckley, chairman of the state's Democratic Party. ""Bill is going to do what he thinks is best for the primary and that's it."" 
Gardner, who served briefly in the state legislature before taking on his current role, said he has no intention of allowing New Hampshire's position to slip. 

""As long as the people of the state have the will to keep this, they will keep this,"" Gardner said. ""There are not a whole lot of political traditions in this country that are lasting. This is one."" 
 (Reporting by Scott Malone) "
4,By Reuters,"<span>Dec 19, 2014 07:20AM ET</span>","In North Dakota, countdown looms for $5.3 billion oil tax break","By Ernest Scheyder 
BISMARCK, N.D. (Reuters) - Tumbling U.S. oil markets hit an important if obscure milestone on Thursday, closing for the first time at a price that could trigger a $5.3 billion, two-year tax break for North Dakota oil drillers as soon as next summer. 
Under a decades-old law, the state at the heart of the U.S. shale oil boom would waive its 6.5 percent oil extraction tax once the average monthly price of benchmark West Texas Intermediate (WTI) crude at Cushing, Oklahoma, falls below a certain threshold for five consecutive months. 
For next year, that price is $55.08 per barrel. On Thursday, U.S. crude oil futures settled at $54.11 per barrel, the lowest close since May 2009 and the latest leg of a rout that has halved the price of crude since June. 
It is unlikely that the clock would start ticking in December, since the average price is still above $61 a barrel. But if prices remain this low into next year, it could be a reality as soon as next June. 
""We're really at the point where we could start calculating this,"" Ryan Rauschenberger, North Dakota's tax commissioner, said in an interview. 
The hope of a future tax break will be cold comfort for North Dakota's beleaguered oil producers, including Continental Resources Inc and Oasis Petroleum Inc, which plan to spend less money in 2015. 
The tax break ""would be an important incentive for the industry to continue investing,"" said Ron Ness, president of the North Dakota Petroleum Council, an industry trade group. 
The potential tax relief could make it difficult to know how much crashing oil prices are hurting the nation's oil producers. It also would muddy the waters to determine how quickly a slowdown in U.S. production affects a growing global supply glut. 
While only about 3 percent of oil taxes go to fund the state's day-to-day operations, a reduction would wreak havoc with parts of the state's budget and crimp funding for new schools, water pipelines and other major projects in western oil-producing counties that have made North Dakota the second-largest U.S. oil producer. 
Rauschenberger estimates that North Dakota would only take in $2.9 billion in oil taxes in the next two years without the oil extraction tax. With the tax, the projection is $8.2 billion. 
SEEN IT BEFORE 
The tax break was instituted in 1987, several years after North Dakota's second oil boom went bust. Oil prices had collapsed after Saudi Arabia flooded the market in a price war with other producers - a scenario some see repeating now. 
The break was designed ""to try and keep oil production occurring in the state in a low-price environment,"" said Rauschenberger, who was appointed tax commissioner last year and elected to a four-year term last month. 
From 1987 until 2004, the trigger was in effect, meaning oil extraction tax collections were a pittance compared with, say, this past July, when $325 million in oil taxes rolled into state coffers, the highest monthly amount in history. 
Here is how it works. 
If the average price of crude is below an inflation-adjusted limit - set at $55.08 per barrel for 2015 - for five consecutive months, then the 6.5 percent oil extraction tax is waived for the first 24 months of a well's life. 
After that 24 months is up, and if the average price of oil is still below $55.08 per barrel, the tax rate rises to 4 percent, not the original 6.5 percent. 
The full 6.5 percent oil extraction tax only returns if the average price of oil rises above that $55.08 per barrel threshold each month for a five-month period. The break does not apply to wells already in production, however. 
The state still imposes a separate 5 percent gross production tax as a type of property tax on each barrel, no matter what. 

But a complete repeal of the 6.5 percent extraction tax would mean North Dakota's ""overall oil tax rate would be effectively cut in half,"" Rauschenberger said. 
 (Reporting by Ernest Scheyder; Editing by Jonathan Leff and Lisa Shumaker) "
5,By International Business Times,"<span>Dec 19, 2014 01:15AM ET</span>",Obama Mulls 'Proportional' Response To Sony Hack,"By Thomas Halleck -

The White House is not sure how it will respond if it determines that the North Korean government sponsored the recent cyberattack against the Sony Corporation’s U.S. film division, as it looks for a way to respond that is forceful enough without stirring up more trouble. The U.S. has not yet concluded an official investigation but has some evidence that Pyongyang was behind the hack.
The White House is looking at a “range of options” for a “proportional response,” spokesman Josh Earnest said at a press conference Thursday evening. President Barack Obama’s senior advisers were meeting daily over the Sony hack, he said, adding that the government was not prepared to announce that any country was behind it.
North Korea claims that it was not behind the attack, but investigators say that the malware on Sony’s system tried to connect to a network in North Korea, in addition to several other countries, the White House says. The North Korean government strictly controls the limited Internet access inside its borders, so investigators reportedly view the attempt as potential evidence that the devastating attack was sponsored by Kim Jong-un’s regime.
Obama must deter North Korea from conducting similar attacks in the future, as well as countries like Russia and China, who are considered much greater threats to national cybersecurity. If Washington retaliates with a counter-attack, it could make it harder for U.S. intelligence agencies to spy on North Korea, former intelligence officers told the Wall Street Journal. The New York Times reported earlier this year that White House officials were “squeamish” about launching cyber-attacks against foreign nation, over fears of escalation.
North Korea’s Internet connections run through China, but since the U.S. is already facing off with Beijing over hacking accusations, the country is unlikely to step in. Investigators reportedly suspect that the North Korean hacking unit of its General Reconnaissance Bureau was behind the Sony hack.
Sony announced Thursday that it was cancelling the release of “The Interview” due to terror threats, and after a number of major theater chains said they would not screen the film.
North Korea is an isolated nation, so there is little pressure the U.S. can apply economically, the report said. Some officials say Obama should issue a statement that the Sony hack crossed a line. That tactic has only led to mutual accusations between the U.S. and China that some security companies are calling a “cyber cold war.”"
6,By Reuters,"<span>Dec 19, 2014 12:10AM ET</span>",Louisville lawmakers approve minimum wage hike,"By Steve Bittenbender 
LOUISVILLE, Ky (Reuters) - Louisville, Kentucky officials on Thursday approved an increase to the city's minimum wage, boosting it from the federal rate of $7.25 to $9 an hour by 2017, becoming the 12th city to approve a hike this year. 
The increase, which came after a series of contentious debates in the weeks leading up to and even during Thursday's Louisville Metro Council meeting, came down to a party-line vote. All 16 Democrats in attendance supported the measure, while all nine Republicans voted against it. 
Louisville Mayor Greg Fischer had said earlier he would veto the council's original proposal, which would have raised pay to $10.10 an hour over a three-year period. However, Fischer said in a statement released after the vote he was pleased with the amended ordinance. 
After 2017, the wage will be adjusted according to the Consumer Price Index. 
With the vote, Louisville became the 12th U.S. city to increase the minimum wage this year, and the first city in southern states to do so, according to Paul Sonn, general counsel with the National Employment Law Project. 
Earlier this month, the Chicago City Council voted to increase the wage to $13 an hour by 2019. On Election Day, voters in Arkansas backed an initiative to increase the state's minimum wage to $8.50 by 2016, and Nebraska voters passed a referendum to make it $9 by 2016. 
Other states, including Florida, Missouri and Ohio, base their minimum wages on consumer price or cost of living indices. 
Democratic Louisville Councilman David Yates said local leaders routinely approve incentives for companies to locate and expand in the city. ""This is the first time we've done something for the workers,"" he said. 
Both Republicans and Democrats agree the increase will face a challenge in the courts, with detractors arguing that the local council does not have the authority to raise the wage. 
Opponents said companies with lower-paying jobs will seek to move elsewhere in the Louisville region to take advantage of the city's benefits while not having to pay the higher wages. 
""If we're going to have Louisville compete, we have to compete on a level playing field,"" Republican Councilman Kevin Kramer said. 
 (Editing by Fiona Ortiz, Curtis Skinner and Dan Whitcomb) "
7,By Reuters,"<span>Dec 19, 2014 12:10AM ET</span>",White House releases snapshot of plan to rate U.S. colleges,"By Elvina Nawaguna 
WASHINGTON (Reuters) - The White House on Friday released a draft of its plan to rate U.S. colleges and tie federal aid to performance as a way to coax institutions to pull up their socks. 
The U.S. Education Department will rate institutions on their performance, intake of low-income students, completion rates, affordability, employment prospects and student loan repayment rates. 
""Relatively simple metrics like the percentage of students repaying their loans on time might be important as consumers weigh whether or not they will be able to handle their financial obligations after attending a specific school,"" the Education Department said in the document released Friday.  
President Barack Obama in 2013 announced the move to start rating colleges as part of a plan to curb the growing cost of higher education and runaway student loan debt and to improve job prospects for college students. 
The college rating system would classify colleges as high-, low- or middle-perfoming. 
Congressional Republicans and education trade groups opposed to the plan say it is a form of government overreach that would hurt colleges serving low-income students. 
""If after nearly a year and half of work, this is all the Department can muster, it seems to support the long held belief by many in higher education that while a college rating system is admirable in theory, it is not feasible to create metrics that definitively assess the quality of so many institutions across the country,"" Steve Gunderson, president and chief executive of the Association of Private Sector Colleges and Universities, said in a statement. 
The federal government provides more than $150 billion in student aid annually. 
Supporters of a ratings system would hold institutions accountable and help prospective students weigh the pros and cons of choosing a particular college. 
""Right now, prospective students and their families lack access to comprehensive and useable information for one of the biggest financial investments they'll ever make. Taxpayers should not write a blank check to schools that fail to serve students,"" Jennifer Wang, policy director at Young Invincibles an organization focused on issues affecting 18 to 34-year-olds. 

The Education Department is seeking public comments on the plan and expects to have a final rating system by the 2015-2016 academic year. 
 (Reporting by Elvina Nawaguna; Editing by Eric Walsh) "
8,By Reuters,"<span>Dec 18, 2014 09:20PM ET</span>",Washington governor pushes capital gains tax in face of budget gap,"By Eric M. Johnson 
SEATTLE (Reuters) - Washington state Governor Jay Inslee on Thursday proposed a new tax on capital gains to try to close a projected budget shortfall of more than $2 billion, rolling back on a no-new-taxes campaign pledge. 
The proposal, which Inslee said would provide much-needed funds for schools and other programs, is included in a $39 billion 2015-2017 budget he unveiled in Olympia, where he told reporters the tax would raise nearly $800 million. 
""We simply have not been able to generate the revenue necessary,"" Inslee said, citing slower-than-desired economic growth and a failure by lawmakers to close tax loopholes. ""This is a fair way to raise needed revenue."" 
The levy appears to go against Inslee's 2012 campaign pledge to veto new tax proposals. 
Inslee's budget is likely to usher in a protracted fight when the state legislature reconvenes in January, with competing proposals expected out of the Republican-controlled Senate and from Democrats who have a majority in the House. 
""Investing in student achievement and providing essential services should not depend on risky tax schemes that threaten our economy,"" said Republican state Senator Andy Hill. 
Washington has been one of nine U.S. states that do not tax capital gains from the sale of stocks, bonds, and other assets, Inslee said, and the proposed levies are lower than those in Idaho, Oregon and California. 
Washington state in 2016 would apply a 7 percent tax to capital gains above $25,000 for individuals and $50,000 for couples, which would affect less than 1 percent of the state's taxpayers, with exemptions for retirement accounts, homes, farms and forestry, he said. 
Inslee's budget calls for a $5 billion spending increase over the 2013-2015 period, largely going to his $2.3 billion education plan aimed at bringing the state in line with court-ordered increases in K-12 schools funding. 
The state Supreme Court in September found the legislature in contempt for failing to uphold a court order to come up with a plan to infuse billions of dollars into public education. 
Overall, Inslee's budget would raise about $1.4 billion in new revenues through taxes, including raising the cigarette tax by 50 cents per pack, closing loopholes, and other sources. It still leaves the state roughly $2.4 billion short. 

On Wednesday, Inslee laid out a carbon cap-and-trade program in 2016 aimed at raising $1 billion per year, with some $380 million earmarked for education. 
 (Reporting by Eric M. Johnson; Additional reporting by Rory Carroll in San Francisco; Editing by Dan Whitcomb and Mohammad Zargham) "
9,By Reuters,"<span>Dec 18, 2014 09:20PM ET</span>","With Cuba decision, Obama hands Hillary Clinton a gift","By Steve Holland 
WASHINGTON (Reuters) - Potential 2016 Democratic presidential candidate Hillary Clinton knows a political gift when she sees one. 
She was quick to embrace the step this week when President Barack Obama, a fellow Democrat no longer having to face an electorate, relaxed U.S. policy toward Cuba. 
While assailed by Republicans opposed to restoring ties with the communist-led island, the action has the power to solidify support for Democrats among increasingly influential Latino voters and appeal to voters in farm states like Iowa eager to do business in Havana. 
Obama's unilateral move has gently shaken up the 2016 race to succeed him, exposing divisions among Republicans and possibly helping Democrats already buoyed by his decision to liberalize immigration policy. 
Potential contenders Jeb Bush and Marco Rubio adhered to the traditional Republican hard line on Cuba and sharply criticized Obama. But Kentucky Senator Rand Paul, who has a libertarian streak, backed the new policy. 
A likely White House candidate, Paul told a West Virginia radio station that the 50-year-old embargo with Cuba ""just hasn't worked."" 
Clinton, Obama's former secretary of state, also had asserted the previous policy was not working. In her memoir, ""Hard Choices,"" she wrote that she urged Obama to shift. She welcomed the change in a statement on Wednesday. 
Democrats argue that Clinton's embrace of Obama on Cuba could help her with Latino voters, especially younger ones in the key state of Florida, who are less inclined than their elders to be virulently opposed to the Cuban government. 
Of America's 1.5-million-strong Cuban-American population, about 80 percent live in Florida. 
""I think it'll help her with the younger folks,"" Democratic strategist Bud Jackson said of Clinton. 
Latinos already like what they see in Clinton. 
A Telemundo/NBC News/Wall Street Journal poll found on Thursday that 61 percent of Latinos see themselves supporting Clinton in 2016, 11 points more than the general population. 
MORE OF A PLUS 
The Cuba shift could also prove popular among those dependent on America's agricultural businesses, major hotels and even sports fans who enjoy watching the best Cuban players make it to Major League Baseball. 
""The political calculation has to be that this is more of a plus for a candidate for president than a minus,"" said David Yepsen, director of the Paul Simon Public Policy Institute at Southern Illinois University. 
A Reuters/Ipsos poll of more than 31,000 adults between July and October showed Americans largely open to forging diplomatic relations with Cuba. About one-fifth opposed such a move, while 43 percent backed it and around 37 percent were unsure. 
But there are potential pitfalls for Clinton. She will need to stake out some positions of her own or risk criticism that she simply represents the third term of a president who is saddled with a 40 percent approval rating. 
In their 2008 battle for the Democratic presidential nomination that Obama won, Clinton accused him of being ""naive"" for offering to meet leaders of such renegade nations as Cuba without conditions. 
Since flirting with a presidential race, Clinton for the most part has chosen not to separate herself from Obama other than to question his decision not to arm Syrian rebels, as her memoir reveals. 
Lanhee Chen, a Hoover Institution scholar who advised Republican Mitt Romney's 2012 presidential bid, said if Clinton is ""trying to draw some distance from the president's foreign policy in some ways, it was not useful to have something where she's perfectly aligned with him."" 
There are also risks for Jeb Bush, a former Florida governor, and Rubio, a Florida senator. In their criticisms of Obama's policy, the two Republicans are aligning themselves with their party's conservative base but their views could appear outdated to moderate voters. 

""I think it's kind of a blind cul-de-sac for people like Rubio and Bush to get pushed into,"" said Democratic strategist Bob Shrum, who was Democratic presidential nominee John Kerry's campaign manager in 2004. ""It reflects a Florida that doesn't exist anymore."" 
 (Additional reporting by Patricia Zengerle; Editing by Caren Bohan and Howard Goller) "
