,company,date,title,content
0,By Reuters,"<span>Sep 12, 2018 02:50PM ET</span>",Verizon names new CEO for Oath,"(Reuters) -  Verizon Communications  Inc (N:VZ) on Wednesday named K. Guru Gowrappan as the new chief executive officer of its media and advertising business, Oath, replacing Tim Armstrong.
Verizon last week said that Armstrong was in talks to leave Oath.
Gowrappan, currently Oath's chief operating officer, will be taking the top job on Oct. 1, Verizon said.
Gowrappan joined Oath from  Alibaba  Group (N:BABA) early this year.
Armstrong came to Verizon in 2015 following its takeover of AOL and headed Oath, which was created last year after the No.1 U.S. telecom company acquired the core business of Yahoo (NASDAQ:AABA) and merged it with AOL.

Oath owns more than 50 brands, including HuffPost, TechCrunch and Tumblr, but has failed to make an impact in the space occupied by  Facebook Inc  (O:FB) and Alphabet Inc's (O:GOOGL) Google.
 
"
1,By Reuters,"<span>Sep 12, 2018 02:30PM ET</span>","BDCs can hold risk without violating Dodd-Frank rules, SEC says","By Kristen Haunss
NEW YORK (LPC) - The Securities and Exchange Commission (SEC) has said that Business Development Companies (BDCs) will be able to hold a portion of a Collateralized Loan Obligation (CLO) without violating rules governing closed-end funds.
BDCs, which typically lend to privately-owned US mid-sized companies, previously used CLOs as a financing mechanism, often a cheaper option than raising a loan. But risk-retention rules that took effect in December 2016 threw that method into question as regulations governing these funds prohibit advisers from selling securities to the BDC.
The decision, offered September 7 in the form of a no-action letter in response to law firm Dechert on behalf of Golub Capital, opens the door for an increase in issuance by seamlessly allowing managers to transition loans from their BDC into a CLO and passing the retention though the adviser and back into the BDC.
“This is a major development,” said Deborah Festa, head of law firm Milbank, Tweed, Hadley & McCloy’s West Coast securitization and investment management practices. “The results should be a significant increase in middle market CLO activity by BDCs that are able to originate all of the loans acquired by their CLOs.”
Last year, LPC reported that participants in the US$560bn US CLO market had reached out to the SEC for guidance on the issue. 
David Golub, chief executive officer of Golub Capital BDC, and an SEC spokesperson both declined to comment.
CLO RETENTION LAWSUIT
Dodd-Frank, a sweeping package of rules signed into law in 2010 in response to the credit crisis, includes risk-retention rules that force managers to hold 5% of their funds. 
The US loan trade association, the Loan Syndications and Trading Association (LSTA), won a lawsuit against the Federal Reserve and SEC arguing the risk-retention rules were not applicable because managers of CLOs that own broadly syndicated loans do not transfer assets.
Regulators did not appeal the decision.

Broadly syndicated CLOs sell tranches of varying risk to investors backed by a pool of loans made to large US companies, including American Airlines and retailer Party City.
 
"
2,By Reuters,"<span>Sep 12, 2018 01:25PM ET</span>",Comcast says Sky shareholders have until October 6 to accept offer,"(Reuters) - Comcast (NASDAQ:CMCSA) Corp's bid of 14.75 pounds for each Sky share will now remain open for acceptance until early October, the U.S. cable giant said on Wednesday, adding that it has received valid acceptances for shares representing 0.29 percent of Sky Plc (LON:SKYB) to date.
London-based Sky has been at the center of a bidding war, which points to a bigger battle in the entertainment industry as media giants splash out tens of billions of dollars on deals to be able to compete with Netflix Inc (NASDAQ:NFLX) and Amazon.com Inc (NASDAQ:AMZN).
Comcast, the world's biggest entertainment group, had countered Rupert Murdoch-controlled Fox's raised offer for Sky in July - within just a few hours - with an offer that valued London-listed Sky at $34 billion.
Nasdaq-listed Comcast said on Wednesday that Sky shareholders now have until Oct. 6 to accept its offer and the valid acceptances rose slightly to 0.29 percent from 0.21 percent reported in August.
Shares in Sky, which is 39 percent owned by Fox, have roughly doubled to 15.45 pounds from the 7.81 pounds they were trading at when Fox offered to buy the rest of the company in December, 2016.
Comcast's current offer, higher than Fox's 14 pound-a-share bid, has been recommended to shareholders by Sky's independent directors. 

Fox currently has just ten days from now to trump Comcast's offer for Sky under British takeover rules.
 
"
3,By Investing.com,"<span>Sep 12, 2018 01:15PM ET</span>",Nigeria stocks lower at close of trade; NSE 30 down 3.31%,"Investing.com – Nigeria stocks were lower after the close on Wednesday, as losses in the Banking, Food, Beverages & Tobacco and Insurance sectors led shares lower.
At the close in Lagos, the NSE 30 fell 3.31% to hit a new 52-week low.
The best performers of the session on the NSE 30 were  Skye Bank  (LAGOS:SKYEBAN), which rose 8.93% or 0.050 points to trade at 0.610 at the close. Meanwhile,  Uacn Prop  (LAGOS:UACN) added 5.39% or 0.55 points to end at 10.75 and  Wemabank  (LAGOS:WEMABAN) was up 5.26% or 0.030 points to 0.570 in late trade.
The worst performers of the session were  Total Nig  (LAGOS:TOTAL), which fell 9.96% or 18.90 points to trade at 170.80 at the close.  Fidelitybk  (LAGOS:FIDELIT) declined 9.58% or 0.160 points to end at 1.520 and Dangote Flour Mills PLC (LAGOS:DANGFLOUR) was down 9.52% or 0.80 points to 7.60.
Falling stocks outnumbered advancing ones on the Lagos by 65 to 22 and 11 ended unchanged.
Shares in Total Nig (LAGOS:TOTAL) fell to 52-week lows; losing 9.96% or 18.90 to 170.80. 
Crude oil for October delivery was up 2.12% or 1.47 to $70.72 a barrel. Elsewhere in commodities trading, Brent oil for delivery in November rose 0.91% or 0.72 to hit $79.78 a barrel, while the December Gold Futures contract rose 0.73% or 8.80 to trade at $1211.00 a troy ounce.
EUR/NGN was up 0.03% to 420.940, while USD/NGN fell 0.61% to 361.000.
The US Dollar Index Futures was down 0.33% at 94.74."
4,By Reuters,"<span>Sep 12, 2018 01:13PM ET</span>",Boeing 737 recovery plan 'taking hold' amid factory snarl: CEO,"By Eric M. Johnson
SEATTLE (Reuters) - Boeing (NYSE:BA) Co expects to deliver roughly as many 737 narrowbody jetliners in September as the company delivered in August as it works to bounce back from a manufacturing logjam triggered by supplier delays, its CEO said on Wednesday.
Boeing's August delivery of 48 narrowbody aircraft, announced on Tuesday, was an improvement over the 29 delivered in July, which was one of its lowest monthly tallies in years. 
""Our recovery actions are taking hold,"" Boeing Chief Executive Officer Dennis Muilenburg told a conference in California. ""You'll probably see September deliveries will be roughly where August was, maybe a little bit better."" 
""As we get into the fourth quarter, you will see deliveries getting above the 52 per month production rate,"" Muilenburg added.
Boeing shares were up 2.6 percent to $354.43 in mid-day trading.
Boeing's hot-selling 737 and the Airbus A320 family of single-aisle jetliners are the cash cows of the two aircraft makers, the world's largest. 
The snarl at Boeing's Seattle-area narrowbody plant, fueled by shortages of engines and fuselages as Boeing sped production to record levels in June, is likely to hurt third-quarter results and threatens to hinder its efforts to boost build-rates again in 2019, some analysts said.
Boeing is committed to boosting production even further in 2019 to 57 planes per month despite parts shortages and delays, Muilenburg said, adding that ""every step of the way ... we are going to be bringing our supply chain along."" 
Muilenburg's comments come as Boeing's 787 widebody assembly plant in North Charleston, South Carolina remained shuttered for a second day due to the threat of Hurricane Florence. A Boeing spokeswoman said operations remained suspended on Wednesday with no guidance on when production would resume.
""We've seen a few normal supply chain pressures on 787,"" Muilenburg said, citing seats. ""We are very firm on our year-end guidance on 787.""
Boeing's CEO also said the company was on track to bring the 777X widebody into service in 2020 despite engine snags, and the company was making good progress building the business case for a possible new mid-market jet, one of its most significant decisions in years. 
Muilenburg said rising global trade tensions have not yet had a material impact on Boeing's business.
""While the trade rhetoric continues, the tariff rhetoric continues ... nothing here is going to create a sudden change in profile or deliveries or orders volume,"" Muilenburg said. ""It's more of a long-term issue.""

 
"
5,By Investing.com,"<span>Sep 12, 2018 01:05PM ET</span>",Morocco stocks lower at close of trade; Moroccan All Shares down 0.05%,"Investing.com – Morocco stocks were lower after the close on Wednesday, as losses in the Construction & Building Materials, Insurance and Oil & Gas sectors led shares lower.
At the close in Casablanca, the Moroccan All Shares declined 0.05%.
The best performers of the session on the Moroccan All Shares were Delta Holding S.A (CS:DHO), which rose 9.31% or 2.85 points to trade at 33.45 at the close. Meanwhile, Med Paper (CS:PAP) added 7.35% or 1.47 points to end at 21.47 and Hps (CS:HPS) was up 7.10% or 130.00 points to 1960.00 in late trade.
The worst performers of the session were Stokvis Nord Afrique (CS:SNA), which fell 8.97% or 1.39 points to trade at 14.10 at the close. Jet Contractors (CS:JET) declined 4.29% or 15.00 points to end at 335.00 and  Atlanta  (CS:ATL) was down 3.99% or 2.70 points to 65.00.
Rising stocks outnumbered declining ones on the Casablanca Stock Exchange by 16 to 14 and 8 ended unchanged.
Shares in Stokvis Nord Afrique (CS:SNA) fell to all time lows; down 8.97% or 1.39 to 14.10. 
Crude oil for October delivery was up 2.09% or 1.45 to $70.70 a barrel. Elsewhere in commodities trading, Brent oil for delivery in November rose 0.94% or 0.74 to hit $79.80 a barrel, while the December Gold Futures contract rose 0.73% or 8.80 to trade at $1211.00 a troy ounce.
EUR/MAD was up 0.05% to 10.9510, while USD/MAD fell 0.20% to 9.4134.
The US Dollar Index Futures was down 0.31% at 94.76."
6,By Reuters,"<span>Sep 12, 2018 01:02PM ET</span>",Tech stocks pressure Wall Street; Apple down ahead of event,"By Shreyashi Sanyal
(Reuters) - The Nasdaq fell on Wednesday, weighed down by a drop in Apple (NASDAQ:AAPL) on fears of further regulation, while a rise in energy stocks and a report of fresh U.S.-China trade talks helped keep the S&P afloat and boost Dow Industrials.
Six major web and internet service companies, including Apple, are to detail their consumer data privacy practices to a U.S. Senate panel on Sept. 26, raising the specter of the possibility of stricter regulation.
Apple was down 1 percent, weighing the most on the three major indexes. The stock was trading higher premarket, ahead of an event at 1 p.m. ET (1700 GMT) where the company is expected to launch new iPhone models as well as upgrades of other products.
Twitter, Alphabet (NASDAQ:GOOGL) and Amazon.com (NASDAQ:AMZN), among the six companies to testify, were trading between flat and down 4.2 percent.
Facebook (NASDAQ:FB), not among the companies to testify, was down 2 percent. The S&P technology sector fell 0.64 percent.
""Headlines like the Senate hearing does add this element of regulatory risk to Apple and Amazon which is what could be driving them lower right now,"" said Mark Heppenstall, chief investment officer at Penn Mutual Asset Management in Horsham, Pennsylvania.
The markets got a boost from a Wall Street Journal report that said Washington has proposed a new round of trade talks with Beijing before the Trump administration implements additional tariffs on Chinese imports.
Also helping was the energy sector, which jumped 0.70 percent as Brent crude price pushed above $80 a barrel due to growing concerns over global oil supply. [O/R]
At 12:41 a.m. ET the Dow Jones Industrial Average was up 91.95 points, or 0.35 percent, at 26,063.01, the S&P 500 was down 0.60 points, or 0.02 percent, at 2,887.29 and the Nasdaq Composite was down 38.20 points, or 0.48 percent, at 7,934.28.
The Philadelphia Semiconductor index was down 1.8 percent after Goldman Sachs (NYSE:GS) became the latest brokerage to warn of lower prices for memory chips due to an oversupply of DRAM and NAND chips.
Micron slid 5 percent, the most on the S&P. Chip equipment makers were hit the hardest, falling in a range of Applied Materials' 2 percent drop and Entegris's 4.4 percent decline.
The consumer staples sector rose 1.20 percent as Altria (NYSE:MO) jumped 7.2 percent and Philip Morris International (NYSE:PM) gained 4 percent.
Traders said that the U.S. Food and Drug Administration's proposed ban on flavored e-cigarettes was less harsh than feared.
Advancing issues outnumbered decliners for a 1.29-to-1 ratio on the NYSE. Declining issues outnumbered advancers for a 1.41-to-1 ratio on the Nasdaq.

The S&P index recorded 29 new 52-week highs and six new lows, while the Nasdaq recorded 61 new highs and 76 new lows.
 
"
7,By Reuters,"<span>Sep 12, 2018 01:00PM ET</span>","Tech, media shares find new home in sector overhaul","By Noel Randewich
SAN FRANCISCO (Reuters) - Alphabet (NASDAQ:GOOGL) Inc,  Facebook Inc  (NASDAQ:FB), Netflix Inc (NASDAQ:NFLX) and others will be in focus on Sept. 24 when they are moved out of the tech and consumer discretionary sectors into a deepened pool of communication and media stocks. 
In the largest-ever shakeup of the Global Industry Classification Standard (GICS), the telecommunication services sector will be renamed ""communication services"" and include 18 companies pulled from consumer discretionary and technology, including Netflix, Walt  Disney  (NYSE:DIS) Co and  Twitter Inc  (NYSE:TWTR).
S&P Dow Jones Indices and MSCI have maintained the widely used business classification system since 1999, and the rearrangement is meant to reflect how the tech, media and consumer industries have evolved. 
Stocks being shifted account for about 8 percent of the S&P 500, and S&P subindexes will reflect the changes once trading starts on Sept. 24.
The communication services sector will include three out of the four so-called FANG stocks - Facebook, Amazon.com Inc (NASDAQ:AMZN), Netflix and Google-owner Alphabet - even though investors widely consider them the leaders of the tech rally that powered the stock market higher in recent years.
Alphabet and Facebook will leave technology and Netflix will by moved out of consumer discretionary to join to the renamed sector. Amazon will stay put in consumer discretionary.
Graphic: S&P 500 current sectors - https://reut.rs/2CHuALD 
The technology sector's weight in the S&P 500 will shrink to 20 percent from 26 percent. 
Its largest remaining constituents will be Apple Inc (NASDAQ:AAPL),  Microsoft Corp  (NASDAQ:MSFT),  Visa Inc  (NYSE:V) and  Intel Corp  (NASDAQ:INTC). After the shuffle removes the influence of some of the biggest companies from the sector's performance, chipmakers, cloud-computing sellers and other tech constituents may have more of a chance to shine.
Graphic: S&P 500 future sectors - https://reut.rs/2CEBuBd
Exchange-traded funds (ETFs) that passively track sector indexes have about $89 billion invested in technology, more than any other sector, according to data from Thomson Reuters Lipper. 
Trading could be volatile on Friday for stocks caught in the shakeup as some of those tech ETFs, along with index funds focused on consumer discretionary and telecoms, adjust their portfolios.
But some of the heavy lifting is already complete. 
Leading fund provider Vanguard Group started transitioning its sector ETFs in the June quarter, while State Street Global Advisors has already launched a new fund tracking communication services. 
The Communication Services Select Sector SPRD Fund has fallen 3 percent since its June debut, partly because Facebook, its second-largest holding, tumbled 16 percent on growing regulatory concerns.
Communication services will account for 11 percent of the S&P 500, up from less than 2 percent in its current configuration as the telecom sector.
Graphic: S&P 500 future communications services - https://reut.rs/2CFLIBk
Consumer discretionary will make up 11 percent of the S&P 500, down from 13 percent. Amazon's weight within consumer discretionary will rise to 34 percent from 27 percent, with  Home Depot  Inc (NYSE:HD) and McDonald's Corp the next largest components.
Graphic: S&P 500 current telecoms - https://reut.rs/2CHvx6F 
S&P 500 communication services companies will have an aggregate valuation of 18 times expected earnings after the shakeup, compared to 10 times for the current S&P 500 telecom constituents: AT&T Inc (NYSE:T),  CenturyLink  Inc (NYSE:CTL) and  Verizon Communications  Inc (NYSE:VZ). 
Graphic: S&P 500 current consumer discretionary: https://reut.rs/2CCRL9y
Graphic: S&P 500 future consumer discretionary - https://reut.rs/2CDj2sM
Graphic: S&P 500 current IT index - https://reut.rs/2CEBHnS
Graphic: S&P 500 future IT index - https://reut.rs/2CGD31s

Graphic: Valuations and earnings expectations - https://reut.rs/2CC3wNH 
 
"
8,By Investing.com,"<span>Sep 12, 2018 12:45PM ET</span>",Portugal stocks higher at close of trade; PSI 20 up 0.71%,"Investing.com – Portugal stocks were higher after the close on Wednesday, as gains in the Basic Materials, Industrials and Consumer Services sectors led shares higher.
At the close in Lisbon, the PSI 20 gained 0.71%.
The best performers of the session on the PSI 20 were The Navigator Company SA (LS:NVGR), which rose 3.68% or 0.1520 points to trade at 4.2860 at the close. Meanwhile,  Mota Engil  (LS:MOTA) added 2.78% or 0.0600 points to end at 2.2150 and  Galp Energia  Nom (LS:GALP) was up 2.32% or 0.3800 points to 16.7800 in late trade.
The worst performers of the session were Banco Comercial Portugues (LS:BCP), which fell 1.91% or 0.0047 points to trade at 0.2411 at the close.  Corticeira Amorim  (LS:CORA) declined 1.06% or 0.120 points to end at 11.200 and  Sonae Capital  (LS:SONAC) was down 0.62% or 0.0050 points to 0.8050.
Rising stocks outnumbered declining ones on the Lisbon Stock Exchange by 18 to 17 and 2 ended unchanged.
Brent oil for November delivery was up 0.71% or 0.56 to $79.62 a barrel. Elsewhere in commodities trading, Crude oil for delivery in October rose 1.60% or 1.11 to hit $70.36 a barrel, while the December Gold Futures contract rose 0.62% or 7.40 to trade at $1209.60 a troy ounce.
EUR/USD was up 0.19% to 1.1628, while EUR/GBP rose 0.16% to 0.8919.
The US Dollar Index Futures was down 0.24% at 94.82."
9,By Reuters,"<span>Sep 12, 2018 12:40PM ET</span>",United Tech to pay $14 million for illegal foreign payments: U.S. SEC,"WASHINGTON (Reuters) - United Technologies Corp (NYSE:UTX) will pay $13.9 million to settle charges it made illegal payments or provided trips and gifts to officials from Azerbaijan, China, Kuwait, South Korea, Pakistan, Thailand and Indonesia in order to obtain business, the top U.S. securities regulator said on Wednesday.

The Connecticut-based company did not admit or deny the findings when it agreed to pay disgorgement and interest of around $10 million and a penalty of $4 million, the Securities and Exchange Commission said. 
 
"
