,company,date,title,content
0,By Reuters,"<span>Mar 24, 2021 02:40AM ET</span>",Armenia's parliament votes to lift martial law: RIA,"MOSCOW (Reuters) - Armenia's parliament voted on Wednesday to lift martial law, the RIA news agency reported, ahead of an early parliamentary election planned in June.
Armenia brought in martial law in September when war broke out between ethnic Armenians in the enclave of Nagorno-Karabakh and Azeri forces. The conflict that erupted on Sept. 27 was brought to a halt on Nov. 10 by a Russian-brokered peace deal. 
 
"
1,By Reuters,"<span>Mar 24, 2021 01:10AM ET</span>",Australian PM apologises for raising harassment allegation,"By Colin Packham
CANBERRA (Reuters) - Australian Prime Minister Scott Morrison publicly apologised for raising an unsubstantiated allegation of harassment at a media company as he defended his handling of a scandal over the treatment of women in politics and his party.
At a media conference on Tuesday, Morrison had said he would drive cultural change amid mounting public dissatisfaction over a series of allegations about the mistreatment of women, and conceded there had been unhappiness with his handling of the issue. 
But during the event, he became involved in a terse exchange with a journalist from News Corp (NASDAQ:NWSA)'s Sky News and claimed the company was investigating a harassment complaint made by a female staffer.
News Corp Australasia's executive chairman, Michael Miller, rejected the claim outright. Newspapers of the media group, which are generally supportive of the conservative government, ran front pages criticising the Prime Minister on Wednesday.
""I accept their account. I was wrong to raise it, the emotion of the moment is no excuse,"" Morrison wrote in a post to Facebook (NASDAQ:FB) late on Tuesday.
The fracas derailed Morrison's attempt to repair his standing with voters, in particular women who have been angered by how the alleged rape of a young government staffer by another government staff member seemed to been initially seen as a more of political problem than a potential criminal case.
""Voters admire when leaders recognise a failure and apologise,"" said Haydon Manning, a political science professor at Flinders University in South Australia.
""This false accusation, however, undermines what he was trying to achieve.""
The issue of gender inequality spurred tens of thousands of people to rally around Australia last week and led to a slump in Morrison's standing in opinion polls. Morrison drew flak for declining to meet the protestors outside Parliament House.
Morrison has said he will announce a series of measures to improve gender equality in politics in the coming weeks, and hinted he may now back quotas on female candidates for his Liberal Party at the next election, due by mid-2022.

Female lawmakers make up less than a third of Morrison's ruling Liberal party, in contrast to the near 50% representation in the opposition Labor party.
 
"
2,By Reuters,"<span>Mar 24, 2021 12:36AM ET</span>","No clear winner in Israeli election, but Netanyahu could have edge: TV exit polls","By Jeffrey Heller and Stephen Farrell
JERUSALEM (Reuters) - Prime Minister Benjamin Netanyahu failed to secure a solid parliamentary majority in Israel's election on Tuesday but a potential deal with a rival rightist could make him the eventual winner, TV exit polls showed.
Not even a campaign in which Netanyahu showcased Israel's world-beating COVID-19 vaccination rollout could break through two years of political deadlock underscored by four elections.
Israel's centre-left made a better showing than expected, according to the exit polls, after highlighting longstanding corruption allegations against Netanyahu and accusing him of mishandling the pandemic.
But like Netanyahu's traditional bloc of right-wing and Jewish religious parties, it also came up short of a governing majority in the 120-member parliament.
The stalemate could herald lengthy coalition-building talks or even a fifth election.
On social media, Netanyahu, 71, claimed ""a huge victory"" for the right-wing and his Likud party. But the TV projections did not bear that out.
The political survival of Israel's longest-serving leader appeared to rest with 48-year-old Naftali Bennett, a defence minister in a previous Netanyahu government and leader of the nationalist Yamina party.
A former Netanyahu aide who has long sought to replace him at the helm, Bennett remained noncommittal about his intentions immediately after polling stations closed.
""I will do only what is good for the state of Israel,"" Bennett was quoted as saying by a spokesman. 
Bennett, a high-tech millionaire, has said he would not serve under the centre-left group's most likely leader, 57-year-old Yair Lapid, head of the Yesh Atid party. He also gave no firm public promise during the campaign to join up with Netanyahu, for what exit polls indicated would be only a slim majority.
After the exit polls were broadcast, Bennett said he received a telephone call from Netanyahu and told him, ""we will await the final results"" before deciding on his next political steps.
Netanyahu also phoned conservative political allies and urged them to join a ""strong, stable right-wing government"", a spokesman said.
Netanyahu had campaigned on his leadership credentials based on a programme that has enabled nearly 50% of Israelis to receive two vaccine shots already.
But charges of bribery, fraud and breach of trust, which Netanyahu has denied in his ongoing trial, as well as economic strife Israelis suffered during three nationwide coronavirus lockdowns have weighed on his popularity.
DIVISIONS
Yohanan Plesner, president of the Israel Democracy Institute, a non-partisan think tank, said the exit polls showed the country remained divided and that a fifth national ballot remained a real option.
""At the same time, if Bennett joins his coalition, Netanyahu is closer than ever to a narrow government including the most extreme elements of Israeli society,"" Plesner said.
According to the exit polls, Lapid's Yesh Atid took second place with 16-18 parliamentary seats to 31-32 for top finisher Likud.
The dominant political figure of his generation, Netanyahu has been in power continuously since 2009. But the Israeli electorate is deeply polarised, with supporters hailing him as “King Bibi” and opponents holding up placards calling him “Crime Minister”.

Israel’s swift vaccine drive allowed it to reopen much of its economy before the election, and Netanyahu had promised voters and businesses more cash stipends and millions more doses of vaccine.
 
"
3,By Reuters,"<span>Mar 23, 2021 11:07PM ET</span>",Australia prepares for flood recovery as wild weather eases,"By Renju Jose and Jonathan Barrett
SYDNEY (Reuters) - Australian authorities issued fresh flood evacuation orders for parts of the east coast on Wednesday, and warned that water levels would keep rising in some areas, even as Sydney woke up to clear skies for the first time in several days.
Wild weather systems have drenched the country's east, prompting tens of thousands of evacuations, especially in the hardest hit state of New South Wales (NSW) where dams continue to overflow and rivers bulge.
NSW Premier Gladys Berejiklian said 6,000 more people were evacuated in the last 24 hours and that new evacuation orders had been issued for residents in Sydney's western regions to move to safe zones.
""What we still have to be aware of is the fact that thousands and thousands of people are still on evacuation warnings, that the rivers will continue to swell, that catchments will continue to experience flows of water not seen in 50 years and in some places 100 years,"" Berejiklian told reporters in Sydney. 
The Insurance Council of Australia, the peak industry body, said about 17,000 damages claims worth around A$254.2 million had been lodged by Wednesday morning across NSW and Queensland.
No deaths linked to the floods have been reported but the destruction is far-reaching and more than 40,000 people in the state have been evacuated so far. 
Homes have been submerged, livestock swept away and crops drowned on a large scale. There have also been many animal rescues, with water craft used to move dogs, cattle, and even an emu, away from the flood waters.
Australian Prime Minister Scott Morrison said on Wednesday that heavy-load helicopters would be prepared to transport food to supermarkets where supplies were running short.
Officials told Reuters that the Warragamba Dam, the major water supply for Sydney, would continue to spill over the next several days, although at a slowing rate.
""We are seeing a reduction and given the fact that rains have passed and inflows declining we anticipate that spill should cease in the coming days,"" Water NSW spokesman Tony Webber told Reuters.
Forecasters said the weather system will shift to the island state of Tasmania on Wednesday, bringing heavy rains and localised flooding. 
Though conditions have eased, the weather bureau said water levels in rivers would not recede for several days.
""We have had phenomenal amounts of rainfall right across the state over the last week and with that rain, it's got to drain into the rivers,"" bureau official Victoria Dodds said in a televised news briefing. 
Several hundred Australian Defence Force personnel will be sent to flood-affected areas in the country's east over the next few days to help in the recovery, Australia's Emergency Management minister David Littleproud said on Wednesday.
""Their job will be out there cleaning up, making sure that we get rid of the debris, having boots on the ground,"" Littleproud said. 

($1 = 1.3153 Australian dollars)
 
"
4,By Reuters,"<span>Mar 23, 2021 10:35PM ET</span>",Colorado suspect's family saw him fiddling with gun days before shooting -court documents,"By Nathan Layne
(Reuters) -Two days before police say Ahmad Al Aliwi Alissa armed himself with an AR-style semi-automatic rifle and a handgun and donned a tactical vest, he sat in his Arvada, Colorado, home fiddling with a gun.
The sight alarmed his family. The gun did not look like a rifle featured in old Western movies, Alissa's sister-in-law told police, according to an arrest affidavit. Rather, it looked like a ""machine gun.""
Alissa said a bullet had become stuck. The family took it away from him, upset he was playing with a gun in the house.
On Monday, police said, the 21-year-old man stormed a King Soopers supermarket in Boulder and killed 10 people with a spray of bullets.
Little is known about Alissa or what may have motivated him to open fire at the store. The 10 victims ranged in age from 20 to 65 and included Eric Talley, an 11-year veteran of the Boulder police force.
According to the court affidavit, Alissa purchased a Ruger AR-556 semi-automatic pistol - a weapon that resembles a semi-automatic rifle and has a 30-round capacity - on March 16, six days before the shooting.
His sister-in-law, whose name was redacted from the court document, told investigators that she believed the gun his family had taken from Alissa was back in his room as of Monday night.
Alissa, a naturalized U.S. citizen from Syria who graduated from Arvada West High School in 2018, faced a court summons for third-degree assault after punching a classmate in the face multiple times in November 2017, according to an incident report released on Tuesday by the Arvada Police Department.
The classmate said the attack was unprovoked and without warning, an account supported by interviews with several witnesses quoted in the police report.
Alissa told the investigating officer the classmate had previously called him a ""terrorist"" and other racist names and had taken a video of him in the classroom and posted it online, making him angry. 
The police department did not release a record of how the case was resolved. 
It was not immediately clear if Alissa had a lawyer in his current case, and family members did not respond to requests from Reuters for comment.
Ali Aliwi Alissa, the suspect's 34-year-old brother, told The Daily Beast that Alissa was antisocial and paranoid, and had talked at times in high school about ""being chased"" or said someone was looking for him.

Records from Arvada West High School show he was on the wrestling team during two seasons through his graduating year, according to Cameron Bell, a spokeswoman for the school district.
Alissa, who was treated for a leg wound suffered in an exchange of gunfire with responding police, is in jail awaiting an initial court appearance on murder and other charges. Authorities said they were confident he acted alone.
 
"
5,By Reuters,"<span>Mar 23, 2021 10:21PM ET</span>",North Korea's Kim breaks ground for huge apartment development despite other stalled projects,"By Josh Smith
SEOUL (Reuters) - North Korean leader Kim Jong Un broke ground for 10,000 new apartments in the capital city of Pyongyang, state media reported on Wednesday, despite economic crises that have left other signature construction projects stalled.
Kim attended a ceremony on Tuesday to inaugurate the start of construction on the first phase of a project to eventually build 50,000 new apartments, part of a five-year plan announced in January. 
""Nothing is more worthwhile and honourable and happier than to unhesitatingly dedicate our sweat and passion to building an ideal street ... "" Kim said, according to state news agency KCNA.
The government decided to push ahead with the project because it wants to improve living conditions for citizens, he said.
Kim’s ambitious new plan for the next five years is aimed at developing North Korea’s economy, but the proposals may falter in the face of major challenges, including international sanctions imposed over its nuclear weapons and ballistic missile programmes.
North Korea fired two short-range missiles at the weekend, U.S. officials said on Tuesday, but Washington played down the first such tests since Joe Biden became president and said it was still open to dialogue with Pyongyang.
Government mismanagement, natural disasters, and a border lockdown to prevent a coronavirus outbreak have further hobbled the country's economy, with the United Nations warning of possible food shortages and other humanitarian disasters.
""It is risky for Kim Jong Un to kick-off another high-profile construction project when other keynote state projects are so badly delayed,"" said Chad O'Carroll, CEO of Korea Risk Group, which monitors North Korea.
But the launch of the project may signal that an end to North Korea's strict COVID-19 border closure is finally in the cards, he said.

""Some construction inputs from overseas will be required for these new apartments, which will only be possible to acquire if the North starts allowing imports again,"" O'Carroll said.
 
"
6,By Reuters,"<span>Mar 23, 2021 10:10PM ET</span>","Mexico, U.S. discuss migrant protections amid new deterrence push","By Dave Graham (NYSE:GHM)
MEXICO CITY (Reuters) - Mexico and the United States discussed ways to protect migrants on Tuesday, officials said, even as Mexico's human rights watchdog flagged risks to a new militarized drive to deter Central Americans from entering its territory.
U.S. President Joe Biden sent envoys https://www.reuters.com/article/idUSL1N2LK1LK, including his border coordinator Roberta Jacobson, to Mexico to discuss how to tackle a recent jump in migrant arrivals at the U.S. border that have put the new Democratic administration under mounting pressure.
Led for Mexico by Foreign Minister Marcelo Ebrard, the talks highlighted ""humanitarian actions"" to promote economic development in Central America to mitigate the root causes of migration, the Mexican foreign ministry said in a statement.
U.S. officials are struggling to house and process an increasing number of unaccompanied children, many of whom have been stuck in jail-like border stations https://www.reuters.com/article/idUSKBN2BF2PK for days while they await placement in overwhelmed government-run shelters.
Ebrard said after the meeting that talks would be ongoing, and ultimately aimed to agree on measures that would allow people from Central America and southern Mexico to have a ""different future"" that would remove the need to migrate.
Officials also discussed different mechanisms for ""orderly and safe"" migration, and the protection of human rights, particularly those of children, his ministry said.
While those discussions were underway, Mexico has also been stepping up operations led by militarized police and soldiers in the south of the country aimed at deterring thousands of Central Americans coming north as they attempt to escape recession, violence and the effects of devastating hurricanes.
Mexico's national human rights commission (CNDH) has demanded the rights of migrants be respected during the new enforcement push, in which security forces are employing drones and night vision goggles to catch people entering the country.
In a statement Tuesday, the CNDH said it would ensure the actions of the authorities strictly adhere to legal norms.
There was no immediate comment from the White House on the outcome of the discussions with Mexico. Further U.S. talks on migration are due to take place in Guatemala.
U.S. envoy Jacobson later released a statement calling on migrants not to head for the United States.
""I know that many migrants may be enduring pain and hardships, but I must emphasize that the United States border is closed. Don't take the dangerous journey,"" Jacobson said. 
Earlier, Mexican President Andres Manuel Lopez Obrador again urged Washington to help spur development in Central America.
""People don't go to the United States for fun, they go out of necessity,"" Lopez Obrador told a news conference.
For years, the bulk of people seeking to cross illegally into the United States have come from Guatemala, Honduras, El Salvador and the poorer regions of southern Mexico. 
The U.S. government said on Monday it would work with Mexico and Central America to mitigate the causes of migration.
Jacobson was joined by Juan Gonzalez, the National Security Council's senior director for the Western Hemisphere, and Ricardo Zuniga, the first U.S. special envoy for Central America since the Cold War-era conflicts of the 1980s. 
Biden has vowed to adopt a more humanitarian policy towards migrants than his Republican predecessor Donald Trump.

Mexico has welcomed Biden's efforts, but says the change in policy has also encouraged people to think that it is now easier to enter the United States.
 
"
7,By Reuters,"<span>Mar 23, 2021 09:42PM ET</span>",Netanyahu's future unclear as exit polls forecast stalemate in Israel's election,"By Jeffrey Heller and Stephen Farrell
JERUSALEM (Reuters) - Prime Minister Benjamin Netanyahu's prospects for retaining power were uncertain on Wednesday after exit polls in Israel's fourth national election in two years projected yet another stalemate.
With final results not due until later in the week, the forecasts indicated that even Netanyahu's stewardship of a world-beating COVID-19 vaccination rollout - a showcase of his campaign - may not have been enough to propel him to victory.
Initial projections by Israel's three main TV channels after Tuesday's voting gave Netanyahu, leader of the right-wing Likud party, an edge, based on the potential support of an ultranationalist rival, Naftali Bennett, once his defence minister.
But amended forecasts indicated deadlock even with Bennett's prospective backing, with a parliament divided equally between Netanyahu's likely opponents and supporters.
Israel's opposition made a better showing than expected, and support for Likud dipped, exit polls showed, after Netanyahu's critics highlighted corruption charges against the country's longest-serving leader and accused him of mishandling the pandemic.
On social media, Netanyahu claimed a ""huge victory"" over the group of left-wing, centre and rightist parties trying to unseat him - even as the TV projections failed to bear that out.
He did not repeat the claim in an election night speech at a Likud rally, saying only that its projected number of seats in parliament, around 30, was ""a great achievement"" - it took 36 in the previous election - and that he hoped to form a ""stable right-wing government"".
Unless coalition-building talks, which have followed every election Israel has held since its creation in 1948, break a stalemate, a fifth national ballot could ensue.
Bennett's far-right Yamina party was forecast to win seven seats in the 120-member legislature.
Whether he could tip the balance will depend on final results. Bennett, seemingly a natural partner for Netanyahu, said he would wait until they were in before announcing any political moves.
An alliance between Bennett, 48, who favours annexing parts of the Israeli-occupied West Bank, and Netanyahu's opponents to the left seemed to be a political stretch.
During the campaign, Bennett said he would not serve under an anti-Netanyahu bloc's most likely leader, 57-year-old Yair Lapid, head of the Yesh Atid party.
According to the exit polls, Yesh Atid took second place with 17 to 18 parliamentary seats, versus 30 to 31 for top finisher Likud.
A Netanyahu government with Bennett and a clutch of other ultranationalists on board would result in one of the most right-wing governments in Israel's history.
It would likely be at loggerheads with the administration of U.S. Democratic President Joe Biden over issues such as Palestinian statehood and engagement by Washington with Israel's arch-enemy Iran over Tehran's nuclear programme.
VACCINATIONS
Netanyahu had campaigned on his leadership credentials based on a drive that has enabled nearly 50% of Israelis to receive two vaccine shots already.
But charges of bribery, fraud and breach of trust, which Netanyahu has denied in an ongoing corruption trial, as well as economic strife Israelis suffered during three nationwide coronavirus lockdowns, have weighed on his popularity.
Yohanan Plesner, president of the Israel Democracy Institute, a non-partisan think tank, said the exit polls showed the country remained divided and that a fifth national election remained a real option.
""At the same time, if Bennett joins his coalition, Netanyahu is closer than ever to a narrow government including the most extreme elements of Israeli society,"" Plesner said.
The dominant political figure of his generation, Netanyahu, 71, has been in power continuously since 2009. But the Israeli electorate is deeply polarised, with supporters hailing him as “King Bibi” and opponents holding up placards calling him “Crime Minister”.

Israel’s swift vaccine drive allowed it to reopen much of its economy before the election, and Netanyahu had promised voters and businesses more cash stipends and millions more doses of vaccine.
 
"
8,By Reuters,"<span>Mar 23, 2021 09:40PM ET</span>",North Korea fired two cruise missiles off west coast on Sunday: South Korea military,"SEOUL (Reuters) - North Korea fired two cruise missiles off its west coast on Sunday, South Korea's Joint Chiefs of Staff said on Wednesday, adding it had detected such signs and was monitoring the test in real time.
 
"
9,By Reuters,"<span>Mar 23, 2021 08:16PM ET</span>","Biden considers executive actions on guns, calls on Congress to pass weapons ban","By Trevor Hunnicutt and Susan Cornwell
WASHINGTON (Reuters) - U.S. President Joe Biden urged Congress to swiftly pass gun control laws and may take action on his own to stop mass violence, the White House said on Tuesday, a day after the second deadly mass shooting in a week.
The Democrat called on the Senate to approve two bills passed by the House of Representatives on March 11 that would broaden background checks on gun buyers. He also called for a ban on assault-style weapons.
""I don't need to wait another minute - let alone an hour - to take common-sense steps that will save the lives in the future, and I urge my colleagues in the House and Senate to act,"" Biden said at the White House on Tuesday.
Spokeswoman Jen Psaki told reporters Biden is ""considering a range"" of executive actions to try to stop gun violence. Such actions do not require the approval of Congress.
Biden, who took office in January, pledged during his presidential campaign to enact gun safety measures, but has devoted the first months to distributing coronavirus stimulus and vaccines.
On Monday, a gunman killed 10 in a Colorado supermarket, just six days after eight people were shot and killed at Atlanta-area day spas. The two shootings put renewed pressure on Biden to act on his promise.
The United States has the world's highest rate of civilian gun ownership, RAND Corp research shows, and a gun fatality rate consistently higher than other rich nations. There were more than 43,000 U.S. gun deaths last year, according to the Gun Violence Archive. 
Activists say executive actions that Biden could take right away include strengthening background checks, giving money to cities to fight gun violence, and regulating the market for ""ghost guns"" - partially assembled guns that aren't subject to the same rules as most firearms.
CONGRESSIONAL INACTION
Majority leader Chuck Schumer pledged on Tuesday that the Senate would do more than it had in the past.
""This Senate will be different. This Senate is going to debate and address the epidemic of gun violence in this country,"" the Democrat said on the chamber's floor. 
He did not give timing for any legislation, however, and noted the Senate had a lot on its agenda. He also was not definite about whether an assault weapons ban would be included. 
Dozens of shocking mass shootings in the United States over the past decade, including an elementary school attack that killed 26, have failed to spur lawmakers into action on gun control legislation, thanks in large part to opposition from congressional Republicans and the National Rifle Association. 
The right to ""bear arms,"" enshrined in the U.S. Constitution's Second Amendment, is cherished by many Americans.
Still, nearly 70% of Americans support adding ""strong or moderate"" federal gun restrictions, and ideas such as background checks and databases to track ownership have even greater public support, a 2019 Reuters poll found https://www.ipsos.com/en-us/news-polls/reuters-ipsos-data-gun-control-2019-02-08.
Democrats hold slim majorities in the House and Senate. Most bills require 60 votes in the 100-seat Senate to move forward, a tough hurdle considering that Republicans hold 50 of those seats, with the tie-breaking vote being held by Biden's vice president, Kamala Harris.
Democratic Senator Joe Manchin, a swing vote who holds near veto power over his party's Senate agenda because of its razor-thin majority, told reporters on Tuesday he does not support the House bills. Manchin and Republican Senator Pat Toomey instead favor their own bill, which would allow private sales of firearms without a background check.
Senate Minority Leader Mitch McConnell also said he opposes the gun legislation passed by the House last week, but told reporters that he remains open to discussions about what kind of legislation could make progress through Congress.
""There have been deep-seated philosophical differences between Republicans and Democrats about how to deal with gun violence,"" the Republican said.
""One thing we do know for sure is that these shooters are invariably mentally incapacitated. This is a vexing problem that is extremely hard to identify in advance.""
Background checks are conducted to review a buyer's criminal and mental health history and other factors that could bar someone from buying a gun.
""The only place this issue does not have bipartisan support is in Washington, D.C., in the Senate,"" said Shannon Watts, founder of Moms Demand Action, an influential gun safety group.
""We know that gun safety is a policy priority for the president and his administration, but there are executive actions that could be taken today.""

Any new gun control measures signed by Biden would almost certainly face a legal challenge that could reach the Supreme Court, whose 6-3 conservative majority is seen as sympathetic to an expansive view of gun rights.
 
"
