,company,date,title,content
0,By Investing.com,"<span>Jul 09, 2012 09:00AM ET</span>","Forex - EUR/JPY steady, close to 1-month low",
1,By Investing.com,"<span>Jul 09, 2012 08:25AM ET</span>",Dollar steady to lower vs. rivals ahead of EU talks,
2,By Investing.com,"<span>Jul 09, 2012 08:01AM ET</span>",Forex - GBP/USD little changed ahead of Eurogroup meeting,
3,By Investing.com,"<span>Jul 09, 2012 07:20AM ET</span>",Forex - EUR/USD holds steady as markets turn to E.Z. talks,
4,By Investing.com,"<span>Jul 09, 2012 06:36AM ET</span>",Forex - USD/CHF edges lower ahead of Brussels meeting,
5,By Investing.com,"<span>Jul 09, 2012 06:04AM ET</span>","Euro under pressure as Spain yields top 7%, EU meeting eyed",
6,By Investing.com,"<span>Jul 09, 2012 05:28AM ET</span>",Forex - EUR/GBP falls to 3-1/2 year low with Spain yields in focus,
7,By Investing.com,"<span>Jul 09, 2012 04:50AM ET</span>",Dollar steady to higher vs. rivals in cautious trade,
8,By Investing.com,"<span>Jul 09, 2012 03:43AM ET</span>","Forex - GBP/USD edges higher, gains capped by growth worries",
9,By Investing.com,"<span>Jul 09, 2012 03:14AM ET</span>",Forex - USD/JPY steady after dismal Japanese data,
10,By Investing.com,"<span>Jul 09, 2012 02:59AM ET</span>","Forex - NZD/USD falls on weak U.S., Chinese data",
11,By Investing.com,"<span>Jul 09, 2012 02:50AM ET</span>",Forex - AUD/USD lower as global growth concerns weigh,
12,By Investing.com,"<span>Jul 09, 2012 02:29AM ET</span>",Forex - EUR/USD steadies close to two-year low,
13,By Investing.com,"<span>Jul 08, 2012 09:46PM ET</span>",Forex - Dollar holds steady in heels of poor U.S. June jobs figures,
14,By Investing.com,"<span>Jul 08, 2012 08:40PM ET</span>","Forex - USD/JPY drops on U.S. jobs data, Japan machinery orders",
15,By Investing.com,"<span>Jul 08, 2012 08:00PM ET</span>",Forex - EUR/JPY dips ahead of E.U. finance ministers meeting,
16,By Investing.com,"<span>Jul 08, 2012 07:19PM ET</span>",Forex - EUR/USD extends losses amid global flight to dollar safety,
17,By Investing.com,"<span>Jul 08, 2012 07:15PM ET</span>",Forex - GBP/USD down during the Asian session,
18,By Investing.com,"<span>Jul 08, 2012 06:35PM ET</span>",Forex - USD/JPY up in Asian trade,
19,By Investing.com,"<span>Jul 08, 2012 05:45PM ET</span>",Forex - EUR/USD down during the Asian session,
20,By Investing.com,"<span>Jul 08, 2012 10:37AM ET</span>",Forex - EUR/USD weekly outlook: July 9 - 13,
21,By Investing.com,"<span>Jul 08, 2012 10:08AM ET</span>",Forex - GBP/USD weekly outlook: July 9 - 13,
22,By Investing.com,"<span>Jul 08, 2012 09:28AM ET</span>",Forex - USD/CAD weekly outlook: July 9 - 13,
23,By Investing.com,"<span>Jul 08, 2012 09:07AM ET</span>",Forex - NZD/USD weekly outlook: July 9 - 13,
24,By Investing.com,"<span>Jul 08, 2012 08:31AM ET</span>",Forex - AUD/USD weekly outlook: July 9 - 13,
25,By Investing.com,"<span>Jul 08, 2012 07:06AM ET</span>",Forex - USD/JPY weekly outlook: July 9 - 13,
26,By Investing.com,"<span>Jul 08, 2012 05:33AM ET</span>",Forex - USD/CHF weekly outlook: July 9 - 13,"Investing.com - The U.S. dollar surged to a one-and-a-half year high against the Swissie on Friday, as lowered expectations for a fresh round of easing by the Federal Reserve and sustained concerns over global economic growth boosted demand for the safe haven greenback. USD/CHF hit 0.9793 on Friday, the pair’s highest since December 13, 2010; the pair subsequently consolidated at 0.9770 by close of trade on Friday, surging 3.05% over the week. The pair is likely to find support at 0.9664, the low of May 31 and resistance at 0.9793, last Friday’s high. The greenback rallied broadly after the U.S. Bureau of Labor Statistics said on Friday that the economy added 80,000 jobs in June, below market forecasts for a gain of around 90,000. April figures were revised to 68,000 from 77,000 jobs, while May's numbers were revised to 77,000 from 69,000. The report also showed that the U.S. unemployment rate held steady at 8.2% in June, in line with expectations. Although the employment report was weaker than expected, many investors said it was not bad enough to spur the U.S. central bank to launch a third round of quantitative easing. In Switzerland, official data showed on Friday that consumer price inflation fell 0.3% in June, in line with expectations. Separately, the Swiss National Bank said that foreign currency reserves rose to CHF364.9 billion in June from CHF305.9 billion the previous month. Meanwhile, market sentiment remained under pressure as a series of stimulus measures by world central banks added to global growth concerns. On Thursday, European Central Bank President Mario Draghi said that the economic outlook faces downside risks, adding that indicators for the second quarter point to weakening growth in the euro zone. Draghi refused to speculate, however, on the chances of a third round of Long Term Refinancing Operations, which provides cheap loans to European banks to encourage them to lend. The comments came after the central bank cut its benchmark interest rate to a record low 0.75% in July, in a bid to bolster faltering growth in the region. In addition, Bank of England policymakers voted to increase the stock of asset purchases financed by the issuance of central bank reserves by GBP50 billion to GBP375 billion, in order to shield the recession hit U.K. economy from the ongoing debt crisis in the euro zone. Elsewhere, China surprised traders by cutting interest rates for the second time in less than a month on Thursday, signaling that growth is slowing more than Beijing expected. In the week ahead, investors will be closely watching ECB President Draghi’s testimony before the European Parliament, on Monday, as well as a two-day meeting of euro zone finance ministers, amid expectations for a final agreement on aid for Spanish banks. Markets will also be eyeing the minutes of the Fed’s latest policy meeting as well as U.S. data on trade balance and unemployment claims.Ahead of the coming week, Investing.com has compiled a list of these and other significant events likely to affect the markets. Monday, July 9 Euro zone finance ministers are to meet in Brussels for a first day of talks. Tuesday, July 10 Euro zone finance ministers are to hold a second day of talks in Brussels. Wednesday, July 11 The U.S. is to release official data on trade balance and crude oil stockpiles, followed by the minutes of the Federal Reserve’s most recent policy-setting meeting. The minutes will be closely watched for signs of future monetary policy decisions by the central bank. Thursday, July 12 The U.S. is to publish government data on unemployment claims and official data on import prices, followed by the monthly Treasury statement. Friday, July 13 Switzerland is to release official data on producer price inflation, a leading indicator of consumer inflation. The U.S. is to round up the week with government data on producer price inflation and a preliminary report by the University of Michigan on consumer sentiment.S>>"
