,company,date,title,content
0,By Investing.com,"<span>Jan 06, 2012 05:20AM ET</span>",Forex - EUR/GBP up on jobs data,
1,By Investing.com,"<span>Jan 06, 2012 04:55AM ET</span>",Forex - EUR/USD up in European trading hours,
2,By Investing.com,"<span>Jan 06, 2012 04:10AM ET</span>",Forex - GBP/USD up during the European session,
3,By Investing.com,"<span>Jan 06, 2012 03:30AM ET</span>",Forex - USD/CHF up on economic data,
4,By Investing.com,"<span>Jan 06, 2012 03:15AM ET</span>",Forex - EUR/GBP down during the European session,
5,By Investing.com,"<span>Jan 06, 2012 01:55AM ET</span>",Forex - EUR/USD down during the Asian session,
6,By Investing.com,"<span>Jan 06, 2012 01:25AM ET</span>",Forex - GBP/USD down in Asian trade,
7,By Investing.com,"<span>Jan 06, 2012 12:55AM ET</span>",Forex - EUR/CHF up in Asian trading hours,
8,By Investing.com,"<span>Jan 06, 2012 12:25AM ET</span>",Forex - USD/CHF up during Asian trade,
9,By Investing.com,"<span>Jan 06, 2012 12:00AM ET</span>",Forex - EUR/GBP down during the Asian session,
10,By Investing.com,"<span>Jan 05, 2012 11:35PM ET</span>",Forex - USD/JPY up during Asian trade,
11,By Investing.com,"<span>Jan 05, 2012 11:10PM ET</span>",Forex - USD/CAD down in Asian trading hours,
12,By Investing.com,"<span>Jan 05, 2012 10:30PM ET</span>",Forex - AUD/USD down during Asian trade,
13,By Investing.com,"<span>Jan 05, 2012 10:05PM ET</span>",Forex - EUR/USD up during the Asian session,
14,By Investing.com,"<span>Jan 05, 2012 09:35PM ET</span>",Forex - EUR/JPY up during Asian trade,
15,By Investing.com,"<span>Jan 05, 2012 08:45PM ET</span>",Forex - GBP/JPY up during the Asian session,
16,By Investing.com,"<span>Jan 05, 2012 08:05PM ET</span>",Forex - EUR/USD up in Asian trade,
17,By Investing.com,"<span>Jan 05, 2012 07:35PM ET</span>",Forex - USD/JPY up during Asian trade,
18,By Investing.com,"<span>Jan 05, 2012 07:10PM ET</span>",Forex - EUR/USD up during the Asian session,
19,By Investing.com,"<span>Jan 05, 2012 02:36PM ET</span>",Forex - U.S. dollar gains ground on safety flight,
20,By Investing.com,"<span>Jan 05, 2012 12:52PM ET</span>",Forex - EUR/USD hits fifteen month low on bank concerns,
21,By Investing.com,"<span>Jan 05, 2012 10:32AM ET</span>",Forex - Dollar extends rally as risk appetite crumbles,
22,By Investing.com,"<span>Jan 05, 2012 10:21AM ET</span>","Forex - GBP/USD pushes lower, euro zone worries persist",
23,By Investing.com,"<span>Jan 05, 2012 10:18AM ET</span>",Forex - EUR/USD down more than 1% on banking fears,
24,By Investing.com,"<span>Jan 05, 2012 09:40AM ET</span>",Forex - USD/CAD trims gains after upbeat U.S. jobs data,
25,By Investing.com,"<span>Jan 05, 2012 09:03AM ET</span>",Forex - EUR/JPY remains lower despite upbeat U.S. data,
