,company,date,title,content
0,By Reuters,"<span>Jul 29, 2020 08:30AM ET</span>","UK paper making 'commercial fodder' of dispute with royal Meghan, court hears","By Estelle Shirbon
LONDON (Reuters) - A lawyer for Meghan, the Duchess of Sussex, accused a British newspaper publisher in court on Wednesday of commercially exploiting its legal dispute with her by using court documents as the basis for ""sensational"" coverage.
Meghan, wife of Queen Elizabeth's grandson Prince Harry, is suing publisher Associated Newspapers over articles the Mail on Sunday printed last year that included parts of a handwritten letter she sent to her father, Thomas Markle, in August 2018.
Increasingly hostile relations between the royal couple and some British newspapers they accused of intrusive, inaccurate and sometimes racist coverage was one of the reasons why Harry and Meghan left Britain for the United States.
A full trial on the substantive issues in the case pitting Meghan against the Mail on Sunday is not expected until next year, but the High Court has been dealing with side issues in pre-trial proceedings.
At Wednesday's hearing, the issue under discussion was whether the Mail should be allowed to publish the names of five friends of Meghan who gave anonymous interviews to the U.S. magazine People. Meghan is seeking a court order preventing disclosure of the names.
The People interviews are central to Associated Newspapers' defence. The Mail has justified publishing the letter Meghan wrote to her father on the basis that she had revealed its existence in People, via her friends, and that was what drove her father to reveal the letter.
One section of the Mail's article was titled: ""HOW MEGHAN’S MEDIA FIGHTBACK LED HER DAD TO REVEAL LETTER HE WANTED TO KEEP SECRET"".
Meghan has told the court in a written statement that she did not authorise her friends to speak to People. She said they ""made a choice on their own to speak anonymously with a U.S. media outlet ... to defend me from the bullying behaviour of Britain’s tabloid media"".
The identities of the five are known to the Mail because they were named in a confidential document filed to court by Meghan's lawyers in July as part of the legal proceedings and seen by the defendant.
Her lead counsel, Justin Rushbrooke, said that within hours of the legal papers being filed, the Mail used them as the basis for what he described as a long and sensational article on its website, which in turn ""started a wildfire"" of media coverage.
""Other litigants don't make commercial fodder out of the other side's pleadings,"" he said, arguing such practices made it all the more important that the privacy of Meghan's friends be protected by a court order.
In her witness statement, Meghan said ""for the Mail on Sunday to expose them in the public domain for no reason other than clickbait and commercial gain is vicious and poses a threat to their emotional and mental wellbeing"".

Associated Newspapers' lead counsel Antony White was due to make arguments in response later on Wednesday. The judge was not expected to immediately give his ruling on the matter.
 
"
1,By Reuters,"<span>Jul 29, 2020 08:10AM ET</span>","States can restrict protests on public health grounds, U.N. says","By Emma Farge
GENEVA (Reuters) - Governments have the right to restrict protests on public health grounds, the U.N. Human Rights Committee said on Wednesday.
The committee stepped in to formulate its legal interpretation having seen a gap in the international norms being tested even before the coronavirus pandemic.
But with the proliferation of Black Lives Matter protests and others demonstrations when authorities are trying to stem the spread of COVID-19, the matter has become more pressing.
The International Covenant on Civil and Political Rights, signed by 173 countries, including the United States and China, has always allowed for restrictions to be placed on the rights of peaceful assembly on grounds including public health and the new document, called a ""general comment"", confirmed that. 
""The protection of 'public health' ground may exceptionally permit restrictions to be imposed, for example where there is an outbreak of an infectious disease and gatherings are dangerous,"" the report said.
The document's author, Christof Heyns, said the legal interpretation was intended to set out the ""rules of the game not just for protesters but for police"".
On the issue of whether protesters are allowed to wear masks to hide their identity as pro-democracy demonstrators in Hong Kong have, the report said they had the right to wear them.
It also says that public order, one of the other grounds on which governments can restrict assemblies, ""should not be used unduly"".
Asked about whether a state requirement to wear face coverings during the pandemic was a human rights violation, Heyns told Reuters: ""It's understandable and acceptable that for health reasons there may be limits on your rights."" 
However his comments on COVID face coverings were not part of the official legal report. In parts of the United States, as well as Australia, the issue of mask-wearing has been divisive in some cases resulting in anti-mask protests.

The 18-person U.N. Human Rights Committee does not have enforcement powers but it reviews the party states' implementation of its rules and may call them out for not conforming.
 
"
2,By Reuters,"<span>Jul 29, 2020 08:10AM ET</span>",Iran fires ballistic missiles from underground for first time,"(Reuters) - Iran’s elite Revolutionary Guards fired ballistic missiles from underground for the first time as part of an annual military drill, Amirali Hajizadeh, the head of the aerospace division of the Guards, said in a video posted online by YJC, a news agency linked to Iran’s state TV.
The video showed clouds of dust before the missiles streaked into the sky.
The military drill in the Gulf, which began on Tuesday, comes at a time of high tension between Tehran and Washington.
The U.S. military said the drill caused two bases with American troops in the region to go on heightened alert and said Tehran’s missile launches were irresponsible.
There have been periodic confrontations in the Gulf in recent years between the Guards and the U.S. military, which has accused the Guards’ navy of sending fast-attack boats to harass U.S. warships as they pass the Strait of Hormuz.
The video posted by YJC showed fast-attack boats firing missiles as well as missiles striking a mock-up U.S. aircraft carrier.
Tehran, which opposes the presence of U.S. and other Western navies in the Gulf, holds annual naval war games in phases in the strategic waterway, the conduit for some 30% of all crude and other oil liquids traded by sea.
 
"
3,By Reuters,"<span>Jul 29, 2020 08:06AM ET</span>",Madrid's COVID immunity cards plan faces backlash,"By Paola Luelmo and Nathan Allen
MADRID (Reuters) - Health experts, citizens' rights groups and lawmakers lined up on Wednesday to criticise plans by Madrid authorities to give immunity passports to people who test positive for coronavirus antibodies.
Dubbed 'COVID cards' by regional government leader Isabel Diaz Ayuso, who wants to introduce them as a pilot project in September, they would identify holders as coronavirus-free, granting them access to high-risk infection zones including gyms, museums and bars.
""The key is letting people who are not infectious continue to live a normal life and focusing the precautions on the vulnerable,"" Ayuso said on Tuesday. ""We are asking for the card to be studied so we can identify who cannot infect or be infected right now."" 
However, at a time when countries are struggling to strike a balance between fighting the virus and respecting civil liberties, experts have questioned the scientific validity of such a system and say it could infringe on privacy rights. 
""A positive COVID-19 antibody result does not necessarily mean you have 'functional' antibodies that will protect you from another infection,"" Liverpool University epidemiologist Raquel Medialdea tweeted.
The World Health Organisation has discouraged the use of immunity passports on those grounds, and a large Spanish study into immunity showed 14% of participants with antibodies had lost them when tested again three months later. 
The country has been gripped by a surge in new infections with 13,116 diagnosed in the last seven days, prompting some other regions to re-introduce curbs on movement and gatherings, and the UK government to impose a quarantine on returnees from Spain.
Madrid, which bore the brunt of the virus's early April peak but has since managed to keep a lid on new infections, is the first Spanish region to consider a card system. 
Ruben Sanchez, a spokesman for the FACUA consumer-rights group called the idea ""ridiculous"", saying it would violate data-protection laws by obliging the bearer to hand over sensitive medical information.
Iñigo Errejon, leader of the left-wing Mas Madrid party, said Ayuso had failed to hire sufficient virus trackers and been slow to introduce mandatory mask use. He also criticised the card scheme, whose name Rocio Monasterio, a lawmaker with the far-right Vox party, said called to mind post-war ration books.
There was some support for Ayuso amid all the criticism.

""An attempt at tracking and controlling the virus doesn't seem bad to me,"" Alberto Nunez Feijoo, head of the northern Galicia region, told RNE radio. 
 
"
4,By Reuters,"<span>Jul 29, 2020 07:36AM ET</span>",Exclusive: Former Kremlin insider recounts Putin’s moves to retain power,"By Catherine Belton
LONDON (Reuters) - When Russian President Vladimir Putin was preparing for last month's nationwide vote on potentially extending his rule until 2036, he let the veil slip on part of the calculation behind the constitutional change.
""If this doesn't happen, then in about two years – and I know this from personal experience – the normal rhythm of work of many parts of government will be replaced by a search for a possible successor,"" Putin said in an interview with state TV channel Rossiya. ""We must be working, not looking for successors.""
The Kremlin won the vote, declaring it a triumph. The constitution now will allow Putin to return to power for another two six-year terms. Independent monitor Golos, however, reported unprecedented vote fraud, and political opponents say the elaborate maneuvering over the ballot has weakened Putin's legitimacy. Public discontent over Putin's rule has begun to spill into the open in Russia's Far East, where tens of thousands have marched in protest for the past three weekends.
Beyond Putin's own comments to state TV, the Kremlin isn't explaining its calculus about the constitutional change. But a first-hand account by a former insider of how the Kremlin tried to manage the handover of power in 2008, when Putin first faced a constitutional limit on his presidency, provides a glimpse into the under-the-carpet power struggles of Moscow's ruling elite and some of the issues the Russian leader must grapple with.
Since at least 2006, former Kremlin adviser Sergei Pugachev told Reuters, Putin has been grappling with the question of succession. Once known as the Kremlin's banker, Pugachev played a key role in Putin's rise 20 years ago. His business interests spanned military shipyards, coal and construction, and he sat as a senator in parliament's upper chamber. Today he is in deep conflict with his former allies, accused by Russian authorities of bankrupting the bank he co-founded, a charge Pugachev denies. He fled to Britain and then France, where he currently lives, after London's High Court in 2014 ordered his assets frozen at Russia's request.
Now, Pugachev has spoken for the first time about Putin's decision-making in the run-up to 2008. He told how the president was often hostage to the will of his inner circle of former KGB men and associates from his hometown of St Petersburg.
The question of handing over power has always been the ""biggest headache"" of Putin's rule, Pugachev told Reuters. For Putin, the succession ""was always a serious, personal stress. He never intended to hand over control of the country to anyone."" Putin saw himself running Russia behind the scenes as the father of the nation, said Pugachev, but finding a successor who would go along with this plan ""was always a big problem.""
Kremlin spokesman Dmitry Peskov declined to comment about Pugachev's account of events.
In 2007, Pugachev was still a consummate Kremlin insider, close to many of the powerful men around Putin, the so-called siloviki, mostly drawn from Russia's security services. He says he was in the room when several key decisions were made. Photos and other documentary materials reviewed by Reuters show Pugachev held a position near the pinnacle of Kremlin power right up to 2008, and support some elements of his account.
The photos show Pugachev's teenage sons hanging out with Putin's daughters at his dacha. Other pictures show Pugachev dining at his dacha in 2005 with the leading security men around Putin. These included Nikolai Patrushev, then the head of the Federal Security Service, or FSB, successor to the KGB; and Igor Sechin, one of Putin's KGB allies from St Petersburg, who at the time of the photo was deputy head of the Kremlin administration.
A LOOMING DEADLINE
The first time Putin considered changing laws to prolong his rule was in the second term of his presidency, Pugachev said.
By the summer of 2007, Sergei Ivanov, Putin's first deputy prime minister and the youngest ever general in Russia's foreign intelligence service, was widely considered the frontrunner to become president the following year, ahead of another Putin ally, Dmitry Medvedev. The constitution dictated that Putin should step down in 2008 upon expiry of his second consecutive term.
Members of Putin's inner circle feared that if Ivanov got the top job, he would cut them out of power. They began briefing Putin against Ivanov, said Pugachev. ""They began telling Putin that Ivanov is very dangerous. He is very aggressive. He will take power and then you will never be able to get rid of him. They were collecting all kinds of kompromat (compromising information) on Ivanov. Almost everyone was against him.""
Kremlin spokesperson Peskov said Ivanov, now the president's special representative for nature, ecology and transport, would not be able to comment. Reuters couldn't reach him directly.
Pugachev too had fallen out with Ivanov, after failing to win a major shipbuilding contract in 2006, when Ivanov was the defence minister. That Ivanov seemed to be a loner only boosted him in Putin's eyes, according to Pugachev. It meant Ivanov ""couldn't coordinate with anyone against Putin.""
Behind the scenes, another option to extend Putin's hold on power was also under consideration. Pugachev said that, at Putin's request, Pugachev directed a group of lawyers headed by a co-author of the Russian constitution, Sergei Shakhrai, to look into ways Putin could run for a third term. The lawyers proposed changing the law through a two-thirds majority vote in parliament. Putin had consistently opposed changing the constitution but, said Pugachev, he wanted ""a second option just in case."" Shakhrai declined to comment.
Ivanov's candidacy ended in August 2007, according to Pugachev. Putin had just announced the restoration of long-haul military flights capable of reaching American shores for the first time in 15 years, a move hailed by Russian newspapers as a demonstration of Moscow's restored military might. 
Six days after Putin's triumphant announcement, Ivanov said in a television interview the flights did not signify a return to the Cold War. By appearing to speak for the Kremlin, he had overstepped the mark.
""Sechin brought a tape of Ivanov's interview to Putin,"" Pugachev said, describing a meeting between Pugachev, Putin and Sechin. Sechin, according to Pugachev, told the president: ""'Look, Vladimir Vladimirovich, you launched the bombers which have not flown for 15 years, since before the Soviet collapse. And Sergei Ivanov, who is no one – he isn't even the president yet, he isn't even the successor yet – he has already claimed [the project] as his own.""
""Sechin played on his ego,"" Pugachev continued. ""Putin has a thing about going down in history. This was his story, and Ivanov entered his territory…. It was an important psychological moment.""
A spokesman for Sechin declined to comment. Kremlin spokesman Peskov said he could not comment since he was not present.
Putin wanted a successor who would be president in name only and ready to make way at any moment, Pugachev said. After this incident, added Pugachev, the door was closed to Ivanov.
But time had run out to amend the rules so that Putin could run for a third term. The presidential election was to be announced by the end of 2007, with the vote itself in March 2008. By law, any legal change allowing Putin to remain in power had to happen at least six months prior to an election being called. Putin ""slept through"" the opportunity for a third term, Pugachev said.
Instead, in September 2007, Putin announced he was appointing as prime minister Viktor Zubkov, a little-known former state farm director who at the time was head of Russia's anti-money laundering watchdog. The 66-year-old Zubkov was suddenly in the frame to succeed Putin.
Pugachev said Putin was weighing making Zubkov president for one year, after which Zubkov could say he had fallen ill, and Putin could return. ""I discussed this with him personally. With Putin and with Zubkov,"" Pugachev said. But Putin rejected the idea. ""He told me it wouldn't look very good.""
Reuters couldn't reach Zubkov. Kremlin spokesman Peskov declined to comment on the matter.
Finally, on December 10, just as the election was about to be declared, Putin announced Dmitry Medvedev, a St Petersburg lawyer who'd long worked in Putin's shadow, was his favoured candidate to take over as president. Pugachev said Putin's circle believed that Medvedev, who'd served as Kremlin chief of staff and most recently alongside Ivanov as a first deputy prime minister, would be the most malleable successor and, importantly, the most willing to make way for Putin should Putin decide to return to the presidency. Similar views of the Putin-Medvedev partnership were widely reported in Russia at the time.
A TIME OF CONFUSION
For the next four years of Medvedev's presidency, it was as if there were one and a half presidents, Pugachev said. While Putin served as prime minister to Medvedev's president, many within Russia's elite were confused about who had the final say.
""First people ran to Medvedev, and then they ran to Putin. People didn't understand. If you did something Putin gave you the go ahead to do, the next day Medvedev could reproach you,"" Pugachev said, citing the example of one Russian state bank boss who, when arranging financing, first sought Putin's approval and then went to Medvedev for his. ""For people it's unacceptable when there are two presidents, or one and a half. It's very important for them to understand who the Tsar is.""
Putin might have been happy to allow Medvedev to serve as president for a second term, but Putin's inner circle could not contemplate the prospect, Pugachev said, because they feared losing their hold over the economy. A ""vicious war"" broke out between factions as Medvedev, in anticipation of running for a second term, began positioning his allies to take over greater chunks of the economy, including Gazprom (MCX:GAZP) and Rosneft, the state energy giants long run by Putin's closest cohort, including Sechin.
The U.S. administration's open courtship of Medvedev over Putin further exacerbated the rift.
Medvedev's hopes for a second term were quashed at the very last minute, said Pugachev. By now, Pugachev had already fled Russia, but he said he continued to have in-depth conversations with one of Medvedev's closest allies about what was happening.
According to this account, Medvedev was in the Kremlin putting the finishing touches to his anticipated announcement that he would run for a second term, to be delivered the next day, Sept. 24, 2011, at the annual congress of the ruling United Russia party. In the small hours of the morning, Putin's security men quietly swapped out the most loyal members of Medvedev's presidential guard.
The switching of the guards was a threatening sign, according to Pugachev. He recounted that soon afterwards Putin arrived at Medvedev's Kremlin office and the two men had a friendly chat. Later, Putin announced he was seeking the presidency for himself. ""In the end it didn't really matter how much pressure Putin's security men put on Medvedev [to stand aside]. In the end it was a question of personal contact between Putin and Medvedev,"" said Pugachev.
Kremlin spokesman Peskov said he could not comment on the veracity of Pugachev's account. He said he only heard of Putin's plans to return as president when it was publicly announced at the United Russia congress. ""I worked alongside Putin. But he did not share his plans,"" Peskov said.
Medvedev could not be reached for comment.
A political consultant who'd previously worked for Medvedev, Gleb Pavlovsky, said at the time that it looked like Medvedev had stepped down under pressure. He pointed out that only three months earlier, in an interview with the Financial Times, Medvedev had made clear he would seek a second term as president.
But while the 2008-2012 experiment with Medvedev's presidency had revealed to Putin's circle the risks of a handover of power, Pugachev said he believes Putin might still be considering standing aside again. The recent constitutional vote may give Putin time to resolve a succession plan behind the scenes, without the pressure of the clock ticking on his final term, Pugachev said.
A sign that Putin may be keeping his options open, Pugachev said, is that a little-noticed change formalises into the constitution a law granting former presidents immunity from prosecution.
If Putin were to pick a successor, it would be imperative this person be a member of his trusted inner circle, Pugachev said. ""Putin can't stand outsiders. It's either his people or no one. It could be his driver or his bodyguard. The successor has to be his.""

(reporting by Catherine Belton; edited by Janet McBride) 
"
5,By Reuters,"<span>Jul 29, 2020 07:30AM ET</span>",EU set to drop Algeria from safe country travel list,"BRUSSELS (Reuters) - The European Union is set to exclude Algeria from its safe list of countries from which the bloc allows non-essential travel after a meeting of EU ambassadors on Wednesday.
The list of countries will fall to 11, assuming the provisional decision is confirmed in writing by EU members, two EU diplomats familiar with the discussions said. The deadline for submissions was likely to be Thursday afternoon.
The safe countries deemed to have COVID-19 largely under control are Australia, Canada, Georgia, Japan, Morocco, New Zealand, Rwanda, South Korea, Tunisia and Uruguay.
China has also been provisionally approved, although travel would only open up if Chinese authorities also allowed in EU visitors.
A Reuters tally of government and World Health Organization data showed the total of confirmed cases of the novel coronavirus in Africa has exceeded 750,000, with Algeria among the worst affected countries on the continent.
The EU list is unlikely to be revised again during August, when EU institutions typically take a break, although countries might be removed if there is a sharp increase of coronavirus infections.
The list serves as a guideline rather than a rule for the EU's 27 members and is aimed at supporting the EU travel industry and tourist destinations, particularly countries in southern Europe hardest hit by the COVID-19 pandemic.
The idea is that no EU country would open up to countries not on the list. However, Italy and Belgium, for example, have held off opening up to any.
Most of the countries on the safe list also either ban almost all foreign visitors or require them to quarantine for 14 days. 
Meanwhile, many restrictions remain for travel within Europe and the passport-free Schengen area, which includes non-EU countries, such as Norway and Switzerland. 

Britain, which is also considered part of Europe for travel purposes, suddenly announced on Saturday that it was enforcing a quarantine for people coming from Spain.
 
"
6,By Reuters,"<span>Jul 29, 2020 07:25AM ET</span>",Zimbabwe agrees to pay $3.5 billion compensation to white farmers,"HARARE (Reuters) - Zimbabwe agreed on Wednesday to pay $3.5 billion in compensation to white farmers whose land was expropriated by the government to resettle black families, moving a step closer to resolving one the most divisive policies of the Robert Mugabe era.
But the southern African nation does not have the money and will issue long term bonds and jointly approach international donors with the farmers to raise funding, according to the compensation agreement.
Two decades ago Mugabe's government carried out at times violent evictions of 4,500 white farmers and redistributed the land to around 300,000 Black families, arguing it was redressing colonial land imbalances.
The agreement signed at President Emmerson Mnangagwa's State House offices in Harare showed white farmers would be compensated for infrastructure on the farms and not the land itself, as per the national constitution.
Details of how much money each farmer, or their descendants, given the time elapsed since the farms were seized, was likely to get were not yet clear, but the government has said it would prioritise the elderly when making the settlements.
Farmers would receive 50% of the compensation after a year and the balance within five years. 
Finance Minister Mthuli Ncube and acting Agriculture Minister Oppah Muchinguri-Kashiri signed on behalf of the government, while farmers unions and a foreign consortium that undertook valuations also penned the agreement.
""As Zimbabweans, we have chosen to resolve this long-outstanding issue,"" said Andrew Pascoe, head of the Commercial Farmers Union representing white farmers.
The land seizures were one of Mugabe's signature policies that soured ties with the West. Mugabe, who was ousted in a coup in 2017 and died last year, accused the West of imposing sanctions on his government as punishment.
The programme still divides public opinion in Zimbabwe as opponents see it as a partisan process that left the country struggling to feed itself. But its supporters say it has empowered landless Black people.

Mnangagwa said the land reform could not be reversed but paying of compensation was key to mending ties with the West.
 
"
7,By Reuters,"<span>Jul 29, 2020 07:25AM ET</span>",Thai PM vows justice over dropping of Red Bull heir hit-and-run case,"BANGKOK (Reuters) - Thai Prime Minister Prayuth Chan-ocha said on Wednesday his government would ensure justice prevails over a deadly 2012 hit-and-run linked to the heir to the Red Bull energy drink fortune, amid public anger over the dropping of charges against him.
The Office of the Attorney-General and the national police dropped criminal charges against Vorayuth ""Boss"" Yoovidhya last month, without providing a reason, stirring public outrage about Thailand's entrenched culture of impunity for the rich and well-connected.
Vorayuth had missed eight summonses to appear in court in connection with the killing of policeman Wichien Klanprasert, whose body was dragged for dozens of metres under a Ferrari (NYSE:RACE) sports car owned by Vorayuth, who was 27 at the time.
Authorities issued a warrant for his arrest five years after the incident and Vorayuth later left the country. His current whereabouts is unknown.
Prayuth said a committee had been formed to look at what led to the case being dropped but it would not interfere in the work of the attorney-general, police and court. The committee has 30 days to complete its task.
""This case is of great interest to the people and society so we must find the truth to see where the problems are,"" he said.
""We must fix these problems to ensure justice in Thai society without dividing it along social class lines,"" he said.
The Office of the Attorney-General and police said they were also looking into what led to the case being dropped.
Vorayuth had been accused of fleeing the scene of the crash. A family driver initially tried to take the blame but was later charged with giving a false statement to police.
Police have said the old case against Vorayuth had officially ended and could only be relaunched if relatives of the victim filed the case directly to a court, or if there were new witnesses or evidence. 
 
"
8,By Reuters,"<span>Jul 29, 2020 07:20AM ET</span>",Portugal says some EU countries breaking pact to reinstate free movement,"LISBON (Reuters) - Portugal's foreign ministry said on Wednesday that some member states in the European Union had broken a pact to reinstate freedom of movement inside the bloc after coronavirus lockdowns were lifted. 
""We understand we were all required to reinstate freedom of movement within the EU from July 1 the latest,"" the ministry said in a statement sent to Reuters.
""We believe restrictions and decisions taken by member states related to other member states manifestly disregard this bond."" 
 
"
9,By Reuters,"<span>Jul 29, 2020 07:00AM ET</span>",Lebanon's Jumblatt says country needs new prime minister: newspaper,"BEIRUT (Reuters) - Lebanon needs a new prime minister to help it exit a deep economic and financial crisis, one of the country's leading politicians said in an interview published on Wednesday. 
Veteran Druze power broker Walid Jumblatt said replacing Hassan Diab ""should seriously be considered because he has amnesia,"" according to comments to local daily L'Orient-Le Jour that were confirmed by his office.
The newspaper said Jumblatt was referring to remarks by Diab on Tuesday in which he appeared to criticise French Foreign Minister Jean-Yves Le Drian for linking assistance to Lebanon with enacting of reforms and an IMF deal. Le Drian visited Beirut last week.
""It is high time the sponsors of the government realise the gravity of the situation their protege (Diab) has put us in,"" Jumblatt said. 
Lebanon desperately needs aid as it wrestles with a financial meltdown rooted in decades of state corruption and waste, in its worst crisis since a 1975-90 civil war. It entered negotiations with the International Monetary Fund in May after defaulting on its foreign currency debt.
Jumblatt's party is not represented in Diab's cabinet, formed in January with backing from the Iran-backed Shi'ite movement Hezbollah and its allies. 
But the Druze, adherents to a small offshoot of Islam, are an important minority in Lebanon’s sectarian system of government and Jumblatt has frequently played the role of kingmaker.
The state news agency quoted Diab as telling a cabinet meeting that France's Le Drian's warning and ""lack of information"" about government reforms indicated an ""international decision not to assist Lebanon"". Diab has deleted a tweet stating the same.
The IMF talks have stalled in the absence of reforms and amid differences between the government and banks over the scale of Lebanon's financial losses.

The finance ministry said in a statement on Wednesday that the IMF dialogue was ""ongoing and constructive"", and the government remained commitment to constructive engagement over its debt restructuring.
 
"
