,title,date,content
0,Amazon increases the price of Prime nearly 17% to $139 per year,2022-02-03T21:09:15+0000,"['Amazon is raising the price of its annual Prime membership to $139 from $119, the company announced on Thursday as part of its fourth-quarter earnings results.', 'Amazon last hiked the price of Prime in 2018, when it increased to $119 from $99. Four years before that, it raised the subscription fee to $99 from $79.', 'Amazon’s annual increase amounts to about a 17% rise in price. Amazon also raised the monthly price of a Prime membership from $12.99 to $14.99, the company said. New members will see the increased prices on Feb. 18, and current members will be billed at the higher rate after March 25.', 'Amazon stock rose more than 14% at one point on Thursday in extended trading.', 'Launched in 2005, Amazon Prime gives members access to free two-day shipping, as well as access to exclusive movies and TV shows, among other perks. As of last April, the service had more than 200 million subscribers worldwide. ', 'The membership program remains one of the biggest growth levers for Amazon’s core retail business. Prime members spend considerably more on Amazon than non-Prime customers, and they also shop more often.', 'Amazon is raising the price of Prime as it navigates the dual challenges of continued supply chain disruptions and labor constraints. The company raised wages and offered generous signing bonuses to attract workers in a tight labor market. To avoid delivery disruptions, it rerouted packages over longer and costlier distances to get them to facilities with enough staff to handle them.', 'The cost of keeping Prime members hooked on the service has also become more expensive for Amazon. The company spends billions of dollars annually to add more compelling video and music content to its streaming service. And, in recent years, Amazon has poured money into building out its logistics and fulfillment network to make one-day shipping the default nationwide.']"
1,"Elon Musk says SpaceX has shipped 100,000 Starlink terminals",2021-08-23T23:36:55+0000,"['Elon Musk said in a series of tweets on Monday that his aerospace venture, SpaceX, has shipped 100,000 Starlink terminals so far, and is now serving 14 countries with license applications pending in others.', 'The tweets imply that Starlink added 10,000 subscribers in about 3 weeks. In late July, the company said it had about 90,000 users of its internet service, CNBC reported.', 'Starlink is an initiative of SpaceX to create a network of tens of thousands of satellites, known in the space industry as a constellation, to deliver high-speed internet to customers anywhere on Earth.', 'SpaceX rolled out its Starlink beta internet service at the end of 2020 with a program that allowed some customers to try it for $99 a month, not including up-front costs for shipping, taxes, installation and equipment like roof mounts to hold the terminals in place.', 'A Starlink Kit includes a satellite antenna dish, a stand, a power supply, and WiFi router.', 'More recently, SpaceX has indicated it plans to expand the service to work for in-flight internet, or on moving ships and in trucks.', 'SpaceX President and COO Gwynne Shotwell announced in February 2020 that the company would likely spin off its Starlink satellite business and may have an IPO for the unit in coming years.', 'The initiative has been a capital-intensive one for SpaceX already. In 2018, Shotwell predicted it would cost SpaceX about $10 billion or more to build the Starlink network.', 'Last week, federal filings revealed that SpaceX intends to use its Starship rocket as a primary vehicle to deliver its Starlink Gen2 satellites to orbit. SpaceX has already launched 1,740 satellites as part of Starlink, and is aiming for its Gen2 Starlink system to add around 30,000 internet satellites.']"
2,"Norway’s Statkraft lined up to provide green hydrogen for 88-meter long, zero-emission ship",2021-06-24T10:15:58+0000,"['Energy firm Statkraft and its subsidiary Skagerak Energi have been awarded a contract to supply so-called green hydrogen to an 88-meter long, zero-emission ship planned to run between locations in Norway.', 'In a statement Wednesday, Statkraft — which is owned by the Norwegian state — claimed the vessel was the “world’s first hydrogen-powered cargo ship.” ', 'The contract was awarded by cement giant HeidelbergCement and Felleskjøpet, an agricultural cooperative. The two organizations are working with one another to develop the project.', 'The idea is for the ship — which will also have two rotor sails — to take grain from the east of Norway to the west of the country, carrying gravel back on the return journey. According to Norwegian Ship Design, a firm involved in the concept’s development, it could commence operations in 2024.', 'Those behind the initiative planned for Norway may describe it as a world first, but the field they operate in is becoming an increasingly crowded one.', 'In April, Flagships, a project that’s received funding from Horizon 2020, a research and innovation program from the EU, said it would “deploy the world’s first commercial cargo transport vessel operating on hydrogen.”', 'The inland cargo vessel will travel on the River Seine, in France, and commercial operations are expected to start this year.', 'While the project involving Statkraft is still a few years off from being fully realized, hydrogen ships have already been developed and put into use. Back in 2008, for example, a fuel cell ship capable of carrying passengers entered into service on a lake in Hamburg, Germany.', 'More recently, a number of projects focused on the development of hydrogen-powered maritime transportation have taken shape. Earlier this month, plans to build a sea-going ferry powered using hydrogen-fuel cells advanced after it was announced that a commercial contract for the development of a concept design had been awarded.', 'In March of this year Linde, a firm specializing in engineering and industrial gases, said it had been chosen by Norwegian firm Norled to provide liquid hydrogen and associated infrastructure for a hydrogen-powered ferry. The MF Hydra, as it’s known, will be able to carry both passengers and cars.', 'Described by the International Energy Agency as a “versatile energy carrier,” hydrogen has a diverse range of applications and can be deployed in sectors such as industry and transport.', 'It can be produced in a number of ways. One method includes using electrolysis, with an electric current splitting water into oxygen and hydrogen. If the electricity used in the process comes from a renewable source, such as wind or solar, then some call it green or renewable hydrogen.', 'Currently, the vast majority of hydrogen generation is based on fossil fuels, and green hydrogen is expensive to produce. Efforts are being made to drive costs down, however. The U.S. Department of Energy recently launched its Energy Earthshots Initiative and said the first of these would focus on cutting the cost of “clean” hydrogen to $1 per kilogram (2.2 lbs) in a decade.', 'According to the DOE, hydrogen from renewables is priced at around $5 a kilogram today. “Clean hydrogen is a game-changer,” U.S. Energy Secretary Jennifer M. Granholm said at the time, adding that it would help to “decarbonize high-polluting heavy-duty and industrial sectors.”']"
3,U.S. trying to seize $325 million superyacht reportedly owned by sanctioned Russian oligarch Suleiman Kerimov,2022-04-19T23:06:23+0000,"['The U.S. government is attempting to seize a superyacht docked in Fiji that is widely believed to be owned by sanctioned Russian oligarch Suleiman Kerimov, according to a restraining order application filed by Fijian authorities.', 'The Amadea yacht is currently “restrained from leaving Fijian waters” until U.S. authorities finalize their warrant to seize the ship, Fiji’s public prosecutor Christopher Pryde said in a statement.', 'The move comes as Western nations have ramped up efforts to seize and freeze assets around the world owned by sanctioned Russian individuals with ties to Russian President Vladimir Putin. Kerimov has been sanctioned in the U.S. since 2018. ', 'Last week, NBC News confirmed the billionaire’s reported luxury vessel had arrived in Fiji, as part of a wider investigation with the International Consortium of Investigative Journalists into how Kerimov and his associates used a maze of corporate structures to obscure his astronomical wealth. ', 'The roughly $325 million yacht arrived in Fiji’s Lautoka port from Mexico last week, according to MarineTraffic, a maritime analytics company. Ship registration filings show that Amadea is flagged to the Cayman Islands. ', 'The U.S. embassy said it was cooperating with local authorities in the matter.', '“We continue to ratchet up the pressure on Putin’s oligarchs and we are working with allies and partners to go after corrupt gains from some of the individuals closest to Putin, no matter where they are held around the world,” the embassy said in a statement to ICIJ.', 'A yacht agent in Fiji who said he was a representative for Amadea told Reuters last week that the ship’s lawyers were contesting the assertion that Kerimov owns the vessel. ', 'A spokesperson for the Department of Justice declined to comment. ', 'NBC News’ investigation reviewed major financial record leaks — including the Pandora Papers and the FinCEN Files — to illustrate the difficulties Western governments will face in enforcing sanctions against Russian oligarchs like Kerimov. ', 'While rich people around the world use creative tactics to protect their wealth, the documents revealed the exceptional steps Kerimov and his associates have taken in the past and highlight the challenges ahead for authorities seeking to stem the flow of money to Putin’s inner circle. ', 'Since the start of the invasion of Ukraine, Kerimov has been hit with additional sanctions by Canada, the U.K. and the E.U. But so far his assets have apparently escaped unscathed.']"
4,Miami-Dade mayor signs order to demolish rest of partially collapsed Florida condo building,2021-07-02T15:47:42+0000,"['Miami-Dade County Mayor Daniella Levine Cava signed an emergency order Friday authorizing the demolition of a 12-story condominium building in Surfside, Florida, that partially collapsed more than a week ago.', 'However, it will likely take weeks before the building, Champlain Towers South, is demolished as engineers evaluate all possible impacts of bringing the rest of the structure down, Levine Cava said.', '“The building poses a threat to public health and safety, and bringing it down as quickly as possible is critical to protect our community,” Levine Cava said during a Friday evening press conference.', 'The mayor said search-and-rescue operations remain the first priority of authorities even as they plan for the demolition. The death toll rose to at least 22 Friday evening, while 126 people are still unaccounted for.', 'Levine Cava and Miami Mayor Francis Suarez noted earlier Friday that one of the bodies recovered is of a seven-year-old child whose father works for the Miami fire department. ', '“It was truly different and more difficult for our first responders,” Levine Cava told reporters.', '“These men and women are paying an enormous human toll each and every day, and I ask that all of you, please keep all of them in your thoughts and prayers. They truly represent the very best in all of us, and we need to be there for them as they are here for us.”', 'Levine Cava also announced that a building in North Miami was found to be unsafe after it was reviewed by authorities, noting that it has not been recertified. Authorities have ordered an evacuation of the building, according to the Associated Press.', 'President Joe Biden, following his visit to Surfside yesterday, formally authorized the federal government on Friday to cover 100% of the cost of debris removal and emergency protective measures at the collapse site under the Public Assistance program for 30 days, beginning June 24.', 'Florida Division of Emergency Management Director Kevin Guthrie thanked the federal government and private-sector vendors for their support.', 'The Royal Caribbean Group is providing free housing and resources to search-and-rescue teams at one of its ships docked at the Port of Miami. Amazon has also aided search-and-rescue teams by donating 500 laundry bags, 2,000 laundry pods and 2,000 dryer sheets, Guthrie added.', '“The support that we have seen for our first responders has been absolutely incredible,” he said.', 'Gov. Ron DeSantis provided additional updates on Hurricane Elsa, noting that southern Florida could see tropical storm-force winds as early as Sunday night. Authorities are paying “special attention” to any potential impacts on Miami-Dade County.', 'DeSantis said search-and-rescue teams from Virginia, Indiana, Ohio, Pennsylvania and New Jersey will assist the state’s emergency response teams and preparations for Hurricane Elsa. ', 'Charles Cyrille, division director at the Miami-Dade County Office of Emergency Management, urged citizens to begin preparing evacuation plans, including three to seven days of supplies for each member of a household. Cyrille added that homes should also be prepared for impact by securing objects, such as garbage cans and patio furniture, that can be easily blown away by a hurricane. ', '“It is critically important that these preparatory activities begin today,” Cyrille said. ', 'Surfside Mayor Charles Burkett provided updates earlier Friday on Champlain Towers North, the sister property of the collapsed condo building. Burkett said arrangements have been made to relocate residents while experts prepare to conduct a forensic study into the structure to evaluate its safety.', 'Search-and-rescue operations resumed Thursday night after a daylong halt, with authorities hoping to expand the search area safely. The halt was due to structural concerns identified by subject matter experts, according to Miami-Dade Fire Rescue Chief Alan Cominsky. ', 'Investigations are still being conducted on the cause of the collapse. ', 'Recent evidence indicates that the 40-year-old condominium building had shown signs of major structural damage as far back as 2018, with a report citing issues with waterproofing beneath the pool and cracking in the underground parking garage. ', 'A video taken on the night of the collapse has also come to light, showing water pouring into the parking garage of the building. ', 'The National Institute of Standards and Technology announced Wednesday evening that it had launched a federal investigation into the cause of the collapse and to develop improved building codes. ', 'Former NIST Director Dr. Walter Copan, who led the agency under then-President Donald Trump until January 2021, told the Miami Herald that it could be a matter of months before NIST provides new facts from the probe. ', '“Generally, there will be an initial summary within three to six months to provide a status update to the public,” said Copan, according to the Herald. ', '“NIST’s job, first and foremost, is to brief the public regularly within NIST’s lane of technical analysis and root cause of the failure,” he said.']"
5,Intel reports better-than-expected results and delivers upbeat guidance,2022-01-26T21:07:03+0000,"['Intel reported fiscal fourth-quarter earnings, for the period ended Dec. 26, after the bell on Wednesday. Shares dropped as much as 3% in volatile extended trading before recovering.', 'Here’s how Intel did versus Refinitiv consensus estimates:', 'Intel said it expected $18.3 billion in adjusted sales in the first quarter of 2022, beating consensus analyst expectations of $17.62 billion. ', 'Intel’s largest business, its Client Computing Group, was down 7% year-over-year to $10.1 billion, though it still beat analysts’ average estimate of $9.6 billion, according to FactSet.', 'Intel CEO Pat Gelsinger said in an interview that the annual drop in the group, which includes Intel’s PC chip business, was a function of customers and PC makers shifting sales from quarter to quarter. PC sales have been elevated since the start of the pandemic in 2020, including during last year’s December quarter.', '“I wouldn’t read anything into the quarter-on-quarter,” Gelsinger said, adding that supply constraints were also a factor.', 'Gelsinger said that he expects PC sales to remain strong. Microsoft on Tuesday reported that revenue in its personal computing group climbed almost 16% from a year earlier, topping estimates, and CEO Satya Nadella said that demand is strong across the business.', 'Intel’s Data Center Group unit also topped expectations, with revenue rising 20% to $7.3 billion, compared to the average estimate of $6.7 billion.', '“The Q4 was really marked by the on-premise, enterprise, and government sector strength,” Gelsinger said. He added that some clients were having trouble getting parts like ethernet power controllers that are required in order to build new Intel-powered servers.', 'Gelsinger said the company’s next-generation server chip, Sapphire Rapids, is on schedule to start shipping this quarter and that production will ramp in the second quarter. Analysts had worried about delays for the chip, which is manufactured on a new process.', 'Mobileye, the subsidiary that focuses on self-driving car technology, reported $356 million in sales during the quarter, a 7% annual increase. Intel said in December that it plans to take the unit public in an IPO.', 'Gelsinger took over as Intel just under a year ago and set off on a period of massive capital expenditure. Under Gelsinger, Intel announced it will continue to manufacture its own PC and server chips and, in a strategy shift, would also begin to manufacture designs from other companies.', 'This strategy requires new facilities and investment. “First, we have to invest to catch up. We’re behind on capacity, you know, we would lust after having some free capacity today,” Gelsinger said.', 'Intel announced last week it plans to build a chip-making complex in Ohio which could house as many as eight fabs, or chip factories, with production set to begin in 2025. Intel said it would invest at least $20 billion to get the first two factories up and running.', 'Intel warned last quarter that its margin would shrink over the next two to three years as it invests in additional manufacturing capacity. Even with the lowered expectations, the company’s gross margin forecast for 52% in the first quarter still narrowly missed estimates of almost 53%.', 'The ultimate size of the Ohio complex is linked to legislation that would result in $52 billion in subsidy funding for semiconductor companies. Intel could spend as much as $100 billion if subsidies are approved. Gelsinger appeared at an event with President Biden last week to encourage Congress to pass legislation to authorize the bill’s full funding.', 'The Ohio investment follows plans announced last year to spend $20 billion expanding an existing facility in Arizona.', 'In February, Intel will present a broader overview of its strategy and technology roadmap to investors, who are closely watching Intel’s operating margins as it invests in additional production capacity. Gelsinger said Intel will also present technical roadmaps for its consumer and data center chips.', 'Intel raised its quarterly cash dividend 5% to $0.365 per share.']"
6,The Dutch firm that investors are going wild over is now creating a machine that could redefine electronics,2021-12-10T06:38:40+0000,"['Dutch firm ASML, one of Europe’s hottest stocks, is working on a new version of its extreme ultraviolet lithography machine, which is used to carve patterns onto pieces of silicon that form the most advanced chips in the world.', 'Headquartered in Veldhoven, a small village near the Dutch city of Eindhoven, ASML is the only firm in the world capable of making these highly complex EUV machines — but it’s not stopping there.', 'The company’s current EUV machine is used by TSMC, Samsung and Intel to make chips that end up in the latest crop of computers and smartphones. But there’s a new version of the EUV machine in the pipeline, dubbed High NA, that could allow chipmakers to build even more sophisticated chips to power the next generation of electronic devices. NA stands for numerical aperture.', 'ASML was born in 1984 when electronics giant Philips and chip-machine manufacturer Advanced Semiconductor Materials International decided to create a new company to develop lithography systems for the growing semiconductor industry. Called ASM Lithography, the company began its work inauspiciously — in a shed next to a Philips office in Eindhoven.', 'Today, ASML is valued at $329 billion, and some tech investors expect it to be worth $500 billion by the end of 2022. It is the biggest tech company in Europe by market value and one of the biggest in the world. It employs over 31,000 employees across the Netherlands, the United States, South Korea, Taiwan and mainland China.', 'EUV machines shine exceptionally narrow beams of light onto silicon wafers that have been treated with “photoresist” chemicals. Intricate patterns are created on the wafer where the light comes into contact with the chemicals, which are carefully laid out beforehand. This process, which leads to the formation of the all-important transistors, is known as lithography.', 'Transistors are one of the basic building blocks of modern electronics, and they enable an electric current to flow around a circuit. Generally speaking, the more transistors you can fit onto a chip, the more powerful and efficient that chip will be.', 'Not every lithography system that ASML makes has EUV capabilities. EUV is the company’s latest technology, which it introduced for high-volume manufacturing a few years ago. DUV (deep ultraviolet) is still the workhorse of the industry.', 'Chris Miller, an assistant professor at the Fletcher School of Law and Diplomacy at Tufts University, told CNBC that chipmakers want to use the narrowest wavelength of light possible in lithography so that they can fit more transistors onto each piece of silicon. The TSMC chips in the latest Apple iPhones, which were created with ASML’s EUV machines, have around 10 billion transistors on them.', 'High NA is set to be even bigger, more expensive and more complicated than ASML’s current EUV machine.', '“It includes a novel optics design and requires significantly faster stages,” an ASML spokesperson told CNBC. They added that the High NA machine has a higher resolution that will enable 1.7x smaller chip features and 2.9x increased chip density.', '“With this platform, customers will reduce the numbers of process steps,” the spokesperson continued. “This will be a strong motivation for them to adopt the technology. The platform will offer significant defect, cost and cycle time reductions.”', 'For context, each of the current EUV machines reportedly has over 100,000 components, and they take 40 freight containers or four jumbo jets to ship. They cost around $140 million each, according to reports.', '“They’re not resting on their laurels,” said Miller, adding that the company’s new machine will allow even more specific etchings on silicon chips.', 'The first High NA machine is still under development and it’s set to be available for early access from 2023 so that chipmakers can start experimenting with it and learn how to make it work.', 'Customers will then be able use them for their own research and development in 2024 and 2025. They’re likely to be used in high-volume manufacturing from 2025 onward.', 'In July, Intel CEO Pat Gelsinger said the company expects to be the first recipient of ASML’s High NA machine.', '“I would bet that he paid a lot for that right because he’s certainly not the only person that would like to get their hands on this machine first,” Miller said.', 'Maurits Tichelman, a vice president of sales and marketing at Intel, told CNBC: “High NA EUV is the next major technology change on the EUV roadmap.”', 'He added: “We are positioned to\u202freceive the first\u202fproduction High NA\u202fEUV tool in the industry\u202fand are driving to enable its introduction in 2025,” Tichelman said. He declined to say how many machines Intel has ordered.', 'The new High NA EUV tool shifts from a .33 aperture lens to a sharper .55 aperture to enable higher resolution patterning, Tichelman said.', 'A higher aperture allows for a wider EUV beam inside the machine before it hits the wafer. The wider this beam, the more intense it can be when it hits the wafer, which increases how accurately lines are printed. This in turn enables smaller geometries and much smaller pitches, increasing density.', 'Alan Priestley, a semiconductor analyst at Gartner, told CNBC that ASML’s new machine will allow chip manufacturers to make chips below three nanometers. The most advanced chips in the world are currently three nanometers and above.', 'The High NA machines will cost about $300 million, which is twice as much as the existing EUV machines, and they’ll need complex new lens technology, Priestley added.', 'Chips are often comprised of 100-150 layers on one single silicon wafer. Only the most complicated layers need to be made with EUV machines, while more simple layers can be made with DUV machines, which ASML also makes, and other tools.', 'EUV machines take years to build and ASML can only ship so many of them in any given year. Last year, it sold just 31, according to its financials, and it’s made around only 100 in total.', '“Compared to traditional EUV machines, a High NA machine provides a bigger lens capable of printing smaller patterns, enabling efficient manufacturing of more powerful chips,” said Syed Alam, global semiconductor lead at Accenture.', '“Chipmakers looking to print smaller features onto chips have had to rely on double or triple patterning techniques, which is time-consuming,” he added. “With a High NA EUV machine, they are able to print these features in a single layer, resulting in a faster turnaround time and better process flexibility.”', 'Chipmakers will have to strike a balance between better performance and the greater costs associated with more sophisticated machinery, Alam said.', '“This is particularly true with High NA EUV machines where larger lenses imply higher acquisition and maintenance costs,” he said.', 'Clarification: This story has been updated to clarify that a single wafer often comprises of 100-150 layers.']"
7,Here’s how Crocs avoided some of the pain of shipping delays and factory closures,2021-10-21T14:13:51+0000,"['A snarled global supply chain is hurting retailers, from shoe brands to department store chains, and threatening their performance this holiday season.', 'But Crocs says it has created a playbook to manage through the crisis with mitigated impact. On Thursday, the company’s fiscal third-quarter earnings and sales smashed Wall Street estimates, and Crocs hiked its full-year revenue outlook. The news sent Crocs shares soaring; the stock was recently up about 7%.', 'Chief Executive Andrew Rees explained on an earnings call a key advantage is the fact that the retailer’s clog shoes are easy to make and so the company faces fewer hurdles in shifting production around when needed.', '“Our shoes are really simple, and so [swapping] factories can be very, very quick,” Rees explained. “The classic clog has three components, two of which are made on site, so you don’t have a lot of external logistics to be able to get started. We think we’re competent in terms of rapid manufacturing.”', 'Crocs was quick to begin diversifying its manufacturing overseas, especially with facilities in Vietnam facing prolonged shutdowns due to pandemic lockdowns in the region. In the short term, the company said it has moved some production back to China and Bosnia. It’s also ramping up production in Indonesia, and it has a facility in India expected to be online by next year.', 'Vietnam has traditionally represented a significant chunk of Crocs’ manufacturing base. It was expected to account for about 70% of production by the end of this year, the company said, but will be less due to Crocs’ diversification efforts.', 'As of this week, most of the retailer’s factories in Vietnam are operational again, according to Rees. Workers are coming back to plants “pretty effectively,” he added. But Rees said Crocs is still cautiously planning for an “on again, off again” situation in the region.', 'Meantime, to avoid massive logjams at West Coast ports, the company said it has been building a larger presence along the East Coast to reach its customers in the United States. Crocs has also been using air freight instead of cargo transportation to move orders in preparation for spring and summer of next year.', '“We will prioritize our most important channels,” Rees said.', 'Crocs is anticipating some inflation next year, primarily from heightened freight and wage costs, it said. The retailer has already slightly increased the prices of some of its clog shoes. Pulling back on promotions has also helped to balance out inflationary pressures.', '“We’re proactively looking at other measures and things that we can do to kind of offset any inflationary pressures,” Chief Financial Officer Anne Mehlman told analysts.', 'Crocs shares have soared more than 140% year to date. The company has a market cap of $9.3 billion.']"
8,Moderna reaches deal with Canada to build ‘state-of-the-art’ Covid vaccine manufacturing plant after shortages,2021-08-10T14:15:01+0000,"['Moderna said Tuesday it has reached a deal with the Canadian government to build a “state-of-the-art” manufacturing plant in Canada to make Covid vaccines and potentially shots for other respiratory viruses after the country was plagued by supply shortages earlier this year.', 'The plant aims to provide Canadians with access to domestically manufactured mRNA vaccines against respiratory viruses, including Covid, seasonal influenza, respiratory syncytial virus and possibly other vaccines, pending licensure, the U.S. drugmaker said.', 'It is also intended to be used on “an urgent basis” to support the country with direct access to vaccines during health emergencies, the company said.', 'Moderna said it is in discussions with other governments for similar collaborations.', '“We are excited to expand our presence and continue our long-term collaboration with Canada,” Patricia Gauthier, Moderna’s lead for Canadian operations, said in a statement. “With our industry-leading mRNA technology platform and rapid drug development capabilities, we look forward to being an active participant in Canada’s robust life sciences ecosystem.”', 'Canada suffered from repeated delays and supply shortages of Covid vaccines this year as it struggled to obtain the shots from other countries that were manufacturing them. The issue forced the government to delay second shots for up to 16 weeks and advise residents to “mix and match” vaccines.', 'The Biden administration, under pressure from allies worldwide to share vaccines, announced plans in March to ship about 4 million doses of AstraZeneca’s Covid vaccine that it was not using to Mexico and Canada.', 'The supply of vaccines and pace of inoculations has since increased, Canadian health authorities have said, and residents have since gone on to receive their second doses.', 'Shares of Moderna were down about 3% Tuesday just before the announcement. The stock is up more than 360% year to date.']"
9,Ford begins shipping new Bronco SUVs for consumers,2021-06-15T10:00:01+0000,"['DETROIT — Ford Bronco SUVs are rolling off a Michigan assembly line and shipping to dealers for the first time in a quarter century, marking a new beginning for what’s expected to be a significantly profitable product for the automaker.', 'Ford Motor started shipping Bronco SUVs from the company’s Michigan Assembly plant on Monday. Inside the plant, two- and four-door versions of the Bronco in all sorts of colors — from vibrant yellows and blues to blacked-out models — were being produced at the facility near Detroit.', 'The Bronco is viewed as one of the most critical nonelectric product launches for the company in years. It is expected to be the flagship model for a new Bronco family of vehicles.', '“To see it rolling down the line here, it’s amazing,” Bronco marketing manager Mark Grueber said Monday during a tour of the plant. “It’s almost 25 years to the day that the last Bronco rolled down the line here. It was June 12, 1996.”', 'The resurrection of the Bronco, which Ford initially produced from 1965-1996, has been years in the making, including a coronavirus-related delay earlier this year. The company initially announced plans in January 2017 to bring back the Bronco name.', 'Grueber said the plant is “trying to ramp-up production as fast as we can to satisfy the huge demand.”', 'Michigan Assembly is currently running on two of three shifts with 3,000 employees, including 2,800 hourly United Auto Workers members. Union leaders for the plant are optimistic the vehicle will be a hit, pushing Ford to add a third shift to the facility, which also produces the midsize Ranger pickup.', '“For us to get an iconic brand like the Bronco, accompanied with the Ranger, we know the profits the company is going to make off this vehicle, which is different than what we’ve ever been used to,” said Scott Elliott, UAW Local 900 chairman of the assembly plant.', 'Prior to the Ranger and Bronco, Michigan Assembly produced the Ford Focus compact car. Ford ended production of the Focus as part of a restructuring plan to concentrate on pickups and SUVs in 2018.', '“We’re just extremely excited to be here and getting the Broncos out to the customers,” said Rich Shafer, plant manager of Michigan Assembly. “It’s a representation of jobs and a bright economic future for the region and the country as a whole.”', 'The SUV isn’t the first vehicle with the Bronco name to recently arrive in U.S. showrooms. It joins the Bronco Sport, or “Baby Bronco,” which Ford launched at the end of last year as a smaller, less-expensive vehicle than the off-road, open-air Bronco SUV.', 'The Bronco Sport, which is produced in Mexico, features the styling of the Bronco but is built more like a car or crossover than a truck. Consumers could consider it a cousin of the Bronco.', 'Starting pricing for the Ford Bronco ranges from about $30,000 to $60,000, including destination charges. The Bronco Sport ranges from about $28,000 to $40,000.']"
