,title,date,content
0,"As Goldman raises its electric vehicle forecast, analysts pick their top stocks to cash in",2022-04-13T01:19:29+0000,"['Goldman Sachs, Bank of America and more have picked their favorite electric vehicle-related stocks, including automakers, battery manufacturers and charging companies.']"
1,"GM and Honda to develop affordable electric vehicles that cost less than $30,000",2022-04-05T11:39:36+0000,"['DETROIT – General Motors and Honda Motor will develop a series of affordable electric vehicles based on a new global platform, the companies announced Tuesday morning.', 'The project will utilize GM’s next-generation Ultium battery technology. The tie-up is expected to produce millions of lower-priced EVs, including popular compact crossover vehicles, beginning in 2027, according to officials.', '“GM and Honda will share our best technology, design and manufacturing strategies to deliver affordable and desirable EVs on a global scale, including our key markets in North America, South America and China,” GM Chair and CEO Mary Barra said in a statement.', 'More affordable EVs are crucial to the mass adoption of the emerging technologies. While EVs are growing in popularity, they’re largely priced for luxury buyers. The GM-Honda developed vehicles are expected to be priced below $30,000, Ken Morris, GM’s executive vice president of electric, autonomous and fuel cell programs, told reporters during a call Tuesday morning.', 'Company officials declined to disclose financial terms of the new partnership, which will result in vehicles for both Honda and GM brands.', 'The automakers also said they will discuss future “EV battery technology collaboration opportunities, to further drive down the cost of electrification, improve performance and drive sustainability for future vehicles.”', 'Both automakers are working on next-generation battery development, including solid-state batteries. Those batteries can be lighter, with greater energy density, and provide more range at a lower cost than today’s EVs with lithium-ion batteries.', '“Honda and GM will build on our successful technology collaboration to help achieve a dramatic expansion in the sales of electric vehicles,” Toshihiro Mibe, Honda president and CEO, said in a statement.', 'GM plans to be capable of producing and selling about 2 million EVs globally by 2025. Honda, a leader in fuel-efficient vehicles, has largely focused on hybrid vehicles but is pivoting to offer more all-electric models.', 'The new partnership deepens the ties between the two companies regarding all-electric and autonomous vehicles. Honda previously invested $750 million in Cruise, GM’s majority-owned autonomous vehicle unit, and GM produced two EVs for Honda for the 2024 model year. The companies have also collaborated on battery modules and fuel cell vehicles.', 'Honda still plans to develop its own EV technology and to start building its own electric vehicles after the two GM-made EVs go on sale in 2024, Rick Schostek, American Honda executive vice president of corporate operations, told reporters.']"
2,"Electric and hybrid vehicles will account for nearly half the cars on the road by 2040, Goldman predicts",2022-04-04T17:32:16+0000,"['Goldman Sachs is raising its electric vehicle forecasts, saying it anticipates “significant growth in EV adoption particularly beyond 2030.” The impacts will be felt across industries — including on the power grid — and the firm put together a basket of stocks across sectors that stand to benefit.']"
3,"Tesla delivers 310,048 electric vehicles in the first quarter",2022-04-02T16:01:26+0000,"['Tesla just reported first-quarter vehicle production and delivery numbers for 2022.', 'Here’s how they did.', 'Electric vehicle deliveries (total): 310,048', 'Electric vehicle production (total): 305,407', 'Over the same period last year, Tesla delivered 184,800 electric vehicles and produced 180,338 cars.', 'Model 3 and Model Y vehicles comprised 95%, or 295,324, of deliveries in the first quarter of 2022, according to Tesla.', 'The company produced 4,641 fewer cars than it delivered during the quarter citing “ongoing supply chain challenges and factory shutdowns.”', 'Analysts expected deliveries of 317,000 vehicles for the first three months of 2022, according to estimates compiled by FactSet as of March 31. The estimates ranged from a low of 278,000 vehicle deliveries to a high of 357,000.', 'Deliveries are the closest approximation to sales numbers reported by Tesla.', 'The company recently opened a new factory in Brandenburg, Germany, and had a ribbon-cutting ceremony on March 22. Tesla also plans to host a grand opening and “cyber rodeo” event on April 7, at another new vehicle assembly plant it’s building in Austin, Texas.', 'Tesla moved its headquarters to Austin officially as of Dec. 1, but still operates its first electric car factory in Fremont, California.', 'Globally, Tesla’s operations during the quarter, which ended March 31, were weighed down by a Covid surge and new health restrictions in China, requiring temporary production halts at its Shanghai plant. In the fourth quarter, Tesla delivered 308,600 EVs, marking a record for the company. ', 'Tesla, along with the rest of the auto industry, has also been hurt by widespread parts shortages, and inflation. Critical components like semiconductors remain in short supply, and prices have increased for raw materials like nickel and aluminum after Russia launched an invasion of Ukraine in February. In the U.S., Tesla has been leaving customers waiting for months before filling their car orders.', 'Tesla CEO Elon Musk warned in mid-March of inflationary pressures on the business, and hiked the prices of its cars in both the U.S. and China.', '—CNBC’s Jordan Novet contributed to this report.', 'WATCH: Tesla’s stock split shows confidence in the company', '']"
4,"EV start-up Polestar signs deal to supply up to 65,000 vehicles to Hertz",2022-04-04T12:46:42+0000,"['Swedish electric vehicle maker Polestar will supply up to 65,000 vehicles to car rental giant Hertz Global over the next five years, the two companies announced Monday morning.', 'Hertz will begin making fully electric Polestar 2s available via its network in Europe this spring, and in North America and Australia before the end of 2022.', 'Polestar’s CEO said the deal is a boon for the EV start-up for reasons that go beyond the revenue it will realize from the sales.', '“The partnership [with Hertz] will bring the amazing experience of driving an electric car to a wider audience” of Hertz customers, Polestar CEO Thomas Ingenlath said. “For many of them it may be the first time they have driven an EV, and it will be a Polestar.”', 'Polestar sold 29,000 vehicles last year. The company expects its sales pace to reach 290,000 vehicles per year by the end of 2025.', 'For Hertz, the deal is a significant step forward in its plan to build the largest fleet of rental EVs in North America, and one of the largest in the world.', 'Polestar was formed in 2017 as a joint venture between Volvo Cars and its corporate parent, Chinese automaker Geely. The company is planning to go public by the end of the second quarter via a merger with special purpose acquisition company Gores Guggenheim.']"
5,"‘Grim milestone’ reached in Ukraine with more than 100 attacks on health facilities and transport vehicles, WHO says",2022-04-07T22:04:22+0000,"['The World Health Organization on Thursday condemned Russia’s more than 100 attacks on health-care facilities and transport vehicles, including ambulances, in Ukraine over the last six weeks — in violation of international humanitarian law. ', 'Some 73 people have been killed and 51 injured, including health workers and patients, in the attacks, according to WHO Director-General Tedros Adhanom Ghebreyesus.', '“We are outraged that attacks on health care are continuing,” Tedros said at a joint news conference in Washington. D.C., with U.S. Health Secretary Xavier Becerra to mark World Health Day. Tedros called the more than 100 attacks a “grim milestone.”', '“Peace is the only way forward,” Tedros said. “I again call on the Russian Federation to stop the war.” ', 'Tedros’s remarks come on the 42nd day of Russia’s invasion, which has caused hundreds of civilian deaths and injuries in Ukraine, including dozens of children. ', 'He outlined efforts by the WHO and the U.S. to keep Ukraine’s “health system running.” The measures include working with neighboring countries to support access to care for refugees and delivering 180 metric tons of medical supplies to the hardest-hit areas of the country, with plans to increase that support. ', 'The total number of attacks is more than double what the WHO verified three weeks ago. ']"
6,Chase Bank partners with EVgo to add electric vehicle charging stations at 50 US branches ,2022-04-07T13:00:01+0000,"['Chase is partnering with EVgo to pilot electric vehicle charging stations at select branches across the country, the company announced Thursday. The move is part of the bank’s push to promote sustainability and reduce its carbon footprint.', 'The company said it’s aiming to have EV chargers installed at 50 branches across the country by summer 2023. Construction on the first location in Carmel, Indiana, has already begun, and will open this summer.', 'Locations will have between two and six DC fast chargers, with most having four. The chargers will not be reserved for Chase customers. The aim is to also have the general public use the charging stations.', 'Chase has just over 4,700 locations across the lower 48 states, so the 50 selected branches represent a small portion of the bank’s overall footprint.', 'Becky Griffin, chief administrative officer of consumer banking at JPMorgan Chase, said the company will monitor usage rates to decide whether to extend the pilot program broadly.', '“We haven’t done an installation like this before,” she said in an interview. “To the extent that we see success … we’ll evaluate and decide if we want to expand further.”', 'Griffin said Chase is always looking for ways to innovate its vast branch network, and this partnership made sense given the real estate footprint and accompanying parking lots.', 'The first 50 locations are in states where customer demand is high, including California, Illinois, Indiana, New York, Oregon and Pennsylvania. Additionally, the locations are where people run daily errands and might have 15 or 40 minutes to spare, so installing fast chargers — rather than ones that take several hours — was a key part of the decision to partner with EVgo.', '“Having access to fast charging in everyday settings of life — the local bank being a great example as well as an important community staple — is truly key,” EVgo CEO Cathy Zoi said in a statement.', 'Chase declined to comment on the value of the deal or the financial structure of the partnership.', 'The company also said that it will add solar panels to around 400 additional branches by the end of 2022. At present over 350 branches have on-site solar. The electricity generated is then used to power the company’s facilities. ', 'Expanding rooftop solar is a relatively easy step toward cutting a company’s carbon footprint, and Chase is far from the only company using available real estate.', 'Target, Home Depot and Lowe’s are some of the big-box retailers that have tested rooftop solar at specific locations, while McDonald’s, Sweetgreen and Restaurant Brands’ Burger King are also exploring solar power at specific locations.', '— CNBC’s Hugh Son contributed reporting.']"
7,"It’s time to buy Nio shares after the Chinese electric vehicle maker’s 44% drop in past year, UBS says",2022-04-04T12:33:51+0000,"['Shares for Chinese electric vehicle maker Nio have significant upside after cratering 44% over the past year, according to UBS.']"
8,Biden to invoke Defense Production Act for electric vehicle battery materials,2022-03-31T20:38:37+0000,"['President Joe Biden will invoke the Defense Production Act to encourage domestic production of minerals required to make batteries for electric vehicles and long-term energy storage. It will also help the U.S. minimize dependence on foreign supply chains.', 'The president’s order could help companies receive government funding for feasibility studies on projects that extract materials, including lithium, nickel, cobalt, graphite and manganese, for EV production.', 'The Defense Production Act, established by President Harry Truman during the Cold War, allows the president to use emergency authority to prioritize the development of specific materials for national production.', '“The President will issue a directive, authorizing the use of the Defense Production Act to secure American production of critical materials to bolster our clean energy economy by reducing our reliance on China and other countries for the minerals and materials that will power our clean energy future,” the White House said in a statement on Thursday.', 'The Department of Defense will impose the authority using “strong environmental, labor, community, and tribal consultation standards,” the White House said. The administration also said it’s reviewing further uses of the law to “secure safer, cleaner, and more resilient energy for America.”', 'The transportation sector is one of the largest contributors to U.S. greenhouse gas emissions, representing about one-third of emissions every year. The transition away from gas vehicles to EVs is considered critical to combating human-caused climate change.', 'Demand for lithium has also boomed as more auto companies race to develop EVs. Growth in the number and size of batteries for EVs could comprise more than 90% of lithium demand by 2030, according to the firm Benchmark Mineral Intelligence. And about 24% of new vehicles sold globally will likely be fully electric by 2030, according to forecasts from consulting firm AlixPartners.', '“We’re looking forward to seeing the specifics of the president’s announcement, but the Biden administration should be commended for their efforts to secure the production of critical minerals like lithium here at home,” Lithium Americas, a resource company focused on lithium development, told CNBC.', 'The administration in February unveiled a plan to allocate $5 billion to states to fund  EV chargers over five years as part of the bipartisan infrastructure package. The U.S. is the world’s third-largest market for EVs, behind China and Europe.', 'Sierra Club President Ramón Cruz said in a statement that the organization “appreciates President Biden taking steps to invest in clean energy and help further lead the world in the transition.”', '“However, it’s essential that this be done properly,” Cruz added. “We must ensure that labor and environmental standards are not sidestepped, nor are the crucial consultations with Tribal nations and communities who would be directly affected.”', 'The White House on Thursday also announced a new release of oil from its strategic reserves to help cut gas prices and fight inflation across the U.S. The announcement comes as the administration seeks to combat a hike in energy prices prompted by Russia’s invasion of Ukraine. ', '— CNBC’s Cat Clifford and Pippa Stevens contributed reporting.']"
9,Wall Street banks pick their top semiconductor stocks as electric vehicle production soars,2022-03-29T00:01:08+0000,"['Analysts from Bank of America and Cowen have identified their top semiconductor stocks to play the electric vehicle boom, as the auto sector undergoes a “dramatic transformation.”']"
