,title,date,content
0,"RBC bets on Exxon, says Chevron looks ‘increasingly expensive’ in tightening oil market",2022-04-21T12:13:01+0000,"['As the oil market tightens, RBC Capital Markets thinks Exxon Mobil is well-positioned to benefit while shares of Chevron are looking more and more expensive.']"
1,"What to watch today: Stock futures are set for lower open, oil prices slide",2022-04-11T12:52:02+0000,"['U.S. stock futures were slightly lower Monday morning as Wall Street looks to bounce back from a losing week. Dow futures implied an opening decline of roughly 160 points, while S&P 500 and Nasdaq futures also were in the red. (CNBC) * 10-year Treasury yield tops 2.76% to start the week (CNBC)', 'The tech-focused Nasdaq Composite saw the biggest declines last week, falling nearly 3.9% as investors prepared for more aggressive policy tightening from the Federal Reserve. The S&P 500 slid 1.27%, ending a three-week winning streak, while the Dow Jones Industrial Average dropped 0.28%. The 30-stock Dow has now fallen two weeks in a row.', 'Oil prices fell by more than 4% on Monday, sending U.S. benchmark West Texas Intermediate crude futures below $94 per barrel. International benchmark Brent dropped about 4.1% to around $98.50 per barrel. (Reuters)', 'Twitter shares fell Monday in premarket trading after CEO Parag Agrawal announced in a tweet Sunday night that Elon Musk is no longer joining the social network’s board of directors. Agrawal did not say whether Musk offered specific reasons for opting against becoming a Twitter director. While Agrawal warned about “distractions ahead,” the CEO said Twitter would “remain open” to Musk’s input. (CNBC)', 'Inflation in China came in hotter than expected for the month of March, as the world’s second-largest economy experiences its worst wave of Covid infections since the start of the coronavirus pandemic in early 2020. (CNBC) * China Covid outbreak: Guangzhou closes schools, Shanghai’s new cases soar to a record (CNBC) * Shanghai eases lockdown in some areas despite record Covid infections (Reuters)', 'Ukrainian President Volodymyr Zelenskyy urged South Korean lawmakers to provide military aid, saying the country’s sanctions on Russia cannot alone put an end to Moscow’s invasion of Ukraine. In his video address, Zelenskyy said, the “war is far from over” and indicated tens of thousands of citizens in the port city of Mariupol have likely been killed. (Associated Press) * Russia appoints general with cruel history to oversee Ukraine offensive (NBC News) * Ukraine repulses attacks in east as Russia presses to control Mariupol (Reuters)', 'French leader Emmanuel Macron and far-right rival Marine Le Pen are set to face off in a final vote after exit polls showed the two politicians leading the first round of French presidential elections. Macron, who is the incumbent, was in first place, while Le Pen was second. The runoff is set for April 24. (CNBC)* Pakistani lawmakers elect Shahbaz Sharif as new premier (Reuters)', 'Nio (NIO) shares slumped 8.4% in premarket action after the China-based electric car maker suspended production due to Covid-19 related supply chain disruptions.', 'JetBlue (JBLU) is cutting back its summer schedule in an effort to avoid flight disruptions, while working to ramp up hiring. The New York-based airline added 1% in premarket trading.', 'Veru (VERU) shares surged 24.8% in the premarket after the drugmaker reported “overwhelming” evidence of efficacy for its experimental drug for treating hospitalized Covid-19 patients. It will meet with the Food and Drug Administration to seek emergency use authorization for the treatment.', 'Sailpoint Technologies (SAIL) shares soared 29.5% in premarket trading after the cybersecurity company agreed to be acquired by private-equity firm Thoma Bravo for $6.9 billion or $65.25 per share.', 'Shopify (SHOP) shares added 1.1% in the premarket after the e-commerce platform company proposed a 10-for-1 stock split, as well as the creation of a new “founder share” that would increase CEO Tobi Lutke’s voting power to 40% from the current 34%.', 'AT&T (T) added 1.9% in the premarket after completing the spin-off of its WarnerMedia unit to Discovery Communications late Friday, with the stock of the newly combined Warner Brothers Discovery (WBD) set to begin trading today under its new name and ticker symbol. Separately, Deutsche Bank named Warner Brothers Discovery a “top pick” given its robust entertainment content.', 'Nvidia (NVDA) slid 3% in premarket action, following the announcement that the semiconductor firm would seek shareholder approval to double the number of authorized shares. That would give Nvidia the flexibility to take actions like stock splits and issuing equity incentives without a further shareholder vote.', 'Lowe’s (LOW) fell 1% in the premarket after announcing the departure of David Denton as chief financial officer. Denton is leaving the home improvement retailer to take the same job at drugmaker Pfizer (PFE). He’ll be replaced by Senior Vice President Brandon Sink effective April 30.']"
2,"Oil reserve release could actually boost prices long-term, analysts say",2022-04-01T17:43:47+0000,['President Joe Biden on Thursday announced a historic release of oil from the U.S.′ emergency reserves in an effort to quell surging oil and gas prices. But analysts say the longer-term impact may be just the opposite.']
3,Biden’s top economic advisor says restarting the Keystone XL pipeline now won’t lower oil prices,2022-04-01T16:44:15+0000,"['President Joe Biden’s top economic advisor suggested Friday the White House is not rethinking its decision to cancel the controversial Keystone XL oil pipeline in response to elevated crude and gasoline prices.', 'National Economic Council Director Brian Deese told CNBC the Biden administration is instead concentrating on policies and strategies that can deliver lower fuel prices as soon as possible. He pointed to Biden’s decision Thursday to begin releasing 1 million barrels of oil per day from the Strategic Petroleum Reserve over the next six months.', '“Any action on Keystone wouldn’t actually increase supply, and it would transmit oil years in the future,” Deese said in a “Squawk on the Street” interview.', '“What we’re focused on right now is what we can do right now, and ... there are wells that are shut in and that can be brought back online over the course of the next couple months. What we need right now is to address the immediate supply disruption,” he added.', 'The Russia-Ukraine war delivered a supply shock to global oil markets, which had already been tight as demand recovered from Covid-pandemic related declines. As crude prices hit record highs recently so has prices at the gasoline pumps.', 'Russia, a major energy exporter, has been hit with a wave of sanctions after it invaded neighboring Ukraine. The U.S. banned Russian oil imports, in an attempt to punish Moscow, and the U.K. also is phasing them out.', 'Oil prices have retreated from their early March peaks, when they traded at their highest levels since 2008, However, they are still are up considerably for the year, adding to inflationary pressures in the economy. West Texas Intermediate crude, the U.S. oil benchmark, traded around $100 per barrel Friday, up 35% so far in 2022. Brent crude, the international benchmark, hovered around $104 per barrel.', 'As oil prices jumped in recent weeks, some Republicans have called on Biden to reverse course and immediately grant the permits necessary to build Keystone XL, a proposed 1,200 mile project that would’ve delivered oil from Canada to American refineries.', 'Biden canceled the permit needed to construct the pipeline on his first day in office last year. In June 2021, the company that owned it, TC Energy, officially nixed the $9 billion oil pipeline. It had first been proposed in 2008, but faced numerous delays due to legal challenges from the likes of environmentalists and Native American tribes.', 'In addition to tapping the nation’s oil reserves, Deese said the Biden administration wants to generate more production from the approximately 9,000 drilling permits on federal land that already have been approved. Deese said that’s the motivation behind Biden’s decision to call on Congress to implement fees on companies that aren’t using wells from their leases located on public acreage.', '“Those wells that can come back on, that’s what’s going to bring those million barrels of day in the short term, not long-term questions that we can have debates about,” Deese said. “But the long-term questions really cloud what is the short-term priority. We’re trying to keep our focus there.”']"
4,Oil prices slide as Biden announces largest-ever Strategic Petroleum Reserve release ,2022-03-31T04:48:37+0000,"['Oil prices were lower on Thursday as the White House announced that it will release 1 million barrels per day of oil for the next six months from the Strategic Petroleum Reserve — in an effort to calm spiking oil and gas prices.', 'International benchmark Brent crude ended the day at $107.91, for a loss of 4.88%. U.S. crude futures for May delivery settled 6.99% lower at $100.28 per barrel. ', '“The scale of this release is unprecedented: the world has never had a release of oil reserves at this 1 million per day rate for this length of time. This record release will provide a historic amount of supply to serve as bridge until the end of the year when domestic production ramps up,” the administration said in a statement.', 'Oil prices dropped sharply Wednesday evening after reports that such a move was likely. President Joe Biden is set to give remarks later on Thursday.', '“It is hard to overstate the scale of this intervention,” said ClearView Energy Partners. The firm noted that this is the largest-ever SPR release by a factor of 3.6X. The second largest on record was the 50 million barrel release in November.', 'Gasoline prices have surged to record highs on Russia’s invasion of Ukraine and subsequent supply concerns, driving spikes in inflation across the global economy.', 'Russia is the world’s second-largest exporter of oil, and unprecedentedly punitive international sanctions following the invasion have disrupted flows out of the country.', 'In a research note Thursday, Goldman Sachs commodity analysts said the release from U.S. reserves would help the oil market toward rebalancing in 2022, but would not resolve its structural deficit.', '“This would reduce the amount of necessary price-induced demand destruction, the sole oil rebalancing mechanism currently available in a world devoid of inventory buffers and supply elasticity,” Goldman Sachs said.', '“This would remain, however, a release of oil inventories, not a persistent source of supply for coming years. Such a release would therefore not resolve the structural supply deficit, years in the making.”', 'They added that lower prices in 2022 would support oil demand while slowing the acceleration in U.S. shale production, leaving a deficit in 2023 and a likely need to refill the U.S. reserves.', 'The International Energy Agency will hold an emergency meeting on Friday to discuss oil supply concerns, Australian Energy Minister Angus Taylor announced on Thursday.', 'The Organization of Petroleum Exporting Countries and its allies including Russia (known as OPEC+) met on Thursday, deciding to hold production output largely steady. The group will boost output by 432,000 barrels per day beginning May 1.', '″[I]t was noted that continuing oil market fundamentals and the consensus on the outlook pointed to a well-balanced market, and that current volatility is not caused by fundamentals, but by ongoing geopolitical developments,” OPEC said in a statement following the meeting.', 'Ed Bell, senior director of market economics at Emirates NBD, told CNBC on Thursday that despite the record scale of the expected SPR release, an enormous downswing in its immediate aftermath would be unlikely.', '“Markets are still going to be very much squarely focused on supply going forward and the lack of it that we’re going to be seeing from Russia, the incremental additions we’re going to be seeing from OPEC+ and so far the real lack of price response from U.S. producers to high prices,” Bell told CNBC’s “Capital Connection.”', '“For the longer term though, I do think this is a bit of a risky strategy for the U.S. to draw down on its SPR so heavily if you think that we’re going to be going into the more heavy use summer months in the United States, we’re going to be drawing down inventories just as we’re going to be needing them in a time of uncertain supply conditions.”', 'Bell added that if the oil market maintains a structural deficit for a prolonged period, drawing down on U.S. reserves could “help underpin a bullish case for oil prices” over the next 12 to 24 months.']"
5,U.S. to release 1 million barrels of oil per day from reserves to help cut gas prices,2022-03-31T14:56:59+0000,"['The U.S. will release 1 million barrels of oil per day from its strategic reserves to help cut gas prices and fight inflation across the country, the White House announced Thursday.', 'President Joe Biden plans to tap the nation’s Strategic Petroleum Reserve for the next six months as domestic producers ramp up production, according to a fact sheet released by the Biden administration.', '“The scale of this release is unprecedented: the world has never had a release of oil reserves at this 1 million per day rate for this length of time,” the White House said in a release. “This record release will provide a historic amount of supply to serve as bridge until the end of the year when domestic production ramps up.”', 'A senior administration official told reporters Thursday morning that, in combination with similar actions in other countries, the average daily amount released from global strategic reserves should exceed 1 million barrels.', 'Oil prices dropped Thursday after reports surfaced Wednesday evening suggesting such a move was imminent.', 'International benchmark Brent crude futures for May fell 4% to trade at $108.89 per barrel. U.S. crude futures slid 4.7% to $102.84. Earlier in the session the contract traded as low as $100.16.', 'The announcement comes as the White House looks for ways to combat a spike in energy prices caused by Russia’s invasion of Ukraine. While oil prices are well off highs seen earlier this year, the geopolitical chaos has continued to elevate petroleum costs and stir fears about oil and natural gas availability.', 'Biden later remarked on the administration’s efforts to cool oil prices and blamed Russian President Vladimir Putin for the most recent spike in energy costs.', '“Many people are no longer buying Russian oil around the world. I banned Russian-imported oil here in America, Republicans and Democrats in Congress called for it and support it. It was the right thing to do,” Biden said.', '“But as I said at the time, it’s going to come with a cost,” the president added. “As Russian oil comes off the global market, supply of oil drops, and prices are rising. Now Putin’s price hike is hitting Americans at the pump.”', 'The recent rise in crude prices has led to a jump in domestic gasoline prices, with the national average price of a gallon of gas at $4.23, up from $2.87 a year ago. That jump has contributed to a broader rise in the prices consumers pay for all goods and services, and a 7.9% increase in year-over-year inflation.', 'Roger Read, senior energy analyst at Wells Fargo Securities, noted that Biden’s planned daily release from the SPR is about 1% of daily global production and 5% of U.S consumption.', '“I don’t want to make it sound like it’s nothing, but you just arrive at the issue where we may be off a lot more than just 1 million barrels. So it helps, but it’s unlikely to solve the problem,” he said. “In the end, it’s a little bit of a Band Aid and I think a little bit of hoping to get later in the year OPEC catch up.”', 'The White House also used Thursday’s announcement to criticize the domestic energy industry for “sitting on” more than 12 million acres of federal land and 9,000 unused but already approved permits for production.', 'Specifically, Biden implored lawmakers to impose fees on companies that aren’t using wells from their leases on acres of public lands.', '“Companies that are producing from their leased acres and existing wells will not face higher fees,” the administration said. “But companies that continue to sit on non-producing acres will have to choose whether to start producing or pay a fee for each idled well and unused acre.”', 'A senior administration official later added that the White House has been meeting with industry leaders to encourage producers to use already approved land to ramp up U.S. capacity with mixed feedback.', '“We believe the industry needs to step up,” the official said. “It needs to do more, there needs to be investing in additional production.”', '“There are companies out there that have said they are, that are doing the right thing,” the person added. But there are others “who’ve said that it doesn’t matter where the price point is, they’re not going to produce more. They’re instead focused on returning dividends and distributions to shareholders.”', 'Energy Secretary Jennifer Granholm said in a tweet Thursday afternoon that her department is immediately ready to deploy the 1 million barrels per day.', 'The White House said Biden will also urge lawmakers to foster American energy independence by passing legislation to speed up the transition to clean energy.', 'The president also plans to invoke the Defense Production Act to support the production and processing of minerals and materials used for large capacity batteries like lithium, nickel, cobalt, graphite and manganese.', '“The sectors supported by these large capacity batteries—transportation and the power sector—account for more than half of our nation’s carbon emissions,” the administration said in a fact sheet.', '— CNBC’s Pippa Stevens contributed reporting.']"
6,Greenlight’s Einhorn says inflation could surge even more. Here is how he’s hedging surging prices,2022-04-19T17:28:21+0000,"['Greenlight Capital’s David Einhorn said inflation could still surprise to the upside, even with the Federal Reserve tightening monetary policy.', 'The star hedge fund manager revealed Tuesday in an investor letter that his firm has added a number of new positions to hedge against surging prices during a market-beating quarter for Greenlight.']"
7,Food prices aren’t falling anytime soon. Here are Credit Suisse’s stock picks to cash in,2022-04-21T03:04:47+0000,"['Soaring food prices will put a dent in our pockets but could also provide investors with an opportunity to cash in, according to Credit Suisse, which named a raft of stocks that it thinks could benefit.']"
8,"Oil drops, Brent crude falls below $100 as China lockdowns spark demand fears",2022-04-11T13:16:42+0000,"['Oil prices slid Monday, falling to the lowest level since February and building on two straight weeks of declines as lockdowns in China sparked demand fears.', 'International benchmark Brent crude fell 4.18% to end the session at $98.48 per barrel, the first settle under $100 since March 16. West Texas Intermediate crude futures declined 4.04% to settle at $94.29. During the session the contract traded as low as $92.93, a price not seen since Feb. 25.', '“The spread of Covid in China is the most bearish item affecting the market,” said Andy Lipow, president at Lipow Oil Associates. “If [Covid] spreads throughout China resulting in a significant number of lockdowns, the impact on oil markets could be substantial.”', 'China is the world’s largest oil importer, and the Shanghai area consumes roughly 4% of the country’s crude, according to Lipow.', 'The potential hit to demand comes as the supply side of the equation has been front and center given Russia’s role as a key oil and gas producer and exporter.', 'Last week the International Energy Agency announced that its member countries would release 120 million barrels from emergency stockpiles, of which 60 million barrels would be from the U.S. The announcement followed the Biden administration saying it would release 180 million barrels from the Strategic Petroleum Reserve in an effort to alleviate soaring prices.', 'WTI fell 1% last week while Brent declined 1.5%, with both contracts posting their fourth negative week in the last five.', 'Oil prices have been on a roller-coaster ride since Russia invaded Ukraine. WTI briefly traded as high as $130.50 on March 7, the highest level since July 2008. The contract has fallen nearly 30% since. Brent meantime spiked to $139.13 in March.', 'Part of the move is thanks to fears over what a disruption in Russian supply would mean for an already tight market. The IEA previously predicted that three million barrels per day of Russian oil output was at risk.', 'Traders also attributed oil’s wild swings to non-energy market participants exchanging contracts as a way to hedge against inflation, among other things.', 'Still, Wall Street firms were quick to point out that tapping emergency oil stockpiles will alleviate the price spike in the near-term, but doesn’t address the fundamental issues in the market.', '″[S]ome of the market tightness caused by the self-sanctioning of Russian crude buyers — either in fear of future sanctions or for reputational reasons — should ease,” UBS wrote in regards to the emergency releases.', '“But it will not fix the the oil market’s structural imbalance resulting from years of underinvestment at a time of recovering global demand,” the firm added.']"
9,"Ukraine-Russia crisis is driving countries to explore new ways of pricing oil, Qatar says",2022-03-26T11:09:03+0000,"['Qatar’s foreign minister has said the conflict in Ukraine, and its geopolitical ramifications, is pushing some countries to explore new ways of pricing oil — not in the dollar.', 'The comments, made Saturday by Mohammed bin Abdulrahman Al-Thani, come after a Wall Street Journal report that Saudi Arabia is in accelerated talks with China to accept yuan instead of dollars for oil that Beijing buys.', 'Speaking to Hadley Gamble at the Doha Forum, Al-Thani said he didn’t expect such a system to be introduced in the near term, but stressed that the economic consequences of the Ukraine war were hitting some countries hard.', '“Honestly speaking, look at what happens and the dynamics around us right now. I’m sure there are a lot of other countries who are unhappy with what’s happened and the consequences of the Ukrainian-Russian crisis, especially the economic consequences,” he said.', '“And they are going to look and explore a parallel system [of pricing oil] … going to hedge, at least, for them economically. So as we are living through a transition, this transition will not be only a political transition but it is an economic transition as well.”', 'Last week, Gal Luft, co-director of the Institute for the Analysis of Global Security, told CNBC the U.S.′ stinging economic penalties could push countries away from the dollar — the currency oil is typically priced in.', 'The sanctions include effectively freezing Russia’s central bank reserves and disconnecting Russia from the interbank messaging system, SWIFT.', '“On the one hand, you are sanctioning right and left. On the other hand, you want countries to buy your Treasurys and finance your debt. That’s not a sustainable scenario,” Luft said.', 'Qatar’s Al-Thani also said the country was “stepping up” and holding talks with European countries about boosting gas supplies.', '“We are stepping up and helping some European partners who are starting to suffer from some gas shortages … with the limited amount that we have,” he said, stressing that the majority of its gas contracts are long-term and so can’t be changed.', 'It comes as European countries seek to diversify their energy supply away from Russia – particularly gas. The EU imported 45% of its gas from Russia last year, according to the International Energy Agency.', 'On Friday, the U.S. said it was looking to work with partners — which include Qatar — to provide at least 15 billion cubic meters more of liquified natural gas to Europe this year, with that amount set to increase going forward.', 'However Al-Thani said that no one energy supplier can substitute another.', '“I think the best way forward is diversifying the source of supply,” he added. “This will be the only way forward. We are in discussion with a lot of other European countries right now, for new long-term contracts. And this discussion is just ongoing.”']"
