,title,date,content
0,Here’s why the slump in semiconductor stocks may be a sign the US economy is slowing down,2018-10-26T13:06:43+0000,"['After a raft of mixed earnings reports by semiconductor companies and some gigantic stock declines, it’s fair to ask: How bad is it? And given the chip industry’s status as one of the anchors of business investment in the economy, is the string of weak news a sign the country as a whole is headed for slower growth?', 'That question has loomed large in the stock market’s gyrations this week. A market leader AMD stock dropped 21 percent on Wednesday night before a partial recovery Thursday, and Texas Instruments fell 8.8 percent after it reported that revenue was little changed in the third quarter as growth in its crucial auto segment slipped. The Philadelphia Semiconductor Index of 30 top chip companies is down 17 percent since Labor Day, including the biggest one-day drop in a decade on Wednesday.', 'The picture isn’t unambiguous: An earnings beat from Intel late Thursday is helping to offset bad news from AMD and TI, and rival chipmaker Xilinx also beat expectations as growth in chips for 5G wireless and cloud-computing data centers offset a drop in demand for chips used in industrial and aerospace/military applications.', 'But slowing overall growth in chip sales and profits, albeit after a stellar 2017, has economists and market observers questioning whether technology investment is cresting — which, if true, would mean that the 2017 corporate tax cut is falling short of one of its most important goals.', '“IT equipment and software investment is 28 percent of total nonresidential fixed investment,” Moody’s Analytics chief economist Mark Zandi said. “Real investment spending is on track to grow 8 percent annualized in the third quarter. This is similar to the growth in 2017. So no, I don’t think the tax cuts have had any meaningful impact on IT investment.”', 'Another concern is the fallout effect on the sector amid the U.S.-China trade war and concerns around China’s economic growth. The White House implemented 10 percent taxes on $200 billion worth of Chinese imports in September. Those tariffs are set to rise to 25 percent by Jan.1 and could affect products manufactured with semiconductors.', 'For investors, one result of the chip slowdown has been falling prices for the nine major exchange-traded funds tied to semiconductor indices. The biggest, the $1.4 billion iShares PHLX Semiconductor ETF, fell 6.6 percent on Wednesday alone, according to ETF Database. The VanEck Vectors Semiconductor ETF, with $870 million in assets, posted its biggest downturn for the group since November 2008 on Wednesday. It had outflows of almost 40 percent of its assets last week.', 'Each chip company is a little bit different, based on the end market it serves, CFRA Research analyst Angelo Zino said. Texas Instruments’ bobble has raised concerns in part because of slowing growth in its automotive markets, raising concern that if automakers are buying fewer sensors for Internet connectivity in machines, they may be anticipating a slowdown in their own sales.', '“They tend to be a good barometer for the economy because their chips go into almost everything,” said Zino. “Investors have to decide if it’s a hard landing or a soft landing.”', 'For now, Zino said, he’s betting that the chip industry and TI are in for more of a soft landing than a hard fall — but that could change.', 'The rub is that TI, in particular, attributed its revenue slowdown to customers building inventories more slowly, or even reducing them — distributors, rather than companies that put chips into products, are slowing orders the most. That means the slowdown may just reflect more caution in the supply chain, rather than any major problem in markets for cars and cellphones, Zino said.', 'On the other hand, the market is worried that the chip slowdown may be an early indicator of problems that Trump’s tariff increases this year are causing, and of issues that plans to impose 25 percent levies on $200 billion of Chinese exports to the United States in January might cause later, he said. But over time, even that would be overcome by secular trends like the rise of cloud computing and the Internet of things, he added.', 'AMD tanked because fourth-quarter guidance was 9 percent below consensus estimates and 18 percent lower than Goldman Sachs’ prior expectation, Goldman analyst Toshiya Hari said in a note to clients. On big problem is the waning of the cryptocurrency craze, which cut into one high-profile market for AMD products, and the company isn’t gaining market share in cloud-computing servers as fast as some investors expected.', 'But the problems are modest enough at AMD that Goldman left its $27 price target unchanged, Hari said.', 'AMD’s expected market-share gains in data centers may simply have turned up at Intel, though. The industry’s largest company said its data-center group boosted third-quarter revenue by 26 percent, the most of any Intel business segment. Overall, Intel earned $6.4 billion in the quarter on $19.1 billion in sales, both of which topped analysts’ estimates.', '“Our full-year [revenue] outlook is now up more than $6 billion from our January expectations,” Bob Swan, Intel CFO and Interim CEO, said in a statement.', 'But the problems in automotive and industrial chip markets has chipmakers’ earnings estimates falling for the first time in three years, Morgan Stanley analyst Joseph Moore said.', '“Given the sharp declines in many stocks, we would not [initiate short positions that bet on shares to fall] right now, ” Moore said. “We remain cautious, owing to our view of weaker-than-expected growth in 2019 and the increasing likelihood for downward estimate revisions. The bigger reset [in stock prices] could potentially occur in the [first quarter of 2019] based on the timing of when the weakness in the supply chain and extent of customer-inventory reduction catches up with semi companies. ”', 'More from ETF Spotlight:Why cash could become the biggest market winner of 2018', 'How to make more money in stocks after market drops', 'The Saudi ‘oil weapon’ and the energy market: What investors need to know']"
1,Semiconductors are killing it—thanks to China,2019-04-03T21:48:43+0000,"['Semiconductors are killing it, and you can thank China. The Semiconductor ETF (SMH) is just shy of the historic high it hit a year ago, and there’s good reason for it: China.', 'The five S&P companies with the biggest exposure to China are all semiconductors. Qualcomm, Micron, Qorvo, Broadcom, and Texas Instruments all get 40% to 60% of their revenues in China.', 'Semiconductors’ China exposure, (percent of revenue)', 'Source: Factset', 'As optimism for a U.S.-China trade deal rises, so have semiconductor prices. In fact semis are the leadership group among technology and cyclicals more broadly this year, with AMD up nearly 60%, and Nvidia, Lam Research, Micron, Applied Materials and Broadcom all up 20% to 40%.', 'Semiconductors year-to-date surge', 'Not surprisingly, there has been a close relationship between semis and the China stock market itself..the Semiconductor ETF is up about 28%, and the Shanghai stock exchange is also up about 28% — the two have been moving in lockstep all year.', 'Still the markets are pricing in a lot of optimism. Broadcom, for example, is a big Apple supplier. Softness in China, where Apple gets nearly 20% of its revenues, has been a concern. This whole play is based on stabilizing demand, not just in China but also in Europe.']"
2,Cypress Semiconductor shares jump 27% following sale to Infineon,2019-06-03T06:43:32+0000,"['Infineon has agreed to buy Cypress Semiconductors in a deal valuing the U.S. chipmaker at 9 billion euros ($10.06 billion), including debt, the German company said on Monday.', 'The cash offer of $23.85 per share represents a 46% premium to Cypress’ share price over the last month, Infineon said.', 'Infineon is targeting cost synergies of 180 million euros per year by 2022 and revenue synergies of more than 1.5 billion euros in the long term. The Germany chipmaker added that it intends to finance about 30% of total transaction value with equity and remainder with debt as well as cash on hand.', 'Infineon’s share price fell 6.5% Monday to the bottom of the Stoxx 600 as investors reacted to the deal. But Infineon Chief Financial Officer Sven Schneider told CNBC’s “Street Signs Europe” Monday that the cost and revenue synergies meant the “transaction makes a lot of sense.” ', 'Cypress shares soared 27% in pre-market trade, meanwhile.', 'Schneider also highlighted that Infineon paid 4.5 times revenue for Cypress, claiming this was “in line with recent revenue multiples” in comparable deals within the semiconductor industry.', 'Schneider said the combination of the two companies would “strengthen the link between the real and the digital world,” adding that the “new Infineon” would be the eighth-largest semiconductor company in the world and is targeting 10 billion euros a year in revenue.', '—Reuters contributed to this article.']"
3,China to reportedly boost purchases of US semiconductors to alleviate trade tensions,2019-02-14T14:34:13+0000,"['China is reportedly promising to buy semiconductors and other U.S. products in an attempt to alleviate trade tensions with the U.S., according to a Wall Street Journal report Thursday.', 'The olive branch is meant to persuade President Donald Trump to extend a temporary truce over tariffs, according to the report, which cited people with knowledge of the matter.', 'The world’s largest economies are on the fourth day of high-level talks about the ongoing trade dispute. The delegation in Beijing is led by Treasury Secretary Steven Mnuchin and U.S. Trade Representative Robert Lighthizer, and their Chinese counterparts led by Vice Premier Liu He.', 'China’s top economic planning agency is floating a plan to increase U.S. semiconductor sales to China to a total $200 billion in the next six years — about a five-fold increase over current exports, the Journal reported, citing U.S. companies briefed on the plan.', 'Still, the report said U.S. and Chinese officials remain “deadlocked” on multiple topics in trade dispute. Among those lingering issues are complaints from Washington that China pressures U.S. firms to share technology and favors domestic companies at the expense of global competitors.', 'Other reports this week added to optimism of a trade deal. Trump said Wednesday that talks were “going very well” as both sides looked to reach an agreement before a looming March 1 deadline.', 'Bloomberg News reported that Trump is considering a two-month extension of that March cut-off, and the South China Morning Post reported that Chinese President Xi Jinping plans to meet with the U.S. delegates in Beijing on Friday.', '— Read the entire Wall Street Journal report here.']"
4,"Here are the biggest analyst calls of the day: Chevron, Deckers, NXP Semiconductors & more",2019-08-19T12:34:12+0000,"['Here are the biggest calls on Wall Street on Monday:', 'Barclays said it sees the company as “well positioned” to return “significant” free cash flow to shareholders.', 'Pivotal said it sees a more attractive valuation for the shoe maker following a 25 percent decline and better weather trends in the fall.', 'Mizuho downgraded the biotech company’s stock mainly on valuation.', 'Raymond James said in its initiation of NXP that it sees shipments  “below” end market consumption and that it views the semiconductor company as the “most attractive in the group.”', 'Susquehanna downgraded the gas and chemical company mainly on valuation.']"
5,"Don’t wait for the ‘all clear’ on semiconductor sales to make a bet on Texas Instruments, Cramer says",2019-04-24T22:24:50+0000,"['Don’t wait for the “all clear” on semiconductor sales to make a bet on Texas Instruments, CNBC’s Jim Cramer said Wednesday.', 'The semiconductor manufacturer has posted slowing chip sales in recent quarters, and said Tuesday it does not expect demand for chips to improve in 2019. Meanwhile, its shares reached a 52-week high during the session after beating earnings estimates by 13 cents in the last quarter.', '“The executives at Texas Instruments aren’t trying to help you time the semiconductor cycle,” the “Mad Money” host said. “They’re just trying to run the business, and that’s a very different thing.”', 'When an investor waits until he or she gets the green light to pull the trigger, the easy money will have already been made by the time it comes.', 'Instead, the wise move would be to do some homework and get ahead on the stock while the share price is less expensive.', 'But it won’t be necessary for the company to confirm that the slowdown has ended, Cramer said. On the Tuesday earnings call, Texas Instruments reported its second consecutive quarter of declining sales. The host said the chip cycle typically lasts as many as five quarters before turning around.', 'Tracking and trading Texas Instruments’ stock outside of that cycle helped Cramer pay his share of rent one summer in the 1980s as he studied for the New York bar exam.', 'Following Texas Instruments’ conference call, the stock rose $6 before giving up those gains and more after CFO Rafael Lizardi did not give that “all clear,” Cramer said. He said that was a moment to buy call options on Texas Instruments, and he still thinks the stock is a steal at its closing price above $118 per share.', '“If you wait for the cycle to actually turn, you will be way too late,” he said. “Yet, lots of people were desperate for verification from management so they dumped the stock when they didn’t get it. That’s a huge mistake.”', '“Oh, and talk about the need to be ahead: Lam Research told you last quarter a bottom could be in hand for semiconductor equipment. It crushed the numbers tonight,” he added.', 'Cramer said the same logic applied to Apple. The stock was sitting at about $140 in early January when the iPhone maker was laboring to transform itself into a subscription services business and its now-settled royalties dispute with Qualcomm was heating up.', 'Shares of Apple closed north of $207 on Wednesday after making steady gains throughout the year. A large chunk of the increase came before it reached an agreement with Qualcomm more than a week ago.', 'Cramer said investors had to be willing to take a chance and buy Apple before the deal was made in order to reap the profits, especially because Apple did not have a 5G plan without Qualcomm’s chips.', '“When the two companies reached a settlement last week, [Qualcomm stock] exploded higher — it’s still going higher — but Apple’s stock also rallied about 7 bucks,” he said. “Now, if you had waited until after the settlement, you missed some incredible moves. The big money was made before you got the all clear.”', 'The same principle applies to recent runs in Disney, Chipotle, and Home Depot, Cramer said.', 'Shares of Texas Instrument closed Wednesday at $118.43, up more than 25% from the start of the year.', '“The early bird gets the worm, people,” Cramer said. “And, in this case, the early bird is the one who knows you need to buy a stock before the underlying business turns around, while the other birds are still cowering in their nests waiting for the call that will always leave them late for dinner.”', 'Disclosure: Cramer’s charitable trust owns shares of Apple, Walt Disney, Home Depot, and Lam Research.']"
6,The next phase of semiconductor growth will not depend on smartphone sales: Tokyo Electron CEO,2018-09-14T01:28:23+0000,"['The so-called Internet of Things (IoT) and big data will drive demand in the semiconductor space and the growth cycle will be very different from previous phases, according to the CEO of Tokyo Electron.', 'The Japanese company makes the equipment needed to produce semiconductors, and boasts a market cap of about $23.83 billion.', '“As we look to the future, we believe IoT will be at the core of everything. The big data that comes out of that would determine the semiconductor demand,” Toshiki Kawai told CNBC’s Akiko Fujita in a Japanese-language interview. He added that new technologies such as artificial intelligence (AI), augmented and virtual reality and the fifth-generation of mobile networks will also influence the demand for semiconductors.', '“IoT” basically describes millions of physical devices, such as smart televisions, home appliances and cars, that are connected to the internet and can be synced so that users are able to control everything at once.', '“It’s no longer like the past when the so-called silicon cycle began and ended with the number of smartphones sold. We’re looking at a different phase of growth,” Kawai said.', 'Global semiconductor revenue in 2017 came in at $420.4 billion, registering 21.6 percent growth from a year ago, according to research firm Gartner. That growth came mostly from the memory chip market, where insufficient supply drove prices higher.', 'But analysts and investors have predicted that the semiconductor sector is due for a significant decline because of falling memory chip prices, a build-up in inventory levels and a slowdown in demand from high-growth industries. The major drivers of demand for memory chips are smartphones, computers and data centers. Recently, one analyst noted that demand in each of those segments had worsened substantially and, as a result, led to a build up of inventories for suppliers.', 'There’s also some concern about the ongoing trade war between the United States and China. Kawai said that there hasn’t been any impact yet on Tokyo Electron as a result of the trade conflict, but the company will continue to monitor developments, especially those that could affect it in the short-term.', 'Another worry for major chip makers is that a number of technology companies are already working on making their own processors that can run artificial intelligence software. Those include the likes of Alphabet, Facebook, Apple and Alibaba.', 'For Tokyo Electron, which produces the equipment and technology those companies would need to build their own chips, the opportunity is attractive, according to Kawai.', '“We believe AI will grow on average 67 percent between 2017 and 2022,” he said, adding that artificial intelligence is “ripe with areas for innovation where our production equipment and semiconductor-producing technology will be utilized.”']"
7,"A significant decline in the semiconductor sector is inevitable, says tech expert",2018-09-11T04:10:20+0000,"['The semiconductor sector is due for a significant decline soon — with or without the brewing trade war between the U.S. and China, a tech analyst from CLSA said.', 'The ongoing tariff battle between the two economic powerhouses has had some impact on demand but there are already warning signs of an impending slowdown, Sebastian Hou, a semiconductor investment analyst at the brokerage and investment group told CNBC at the CLSA Investors’ Forum in Hong Kong.', 'Those signs include a decline in memory chip prices, a build-up in inventory levels and a slowdown in demand from high-growth areas such as data center servers, automotive and industrial, he said.', '“In terms of the trade war impact, certainly there is some impact on the potential on the demand side but even without the trade war, in fact, the sector is going to go through this correction because (of) very high inventory across the supply chain,” Hou added.', 'A correction is normally defined as a decline of 10 percent or more for the price of a financial asset.', 'Other analysts have made similar predictions in recent weeks. Morgan Stanley analyst Shawn Kim noted, after conversations with semiconductor buyers and sellers, that the environment for the memory market has become increasingly negative.', 'Some experts predicted that trade tariffs could worsen the situation by taking up to 25 percent of semiconductor earnings.', 'Global semiconductor revenue in 2017 came in at $420.4 billion, registering a 21.6 percent growth from a year ago, according to research firm Gartner. That growth came mostly from the memory chip market where undersupply drove prices higher.', 'Gartner predicted in January that worldwide semiconductor revenue will return to single-figure growth in 2018 “before a correction in the memory market results in revenue declining slightly in 2019.”', 'Hou’s predictions for growth in the market were similar.', '“Starting from the fourth quarter this year to fourth quarter next year, ... some quarters, some months, we’re likely to see negative year-over-year growth of semiconductor,” he said. Hou said he expects close to zero percent growth in the sector for 2019.', 'Developments in new technologies — such as artificial intelligence, the fifth-generation of mobile networks and the so-called Internet of Things — could ultimately see demand in the semiconductor industry pick up again.', 'However, Hou urged caution over developments in those technologies.', '“A lot of them are still in the infant and early stage, so people have very high expectation(s),” he said. “I think that explains in the overbooking in the supply chain, that’s why there’s a lot of the inventory.” Once the cyclical downturn in the sector ends, the semiconductor industry might even grow at a faster pace due to demand from various new applications, Hou predicted.', 'But the outlook may not be very positive for many of the existing chip makers that dominate the market, including Samsung Electronics, Intel, SK Hynix and Micron Technology. That’s because many of the major technology and internet companies are making their own memory chips to put into products and data centers.', 'Those companies “want to optimize their performance to differentiate themselves, so they have incentive to do that,” Hou said, adding it’s a paradigm shift in the sector, where incumbents would see their market share shrink over the next five to 10 years.']"
8,"Inside Rivian’s EV plant and CEO RJ Scaringe’s strategy for growth, lower-priced EVs and competing with Tesla",2022-04-18T10:51:11+0000,"['NORMAL, Ill. – Rivian Automotive CEO Robert Scaringe hops out of one of the automaker’s R1T electric pickups outside of the company’s plant in central Illinois as a man chants, “R.J., R.J.!”', 'Scaringe, who goes by those initials, turns to the male employee who thanks him for the job at Rivian’s massive plant. The company’s 39-year-old founder reciprocates the appreciation and offers a handshake before heading into a meeting with suppliers.', 'The acknowledgement was one of many from employees that included fist-bumps, waves and other cordialities during a recent half-day visit to the plant with media and Scaringe, whose daily office is inside the former Mitsubishi Motors facility.', 'They’re pleasantries, but also signs of confidence in the CEO in the face of daunting challenges for the electric vehicle maker.', 'Wall Street has likewise applauded Scaringe, who founded the company in 2009 and brought it public through a blockbuster IPO in November. Most notably, Morgan Stanley lead auto analyst Adam Jonas dubbed Rivian as “the one” to be able to compete against EV industry leader Tesla.', 'But Rivian, like the rest of the automotive industry, is facing massive supply disruptions and has internally experienced expected, but still problematic, production snags that caused it to miss its production expectations last year.', 'The company’s stock price is off by more than 60% this year, as investors look for safer ground than an EV start-up amid recession fears.', 'Scaringe is aware of such problems but, like he has for more than a decade, remains focused on the mission at hand: to prove the company’s worth by actually producing vehicles, an ironic differentiator for the industry that separates Rivian from an influx of new EV start-ups in recent years. Rivian is currently producing the electric R1T pickups as well as Amazon delivery vans and some R1S SUVs.', 'Here’s what Scaringe had to say on the company’s production, parts shortages and more.', 'Scaringe said Rivian remains “really confident” it can produce 25,000 vehicles, including van and R1 models, in 2022. That estimate is down from initial expectations of about 50,000 vehicles, slashed by supplier disruptions.', 'Scarcity in semiconductor chips, a shortage the auto industry has been battling for more than a year now, and wire harnesses, which act as the nerves of a vehicle, poses the biggest hurdles for the company. Both are critical components in vehicles.', '“The vast majority of our vehicle is not having supply chain constraints. It’s just a small percentage,” Scaringe said. “It doesn’t take more than one part to stop the production.”', 'Scaringe doesn’t expect semiconductor supplies to normalize until next year. He, along with every other executive in the automotive industry, is regularly in contact with suppliers attempting to source, produce and ship as many parts as possible.', 'For Rivian, that includes having some of its employees on-site at the facilities of their suppliers in an attempt to assist production.', '“We don’t have a demand challenge at all. We have a ‘can we create enough vehicles’ challenge?” he told CNBC after a tour of the vehicle plant. “We have a supply chain problem. It’s frustrating, but we’re going to get through that.”', 'Rivian declined to disclose how many Amazon delivery vans the company has built, but dozens were waiting outside of the facility, ready to be delivered, and plenty more were being assembled inside.', 'The electric vans are expected to be a crucial part of Rivian’s growth. The first vans go to Amazon, Rivian’s largest shareholder with a 20% stake, followed eventually by deliveries to other companies.', 'Rivian says the vans can be produced faster than the consumer R1T and R1S vehicles because they have fewer features. They also go through fewer processes at the plant. For example, the painting of the vans – a tedious and long process – takes two hours less than paint jobs for the other vehicles.', 'Victor Taylor, senior director of stamping, body and plastic for the company, also noted there’s less complexity and time needed for the vans in the body shop.', 'Rivian, to the dismay of reservation holders, increased prices for its vehicles last month due to higher commodity costs. The company quickly rolled back the increases for its 70,000-some existing reservation holders but said it would hold to the updated pricing for new reservations made as of March 1.', 'The increases make the starting prices of the vehicles $67,500 for the R1T and $72,500 for the R1S. At those prices, both are considered luxury vehicles rather than mainstream models.', 'Scaringe said the company plans to produce lower-priced vehicles on its next-generation EV platform. Those vehicles will be manufactured at a planned $5 billion plant in Georgia, which is expected to come online in 2024.', 'Much like other automakers, Rivian also plans to maximize profits and increase performance of current models, according to Scaringe.', 'It’s the beginning of the end of fossil fuel-powered consumer vehicles — as far as Scaringe is concerned. The 39-year-old believes production and sales of such vehicles will come to an end in his lifetime, sooner rather than later.', 'Without putting an exact date on it, Scaringe said the end of that era is likely closer to 20 years from now rather than 50 years, with companies forced to move way from fossil fuels out of necessity as well as potential pressures from Wall Street and regulators.', '“Most countries around the world will stop selling gas engine-powered cars. The scale of the shift is hard to fully appreciate,” he said. “The challenge is whether it’s driven by policy or not. The businesses that are going to survive are the ones that recognize that the end state for combustion is zero.”', 'Rivian is among a flurry of EV start-ups to have gone public in recent years, but the company’s competitors have done so through deals with special purpose acquisition companies, or SPACs. Rivian held a traditional and more direct initial public offering.', 'Many companies that went the SPAC route have faced financial problems or received inquiries from the U.S. Securities and Exchange Commission into their deals to go public or other business matters.', 'Scaringe believes some of those companies won’t be competitors Rivian needs to worry about for much longer.', '“As the financial markets shifted from a growth orientation to more sort of a value orientation, I think a lot of those really underfinanced SPACs and companies like that are going to slowly start disappearing,” he said. “They’re going to run out of capital.”', 'Tesla CEO Elon Musk recently said the car company would make a “dedicated robotaxi.” He didn’t offer a timeframe or any additional details beyond saying it would “look futuristic” and be fully self-driving, something the company has not achieved despite the name of its “Full Self-Driving” (FSD) driver-assist feature.', 'Rivian has not announced plans for similar vehicle, and Scaringe wouldn’t comment on a counterpart directly. But he said the company will “offer lots of different products in the future.”', 'Scaringe, who moved from Southern California to near the 3.3 million-square-foot plant, is known as a driven, level-headed planner who typically lets his actions speak louder than his words (or tweets). It’s a different style from Musk, though both are considered extremely detail-oriented and ambitious leaders.', 'Rivian became the first automaker to begin mass production of an all-electric pickup truck last year, beating to market Tesla and longtime segment leaders General Motors and Ford Motor, which holds a roughly 12% stake in Rivian.', 'GM started shipping its GMC Hummer EV pickup in December, months after Rivian launched the R1T. Ford is expected to soon begin shipping an electric version of its F-150 pickup, called the F-150 Lightning, followed by Tesla’s long-delayed Cybertruck, which is planned to go into production next year.', 'While there have been many comparisons of the Rivian R1T to the other electric pickups, Scaringe isn’t bothered by the competition. He actually welcomes it, for now. He believes there’s currently more than enough demand to fulfill EV pickup production in the near term.', '“Humans have an infatuation with winners and losers, like everything in life has to be a zero-sum game,” he said. “I really just don’t see it that way. ... I look at it as I hope Hummer’s wildly successful. I truly do. I hope Lightning’s wildly successful, and I hope we’re wildly successful. And I think all three of those can happen from an intellectual honesty point of view.”']"
9,Chips down: China aims to boost semiconductors as trade war looms,2018-04-20T11:11:03+0000,"['China has long pushed the development of top-end semiconductors as a key strategic objective.', 'Now, as a trade war with the United States looms, a government decision to accelerate the development of the domestic chip industry underlines how far those goals have fallen short.', 'Senior Chinese officials are increasingly concerned about stalling efforts to improve domestic chip design, seen as critical after a series of failed outbound deals, according to two industry insiders familiar with the matter.', 'Closing the quality gap with U.S. chipmakers has become a matter of urgency in Beijing.', 'Senior government officials met this week to discuss how to speed up chip development in light of brewing trade tensions with the United States, Reuters reported on Thursday.', 'China has made chip development a key plank of its Made in China 2025 drive to bolster its strength in technology against more developed rivals in the United States, Japan, and Europe. The government wants local chips to make up at least 40 percent of China’s semiconductor needs by the middle of the next decade.', 'However, Chinese chipmakers are struggling to hit key targets, industry insiders say.', 'Domestic chipmakers have been stymied by the blocking of a series of chip-related deals overseas, and are having trouble attracting talent and overcoming technical hurdles in developing higher-end domestic chips.', 'A Chinese deal for the U.S. semiconductor testing company Xcerra was shot down by a U.S. national security panel in February, while the $1.3 billion acquisition of the U.S. chipmaker Lattice Semiconductor was blocked last year.', '“There was earlier a belief that the technology would be easier to develop, or that it could be acquired from overseas,” said a supplier to one of China’s top state-backed integrated circuit chip firms. “Now we’re seeing that it’s not the case.”', '“The projects are efficient and there is a lot of funding support,” the person added, but “there are more problems to solve than they initially thought.”', 'These delays came into sharp relief this week after the United States imposed a seven-year ban on sales by American companies to the Chinese phone maker ZTE Corp — a move that threatens to cut off its supply chain.', 'ZTE, which relies heavily on U.S. chips, said on Friday the ban was unfair and threatened its survival.', 'Interviews with half a dozen China chip suppliers, business groups, investors, and analysts suggest that despite heavy investment and rhetoric, China is behind schedule in developing high-end chips, or integrated circuits. China has made more progress on lower-end chips, people said.', '“The reason why chip technology has experienced such limited progress despite years of advocacy is that the Chinese system has not yet formed a key driving force for it,” China’s Global Times newspaper said in an editorial on Friday.', 'The country’s leaders, rattled by the trade frictions with the United States and the ZTE case, are now looking to double down on investment into research and development of domestically-designed chips, the two people said.', 'The state-backed National Integrated Circuit Investment Fund will step up spending on domestic chip design versus other areas such as financing overseas deals, the people added.', 'The “Big Fund”, which closed a new round of funding worth an estimated $32 billion last month, will dedicate around a quarter of the new funds to integrated circuit design, they added.', 'One design challenge faced by Chinese companies is catching up in a short timeframe with rivals who have been developing increasingly complex technology for decades.', 'China’s Ministry of Industry and Information Technology and the National Integrated Circuit Investment Fund did not respond to faxed requests for comment on Friday.', 'U.S. regulators have cracked down on acquisitions of overseas semiconductor assets by Chinese state-backed companies - an effort spanning the Obama and Trump administrations — over fears that Beijing’s state-subsidized efforts would undermine U.S. supremacy in semiconductor technology.', 'China says the aggressive policy is needed to reduce dependence on foreign-made chips. China imported $227 billion worth of integrated circuits in 2016, more than for imports of crude oil, iron ore, and primary plastics combined.', 'These chips go into smartphones, computers and other electronic devices, as well as high-end industrial and military products.', 'Beijing is now seeking to relieve pressure on priority chip products by cutting corporate taxes for up to five years, officials said this month. Companies are also spending heavily to tap foreign resources as well as engineers from overseas competitors, analysts say.', '“It’s not uncommon for engineers to get a salary that is five times what they are paid in Korea or Taiwan if they work in China,” said a Korean chip engineer who now works in China with the domestic semiconductor industry.', '“The bonuses are large” and if you can recruit others “there are very big incentives,” the person said. He declined to be named because of the sensitivity of the matter.', 'Jeter Teo, Taipei-based research director at the tech analytics consultancy Trendforce, said China was aggressively looking to attract talent, though still had less than half the 700,000 semiconductor experts it needed to really compete.', 'While China has managed to attract many experts in the semiconductor field, analysts say, others are deterred by clauses in some contracts limiting job mobility and the challenges of moving families to China.', '“There is no doubt companies will catch up eventually,” the Chinese chip supplier source said, referring to Chinese firms.', 'But “they must develop at double the speed of overseas companies, otherwise they will always be a generation behind,” the source said.']"
