,title,date,content
0,Copper jumps to highest level in nearly 10 years. Wall Street pros believe there’s more upside,2021-04-26T15:38:53+0000,"['Copper rose to its highest level in nearly a decade on Monday, as a jumpstart in global manufacturing pushes demand for the metal higher.', 'Copper advanced more than 1% to trade at $4.4265 per pound — its highest level since August 2011 — after turning in three straight weeks of gains.']"
1,"India reports record Covid cases for a fifth straight day with more than 350,000 new infections",2021-04-26T06:07:24+0000,"['India reported a record number of Covid-19 cases for the fifth straight day on Monday while the official death toll also jumped.', 'Official data showed there were 352,991 new reported cases over a 24-hour period as total infection numbers crossed 17 million.', 'At least 2,812 people died which pushed the total death toll to over 195,000 — media reports suggest that the official death rate is likely undercounted.', 'Prime Minister Narendra Modi’s government has faced criticism for allowing large crowds to gather for religious festivals and election rallies in various parts of the country this year. Prior to the second wave, India had on average around 10,000 new cases daily.', 'But so far in April alone, the South Asian nation has reported more than 5 million new cases, sending the country’s health care system to the brink.', 'Hospitals have run out of beds and are turning away even critically ill patients. There is a severe oxygen supply shortage, partly due to uneven distribution across states. That has led to the deaths of many Covid-19 patients as the government scrambles to send supplies to the worst-hit states by road, rail and air.', '“It has put a huge stress on the health care infrastructure, the supplies, oxygen because of the fact that the quantum of materials required has gone four times what it was in the first wave,” Naresh Trehan, chairman at Medanta hospital, told CNBC’s “Street Signs Asia” on Monday.', '“We are struggling, actually, to cope with all that,” he said, adding measures are being taken to create more beds and ramp up the production of more personal protective equipment and medicines. But India’s “weak point” is the shortage in medical-grade oxygen required.', 'The international community responded with promises to send India desperately needed aid.', 'The United States will send raw materials required for India to ramp up manufacturing of AstraZeneca’s vaccine locally, as well as therapeutics, rapid diagnostic test kits, ventilators and protective equipment. It will also send a team of public health advisors to India from the Center for Disease Control and USAID.', 'That came after the United Kingdom, France and Germany pledged aid over the weekend. European Commission President Ursula von der Leyen said on Twitter that the European Union is “pooling resources to respond rapidly to India’s request for assistance via the EU Civil Protection Mechanism.”', 'Last week China’s foreign ministry said Beijing is “in communication” with New Delhi and that it is “ready to provide support and help according to India’s need.”', 'Singapore state investor Temasek said on Sunday that it partnered with Air India and Amazon India to airlift medical equipment such as oxygen concentrators and ventilators from the city-state. The medical supplies were sent to the financial capital of Mumbai in Maharashtra and the eastern state of West Bengal, where cases are rising.', 'Big Tech firms like Microsoft and Google have also publicly pledged to help.', 'Corporate India has also stepped up efforts to help the country secure medical supplies to ease the strain on the health care infrastructure.', 'Indian media reported that billionaire Mukesh Ambani’s Reliance Industries will produce over 700 tonnes of medical-grade oxygen per day at one of its oil refineries. It would reportedly be given to worst-hit states for free.', 'Tata Group said last week it will import 24 cryogenic containers, which are also reportedly in short supply, to transport liquid oxygen. Meanwhile Jindal Steel and Power said it will supply 500 metric tonnes of liquid oxygen to hospitals that urgently need them.', 'Indian social media users have also taken to the platforms to coordinate availability and access to medical supplies, oxygen cylinders and other forms of aid.']"
2,"Surrounded by trees and with 1,200 solar panels, this Norwegian building could change how we think about factories",2020-07-03T13:02:18+0000,"['From cars to tables and computers to radios, factories manufacture a host of products integral to modern life. In many cases these facilities can be energy intensive and, if we’re being honest, not very pleasing to look at.   As concerns about sustainability and the environment mount, however, a number of firms are attempting to reduce the impact of their operations with factories and offices using clever design, interesting materials and renewable sources of energy.', 'Earlier this week, designs for a new furniture factory in Norway were released, with the firms involved in its development hoping it will be sustainable, aesthetically pleasing and technologically advanced.', 'Known as The Plus, the 6,500-meter-squared building will be located in Magnor, Norway and surrounded by trees, with the site also functioning as a 300-acre park.', 'The architecture practice involved with the project’s design is the  Bjarke Ingels Group (BIG) and their client is Vestre, a Norwegian furniture manufacturer established in 1947. Construction work is due to start in August and when finished, the facility will be home to a range of sustainable features. According to BIG — which has offices in Copenhagen, New York, Barcelona and London — the building’s façade will be formed of local timber, recycled reinforcement steel and low-carbon concrete, while 1,200 solar panels will be installed on its roof. Overall, it’s hoped that greenhouse gas emissions from The Plus will be 50% less compared to a conventional factory.', 'A dedicated website outlining the plans for the building states that more than 90% of water used in production will be recycled. It adds that the factory will use “self-learning industrial robots” and driverless electric trucks. The robots will, according to the site, be able to apply color coatings to products using artificial intelligence and “object recognition” technology.', 'The Plus is one of many sustainability-focused buildings currently in development. Drinks giant Diageo recently announced plans for a carbon-neutral whiskey distillery in Kentucky.', 'In a statement issued Monday, Diageo, which produces drinks including Johnnie Walker, Smirnoff and Guinness, listed a number of features that it hopes will boost the sustainability of the distillery and its operations.', 'These include: the facility running on 100% renewable electricity; the use of LED bulbs indoors to boost energy efficiency; and all vehicles operated there being electric.', 'Meanwhile, last week, Australian tech firm Atlassian unveiled plans to construct what it described as “the world’s tallest hybrid timber building.”', 'The design will incorporate timber and a façade of glass and steel that will also use solar panels and have “self-shade capabilities.” Plans are also in place for a staggered outdoor garden to be integrated into the structure.', ' ']"
3,Billions in US solar projects have been shelved after Trump panel tariff,2018-06-07T10:18:22+0000,"['President Donald Trump’s tariff on imported solar panels has led U.S. renewable energy companies to cancel or freeze investments of more than $2.5 billion in large installation projects, along with thousands of jobs, the developers told Reuters.', 'That’s more than double the about $1 billion in new spending plans announced by firms building or expanding U.S. solar panel factories to take advantage of the tax on imports.', 'The tariff’s bifurcated impact on the solar industry underscores how protectionist trade measures almost invariably hurt one or more domestic industries for every one they shield from foreign competition. Trump’s steel and aluminum tariffs, for instance, have hurt manufacturers of U.S. farm equipment made with steel, such as tractors and grain bins, along with the farmers buying them at higher prices.', 'White House officials did not respond to a request for comment.', 'Trump announced the tariff in January over protests from most of the solar industry that the move would chill one of America’s fastest-growing sectors.', 'Solar developers completed utility-scale installations costing a total of $6.8 billion last year, according to the Solar Energy Industries Association. Those investments were driven by U.S. tax incentives and the falling costs of imported panels, mostly from China, which together made solar power competitive with natural gas and coal.', 'The U.S. solar industry employs more than 250,000 people — about three times more than the coal industry — with about 40 percent of those people in installation and 20 percent in manufacturing, according to the U.S. Energy Information Administration.', '“Solar was really on the cusp of being able to completely take off,” said Zoe Hanes, chief executive of Charlotte, North Carolina solar developer Pine Gate Renewables.', 'GTM Research, a clean energy research firm, recently lowered its 2019 and 2020 utility-scale solar installation forecasts in the United States by 20 percent and 17 percent, respectively, citing the levies.', 'Officials at Suniva — a Chinese-owned, U.S.-based solar panel manufacturer whose bankruptcy prompted the Trump administration to consider a tariff — did not respond to requests for comment.', 'Companies with domestic panel factories are divided on the policy. Solar giant SunPower Corp. opposes the tariff that will help its U.S. panel factories because it will also hurt its domestic installation and development business, along with its overseas manufacturing operations.', '“There could be substantially more employment without a tariff,” said Chief Executive Tom Werner.', 'The 30 percent tariff is scheduled to last four years, decreasing by 5 percent per year during that time. Solar developers say the levy will initially raise the cost of major installations by 10 percent.', 'Leading utility-scale developer Cypress Creek Renewables said it had been forced to cancel or freeze $1.5 billion in projects — mostly in the Carolinas, Texas, and Colorado — because the tariff raised costs beyond the level where it could compete, spokesman Jeff McKay said.', 'That amounted to about 150 projects at various stages of development that would have employed three thousand or more workers during installation, he said. The projects accounted for a fifth of the company’s overall pipeline.', 'Developer Southern Current has made similar decisions on about $1 billion of projects, mainly in South Carolina, said Bret Sowers, the company’s vice president of development and strategy.', '“Either you make the decision to default or you bite the bullet and you make less money,” Sowers said.', 'Neither Cypress Creek nor Southern Current would disclose exactly which projects they intend to cancel. They said those details could help their competitors and make it harder to pursue those projects if they become financially viable later.', 'Both are among a group of solar developers that have asked trade officials to exclude panels used in their utility-scale projects from the tariffs. The office of the U.S. Trade Representative said it is still evaluating the requests.', 'Other companies are having similar problems.', 'Scott Canada, senior vice president of renewable energy at solar project builder McCarthy Building Companies, said his company had planned to employ about 1,200 people on solar projects this year but slashed that number by half because of the tariff.', 'Pine Gate, meanwhile, will complete about half of the 400 megawatts of solar installations it had planned this year and has ditched plans to hire 30 permanent employees, Hanes said.', 'The company also withdrew an 80-megawatt project that would have cost up to $150 million from consideration in a bidding process held by Southern Co. utility Georgia Power. It pulled the proposal late last year when it learned the Trump administration was contemplating the tariff.', '“It was just not feasible,” Hanes said.', 'For some developers, the tariff has meant abandoning nascent markets in the American heartland that last year posted the strongest growth in installations. That growth was concentrated in states where voters supported Trump in the 2016 presidential election.', 'South Bend, Indiana-based developer Inovateus Solar, for example, had decided three years ago to focus on emerging Midwest solar markets such as Indiana and Michigan. But the tariff sparked a shift to Massachusetts, where state renewable energy incentives make it more profitable, chairman T.J. Kanczuzewski said.', 'Other developers are forging ahead, keen to take advantage of the remaining years of a 30-percent federal tax credit for solar installation that is scheduled to start phasing out in 2020.', 'Some firms saw the tariff coming and stockpiled panels before Trump’s announcement. 174 Power Global, the development arm of Korea’s Hanwha warehoused 190 megawatts of solar panels at the end of last year for a Texas project that broke ground in January.', 'The company is paying more for panels for two Nevada projects that start operating this year and next, but is moving forward on construction, according to Larry Greene, who heads the firm’s development in the U.S. West.', 'Intersect Power, a developer that cut a deal last year with Austin Energy to provide low-cost power to the Texas capital city, is also pushing ahead, said CEO Sheldon Kimber. But the tariff is forcing delays in buying solar panels.', 'The 150-megawatt project is due to start producing power in 2020. Waiting until the last minute to purchase modules will allow the company to take advantage of the tariff’s 5-percent annual reductions, he said.', 'Trump’s tariff has boosted the domestic manufacturing sector as intended, which over time could significantly raise U.S. panel production and reduce prices.', 'Panel manufacturers First Solar and JinkoSolar, for example, have announced plans to spend $800 million on projects to increase panel construction in the United States since the tariff, creating about 700 new jobs in Ohio and Florida. Just last week, Korea’s Hanwha Q CELLS joined them, saying it will open a solar module factory in Georgia next year, though it did not detail job creation.', 'SunPower Corp., meanwhile, purchased U.S. manufacturer SolarWorld’s Oregon factory after the tariff was announced, saving that facility’s 280 jobs. The company said it plans to hire more people at the plant to expand operations, without specifying how many.', 'But SunPower has also said it must cut up to 250 jobs in other parts of its organization because of the tariffs.', 'Jobs in panel manufacturing are also limited due to increasing automation, industry experts said.', 'Heliene — a Canadian company in the process of opening a U.S. facility capable of producing 150 megawatts worth of panels per year — said it will employ between 130 and 140 workers in Minnesota.', '“The factories are highly automated,” said Martin Pochtaruk, president of Heliene. “You don’t employ too many humans. There are a lot of robots.”']"
4,Trump team readies for NAFTA fight over making goods in America,2017-09-22T14:20:09+0000,"['As negotiators from Canada, Mexico and the United States head to Ottawa this weekend for a third round of North American Free Trade Agreement talks, the Trump administration is releasing data it says proves the playing field is tilted against American manufacturers.', 'A Commerce Department  report released on Friday contains data showing the United States is playing a diminished role in manufacturing products that are bought and sold around the continent. Meanwhile, countries outside of North America — like China — are capitalizing on Nafta’s weak rules and benefiting from the trade agreement, the report said.', 'The administration’s report is expected to dominate Nafta discussions over so-called “rules of origin.” Those rules govern how much of a good must be produced in North America to qualify for Nafta’s zero tariffs on many products.', 'More from New York Times: Facebook’s Frankenstein momentMegyn Kelly is ready for her morning closeupIn Germany, blue-collar jobs provide bulwark to populism', 'The United States is expected to push for raising those limits. Negotiators also appear poised to argue for a new requirement on how much of those goods need to be made in the United States.', 'Current thresholds vary for different products, but are aimed at ensuring that North American workers receive most of Nafta’s benefits.', 'The rules for automobiles, for example, require 62.5 percent of the value of a car must be manufactured in Canada, Mexico or the United States for the automobile to move between the countries, duty-free. That means a car could source up to 37.5 percent of its value from a country like China and still be eligible for preferential treatment under Nafta.', 'These requirements have become one of the biggest areas of conflict in the Nafta debate, particularly for American negotiators who are seeking to fulfill one of President Trump’s biggest campaign promises: Remaking trade agreements to revive American manufacturing.', 'Since 1994, Nafta has knit the North American economy together by lowering the barriers that companies face when they ship products across borders. While most studies suggest the deal has had a modest overall effect on the United States economy, it has encouraged companies to reorganize their supply chains by moving lower-cost operations to Mexico. And it has become a huge source of controversy, with Mr. Trump describing it as the “worst trade deal ever made.”', 'The president and his advisers argue that the pact has created a “back door” for foreign products. They say that the deal currently allows raw materials or components to be shipped into North America from elsewhere and incorporated into manufactured goods, like cars or electronics, that can then be shipped among Canada, Mexico and the United States without paying import duties.', 'In its report, the Commerce Department said that the share of American-produced content in manufactured goods imported by the United States from Mexico fell from 26 percent in 1995, shortly after Nafta was signed into law, to 16 percent in 2011. The share of United States content in imports from Canada, meanwhile, fell from 21 percent in 1995 to 15 percent in 2011. Imports from Asia, and especially China, helped make up the difference.', 'The same trend was visible in motor vehicles and, to a lesser extent, basic metals like steel and aluminum, the report said.', 'The report does not mention any economic factors outside of the United States. In the same time period, Chinese manufacturing and trade surged, as the country modernized and joined the World Trade Organization in 2001.', '“We cannot forget that the point of a free-trade agreement is to advantage those within the agreement — not to help outsiders,” Commerce Secretary Wilbur Ross wrote in an accompanying op-ed that was  published on Thursday by The Washington Post. “Instead, Nafta has provided entry into a bigger market for outside countries, and the United States is paying the price.”', 'On Saturday, negotiators from the three Nafta countries will gather in Ottawa, the Canadian capital, to begin five days of talks. Rules of origin are expected to be discussed, and potentially also labor rights, government purchasing guidelines and methods of resolving trade disputes.', 'The Trump administration may have a tough time convincing Canadian and Mexican negotiators, who have said they are not in favor of country-specific rules of origin. And it could also face opposition within the United States.', 'Some groups, like  the United Steelworkers Union, say the administration is right to fight for higher levels of American-made goods. Big businesses, however, mostly disagree. Groups like the U.S. Chamber of Commerce and the National Association of Manufacturers argue that Nafta already has some of the highest rules of origin requirements of any trade deal.', 'Among their concerns is that raising thresholds to higher levels could ultimately push manufacturing out of the United States altogether. As the thresholds for how much content must be made in America rise, it becomes more expensive and complicated for companies to source their parts within North America.', 'At some point, a company may decide it is more cost-effective to produce cars in China and simply pay a penalty to export the entire vehicle to the United States. For imported cars, the tariff is relatively low, at 2.5 percent – suggesting the administration may not have that much space to raise rules of origin before businesses just start paying the tariff instead.']"
5,How Trump’s tariffs may hit your wallet,2018-03-17T19:46:27+0000,"['President Donald Trump’s tariffs may come at a cost to foreign aluminum and steel producers, but higher costs will likely hit consumers in the wallet, too.', '“A tariff is essentially a tax, for all intents and purposes,” Stifel Financial’s chief economist Lindsey Piegza told CNBC recently. Some economists expect producers will find a way to pass the extra costs along to consumers, primarily in the form of higher product prices.', 'The tariffs, expected to start late next week, will bring a 25 percent increase in steel and 10 percent on aluminum imports.', '“We really do expect price increases on aluminum and steel specifically, but we’re also looking for cost increases in all products that heavily rely on (them) as a productive input, ” Piegza said to CNBC’s “On The Money” in an interview.', 'When Trump’s policy decision was announced earlier in March, Commerce Secretary Wilbur Ross told CNBC the tariffs were “no big deal” and would have a “trivial” impact on prices. To make his point, the billionaire brandished a can of soup on air, saying the tariffs would only have a marginal impact on consumers.', 'Piegza, however, took the opposite view. ', '“From a consumer standpoint, pop can makers, soup can makers, beer manufacturers, we do expect an increase in price about two to six cents per unit,” the economist told CNBC.', 'While that probably won’t be high enough to deter the purchase of a six pack of beer or soda, Piegza added: “If this is passed on directly to the consumer, it can easily sway them from making certain purchases on a daily or monthly basis. When you talk about this on an annual pace, that’s hundreds of millions of dollars.”', 'The protection of U.S. jobs was a primary goal when Trump announced his intention to implement these tariffs, but Piegza sees the potential for loss as offsetting the possible gain.', '“You are talking about a couple hundred thousand jobs that certainly will see increased protection,” Piezga said, pointing to domestic steel and aluminum workers. “On the other hand, you’re talking about increasing prices and potentially squeezing out workers from other sectors , there you’re talking about millions of workers. ”', 'Beyond protecting jobs and trying to negotiate better deals with trading partners, the president has another stated goal in implementing aluminum and steel tariffs.', '“There is a national security component here,” Piegza told CNBC.', '“We do want to make sure we do have a minimal manufacturing base here in the U.S., to protect domestic interests, particularly during a wartime economy,” she said. “So it is important we have certain protections in place.”', 'On the Money airs on CNBC Saturday at 5:30 am ET, or check listings for air times in local markets. ']"
6,The US economy suddenly looks like it’s unstoppable,2018-06-01T16:33:27+0000,"['In the face of persistent fears that the world could be facing a trade war and a synchronized slowdown, the U.S. economy enters June with a good deal of momentum.', 'Friday’s data provided convincing evidence that domestic growth remains intact even if other developed economies are slowing. A better-than-expected nonfarm payrolls report coupled with a convincing uptick in manufacturing and construction activity showed that the second half approaches with a tail wind blowing.', '“The fundamentals all look very solid right now,” said Gus Faucher, chief economist at PNC. “You’ve got job growth and wage gains that are supporting consumer spending, and tax cuts as well. There’s a little bit of a drag from higher energy prices, but the positives far outweigh that. Business incentives are in good shape.”', 'The day started off with the payrolls report showing a gain of 223,000 in May, well above market expectations of 188,000, and the unemployment rate hitting an 18-year low of 3.8 percent. ', 'Then, the ISM manufacturing index registered a 58.7 reading — representing the percentage of businesses that report expanding conditions — that also topped Wall Street estimates. Finally, the construction spending report showed a monthly gain of 1.8 percent, a full point higher than expectations.', 'Put together, the data helped fuel expectations that first-quarter growth of 2.2 percent will be the low-water point of 2018.', '“May’s rebound in jobs together with yesterday’s report of solid income growth and the rise in consumer confidence points to the economy functioning very well,” the National Retail Federation’s chief economist, Jack Kleinhenz, said in a statement. “Solid fundamentals in the job market are encouraging for retail spending, as employment gains generate additional income for consumers and consequently increase spending.”', 'The most recent slate of widely followed barometers could see economists ratchet up growth expectations.', 'Already, the Atlanta Fed’s GDPNow tracker sees the second quarter rising by 4.8 percent. While the measure also was strongly optimistic on the first quarter as well, at one point estimating 5.4 percent growth, other gauges are positive as well. CNBC’s Rapid Update, for instance, puts the April-to-June period at 3.6 percent.', 'Andrew Hunter, U.S. economist at Capital Economics, said the ISM number alone is consistent with GDP growth of better than 4 percent, though he thinks the second quarter will be in the 3 percent to 3.5 percent range.', '“With global growth set to hold up fairly well in the near term, this suggests that manufacturing activity should continue to expand at a solid pace,” Hunter said in a note. “That said, if the Trump administration continues to pursue protectionist policies and provoke retaliation from other countries, the export-focused manufacturing sector would be most exposed.”', 'Indeed, there are a spate of headwinds still out there, and trade continues to top the list.', 'The White House’s decision this week to forge ahead with steel and aluminum tariffs stoked fears that the administration could be its own worst enemy on the road to 3 percent-plus growth. While the tariffs themselves are expected to have minimal economic impact on their own, fears remain that they could spark retaliatory measures and, ultimately, an all-out trade war.', 'Exports make up just 12.4 percent of the U.S. economy, but S&P 500 companies generate about 43 percent of their sales internationally. That’s why markets tend to recoil every time the administration saber rattles about tariffs.', 'Still, manufacturers remain largely upbeat.', 'Respondents to the ISM survey released Friday relayed mostly positive sentiments. One typical statement, from an unidentified transportation equipment firm, said, “We are currently overselling our forecast and don’t see an end to the upswing in business,” while noting that “we are very concerned” about the tariff situation and “are focusing on alternatives to Chinese sourcing.”', 'Others noted price pressures, while an index that tracks order backlogs hit its highest level since April 2004. The pricing index also registered its highest since April 2011, as firms noted that inflationary pressures are building heading into the second half.', 'That’s consistent with news out of the trucking industry, which is reporting a shortage of drivers amid huge demand for delivery vehicles.', 'While inflation could prompt more aggressive action in the form of Federal Reserve interest rate hikes, PNC’s Faucher sees an economy resilient enough to withstand that and other headwinds.', '“The tight labor market is going to lead businesses to invest in capital that makes their workers more productive. Then you’ve got stronger government spending with the increase in discretionary spending caps,” he said. “I think we’ll see growth better than 3 percent in the final three quarters of the year.”']"
7,"Stocks making the biggest moves in the premarket: Philip Morris, McCormick, Apple & more",2019-10-01T12:31:28+0000,"['Check out the companies making headlines before the bell Tuesday:', 'Philip Morris — The cigarette maker’s stock rose more than 1% in the premarket after an analyst at Bank of America/Merrill Lynch upgraded the stock to “buy” from “neutral.” The analyst said Philip Morris lack of exposure to vaping means the stock will “eventually rise above the noise.”', 'McCormick — McCormick shares climbed more than 2% in the premarket after the company reported better-than-expected earnings for the third quarter. The company posted a profit of $1.46 per share, topping a Refinitiv estimate of $1.29 per share. CEO Lawrence Kurizus said the company’s consumer segment “accelerated versus our first half and was driven by our Americas and Asia-Pacific regions.”', 'Apple — The tech giant was denied exemptions from tariffs on five Chinese-made components for its new Mac Pro computer. This comes about a week after Apple said it would make the new computers in Texas rather than China.', 'Amazon — Amazon is in talks to bring its cashierless technology to airports and movie theaters, CNBC learned through people familiar with the matter.', 'Emerson Electric — Emerson Electric is conducting a review of its “operational, capital allocation and portfolio initiatives” in an effort to improve long-term shareholder value. The manufacturing company also reiterated its earnings guidance for 2019.', 'Cleveland-Cliffs — Shares of the mining company slipped after an analyst at B. Riley FBR trimmed his price target on them to $13 a share from $16 per share. The analyst said the lower price target reflects “the evolving macro and price environment for Cleveland-Cliffs.”', 'U.S. Steel — U.S. Steel will acquire 49.9% of Arkansas-based Big River Steel for about $700 million. The deal includes an option for U.S. Steel to buy the remaining 50.1% within the next four years. The transaction is expected to close Oct. 31.']"
8,"Stocks making the biggest moves midday: McDonald’s, Charles Schwab, TD Ameritrade & more",2019-10-01T16:26:39+0000,"['Check out the companies making headlines midday Tuesday:', 'McDonald’s — Shares of McDonald’s dropped 2.7% after J.P. Morgan slashed its estimates for the fast-food chain’s same-store sales growth, a key metric for restaurants, to 5% from 6%. The bank cited softer-than-expected third-quarter earnings, based on conversations with McDonald’s management and company checks.', 'Honeywell, 3M, Eaton — Shares of the manufacturers dropped after new data showed the U.S. manufacturing sector contracted to its lowest level in 10 years. Honeywell and Eaton dropped more than 2% each while 3M slid 3.7%.', 'McCormick — The condiments and spices maker rose more than 6% after reporting third-quarter earnings that topped analyst expectations. McCormick posted a profit of $1.46 per share while analysts polled by Refinitiv expected $1.29 earnings per share. CEO Lawrence Kurizus said McCormick’s sales in the Americas and Asia-Pacific regions drove growth for the company’s consumer segment.', 'TD Ameritrade, Charles Schwab, E-Trade — Shares of brokerage firm Charles Schwab tanked more than 9% after announcing its ending commissions for online trading in U.S. stock, ETFs and options. Starting Oct. 7, Schwab will be slashing its trading commission cost from $4.95 to zero. Rival brokerage firm TD Ameritrade plummeted more than 25% and E-Trade shares cratered more than 16%.', 'Ulta Beauty — Shares of Ulta Beauty rose 6.1% after director Charles Heilbronn disclosed a purchase of more than 200,000 shares, bringing his total ownership to over 2 million shares. The stock is coming off its worst quarter in more than a decade after Q2 earnings missed analyst estimates on profit, revenue, and same-store sales.', 'U.S. Steel — U.S. Steel shares rose more than 3% after the company announced it will acquire 49.9% of Arkansas-based Big River Steel for about $700 million in cash. U.S. Steel also has an option to buy the rest of Big River Steel within the next four years.', 'nVent Electric — Shares of the heating systems builder dropped 9% after the company announced CFO Stacy McMahan will step down effective Nov. 1.', '—CNBC’s Yun Li, Maggie Fitzgerald and Pippa Stevens contributed to this report.']"
9,"3D printing, wooden materials and dizzying heights: How wind turbines are changing",2020-06-17T12:52:36+0000,"['As technology progresses, the wind turbines that companies use to generate renewable energy are growing in size and productivity. ', 'Just last month, Siemens Gamesa Renewable Energy revealed it was developing a 14-megawatt giant that has 108-meter-long blades.', 'Another major player in the industry, GE Renewable Energy, has been working on the Haliade-X, which boasts a capacity of 12 MW, a height of 260 meters and a blade length of 107 meters.While the size of turbines is increasing, the techniques used to build them are also beginning to change.', 'On Wednesday, GE Renewable Energy announced it was going to partner with LafargeHolcim and COBOD International to develop wind turbines that use 3D-printed concrete bases.', 'An initial 10-meter tall prototype using the technology was developed last October. If successful, the overall project could potentially have quite far-reaching implications.', 'In a statement, GE Renewable explained that wind turbine towers had “traditionally” been built in precast concrete or steel and “typically been limited to a height of under 100 meters.”', 'This, the company explained, was because the width of a turbine tower’s base could not “exceed the 4.5 diameter that can be transported by road, without excessive additional costs.”', 'The on-site printing of bases would, in theory, allow for bigger bases and therefore taller turbines. And the taller a turbine, the more energy it can produce, which could in turn reduce costs. “Concrete printing has advanced significantly over the last five years and we believe (it) … is getting closer to have real application in the industrial world,” Matteo Bellucci, GE Renewable Energy’s Advanced Manufacturing Technology leader, said in a statement. “We are committed to taking full advantage of this technology both from the design flexibility it allows, as well as for the logistic simplification it enables on such massive components,” Bellucci added. ', 'The collaboration announced Wednesday comes in the same week that Swedish firm Modvion said it had received 69 million Swedish krona (around $7.36 million) in funding from the European Union’s EIC Accelerator program.Modvion specializes in the development of wooden wind turbine towers. In April, it installed a 30-meter tower on an island near Gothenburg. The EU funding is broken down into a 26 million krona grant and 43 million krona in capital investments that the European Investment Bank is guaranteeing.', '“Among other things, the EU grant will be used to build a development facility in the Gothenburg area,” Modvion said in a statement. “This is where the first tower on a commercial scale will be constructed – a tower of approximately 100 metres in height for Varberg Energi.”', 'The use of wooden materials in construction is not new, but as concerns over the environment grow it’s increasingly seen as a sustainable alternative to more “modern” materials that may be energy intensive. Modern timber buildings are being developed around the world, while Modvion has previously claimed that wooden wind towers could be constructed at “a significantly lower cost than steel.”', 'In addition, it has stated that the “carbon dioxide absorbed by trees as they grow is stored in the wooden towers, which means that the wind turbines are climate neutral right from the start.”']"
