,title,date,content
0,"Fiat Chrysler recalls 703,000 vehicles in US to fix ignition switches",2015-03-09T11:03:54+0000,"['  Fiat Chrysler Automobiles is recalling 702,578 SUVs and minivans  to fix defective ignition switches that can unexpectedly turn off  the engine, according to documents posted Friday by U.S. safety  regulators.', '  The recall covers Dodge Grand Caravan and Chrysler Town and  Country minivans from 2008 to 2010 model years and Dodge Journey  SUVs from 2009 to 2010.', 'Read MoreTeslais shedding jobs after missing sales target', '  The automaker is advising customers to remove all items from  their key rings, leaving only the ignition key, until the  switches can be fixed.', '  If there is a key fob, it should also be removed, Fiat Chrysler  said in documents posted by the National Highway Traffic Safety  Administration.', '  The company said road conditions or a jarring event may cause the  ignition switch to move into the off or accessory position,  turning off the engine and disabling the air bags, power steering  and power brakes.', '  Fiat Chrysler said it expects to begin replacing the defective  ignition switches for the 2008-2009 minivans and SUVs in April  and the 2010 vehicles in August.', 'Read MoreGM,Wilson seek to avoid proxy fight: Report', '  Some of the vehicles had previously been recalled for the same  issue.', '  General Motors experienced a similar ignition switch problem and  recalled 2.6 million small cars last year. At least 57 people  were killed and more than 90 injured in crashes linked to the  defective GM switches.']"
1,"GM looks to increase electric Hummer production as reservations top 65,000, exceeding expectations",2022-03-29T13:33:53+0000,"['PHOENIX — General Motors has received more than 65,000 reservations for its electric GMC Hummer pickups and SUVs, as the automaker attempts to expedite production of the vehicles to meet demand.', 'The reservations number is higher than the automaker’s initial expectations, according to Duncan Aldred, global vice president of GMC. The number of people converting their reservations into orders to buy the Hummer pickup, about 95%, is also higher than expected, he said.', '“Production’s actually slightly ahead of plan and we’re putting things in place now to actually expedite that as well, so we can deliver these reservations quicker than we originally thought,” he told CNBC here during a media event. “We’re seeing momentum building.”', 'The Hummer EV pickup is for sale, but new orders would not likely be fulfilled until 2024 due to the number of current reservations, Aldred said. The SUV, which GM unveiled last year after the pickup, isn’t expected to arrive until 2023.', 'Reservations for the electric Hummers have largely been for the pickup because it was launched first, but newer reservations have been more evenly split between the truck and SUV, according to Megan Hart, assistant marketing manager for Hummer. The company declined to provide a specific breakdown between reservations of the pickup and SUV.', 'March has been the best month for reservations aside from when the vehicles were unveiled, Aldred said. GMC started advertising for the Hummer EV pickup late last month with NBA star Lebron James acting as a celebrity spokesman for the vehicle.', '“What we’re looking at now is how can we build the maximum amount and how can we deliver, fulfill these reservations as quickly as possible?” Aldred said. “We’re doing all the studies on that and we’re confident we can go a lot quicker than we originally thought, but it still means a reservation now probably means delivering in ’24.”', 'Aldred said work to increase production includes obtaining additional supplies of key components, including battery cells.', 'GM is still in early days of production of the Hummer pickup at a plant in Detroit. Legacy automakers and new EV start-ups have conducted slower production ramp-ups of new electric vehicles than previous ones to conduct significant safety and quality control efforts.', 'GM sold one Hummer EV pickup in December. The Detroit automaker is expected to report its first-quarter sales, including Hummer EVs, on Friday.', 'The company is on track to produce more vehicles than it originally planned to, Aldred said. “And then similarly next year, we’re going to build quite significantly more than our original plan.”', 'The Hummer EV pickup is an important vehicle for GM. It is the first to include the Detroit automaker’s next-generation battery cells and platform, known as Ultium. It’s viewed as a new flagship product for the brand and company.', 'Due to the price of the vehicle, volumes are lower than other trucks, but it’s still profitable, Aldred said. GM is currently building a limited “Edition 1” launch version of the pickup that starts at $110,295. Other, lower-priced versions — ranging from about $80,000 to $100,000 — will follow.']"
2,Virgin Galactic partner suffers loss of vehicle in SpaceShipTwo test,2014-10-31T18:38:01+0000,"['  Virgin Galactic partner suffers loss of vehicle in  SpaceShipTwo test. The fate of the pilots is  unknown.', ' This is a developing news story. Please check back for  updates.', '  Virgin Galactic said its SpaceShipTwo rocket plane suffered an  “in-flight anomaly” during a powered test flight on Friday —  and other sources said the anomaly involved a catastrophic  explosion and crash.', ' Virgin Galactic Tweet', '  Two pilots fly in SpaceShipTwo’s cockpit during a test. Those  pilots are equipped with parachutes, and after the anomaly, at  least one chute was reportedly sighted over the Mojave Air and  Space Port in California, the base from which SpaceShipTwo and  its WhiteKnightTwo carrier plane took off.', '  Photographer Ken Brown, who was covering the test flight, told  NBC News that he saw a midflight explosion and later came upon  SpaceShipTwo debris scattered across a small area of the desert.', ' More from NBC News: Russia, Ukraine strike deal to keep Europe  warm More human remains recovered from MH17  site How Much Do We Spend on Halloween? It’s  Scary', '  Bakersfield’s KGET-TV quoted the Mojave airport’s director,  Stuart Witt, as saying that the craft crashed east of Mojave. He  said a news conference was scheduled for 2 p.m. PT (5 p.m. ET).', '  The reported anomaly came after SpaceShipTwo fired up its rocket  engine in flight for the first time in more than nine months.  Since then, Virgin Galactic has switched the plane’s fuel mixture  from a rubber-based compound to a plastic-based mix — in  hopes that the new formulation would boost the hybrid rocket  engine’s performance.', '  Before Friday’s flight, the most recent aerial outing was on Oct.  7, when SpaceShipTwo took an unpowered, gliding flight back to  the Mojave runway.', '  The latest test got off to a slow start. SpaceShipTwo spent more  than three hours on the Mojave runway, slung beneath its  WhiteKnightTwo mothership, while the ground team assessed whether  the weather was right for flight. The go-ahead was finally given  for takeoff at 9:19 a.m. PT (12:19 p.m. ET).', ' Read More Windowless plane lets you  fly with your head in the clouds', '  It took WhiteKnightTwo about 45 minutes to get to 50,000 feet,  the altitude at which it released SpaceShipTwo for free flight.', '  The aim of such flights was to test SpaceShipTwo in preparation  for suborbital trips to the edge of outer space, beyond 100  kilometers (62 miles) in altitude.', '  Virgin Galactic had said SpaceShipTwo’s first trip to an  outer-space altitude could have taken place before the end of the  year, depending on how the tests went. And the company’s  billionaire founder, Richard Branson, was hoping to ride on the  first commercial flight next year.', '  More than 700 customers have paid as much as $250,000 for a ride  on the rocket plane.', '  NBCUniversal has established a multi-platform partnership with  Virgin Galactic to track the development of SpaceShipTwo and  televise Branson’s spaceflight.', ' NBCUniversal has established a multi-platform partnership  with Virgin Galactic to track the development of SpaceShipTwo and  televise Branson’s spaceflight.']"
3,The trucking industry is desperate for drivers — autonomous vehicles can help,2019-04-13T16:16:18+0000,"['The trucking industry needs more drivers to meet rising demand, especially as retailers face pressure to deliver as fast as Amazon. But the job requires long hours driving in all kinds of weather, and weeks away from home for long hauls. That lifestyle hasn’t drawn in younger workers, in part because of low average wages in trucking. In the U.S., tractor-trailer truck drivers earned a median income of $44,500 in 2017, according to the Bureau of Labor Statistics.', 'At the same time, shippers are looking for ways to cut costs.', 'Watch the video to find out how self-driving and semi-autonomous trucks, like those in development at Embark, Tesla and TuSimple, could help fill the gap.']"
4,"Jaguar Land Rover recalling nearly 41,000 vehicles",2014-08-13T15:57:27+0000,"['  Jaguar Land Rover is recalling  nearly 41,000 vehicles because the front air bag on the  passenger’s side might not work properly in a crash.', '  Jaguar Land Rover, owned by India’s Tata Motors, is recalling  17,066 LR2s from the 2010-2015 model years and 23,485 Range Rover  Evoques from the 2012-2013 model years because a part could fail  and disable the passenger’s side air bag.', 'Read More  GM announces 6 new recalls, 7.6 million cars in the US', '  The company will notify owners of the affected cars. Dealers will  update the software for free.', '  Jaguar Land Rover said no deaths or injuries have been reported  related to the problem. The recall is expected to begin Aug. 30.', ' — By The Associated Press']"
5,8 vehicles earn top rating for collision warning,2014-05-29T09:46:01+0000,"['  The 2014 Chevrolet Impala is the only non-luxury car  to earn the highest rating in tests of high-tech crash  prevention systems.', '  Seven luxury cars have also earned “superior” ratings from  the Insurance Institute for Highway Safety when  equipped with optional collision warning and  automatic braking.', ' Read MoreUber CEO: Future isself-driving  cars', ' They are the BMW 5 Series, BMW X5, Mercedes-Benz E-Class,  Buick Regal, Cadillac CTS, Cadillac XTS and  2015 Hyundai Genesis. ', '  To get the highest rating, vehicles must warn drivers of  impending collisions and apply automatic brakes to  significantly slow the speed. ', 'Tests are conducted at 12 miles per hour and 25 mph.', 'Read MoreGoogle’s driverless    car: Good news for bad drivers', ' The institute, which is funded by insurers, says 40 percent  of 2014 models now offer forward collision  warning, while 20 percent offer automatic  braking. The results may encourage wider adoption of  the technology.', ' —By The Associated Press']"
6,Electric automaker XPeng posts narrower-than-expected quarterly loss as pricing power cushions production snags,2022-03-28T12:26:56+0000,"['Chinese electric vehicle maker XPeng on Monday reported a fourth-quarter loss that was narrower than Wall Street had expected as pricing power helped cushion the hit from supply chain challenges and rising costs.', 'XPeng said it lost $202 million in the quarter, or 22 cents on an adjusted per-share basis, on revenue of $1.34 billion. That was significantly better than expected: Seven Wall Street analysts polled by FactSet had projected an adjusted loss of 33 cents per share, on average.', 'The gross profit margin on XPeng’s vehicle business, a number that is widely watched by analysts, fell to 10.9% in the fourth quarter from 13.6% in the third quarter on higher costs related to supply chain issues and rising commodity prices. But as CEO He Xiaopeng noted during a call with analysts Monday morning, that was still a significant improvement over the 3.5% vehicle margin the company posted in the fourth quarter of 2020.', 'The company’s U.S.-listed shares traded fractionally higher after the release.', 'Like most automakers, XPeng had to navigate production disruptions due to ongoing supply chain challenges — in particular, a global shortage of semiconductor chips — several times during 2021. Those disruptions kept XPeng’s sleek EVs in relatively short supply amid high demand, giving the company some added pricing power to help cushion the impact of the rising costs.', 'He said that the company is working to further ramp up production further in 2022. XPeng hopes to soon deliver more than 10,000 of its flagship P7 sedans in a single month, the CEO said, and he expects its new P5 sedan to reach similar production numbers later this year.', 'XPeng delivered 60,569 P7s in 2021. Deliveries of the P5, which went into production during the fourth quarter, totaled 7,865 last year.', 'The CEO also said the company’s next new model, an upscale electric SUV called the G9, is on track to enter production in the third quarter of 2022. He said that he expects the G9′s performance to be “head and shoulders” above Chinese-made rivals, and that it has the potential to be a “blockbuster” hit for the company.', 'Two more new models, built on a new vehicle architecture, will follow in 2023, he said.', 'The company expects to deliver between 33,500 and 34,000 vehicles in total this quarter, representing growth of more than 150% versus the first quarter of 2021.', 'That guidance suggests a strong March for the company. XPeng delivered a total of 19,147 vehicles in January and February, a period that included several days of factory downtime during China’s Lunar New Year holiday.']"
7,"Stocks making the biggest moves midday: Twitter, Starbucks, Tesla and more",2022-04-04T16:37:56+0000,"['Check out the companies making headlines in midday trading.', 'Twitter — The social media company soared 27.1% after a filing revealed that Elon Musk has taken a 9.2% passive stake in the firm worth about $2.9 billion. The purchase came weeks after the Tesla CEO polled his 80-plus million Twitter followers about whether the platform adheres to free speech principles. Musk also recently hinted at starting his own site. The move is sparking speculation among analysts that Musk could take a more active ownership in Twitter or even consider a takeover down the road.', 'Tesla — Shares added 5.6% after Tesla reported first-quarter electric vehicle deliveries. The more than 310,000 vehicle deliveries marked a quarterly record, but slightly missed consensus Wall Street estimates. Most analysts attributed the miss to Covid shutdowns in Shanghai, where Tesla has a major factory.', 'Starbucks — The coffee chain fell 3.7% following the suspension of its share repurchase program. The decision comes as Howard Schultz returns to the helm as CEO of the company and amid a greater union push from the firm’s baristas.', 'JD.com, Netease, Alibaba, Tencent Music – U.S.-listed shares of Chinese companies rallied after China proposed revising confidentiality rules regarding audit oversight. The move could prevent those companies from being delisted in the U.S. JD.com jumped 7.1%, Netease rose 2.4%, Alibaba gained 6.6% and Tencent Music added 10.7%.', 'Hertz — Shares of the rental car company surged 10.7% after Hertz announced a partnership with electric vehicle company Polestar. As part of the deal, Hertz will purchase up to 65,000 electric vehicles over the next five years, according to a news release.', 'Logitech — The stock rose 7% after Goldman Sachs upgraded the company to a “buy” from “neutral” and said it could see big gains from growing trends toward gaming and videoconferencing.', 'Quest Diagnostics – Shares slipped 1.3% after Citi downgraded the diagnostic information services company to neutral from buy, due to uncertainty around its post-pandemic model. Citi cited Quest’s margin outlook this and next year as well as heightened labor pressures and volume declines.', 'Baxter — Shares fell 4% after Goldman Sachs downgraded the stock to a sell rating from neutral. The firm said the call is due to Baxter’s “over-indexing to headwind variables and numbers being at risk.”', 'Ollie’s Bargain Outlet Holdings — The retail stock jumped 15.7% after Wells Fargo upgraded Ollie’s to overweight from equal weight. Wells Fargo said that the stock could prove to be a “coiled spring” after the company has worked through its pandemic-era disruptions.', '— CNBC’s Yun Li, Samantha Subin, Sarah Min, Jesse Pound and Tanaya Macheel contributed reporting.']"
8,Ford’s first-quarter sales fell 17% as the automaker battled a chip shortage,2022-04-04T13:15:38+0000,"['DETROIT – Ford Motor’s U.S. sales of new vehicles declined 17% during the first quarter, including a 26% slide last month, as it battles a global shortage of semiconductor chips.', 'The automaker on Monday reported first-quarter sales of 432,132 vehicles, including 159,328 units in March. Those figures were in line with analyst expectations.', 'Andrew Frick, Ford’s vice president of sales, distribution and trucks, said the company experienced some positive signs heading into the spring selling season.', '“While the global semiconductor chip shortage continues to create challenges, we saw improvement in March sales, as in-transit inventory improved 74% over February. F-Series had a record 50,000 new retail orders in March, while a record 41% of our overall retail sales came from previously placed retail orders,” he said in a statement.', 'Sales of Ford’s trucks were off 23% during the first quarter. Car sales were down 49%, while SUV sales were off just 5.1%.', 'Sales of Ford’s highly profitable F-Series pickups, including the F-150 and its larger siblings, were down 31% during the first quarter, including a 47% decline in March. On improved inventory, Ford said its SUV sales increased 39% compared with February.', 'Automakers such as Ford have been managing a global shortage of semiconductor chips for more than a year. The parts scarcity has caused sporadic shutdowns of plants and depleted new vehicle inventories.', 'Ford is among the last of the major automakers to report its March and first-quarter sales. U.S. new-vehicle sales overall for January through March likely came in below 3.3 million, down 14% from the first quarter of 2021, industry analysts say.', 'Ford touted demand for its newest vehicles, such as the Bronco and Bronco Sport SUVs and the Maverick small pickup truck. March Maverick sales increased 115% from February, with the average vehicle selling off a dealer lot just four days after arrival.']"
9,"‘We need batteries,’ says Morgan Stanley. Here are stocks to ride the capital spending boom",2022-04-08T19:47:02+0000,"['“We need batteries. Literally everywhere.”', 'That’s how Morgan Stanley summarized the immediate need to build out battery infrastructure in light of Russia’s war in Ukraine, which has shown that “the global fossil-fuel energy supply chain is unsustainable and insecure.”', 'The firm estimates it will take trillions of dollars in capital spending to build out battery infrastructure, which also creates an opportunity for investors.']"
