,title,date,content
0,China’s Huawei tries to blame global chip shortage on U.S. sanctions,2021-04-12T14:28:50+0000,"['The global chip shortage is a highly-complex and multifaceted issue, but Chinese tech company Huawei attempted to blame the U.S. for it on Monday.', 'Eric Xu, Huawei’s rotating chairman, said the sanctions imposed on the firm over the last two years are, “hurting the global semiconductor industry” because they have “disrupted the trusted relationship in the semiconductor industry.”', 'Demand for chips has soared during the coronavirus pandemic as people snapped up games consoles, laptops and TVs to help get through lockdowns. Insatiable demand for electronics isn’t the only reason why semiconductors are in short supply; shifting business models in the industry has also created a bottleneck at outsourced chip factories. The relatively small number of chip manufacturing plants and the lack of competition is another huge issue.', 'But despite all these factors, Huawei tried to lay the bulk of the blame on U.S. sanctions on Monday.', 'Speaking to analysts in Shenzhen at Huawei’s Analyst Summit, Xu said: “The U.S. sanctions is the main reason why we are seeing panic stockpiling of major companies around the world.”', 'He added: “Some of them never stockpiled anything, but because of the sanctions they are now having three months or six months of stockpiles.”', 'Huawei itself has built up a stockpile of chips to try to ensure its business — focused on telecoms equipment and consumer electronics — can continue as normal.', 'Some companies in other industries, such as the automotive sector, have been forced to temporarily shut down operations as a result of the chip shortage. U.S. auto executives and tech leaders were scheduled to meet remotely with President Joe Biden on Monday.', 'The U.S. imposed sanctions on Huawei after accusing it of building backdoors into its equipment that could be exploited by the Chinese Communist Party for espionage purposes.', 'In 2019, Huawei was put on a U.S. blacklist called the Entity List. This restricted American companies from exporting certain technologies to Huawei. Google ended up cutting ties with Huawei, meaning the Chinese giant could not use Google’s Android operating system on its smartphones. Last year, the U.S. moved to cut Huawei off from key chip supplies it needs for its smartphones.', 'Huawei strongly denies the U.S. allegations.', 'Huawei is pursuing new avenues after the sanctions imposed by the Trump administration left its once-leading smartphone business in tatters, while also hindering progress in its semiconductor and 5G businesses.', 'Xu said he doesn’t expect the Biden administration to change the rules any time soon and the company is investing in new areas like health care, farming, and electric cars to try to mitigate the impact of being blacklisted by the U.S.', '“We believe, we’ll continue to live and work under the entity listing for a long period of time,” he said. “The overall strategy as well as the specific initiatives for Huawei are all designed and developed in a way that the company would be able to survive and develop while staying on the entity list for a long time.”', 'Huawei said Monday it plans to invest $1 billion into self-driving and electric car research and development as it looks to compete with the likes of Tesla, Apple, Nio and Xiaomi.', 'Xu claimed that Huawei’s self-driving technology already surpasses Tesla’s as it allows cars to cruise for more than 1,000 kilometers (621 miles) without human intervention. Tesla’s vehicles can’t do more than 800 kilometers and drivers are meant to keep their hands on the wheel for safety purposes.', 'Huawei will initially partner with three automakers on self-driving cars including BAIC Group, Chongqing Changan Automobile Co and Guangzhou Automobile Group. A new “HI” (Huawei Inside) logo will be put on cars in the same way that Intel’s logo is put on some computers.', '“Once self-driving is achieved, we’re able to disrupt all of the related industries, and we think that in the foreseeable future, namely in the next decade, the biggest opportunity and breakthrough will be from the automobile industry,” Xu said.', 'Correction: This story has been updated to reflect that Huawei’s Eric Xu is one of three rotating chairmen.']"
1,"Covid waves will hit the global supply chain for two years, Reagan economist warns",2021-09-09T23:45:48+0000,"['The semiconductor shortage is affecting consumers’ ability to buy cars, smartphones and virtually all electronics — and there may be little relief in sight.', 'According to economist John Rutledge, the Covid-19 pandemic will continue to inflict pain on the global supply chain and contribute to the semi logjam into 2023.', '“The nature of epidemics is that they don’t just have a one-and-done wave of infections. They have many waves of infections,” Safanad’s chief investment strategist told CNBC’s “Trading Nation” on Thursday.', 'Rutledge, who played a major role in President Ronald Reagan’s economic plan, warns that Covid variants will continue to close ports. It’s something that happened last month at China’s Ningbo-Zhoushan port, which is the third busiest in the world.', '“That’s because of a small number of infections that developed there,” Rutledge said. “Seamen have not been inoculated around the world. So, some port, somewhere, is going to close again, and it’ll hit semis, but other things as well.”', 'He notes the closures, along with a lack of supplies and materials, are having widespread global impact.', '“Mostly, you produce more slowly, and that’s what hits GDP,” said Rutledge, a CNBC contributor. “If you can’t get the materials you need, you have to slow down production.”', 'Rutledge also lists worker shortages as a major reason why supply chain troubles will linger.', '“It’s not clear how many of those workers are afraid to go to work, don’t want to go to work or still have plenty of cash,” he said. “But it’s pretty clear to me that this worker shortage is not going to go away in three months or six months or 12 months.”', 'Rutledge attributes half of inflation to supply chain troubles. But what’s hurting production may be bullish for the market and the medium- to longer-term prognosis for the economic recovery.', '“Growth is going to be a net positive, like the initial claims number we saw,” Rutledge said. “The global recovery is proceeding. It’s proceeding in waves.”', 'Disclosure: John Rutledge owns shares of Applied Materials, Taiwan Semiconductor, Nvidia and the iShares Semiconductor ETF.', 'Disclaimer']"
2,Chinese Tesla rival XPeng plans new vehicles and targets a distant future in robots and flying cars,2021-09-09T03:16:36+0000,"['GUANGZHOU, China — For the foreseeable future, Chinese electric car start-up XPeng is trying to boost its sales in the world’s largest auto market.', 'But the Guangzhou, China-based company is also exploring areas including robotics and flying cars, which could play a role in its longer-term goals.', 'In an interview with CNBC that aired Thursday, He Xiaopeng, the founder and CEO of XPeng, discussed the ongoing chip shortage hitting the auto industry and why the Chinese Tesla rival is investing in robotics and flying modes of transport.', 'Earlier this year, XPeng showed off a second prototype of a flying passenger car which it says has been in development for eight years. And on Tuesday, it took the wraps off a four-legged “robotic unicorn,” as it pushes into new areas of business.', '“With the development of technology, the form of mobility will evolve from wheels to wings, propellers, 4 legs or 2 feet,” He said, according to a CNBC translation of his Mandarin-language comments. “Technology should help people have better and happier lives. This has always been my goal.”', 'The XPeng founder predicts that all automakers will become both car makers and robotics companies, a process He says could take 10 to 30 years. XPeng is looking at robots as a transportation tool “in a low-speed and random environment.”', '“As it gets better and smarter in the long run, it could help us with some simple repetitive tasks. As the transportation tool becomes more and more intelligent, it could help us take on some tasks. This is how we envision it,” he said.', 'XPeng’s competitor Tesla is also investing in robotics. Last month, CEO Elon Musk said the company will build a humanoid robot called Tesla Bot. Other companies have also shown off robots, including Boston Dynamics and Chinese electronics giant Xiaomi.', 'The X2, XPeng’s second flying car prototype and first that’s able to carry a passenger, was unveiled in July.', 'Founder He said the company is building a research and development team that will “have a few hundred people.”', '“We want to introduce a flying car that can take off or land vertically, a low-to mid-altitude flying car.”', 'A number of auto companies including Hyundai and China-based Geely are developing aerial vehicles. Other firms like Guangzhou-based EHang are also working on passenger drones.', 'The XPeng founder said the company will have a press conference in the future, perhaps in a year, to discuss the dimensions and pricing as well as start taking pre-orders for its flying car.', 'Like many automakers, XPeng has been affected by the global shortage of semiconductors that go into vehicles. The company said its deliveries of vehicles fell in August versus July. XPeng has three cars on the market — the flagship P7 sedan, a cheaper sedan called the P5 and the G3 sports utility vehicle.', 'The supply chain poses the “biggest challenge” for the company, but He sees it as a chance to build resilience at the automaker.', '“The pandemic has caused a shortage of semiconductor chips, which is the biggest blow to our business. I expect the chip shortage to ease in about 18 months from now. In the near future, the situation might get even worse,” he said.', '“XPeng is a very young company. I see this as an early test. If we can overcome the challenge and get ready for what’s to come, we will do even better when our sales reach 300,000 or 500,000 cars per year.”', 'Meanwhile, the company has pledged to push on with the release of new models. On Sept. 15, the company will officially launch its P5 sedan aimed at the mass market, after unveiling it in April. And from 2023, XPeng plans to launch at least two or three new vehicle models every year. In preparation for that, the electric carmaker is expanding its own manufacturing capacity.', 'The CEO said that in the future the company will launch more cars in the range of 200,000 yuan ($30,968) to 400,000 yuan. Currently, its cheapest car, the G3, starts at around 150,000 yuan. He also said that its models could include bigger 5-seat or 7-seat models. The company does not have a 7-seat model yet.', 'XPeng has tried to pitch itself as different from its domestic rivals because it develops its own in-house semi-autonomous driving features in a system called XPilot. Its latest version, XPilot 3.0, can be added into its cars as an optional extra and is a rival to Tesla’s Autopilot.', 'In the first quarter of the year, XPeng said that it recorded revenue from software for the first time, which includes its assisted driving system XPilot. The founder said that while the majority of XPeng’s revenue is from hardware now, software will be a “growing part” of that.', '“My idea is that after we launch XPilot 4.0, we will focus more on our software business,” He said, referring to the next-version of its limited self-driving feature suite.', '— CNBC’s Penny Chen contributed to this report', 'Correction: This article has been updated to accurately reflect which model is the cheapest one XPeng has on the market.']"
3,"Ford Motor Chair Bill Ford on automaker’s stock rally, SPACs and investors",2021-09-08T12:11:31+0000,"['DETROIT – After a decade of mediocrity, Ford Motor shares are up by nearly 50% this year and on pace for their best annual performance since 2009.', 'Investors like the new turnaround plan from CEO Jim Farley called Ford+ that aims to better position the automaker to build electric and autonomous vehicles as well as to generate recurring revenue. Thus far, electric vehicle introductions from Ford such as the Mustang Mach-E and upcoming Ford F-150 Lightning have been well-received by investors.', 'Ford Chair Bill Ford says the company plans to keep the momentum going into 2022 and beyond, despite an ongoing global shortage of semiconductor chips causing production disruptions.', '“When we came out with the Mustang Mach-E and then the F-150 Lightning, I think it really surprised a lot of people. Not just the fact that we came out with those vehicles but frankly how good they were,” he told CNBC. “I think you’re starting to see that in the investor base. Really, that’s the tip of the iceberg though.”', 'Ford, whose great-grandfather Henry Ford founded the automaker, sat down recently with CNBC to discuss the company’s stock rally, turnaround plan as well as special purpose acquisition companies and retail investors. Here are some highlights of that interview.', 'Ford said reinstating the company’s coveted dividend, which was cut in March 2020, is “quite prominent” on its to-do list, but he wouldn’t say when. Ford, chair since 1999, and other company executives have said it needs to be the right time, as the industry continues to work through the Covid-19 pandemic and a global shortage of semiconductor chips.', '“We’re looking at doing it as soon as we possibly can,” he said. “We have a very large portion of employee and retiree ownership, and they care deeply about the dividend as well.”', 'The quarterly dividend was last at 15 cents a share. It was suspended at the beginning of the pandemic to shore up the company’s cash as the pandemic caused rolling shutdowns of auto plants globally.', 'Ford’s crosstown rival, General Motors, hasn’t reinstated its dividend either. GM cut it in April 2020.', 'Ford said he doesn’t know if all of the company’s emerging initiatives under the Ford+ plan are reflected in its current stock price, but he said investors are beginning to take notice.', '“Clearly, I think investors understand that there’s true change under foot, and that Ford is going to be a major player in that change,” he said. Later adding, Ford’s underlying business is “very strong” and the rate of change is more than any other time in his more than 40 years with the automaker.', 'The company plans to shift focus to a more recurring revenue model under the plan, led by connected vehicle services and a focus on fleet customers, among other things. It’s something every automaker is attempting to do, as the industry invests billions in new technologies such as electric and autonomous vehicles.', 'The Ford family essentially controls the company through Class B preferred shares that give them 40% of shareholder voting rights. It’s a system that has been in place since the company went public in 1956, but one that not all investors believe should continue.', 'That system has faced numerous shareholder challenges. At this year’s shareholder meeting, 36.3% of voters supported a system that gave every share an equal vote, slightly higher than the 35.3% average since 2013.', 'Ford maintains support for the dual share structure, saying it has been a “very positive thing” for the company. He said it allows Ford to concentrate more on the long-term and not be another “nameless, faceless corporation.” He cited the family’s control in helping it avoid bankruptcy during the Great Recession, unlike GM and then-Chrysler, now known as Stellantis.', '“We’re not a nameless faceless corporation, and people know that there’s a family, and in my case an individual, who’s going to be there through thick and thin, won’t take a golden parachute and bail out, and cares deeply about the company,” he said.', 'Ford, 64, has no plans of stepping down from the company’s board for the foreseeable future, even as a younger generation of family members join the board. His daughter, Alexandra Ford English, and nephew, Henry Ford III, were both elected to the company’s board in May.', 'Ford, who joined the board in 1988, said the time was right for the two to become directors and learn the ropes. He said being on the board as a young executive with his father as well as his cousin, Edsel Ford II, who stepped down from the board earlier this year, provided a lot of value.', '“I wanted to provide the same kind of mentorship for them as they go forward and start to carry the torch for the Ford family,” he said.', 'Ford, a co-founder and partner of mobility capital venture firm Fontinalis Partners, said he’s not sure if SPACs are a flash in the pan or here to stay. “I guess time will tell, but clearly, it’s another avenue to liquidity that we didn’t have a short time ago.”', 'Ford said a lot of companies that Fontinalis is involved in are exploring SPAC deals, while others continue to pursue more traditional IPOs.', 'Fontinalis was founded in 2009. It is focused on emerging mobility companies. Investments have included Lyft, Postmates and lidar company Ouster. Ford said he co-founded the firm because he believed such mobility companies would play key roles in the future of transportation.', 'Whether Ford investors are institutional or retail, Ford said he wants them to be long-term owners of the stock.', '“What we really like is, at least, I’ll speak personally, are long term investors who want to be with us on the journey that we’re going on,” he said. “And if they’re retail investors or institutional mean, either way, that’s great.”']"
4,Fresh inflation data could fuel further market volatility in the week ahead,2022-02-04T20:59:20+0000,"['After January’s surprisingly strong jobs report, focus swings to consumer inflation in the week ahead and what it could mean for the Federal Reserve’s plan to raise interest rates.', 'Friday’s report of 467,000 jobs added in January confounded Wall Street economists, some of whom expected a negative number due to the impact of the omicron Covid variant on the workforce. The report was also stunning in other ways. Payrolls were also revised higher by 709,000 jobs in November and December, and wages grew at a hot 5.7% year-over-year pace in January.', '“Everyone’s back to playing leap frog over each other to see how hawkish they can get about what the Fed’s going to do, when the Fed probably doesn’t even know itself,” said Art Hogan, chief market strategist at National Securities. Traders in the futures market began to price in six interest rate hikes for this year, while many economists predict four or five.', 'The consumer price index is reported Thursday, and the University of Michigan’s consumer sentiment survey is released Friday. There are also dozens of earnings in the week ahead, including pharmaceutical names Pfizer and Amgen. Walt Disney reports as do consumer staples like Coca-Cola, PepsiCo and Kellogg.', '“We may get some sequential improvement in inflation readings. You start looking at the CPI on a month over month basis ... there may be movement in the right direction,” said Hogan. He said headline inflation is expected to rise by 0.4%, down from 0.5% in December. But that would still be a hot 7.2% year-over-year reading.', '“Maybe movement in inflation in the right direction would be revelatory. I think it might take a bit out of some of the hawkish tone the street has,” he said.', 'Despite a sharp jump in bond yields, stocks ended Friday with gains for the week. Large swings punctuated trading in the past week, and some individual names were highly volatile. Meta Platforms fell more than 26% in one day on earnings disappointment, and PayPal also lost nearly 25% in a single session after issuing weak guidance. Amazon jumped 13.5% Friday after its earnings.', 'Julian Emanuel, senior managing director and leader of the equity, derivatives and quantitative strategy team at Evercore ISI, said that type of volatility in individual names highlights the risks for investors in the top tech growth stocks that are among the largest names in the S&P 500.', '“It’s extremely difficult for investors who have only known how to make money for 15 consecutive years by owning growth stocks to change how they view the world. The volatility we’ve seen around earnings in some of these names is not a surprise, but it’s exacerbated in an economy that is likely to grow north of 4%,” he said.', 'Emanuel expects cyclical and value stocks to perform better than growth names in an inflationary environment in which the central bank is raising interest rates.', 'The S&P 500 rose 1.5% in the past week, closing at 4,500, a key technical threshold. The Dow was up 1%, and the Nasdaq was up 2.4% for the week. The Nasdaq is now 13% below its all-time high.', 'Energy was the best sector for the week, up nearly 5%, followed by consumer discretionary stocks, up just under 4%. Financials were up 3.5%, and tech was up about 1%.', 'Markets could remain volatile in the coming week. Yields saw a big move on hawkish comments from European and U.K. central bankers this past week. The move was extended even more, after the Friday jobs report.', '“We expect continued volatility, which as we’ve all seen in individual stocks in the last week, can be both to the upside and the downside, all in the run-up to the momentous March 15 FOMC meeting,” said Emanuel.', 'The U.S. 10-year yield, which influences mortgages and other loans, jumped as high as 1.93% Friday.', 'Luke Tilley, chief economist at Wilmington Trust, said he doesn’t expect the Federal Reserve to be as aggressive on interest rate hikes as the markets are forecasting. He also expects inflation to peak and begin to come down.', '“As we get to March, April, May, we’re going to get to the point where the base effects bring the year-over-year numbers down,” he said.', 'Tilley expects a first hike of a quarter-point in March with three others this year.', 'Monday', 'Earnings: Amgen, Hasbro, Energizer, Tyson Foods, Take-Two Interactive, ON Semiconductor, Simon Property Group, Tenet Healthcare, Rambus, Leggett & Platt, Chegg, Nuance Communications', '3:00 p.m. Consumer credit', 'Tuesday', 'Earnings: Pfizer, Chipotle, SoftBank, BP, DuPont, Lyft, Peloton Interactive, Yum China, BNP Paribas, Aramark, Carrier Global, Coty, Thomson Reuters, Masco, S&P Global, Warner Music, Centene, Willis Towers Watson, Edgewell Personal Care, Sysco, Harley-Davidson, KKR, Valvoline, Assurant, Spirit Airlines, Plantronics, Virtu Financial', '6:00 a.m. NFIB survey', '8:30 a.m. International trade', 'Wednesday', 'Earnings: Walt Disney, CVS Health, Mattel, GlaxoSmithKline, Yum Brands, Uber Technologies, MGM Resorts, Fox Corp, Canopy Group, Penske Auto Group, CME Group, Reynolds Consumer Products, Mesa Air, Copa Holdings, Bunge, Lumen Technologies, Molina Healthcare, Zynga, Frontier Group, CDW, Honda, Toyota, Equinor', '10:00 a.m. Wholesale trade', '10:30 a.m. Fed Governor Michelle Bowman', '12:00 p.m. Cleveland Fed President Loretta Mester', 'Thursday', 'Earnings: Coca-Cola, PepsiCo, Expedia, Credit Suisse, AstraZeneca, Twitter, Kellogg, DaVita, Eventbrite, Zillow, Affirm Holdings, GoDaddy, VeriSign, Western Union, Yelp, Terex, Mohawk Industries, Equitable Holdings, CyberArk Software, PG&E, Arcelor Mittal, Datadog, Martin Marietta Materials, Duke Energy, Unilever', '8:30 a.m. Initial jobless claims', '8:30 a.m. CPI', '2:00 p.m. Federal budget', 'Friday', 'Earnings: Under Armour, British American Tobacco, AllianceBernstein, Newell Brands, Apollo Global Management, Cleveland-Cliffs', '10:00 a.m. Consumer sentiment']"
5,House competition bill aims to boost minorities in science and technology,2022-02-04T14:26:22+0000,"['Congress is aiming to reshape America’s workforce through new legislation that would direct more than $1 billion toward increasing diversity of the scientists, researchers and technologists who drive the innovation economy.', 'The measure includes $900 million for grants and partnerships with historically Black colleges and universities, $164 million to study barriers for people of color in the field and $17.5 million to combat sexual harassment. They’re part of a expansive package of bills known as the America Competes Act, which lawmakers hope will ensure the United States continues to lead the global economy.', '“We cannot compete internationally without having the available talent,” House Science Committee Chairwoman Eddie Bernice Johnson, D-Texas, told CNBC. “We’ve got to make sure we build in the mechanism … to get that talent.”', 'The House passed the package Friday. It includes signature items such as funding for the domestic semiconductor industry and efforts to tackle supply chain shortages. Speaker Nancy Pelosi had enough support to pass the legislation despite opposition from House Republicans who want to take a tougher stance against China. ', 'A version of the bill passed the Senate last summer with strong bipartisan support. The two chambers will have to negotiate a compromise version of the legislation. The White House has made getting the bill to the president’s desk one of the administration’s top priorities as its social spending plan and other legislative initiatives languish.', '“Our red line is doing nothing or taking too long,” Commerce Secretary Gina Raimondo told reporters Friday. She added: “My message to everyone is to find common ground, quickly. This should take weeks not months.”', 'A report from the National Academies of Sciences, Engineering and Medicine estimated the United States will need 1 million more people employed in those sectors over the next decade than it is currently on track to produce. The group said the country will not reach that goal without substantially increasing diversity in the labor force.', '“A clear takeaway from the projected demographic profile of the nation is that the educational outcomes and STEM readiness of students of color will have direct implications on America’s economic growth, national security, and global prosperity,” the report said.', 'The bill would also authorize new investments for colleges and universities that primarily serve students of color through research funding and enhanced engagement. About 18% of Black college graduates in science and technology come from historically Black colleges and universities, according to the National Science Foundation.', '“We’ve got to build the opportunity,” Johnson said. “We’ve got to invest in building talent from this level, which means if they’re at HBCUs, then we’ve got to invest in HBCUs.”', 'At Spelman College in Atlanta, more Black women have graduated with doctoral degrees than at any other school in the country. The historically Black college is planning to build a new innovation lab over the next two years thanks to a $10 million gift from the foundation named after Arthur Blank, co-founder of Home Depot.', 'The school’s president, Mary Schmidt Campbell, told CNBC that Washington also plays an important role by setting the national agenda. She said the new legislation could  “democratize” innovation and ultimately benefit businesses’ bottom line.', '“There’s of course the altruistic mission of making sure that everybody is included,” Campbell said. “But there is a self-interested reason why companies should be interested in diversity: It’s because it makes them better companies.”', 'Correction: This story was updated to correct the spelling of the Spelman College president’s name.']"
6,How to invest behind the smart car of the future,2021-09-05T12:17:48+0000,"['These stocks are poised to benefit as cars become more and more like tech devices, presenting a big opportunity for technology suppliers, according to Citi.']"
7,5 things to know before the stock market opens Friday,2022-02-04T12:56:16+0000,"['Here are the most important news, trends and analysis that investors need to start their trading day:', 'Dow futures fell nearly 200 points and the 10-year Treasury yield rose to 1.9% after Friday’s jobs report showed strong gains last month. Nasdaq futures rose early Friday, boosted by Amazon’s 11% premarket surge on strong cloud-led earnings after the bell Thursday. But Nasdaq futures went negative after the jobs data. Snap rocketed more than 40% higher in the premarket, the morning after delivering better-than-expected quarterly results and rosy forward guidance.', 'The U.S. economy created 467,000 jobs in January, the Labor Department reported Friday. That was much better than estimates for a 150,000 nonfarm payrolls gain. Expectations were all over the place coming into the print on worries the spike in Covid cases due to the raging omicron variant could jolt the data. In fact, many economists — such as those at PNC, Jefferies, Morgan Stanley and Goldman Sachs — had expected sharp declines in jobs last month. That clearly didn’t happen. The U.S. unemployment rate ticked up to 4% in January, slightly higher than estimates.', 'Amazon’s strong fourth quarter was carried entirely by its cloud business. In fact, North America and International e-commerce operations actually delivered losses. Amazon also reported a gain of almost $12 billion from its investment in electric vehicle marker Rivian Automotive. A Refinitiv analysis stripping out one-time items put adjusted earnings at $5.80 per share compared with estimates for $3.57. Revenue of $137.4 billion in Q4 slightly missed expectations. Amazon guided lower for first-quarter earnings and revenue.', 'Snap’s fourth-quarter adjusted earnings more than doubled estimates. Revenue and user growth also exceeded expectations. The Snapchat parent also issued an upbeat outlook. While saying it’s making progress adjusting to Apple’s new privacy policies that affect ad tracking, Snap has to contend with similar headwinds as Meta, which warned the Apple changes would result in a $10 billion revenue hit this year. On the post-earnings call, Snap’s CFO said, “It will take at least a couple more quarters for our advertising partners to build full confidence in our new measurement solutions.”', 'Shares of Ford, which have soared roughly 78% in the past 12 months, were tracking for an over 7% drop at Friday’s open. The automaker’s adjusted fourth-quarter earnings were well below estimates, while revenue also missed expectations. Ford’s stake in Rivian pumped up full-year net income. While hitting its annual earnings guidance for 2021, Ford fell short of production target estimates due to supply chain problems, including an ongoing shortage of semiconductor chips, the company’s CFO said on the post-earnings call. The company released solid guidance for 2022.', '— Reuters contributed to this report. Sign up now for the CNBC Investing Club to follow Jim Cramer’s every stock move. Follow the broader market action like a pro on CNBC Pro.']"
8,"Here are Friday’s biggest analyst calls of the day: Nvidia, Joann Stores, Broadcom and more",2021-09-03T12:16:50+0000,"['Here are the biggest calls from Wall Street analysts for Friday, Sept. 3.']"
9,UBS says these stocks could climb if Congress passes Biden’s infrastructure plan,2021-04-01T16:48:51+0000,"['President Joe Biden’s ambitious infrastructure package could spell big upside for a handful of stocks in the semiconductor, broadband and industrials industries, UBS told clients Thursday.', 'Chief U.S. equity strategist Keith Parker screened the broad Russell 3000 to arrive at about 200 U.S. stocks with significant revenue exposure to Biden’s $2 trillion infrastructure plan.', 'Based on that analysis, UBS recommends investors stay overweight industrials across most subindustries and metals. The brokerage likes the technology space, especially relevant semiconductor stocks that could be beneficiaries of a wide broadband rollout under the Biden plan.']"
