,Date,극동유화,경동인베스트,세원이앤씨,SK이노베이션,이아이디,SK디스커버리,에스아이리소스,흥구석유,한국쉘석유,미창석유,GS,중앙에너비스,S-Oil,total,지수,전일비
0,2008-01-02,220520488575.6,5266557143605.2,5693111919453.379,934216579317600.0,307528992083892.0,41117189718900.9,1658037717265.32,63372288000.0,4793600500000.0,2609565409176.0,250474586105184.0,66128957217.96,153733603800672.0,1707441845449542.2,100.0,
1,2008-01-03,220520488575.6,5258041878293.7,5521703248692.6875,879720612190740.0,304654889354136.0,39261315836686.65,1677157431482.4333,59195136000.0,4823598000000.0,2593306434664.0,244300916729352.0,67257437716.56,154968411863328.0,1643126926029667.8,96.23325856799876,-3.76674143200124
2,2008-01-04,215462679204.6,5232316813615.8,5652091040980.734,848580059546820.0,310403094813648.0,38417056836364.5,1658037717265.32,59439744000.0,4859595000000.0,2520141049360.0,240773105657448.0,67921249774.56,156409021269760.0,1614847343418241.2,94.57700405562439,-1.6562545123743746
3,2008-01-07,218497364827.2,5223801548304.3,5542213687929.01,817439506902900.0,298906683894624.0,39261315836686.65,1581758024086.6272,57972096000.0,4835597000000.0,2422587202288.0,228425766905784.0,67788487362.96,156614822613536.0,1560598311564329.0,91.39979295479012,-3.1772111008342705
4,2008-01-08,215462679204.6,5292192573911.399,5432336334877.284,856365197707800.0,301780786624380.0,40835770052126.85,1457878209054.9119,58649472000.0,4805599500000.0,2495752587592.0,241655058425424.0,67522962539.76,156409021269760.0,1616871228398670.8,94.69553722768076,3.2957442728906443
5,2008-01-09,209393307959.40002,5223801548304.3,5137865028698.661,882315658244400.0,296032581164868.0,41342512442131.95,1467537648008.3496,58837632000.0,4799600000000.0,2451040407684.0,254884349945064.0,66593625658.56,153939405144448.0,1647929176139225.2,96.51451266296873,1.8189754352879675
6,2008-01-10,210404869833.6,5215286282992.8,5268252820986.709,848580059546820.0,294595529799990.0,41679094103389.95,1505577912752.8152,60888576000.0,4811599000000.0,2459169894940.0,246946775033280.0,67124675304.96,150646583644032.0,1602046346160322.8,93.82728614915312,-2.6872265138156024
7,2008-01-11,214451117330.40002,4941632546192.7,4960596232441.879,827819691117540.0,294595529799990.0,41679094103389.95,1524598045125.048,61377791999.99999,4799600000000.0,2422587202288.0,236363341817568.0,66726388070.16,144678344674528.0,1564127570836464.2,91.60649160643327,-2.220794542719858
8,2008-01-14,216474241078.80002,5078414597406.899,4966456357937.971,827819691117540.0,287410272975600.0,41229383605986.9,1524598045125.048,61020288000.0,4727606000000.0,2341292329728.0,226220884985844.0,63805615014.96,144678344674528.0,1546338244833790.5,90.56462150994456,-1.041870096488708
9,2008-01-15,216474241078.80002,5129775092391.0,4843393722520.038,807059322688260.0,280512426424185.6,41342512442131.95,1505577912752.8152,58574208000.0,4607616000000.0,2308774380704.0,216960380922096.0,63805615014.96,144472543330752.0,1509081176979887.2,88.38258128683559,-2.18204022310897
10,2008-01-16,206358622336.80002,5044263901789.2,4522551851609.001,760348493722380.0,262405579226722.78,39261315836686.65,1534157902233.6047,56711424000.0,4445629500000.0,2255932713540.0,201746695674510.0,64137521043.96,130478051953984.02,1412369879850836.0,82.7184763929094,-5.6641048939261935
11,2008-01-17,210404869833.6,4992993041176.8,4254451110162.792,749968309507740.0,271027887415990.78,37967346338961.45,1486557780380.5825,55469568000.0,4469627500000.0,2296580149820.0,205935971322396.0,64734951896.16,137681098986144.02,1420411432542502.2,83.18944720301911,0.4709708101097192
12,2008-01-18,210404869833.6,5292192573911.399,4453695377029.92,724017848971140.0,282811708607990.4,37967346338961.45,1486557780380.5825,55488384000.0,4589617500000.0,2312839124332.0,211889152506234.0,63805615014.96,137681098986144.02,1412831756634972.5,82.74552719908282,-0.4439200039362987
13,2008-01-21,200289251091.6,5215286282992.8,4384838902450.8394,653951605522320.0,282811708607990.4,36505086010607.25,1410278087201.8896,55488384000.0,4589617500000.0,2223414764516.0,200644254714540.0,64403045867.16,133770873454400.02,1325827144527978.0,77.64991516761783,-5.095612031464981
14,2008-01-22,188150508601.2,5087019497090.1,4159224070851.297,620216006824740.0,281949477789063.56,31217949081679.5,1219778017944.9192,54246528000.0,4601616500000.0,2276256431680.0,187194475002906.0,64336664661.36,130272250610208.02,1268500787527425.8,74.2924739081494,-3.3574412594684304
15,2008-01-23,191792131348.32,5223801548304.3,4151898913981.182,617620960771080.0,284536170245844.0,31160917189077.45,1143498324766.2263,55112064000.0,4589617500000.0,2438846176800.0,184989593082966.0,64801333101.96,134799880173280.02,1270966889454549.5,74.4369064657616,0.1444325576121912
16,2008-01-24,196647628344.48,5326432903900.8,4323307584741.8735,646166467361340.0,293158478435112.0,32398789743259.65,1314978261650.964,59044608000.0,4847596000000.0,2520141049360.0,188517404154870.0,65266001542.56,135005681517056.02,1313900235249178.2,76.95139010156151,2.5144836357999196
17,2008-01-25,195838378845.12003,5377703764513.2,4405349341687.161,664331789736960.0,308966043448770.0,34310760569016.9,1353118108240.3105,56222208000.0,4991584000000.0,2483558356708.0,195352538106684.0,66991912893.36,141591324517888.0,1363482822450205.8,79.85530084576453,2.903910744203017
18,2008-01-28,201300812965.80002,5369188499201.7,4179734510087.619,591670500234480.0,306091940719014.0,32061273132942.6,1229238293208.5952,54190080000.0,4865594500000.0,2438846176800.0,179036411899128.0,66261719629.56,137063694954816.02,1264328175532274.0,74.04809592208375,-5.807204923680786
19,2008-01-29,197254565469.0,5061384066783.899,4159224070851.297,596860592341800.0,306091940719014.0,31779853466168.55,1257818282689.3848,51537024000.0,4871594000000.0,2438846176800.0,174406159867254.0,67788487362.96,136240489579712.02,1263484482647905.0,73.99868323569461,-0.04941268638913243
20,2008-01-30,196243003594.80002,5078414597406.899,4110878035508.5386,547554717322260.0,298906683894624.0,27055555870788.9,1210118578991.4814,49053312000.0,4907591000000.0,2377875022380.0,169996396027374.0,67788487362.96,133359270766848.02,1194870585919139.8,69.98016296154141,-4.018520274153204
21,2008-01-31,196849940719.32,5258041878293.7,4241265827796.5854,589075454180820.0,343455276205842.0,27167749757874.9,1286398272170.1743,50295168000.0,4949587500000.0,2568917972896.0,176390553595200.0,67522962539.76,134799880173280.02,1289507793435432.2,75.52279434125766,5.542631379716255
22,2008-02-01,195231441720.6,5258041878293.7,4144573757111.067,617620960771080.0,344892327570720.0,27561363311734.95,1276838415061.6177,50295168000.0,4931589000000.0,2495752587592.0,178154459131152.0,67124675304.96,136240489579712.02,1322889047287483.0,77.47783919042861,1.955044849170946
23,2008-02-04,196445315969.64,5258041878293.7,4233940670926.47,659141697629640.0,359262841219500.0,30542915861045.4,1219778017944.9192,52778880000.0,4919590000000.0,2471364125824.0,188737892346864.0,66859150481.76,138504304361248.02,1394608449457737.8,81.67824006272726,4.200400872298644
24,2008-02-05,195838378845.12003,5249436978610.5,4261776267032.9067,638381329200360.0,350640533030232.0,30655109748131.4,1295858547433.8503,50351616000.0,4859595000000.0,2499817331220.0,188076427770882.0,66726388070.16,135623085548384.02,1361855885805202.0,79.76001580578853,-1.9182242569387284
25,2008-02-11,189364382850.24002,5078414597406.899,4110878035508.5386,586480408127160.0,360699892584378.0,29474269086551.25,1486557780380.5825,52402560000.0,4871594000000.0,2434781433172.0,180579829243086.0,66460863246.96,132124462704192.02,1307649315397932.5,76.58529155080238,-3.1747242549861454
26,2008-02-12,193208317972.2,5129775092391.0,4179734510087.619,565720039697880.0,356388738489744.0,28686107029772.1,1524598045125.048,52402560000.0,4871594000000.0,2487623100336.0,177492994555170.0,65199620336.76,130066449266432.02,1276858464285246.8,74.78195920336427,-1.8033323474381149
27,2008-02-13,196243003594.80002,5027143736794.5,4206105074820.0337,563124993644220.0,380818611692670.0,28573913142686.1,1543618177497.2805,52402560000.0,4907591000000.0,2491687843964.0,170437372411362.0,64071139838.16,128831641203776.02,1290275394631223.0,75.56775055442746,0.785791351063196
28,2008-02-14,197659190218.68002,5215286282992.8,4522551851609.001,646166467361340.0,382255663057548.0,31442336855851.5,1505577912752.8152,53004672000.0,4979585000000.0,2512011562104.0,184328128506984.0,64734951896.16,131712860016640.02,1394955867221937.2,81.69858733049075,6.1308367760632905
29,2008-02-15,196040691219.96002,5181045953003.399,4625104047790.611,638381329200360.0,380818611692670.0,33017726020350.75,1562737891714.3943,53023488000.0,4997583500000.0,2438846176800.0,190722286074810.0,64934095513.56,130889654641536.02,1392948923473768.5,81.58104635809879,-0.11754097239196426
30,2008-02-18,196243003594.80002,5129775092391.0,4556247573211.53,651356559468660.0,373633354868280.0,33186016850979.75,1581758024086.6272,52402560000.0,5117573500000.0,2463234638568.0,191383750650792.0,64270283455.56,133359270766848.02,1402080457280867.2,82.1158542539832,0.5348078958844127
31,2008-02-19,197456877843.84,5215286282992.8,4604593608554.289,661736743683300.0,377944508962914.0,33355242630667.8,1553277616450.7183,53324544000.0,5183568000000.0,2471364125824.0,196014002682666.0,65465145159.96,138710105705024.02,1427104939865397.5,83.58146683992412,1.4656125859409173
